CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PVEM_MORENA_PANAL,PT_PVEM_PANAL,PT_MORENA_PANAL,PT_PVEM,PVEM_MORENA,PVEM_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,VIVA,LN,PES,RSP,FPM,CI1,CI2,CI3,CNR,NULOS
180019B0100,18,6,0,1,0,4,5,0,4,3,1,1,0,2,2,0,0,4,2,3,2,7,1,1,0,7,0,0,0,0,1,1,3,0,0
180020B0100,18,6,1,2,0,9,5,1,7,3,1,4,0,5,2,4,0,4,3,15,2,9,2,0,1,14,4,1,0,0,0,0,10,0,2
180021B0100,18,6,0,11,0,27,4,0,3,9,1,8,0,4,6,5,0,3,13,14,10,14,4,0,6,25,7,4,0,0,3,3,11,2,0
180022B0100,18,8,0,6,1,10,5,0,5,6,3,1,0,4,2,4,1,3,7,13,3,13,3,0,2,12,3,2,0,0,5,1,4,3,0
180023B0100,18,8,0,12,2,36,15,1,12,21,1,8,0,16,14,17,0,8,10,20,10,15,6,0,8,40,8,7,0,0,6,3,20,3,0
180024B0100,18,8,0,5,1,25,11,0,10,9,1,6,1,8,2,7,0,4,8,20,7,21,4,0,6,16,4,6,0,0,3,3,18,1,2
180024C0100,18,8,1,10,0,15,6,0,8,8,0,9,1,4,10,5,0,9,11,15,4,19,7,0,7,13,3,3,0,0,5,1,8,6,3
180025B0100,18,6,0,2,1,4,0,0,2,1,0,4,0,2,1,1,1,3,7,5,3,6,4,0,0,3,1,2,0,0,4,0,4,1,0
180026B0100,18,6,0,0,0,12,4,0,2,6,1,4,0,3,6,5,0,2,3,8,3,8,3,0,1,10,2,1,0,0,1,1,2,3,1
180027B0100,18,8,2,15,1,25,10,0,11,12,0,8,2,11,7,12,3,9,18,30,11,21,8,0,6,32,5,7,0,0,5,3,24,0,1
180028B0100,18,8,0,11,0,16,9,0,14,8,0,1,0,5,8,4,0,5,10,21,5,15,10,0,4,12,1,0,0,0,2,1,9,0,2
180029B0100,18,6,1,0,1,10,2,0,4,4,0,2,0,0,1,2,1,1,2,5,2,7,1,0,3,8,2,1,1,0,1,1,3,2,0
180030B0100,18,8,0,6,0,20,5,0,4,5,1,2,0,7,1,8,0,1,6,10,5,11,6,0,3,17,2,4,0,0,2,2,7,1,0
180031B0100,18,8,0,8,0,10,6,0,8,3,1,2,0,3,5,7,0,1,7,16,3,16,5,1,3,13,3,6,0,0,3,0,15,3,1
180032B0100,18,8,0,11,0,15,5,0,8,4,1,3,1,5,5,8,0,0,7,17,9,15,1,0,5,19,5,7,0,0,5,0,21,1,0
180033B0100,18,8,0,4,1,19,13,0,8,6,0,3,0,13,4,8,1,8,8,20,7,18,2,0,6,29,4,4,0,0,3,1,13,2,1
180033C0100,18,8,1,8,1,26,4,0,11,5,4,7,0,3,5,9,0,7,2,18,2,15,2,0,5,15,4,3,0,0,6,0,13,0,0
180034B0100,18,6,1,2,0,18,7,0,8,3,1,3,0,5,4,4,0,0,8,19,8,16,5,1,6,18,6,6,0,0,4,2,16,1,1
180035B0100,18,6,0,0,0,4,0,0,2,3,0,1,0,3,2,3,1,0,3,3,5,8,0,0,0,2,1,1,0,0,2,0,6,0,0
180036B0100,18,8,0,6,2,42,11,1,12,19,2,15,1,12,11,10,0,7,17,33,8,27,11,0,13,43,10,9,1,0,12,4,17,10,3
180037B0100,18,6,0,13,0,15,11,0,10,6,1,5,0,1,5,6,1,3,7,6,3,9,4,0,2,19,1,4,0,0,2,2,7,3,0
180038B0100,18,8,0,8,0,23,7,1,14,9,2,7,0,8,6,6,0,6,15,33,7,28,6,0,5,21,5,2,0,0,9,2,10,3,1
180038C0100,18,8,0,15,2,20,5,0,15,9,0,10,0,6,6,5,1,4,15,23,6,17,2,0,7,33,7,4,0,0,4,0,21,2,1
180039B0100,18,8,0,8,0,23,5,2,6,4,1,7,1,6,7,7,0,5,8,13,4,15,5,0,4,32,2,1,0,0,1,1,11,1,0
180039C0100,18,8,2,7,0,22,11,0,6,10,2,6,0,10,5,7,0,5,9,17,4,8,5,0,2,18,3,2,0,0,6,1,13,3,2
180040B0100,18,8,1,12,1,23,8,1,18,16,4,9,2,21,11,18,0,3,16,33,16,27,8,1,8,36,7,12,0,0,9,1,26,5,2
180041B0100,18,8,0,6,0,14,7,1,6,3,2,3,0,8,6,9,1,0,11,15,6,15,5,0,3,14,3,1,0,0,2,1,12,1,2
180043B0100,18,8,0,14,3,38,18,0,13,14,1,11,1,15,6,12,0,6,13,37,12,19,6,1,12,22,7,9,0,0,9,1,36,4,0
180044B0100,18,6,1,6,1,6,3,1,4,1,1,1,0,6,1,3,0,1,5,5,0,5,3,0,2,5,0,2,0,0,1,2,7,1,1
180045B0100,18,6,1,1,0,16,4,0,7,2,2,4,2,5,4,6,0,2,8,14,1,10,3,0,3,9,2,4,0,0,1,0,5,0,0
180046B0100,18,8,0,8,2,23,2,0,9,9,0,2,1,10,5,7,0,5,9,12,7,18,7,0,4,23,3,2,1,0,7,0,21,4,1
180046C0100,18,8,0,9,0,28,7,1,4,8,1,2,2,9,4,7,0,4,7,15,9,14,1,1,6,16,7,8,1,0,1,1,19,1,0
180047B0100,18,6,0,15,1,36,14,0,17,14,1,15,0,12,7,15,0,6,13,25,10,17,10,0,8,25,6,3,0,0,8,5,15,5,2
180047E0100,18,6,1,1,0,5,1,0,3,1,0,2,0,0,3,1,0,0,1,0,2,2,1,0,1,7,0,0,0,0,1,1,2,0,0
180048B0100,18,6,0,2,0,14,2,0,4,5,0,1,0,3,3,6,0,3,4,11,5,11,5,0,4,8,1,4,0,0,6,1,15,2,1
180049B0100,18,3,0,8,1,24,4,0,7,10,0,4,0,5,4,11,1,5,9,13,5,19,5,0,9,16,2,5,0,0,2,1,18,1,0
180049C0100,18,3,0,7,2,18,8,0,7,4,1,4,0,5,4,4,1,4,8,21,11,18,5,0,5,19,7,5,0,0,5,1,12,4,2
180050B0100,18,3,1,7,2,23,8,0,5,10,1,6,0,9,6,5,0,5,13,22,5,17,4,0,8,29,2,6,0,0,3,2,14,1,1
180050C0100,18,3,1,8,0,17,4,0,10,6,2,9,4,9,10,8,0,4,8,17,8,14,6,0,10,20,11,5,0,0,6,1,17,0,0
180051B0100,18,5,2,14,0,35,8,0,11,12,2,9,0,12,14,13,2,6,15,27,9,31,10,0,11,38,5,9,1,0,5,2,25,5,0
180052B0100,18,5,2,12,1,29,9,0,11,9,0,10,0,8,8,6,2,8,12,34,13,22,9,0,7,32,8,6,0,0,9,1,19,5,0
180052C0100,18,5,0,19,1,36,7,0,12,15,1,5,0,12,6,14,0,8,18,17,10,28,6,0,6,31,7,10,0,0,4,1,15,4,3
180053B0100,18,5,0,11,1,23,12,1,8,14,0,7,1,7,11,8,0,11,20,19,13,19,5,0,10,25,4,7,0,1,2,0,13,4,0
180053C0100,18,5,2,7,1,32,8,0,6,11,0,11,2,6,7,13,1,7,9,31,6,23,7,0,8,29,4,4,1,0,6,1,19,3,0
180054B0100,18,3,1,19,0,30,6,0,10,7,2,9,0,15,11,7,1,3,14,33,9,23,8,1,12,37,15,8,0,0,5,0,17,4,2
180054C0100,18,3,1,9,1,24,4,1,8,10,0,6,1,12,10,9,0,7,19,26,7,23,8,1,13,29,7,7,0,0,2,1,25,4,1
180055B0100,18,3,0,4,1,20,2,0,4,3,0,4,2,7,7,3,0,6,2,14,7,15,0,0,3,9,4,1,0,0,3,2,11,2,2
180056B0100,18,9,1,13,1,30,15,1,21,7,1,10,2,10,11,17,0,5,15,31,13,34,8,0,13,32,5,7,2,0,5,0,18,4,0
180057B0100,18,3,2,9,0,20,9,0,9,4,2,7,2,11,6,4,0,3,13,16,7,14,2,0,5,21,4,5,0,0,7,0,17,5,1
180057C0100,18,3,1,4,1,25,7,0,6,13,1,5,1,5,4,8,0,4,14,16,5,13,3,0,4,13,6,5,0,0,3,3,27,3,1
180058B0100,18,9,1,9,1,23,4,0,13,8,4,8,1,4,10,12,3,4,14,35,3,15,4,0,10,22,8,7,0,0,3,0,13,1,1
180059B0100,18,7,1,10,2,37,9,0,11,18,3,14,1,9,14,9,1,9,10,27,12,24,12,0,7,39,12,6,1,0,8,4,31,5,4
180059C0100,18,7,1,22,2,35,22,0,16,12,0,18,1,7,11,13,1,7,14,36,12,21,10,0,11,36,4,8,0,0,11,1,26,8,2
180060B0100,18,9,0,8,2,31,8,0,14,15,1,9,1,15,17,11,1,6,15,35,16,29,9,0,6,31,5,5,2,0,6,2,23,3,0
180061B0100,18,9,1,22,1,38,12,2,14,11,0,12,1,12,11,16,1,9,15,39,14,34,8,0,6,47,8,7,0,0,4,3,25,5,0
180061E0100,18,9,0,4,1,4,3,0,4,5,0,2,0,3,4,4,0,3,4,6,3,5,3,0,1,6,1,0,0,0,0,0,6,1,1
180062B0100,18,7,1,10,0,19,2,0,5,2,0,6,0,9,7,3,0,3,10,16,2,5,2,0,5,17,5,2,0,0,5,2,5,0,0
180063B0100,18,9,0,6,0,20,6,0,2,6,2,5,0,8,5,8,0,6,12,14,6,16,8,0,6,14,5,0,0,0,5,0,13,3,1
180064B0100,18,7,0,7,0,9,3,0,5,10,1,1,0,3,6,5,0,2,2,12,2,8,2,0,2,12,1,1,0,0,3,0,9,0,0
180065B0100,18,7,0,7,1,24,10,0,10,6,3,12,0,10,7,6,0,5,14,21,6,13,8,0,7,25,3,7,0,0,9,2,12,3,2
180065E0100,18,7,0,6,0,11,7,0,3,3,0,1,0,5,5,3,1,4,2,10,3,8,3,0,3,13,2,0,0,0,2,1,6,0,0
180066B0100,18,5,1,7,2,20,12,0,12,13,0,3,1,16,13,9,0,5,12,14,8,20,1,0,5,27,5,7,0,0,7,1,14,6,0
180067B0100,18,7,1,10,0,22,13,0,7,6,1,9,1,7,12,6,1,4,9,15,12,19,5,0,1,21,3,5,0,0,6,4,10,2,2
180067C0100,18,7,0,11,0,9,8,0,9,13,0,8,0,8,8,6,0,6,7,18,6,17,4,0,2,26,5,3,0,0,2,0,12,2,2
180068B0100,18,3,0,13,0,18,10,1,11,13,1,8,0,12,10,5,1,7,7,15,8,17,9,0,4,13,8,6,0,0,2,1,16,1,1
180068C0100,18,3,0,15,1,19,5,0,5,8,2,11,0,9,6,9,0,6,11,13,12,18,2,1,6,15,4,3,0,0,7,2,11,1,0
180069B0100,18,5,1,5,1,30,7,0,9,9,1,12,1,6,4,11,1,5,9,17,11,16,5,0,13,24,5,3,0,0,4,3,14,3,1
180070B0100,18,3,0,5,2,11,3,0,8,5,2,4,1,5,5,0,0,6,6,10,4,12,6,0,0,8,3,2,0,0,3,1,1,1,0
180071B0100,18,7,1,3,0,5,2,0,5,6,1,1,0,3,4,3,0,3,4,11,5,8,0,0,2,15,0,1,0,0,2,0,4,1,1
180072B0100,18,7,0,0,0,5,1,0,2,1,0,5,1,4,0,1,0,1,2,3,2,7,2,0,1,8,0,4,0,0,2,0,3,0,0
180074B0100,18,7,0,7,1,24,5,0,7,5,0,8,4,11,11,10,1,6,7,18,11,24,2,0,6,28,4,6,0,0,3,3,12,4,0
180075B0100,18,9,0,8,0,23,10,1,10,13,0,11,0,14,10,10,0,7,21,25,11,21,4,0,5,36,6,4,0,0,8,2,25,5,0
180076B0100,18,7,0,5,0,2,2,0,1,3,0,2,0,2,1,5,0,3,4,2,2,2,3,0,2,1,1,1,0,0,1,0,3,0,0
180077B0100,18,3,1,9,1,20,4,0,7,14,2,7,0,7,11,10,0,8,12,17,9,14,3,0,5,19,4,2,0,0,7,3,14,5,1
180078B0100,18,5,0,6,0,31,17,1,14,14,2,6,0,16,11,12,2,8,20,35,11,20,4,0,11,39,7,6,0,0,3,4,22,2,0
180079B0100,18,3,0,10,0,29,8,0,4,11,3,7,1,10,7,17,1,1,12,21,9,32,6,0,9,17,2,8,0,0,6,0,12,4,1
180079C0100,18,3,0,10,1,27,9,0,15,13,2,8,1,6,9,10,1,7,10,23,5,19,2,0,6,19,5,4,0,0,4,2,16,4,0
180080B0100,18,3,0,14,0,22,7,0,12,6,1,8,0,16,6,6,1,3,17,21,6,26,7,0,11,22,6,8,1,0,3,1,16,7,0
180081B0100,18,3,0,4,0,17,0,0,4,4,0,1,0,5,3,3,1,3,2,13,3,8,5,0,3,7,1,3,0,0,3,0,7,1,1
180082B0100,18,3,0,23,1,26,8,0,9,10,0,13,0,7,5,10,0,8,6,29,9,11,6,0,7,19,6,1,0,0,4,2,24,3,0
180083B0100,18,5,1,13,1,30,16,0,13,12,2,13,2,10,11,9,1,8,23,36,11,27,4,0,11,34,9,4,0,0,3,2,15,6,0
180084B0100,18,7,0,6,0,9,5,0,3,7,0,7,0,6,2,2,0,1,5,6,5,11,2,0,1,12,2,1,0,0,7,1,8,0,1
180086B0100,18,9,0,6,0,13,3,0,5,5,0,1,1,6,6,6,0,4,7,15,10,19,3,0,3,14,3,2,0,0,1,1,10,1,0
180088B0100,18,7,3,8,1,12,8,0,13,9,1,9,0,12,8,8,2,4,11,26,4,20,2,1,2,20,9,3,0,0,1,2,12,1,2
180089B0100,18,7,0,8,1,25,6,0,12,5,1,4,2,5,2,9,0,5,11,18,4,11,5,0,8,26,2,1,0,0,6,1,16,1,0
180091B0100,18,5,1,12,3,33,11,3,15,19,0,8,0,15,11,12,1,16,11,28,9,25,7,0,9,33,9,3,0,0,3,3,28,8,1
180092B0100,18,9,0,11,0,27,13,1,14,11,2,13,2,14,16,12,1,9,10,33,9,32,13,0,7,38,6,6,1,0,10,2,26,1,0
180093B0100,18,7,0,5,0,9,3,0,7,2,1,3,0,5,2,5,0,2,10,9,5,5,1,0,3,10,2,3,0,0,2,0,6,3,0
180094B0100,18,9,0,15,2,34,10,0,17,12,1,9,0,8,14,12,1,5,10,35,8,27,7,0,9,32,10,9,0,0,7,0,16,5,1
180095B0100,18,7,1,6,1,7,4,1,3,9,1,6,0,6,7,7,0,4,8,17,6,11,1,0,4,19,1,1,0,0,2,0,10,0,0
180095E0100,18,7,0,6,1,15,8,0,6,7,0,3,0,8,5,8,1,4,8,12,10,13,1,0,4,16,2,4,0,0,6,4,9,1,0
180096B0100,18,9,2,9,0,32,9,0,19,8,4,10,0,7,7,9,0,6,15,27,11,20,8,0,3,29,7,6,0,0,6,1,20,1,1
180096C0100,18,9,0,12,3,25,11,0,15,14,1,6,1,20,13,13,1,6,10,27,6,22,6,0,1,28,5,3,0,0,6,1,12,4,2
180096C0200,18,9,0,4,0,25,3,0,16,12,1,9,0,13,9,13,0,3,18,30,12,28,10,0,10,25,10,5,0,0,5,1,15,4,1
180097B0100,18,7,1,11,0,34,10,0,12,12,2,9,1,14,8,8,2,9,19,30,8,34,6,0,6,23,9,4,1,0,13,0,21,4,1
180097C0100,18,7,3,12,0,32,10,0,8,14,0,11,0,16,15,11,0,3,10,29,6,24,4,0,4,29,9,5,0,0,11,0,17,3,1
180098B0100,18,9,0,15,2,32,14,3,22,16,1,4,5,12,16,13,0,8,18,25,14,29,7,0,12,25,7,6,0,0,4,0,18,6,0
180098C0100,18,9,0,13,1,43,12,0,14,20,0,9,2,14,15,9,2,11,10,38,9,17,7,0,18,29,11,1,0,0,6,0,30,5,0
180098C0200,18,9,1,7,0,32,12,0,21,16,2,8,0,20,17,15,0,5,16,30,14,23,6,0,12,39,10,7,1,0,4,3,27,6,2
180098C0300,18,9,1,15,1,34,11,0,17,17,0,12,0,6,13,5,0,5,16,31,12,25,8,0,12,44,2,12,0,0,16,1,30,6,4
180098C0400,18,9,1,19,2,25,18,0,15,19,1,14,0,13,13,18,0,4,16,31,15,26,5,1,11,35,5,2,0,1,8,1,29,5,1
180098E0100,18,9,0,11,0,26,12,0,8,15,1,11,0,12,12,14,1,6,16,29,9,17,4,0,9,37,9,9,0,0,6,2,25,3,0
180099B0100,18,7,2,7,0,14,8,0,11,11,0,8,0,12,4,9,0,9,11,22,8,10,6,1,10,28,4,3,1,0,7,2,15,3,0
180099C0100,18,7,2,10,4,20,6,0,11,10,0,6,0,8,11,9,0,5,15,22,3,21,7,0,6,16,8,2,0,0,2,2,16,1,0
180100B0100,18,3,0,12,1,24,11,0,13,19,0,9,1,6,6,8,1,7,10,28,6,27,11,0,4,32,8,8,0,0,5,1,16,4,0
180100C0100,18,3,0,8,0,30,13,0,14,7,0,7,1,18,9,15,2,8,15,26,13,19,8,0,7,22,6,6,0,0,7,2,16,3,1
180100C0200,18,3,1,13,2,34,4,0,9,9,1,8,2,8,8,12,1,8,13,28,6,25,9,0,6,26,8,4,0,0,8,2,20,6,0
180101B0100,18,5,1,17,1,45,18,1,11,18,1,13,1,14,14,11,0,7,13,46,5,32,7,0,7,31,11,13,0,0,9,1,30,7,0
180101C0100,18,5,1,14,0,44,15,0,9,15,2,10,0,18,9,15,0,5,9,32,16,39,9,0,11,46,5,6,0,0,5,4,22,4,1
180102B0100,18,5,0,6,0,29,11,0,11,12,1,9,0,10,8,7,1,7,8,29,9,22,11,0,5,21,10,5,1,0,4,0,25,2,2
180102C0100,18,5,0,18,0,27,6,1,6,10,1,6,0,8,9,9,0,6,16,17,13,21,7,0,14,22,4,3,0,0,7,2,16,5,1
180102C0200,18,5,1,14,2,28,6,0,9,5,3,10,1,9,8,15,2,3,16,18,9,29,9,0,8,20,4,4,0,0,9,1,26,4,1
180103B0100,18,3,1,13,2,29,9,0,11,14,0,12,1,11,12,14,0,7,14,43,11,23,6,0,6,42,5,8,1,0,7,2,20,4,1
180103C0100,18,3,0,11,2,35,10,1,11,13,0,9,2,9,16,12,0,7,12,28,12,23,9,0,11,27,10,12,1,0,8,2,23,4,0
180104B0100,18,5,2,10,4,29,4,0,10,9,0,15,1,11,16,12,0,11,15,36,9,30,5,0,16,31,6,4,0,0,9,2,15,5,0
180104C0100,18,5,0,14,2,32,9,0,15,16,1,12,0,11,13,12,0,8,10,20,5,27,7,0,10,34,2,8,0,0,16,5,22,4,1
180104C0200,18,5,0,17,1,43,6,0,17,9,0,8,0,19,7,10,3,8,11,21,14,25,4,0,9,28,4,4,0,0,10,2,18,4,1
180105B0100,18,3,1,8,1,23,7,0,10,13,1,12,0,9,13,8,0,4,8,29,12,15,4,0,5,30,11,5,0,0,8,3,20,2,1
180105C0100,18,3,1,12,3,15,9,0,10,9,2,5,2,6,10,5,0,8,17,23,9,30,10,0,7,20,7,4,0,0,4,1,15,3,2
180105C0200,18,3,1,12,2,34,10,0,20,14,0,10,2,8,11,6,0,5,13,30,12,23,9,0,9,28,7,4,0,0,5,1,15,2,0
180106B0100,18,5,1,7,1,38,13,1,12,11,1,5,4,5,11,13,0,6,13,25,14,18,7,1,4,24,5,5,0,0,4,2,17,5,1
180106C0100,18,5,2,12,1,26,7,0,11,8,0,10,0,11,15,12,3,5,15,25,13,22,7,0,8,23,9,9,0,0,10,2,13,1,0
180106C0200,18,5,0,14,0,25,7,0,15,10,0,6,0,4,13,13,1,12,9,29,8,26,10,0,9,28,5,8,0,0,12,1,10,7,1
180107B0100,18,7,2,12,2,47,12,0,13,17,2,7,0,17,11,11,1,13,14,34,9,19,6,1,10,44,10,8,0,0,6,3,24,6,3
180107C0100,18,7,1,11,0,29,12,0,14,16,4,10,0,11,14,9,0,9,19,39,16,34,7,0,10,35,7,4,0,0,3,2,23,7,4
180107C0200,18,7,1,12,1,47,11,0,10,19,4,13,1,16,12,18,0,8,20,28,6,29,13,0,8,41,9,4,0,0,8,2,22,7,0
180108B0100,18,5,1,10,2,34,10,1,6,14,1,9,0,12,9,7,0,10,7,21,5,24,6,1,5,22,7,5,0,0,3,1,22,3,0
180108C0100,18,5,0,12,0,28,12,0,21,6,1,10,0,6,12,11,2,6,11,15,12,17,5,0,6,21,7,7,0,0,3,2,18,5,1
180108C0200,18,5,0,9,4,26,9,0,12,12,0,9,1,6,17,10,0,4,11,26,5,20,4,0,9,30,2,4,0,0,8,1,12,7,0
180109B0100,18,7,1,8,1,31,15,1,11,16,0,10,0,6,12,17,1,8,12,33,8,26,11,0,5,20,8,6,0,0,6,1,28,3,1
180109C0100,18,7,0,9,3,33,11,0,7,17,1,7,1,13,8,10,2,8,10,30,11,25,8,0,8,33,9,4,0,0,3,3,18,6,2
180110B0100,18,7,1,17,0,33,12,0,19,16,1,11,2,14,8,12,0,5,20,26,11,23,6,0,8,31,11,3,1,0,8,3,22,6,3
180110C0100,18,7,1,15,2,40,11,0,11,11,1,14,1,15,9,13,0,6,12,31,15,30,10,0,10,37,6,7,2,0,9,1,38,3,1
180110C0200,18,7,1,10,2,36,11,1,20,20,4,11,1,11,10,10,1,4,11,34,9,23,6,1,13,36,7,3,1,0,5,0,17,5,0
180111B0100,18,7,0,9,0,47,12,0,16,19,5,12,0,11,9,10,1,5,16,29,9,26,6,0,10,29,9,9,2,0,10,2,17,5,1
180111C0100,18,7,1,11,0,33,8,0,15,14,3,14,1,6,13,10,2,7,20,25,12,17,5,1,7,27,5,5,0,0,5,4,22,5,2
180111C0200,18,7,1,15,0,23,5,0,17,13,1,11,2,9,11,12,0,5,15,27,13,23,6,0,7,32,9,9,0,0,12,2,24,7,0
180111C0300,18,7,1,13,3,25,23,0,14,18,1,16,1,17,14,16,2,5,12,28,20,27,5,0,7,29,5,6,0,0,8,1,20,3,3
180111C0400,18,7,0,10,1,35,9,1,10,17,5,8,0,12,10,15,1,10,14,28,14,25,12,0,7,33,4,7,0,0,5,3,27,4,2
180111C0500,18,7,0,12,2,29,7,1,13,17,1,13,1,15,10,10,2,5,21,25,11,21,9,2,7,31,7,5,0,0,6,4,23,1,0
180111C0600,18,7,3,14,2,31,7,0,17,12,2,9,1,10,13,18,0,8,22,26,7,18,7,2,10,33,12,5,0,0,5,3,19,2,0
180111C0700,18,7,0,16,0,31,18,0,16,14,0,12,0,16,15,15,0,3,21,42,5,25,4,1,8,30,9,6,0,0,8,4,27,7,1
180112B0100,18,7,1,12,3,41,14,1,9,11,1,12,0,19,12,15,0,16,14,28,13,25,5,0,8,35,8,3,1,0,4,0,27,4,2
180112C0100,18,7,0,14,2,27,15,1,13,13,0,12,2,20,15,17,0,8,24,25,11,20,5,1,4,32,7,6,0,0,12,3,28,2,1
180112C0200,18,7,1,12,4,32,7,0,21,15,1,9,0,10,10,11,0,5,15,33,14,22,9,0,10,42,7,5,0,0,7,2,30,11,2
180112C0300,18,7,1,15,1,28,16,0,13,14,1,11,1,14,12,10,0,6,24,34,10,23,7,0,9,33,4,8,0,0,10,2,27,6,0
180112C0400,18,7,3,13,0,35,12,1,13,16,0,10,0,11,11,12,2,11,17,41,13,19,7,0,7,31,7,6,0,0,7,0,31,5,6
180112C0500,18,7,3,14,2,36,8,0,11,15,3,10,1,8,10,9,0,4,12,40,12,28,8,0,11,45,11,7,0,0,7,0,30,8,1
180112C0600,18,7,0,9,1,25,8,0,16,13,2,13,1,14,17,17,1,10,22,36,11,30,9,0,4,48,4,13,0,0,4,1,25,8,3
