CLAVE_CASILLA,ID_ESTADO,estrato,PT,MORENA,PT_MORENA,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,MC,PES,RSP,FPM,CNR,NULOS
160467C0100,16,13,14,16,34,28,31,10,11,24,25,34,14,19,12,32,24,30,10
162626C0100,16,3,10,9,23,21,21,9,8,18,17,17,8,23,5,22,14,15,8
161604B0100,16,2,15,9,22,28,11,15,4,18,12,20,9,21,11,22,23,24,10
160360B0100,16,2,3,12,21,19,31,12,5,16,13,22,5,12,6,14,13,13,8
161262C0100,16,22,15,15,35,35,35,5,5,23,21,32,15,35,7,21,32,24,8
162650C0200,16,15,13,21,48,26,29,11,5,30,16,23,9,28,9,35,19,15,7
161571B0100,16,17,17,14,34,23,27,8,11,29,19,26,17,22,13,23,20,33,16
162529C0900,16,17,13,15,34,22,23,10,11,17,14,29,12,29,10,35,36,22,10
161263C1000,16,20,13,22,18,28,24,10,9,26,23,33,17,29,8,32,28,29,8
162207C0400,16,21,12,12,30,38,22,11,9,24,21,38,12,37,10,25,27,30,6
162141C0100,16,3,12,11,22,13,16,9,7,12,12,17,7,12,6,16,13,16,6
160911B0100,16,18,14,9,25,29,24,12,7,20,21,34,12,21,16,24,31,36,7
160310B0100,16,16,12,14,26,31,24,8,11,19,13,28,11,25,8,29,27,22,5
160571C0100,16,1,5,7,19,11,24,5,1,15,12,14,8,11,6,19,12,25,6
161203B0100,16,20,9,9,25,24,23,6,7,25,25,33,8,21,13,34,24,27,8
162473B0100,16,5,9,14,27,23,23,4,9,21,15,18,6,18,11,25,20,17,3
160209C0100,16,12,13,11,20,20,32,3,5,26,12,29,15,19,5,25,19,26,11
160954C0100,16,8,10,12,34,22,18,9,4,20,12,21,11,23,8,14,18,19,6
162010C0100,16,4,7,7,23,15,15,7,10,12,10,15,5,15,1,18,13,12,4
160491C0100,16,18,10,14,31,25,29,5,4,29,15,20,12,22,11,33,23,18,12
161964B0100,16,14,17,21,36,23,31,18,3,21,16,23,13,26,6,29,32,25,7
160461E0100,16,7,5,6,16,9,12,9,5,6,10,10,4,8,3,11,10,12,3
160570C0100,16,1,9,9,15,17,18,7,2,13,11,16,9,16,9,18,11,13,3
161397B0100,16,4,16,12,18,19,15,11,3,16,17,20,12,30,12,17,25,23,9
161314B0100,16,1,8,7,18,21,17,8,4,27,14,18,6,28,10,22,21,19,11
162564B0100,16,18,17,14,32,29,30,11,8,33,19,24,12,19,7,26,27,30,4
161632B0100,16,14,16,16,43,17,24,11,5,23,19,23,5,19,13,19,13,20,6
160331B0100,16,2,15,16,29,23,12,11,6,19,12,14,4,24,2,20,22,19,4
161802C0300,16,23,14,20,22,19,34,15,9,27,11,20,4,14,12,31,23,28,8
162248C0800,16,21,10,11,31,26,13,12,5,28,18,32,22,27,11,26,23,32,15
160059C0200,16,12,11,11,17,29,14,11,8,17,14,18,11,18,12,28,26,29,7
161985B0100,16,12,11,11,22,20,22,11,6,16,22,18,5,14,4,29,21,22,7
161033B0100,16,10,13,14,25,22,15,9,7,9,12,22,7,16,11,23,21,21,12
161004B0100,16,8,6,9,22,25,17,11,2,21,15,28,3,15,9,25,21,21,12
162506C0100,16,5,11,12,24,22,29,10,3,20,16,22,11,18,10,30,18,27,8
161828C0100,16,6,13,8,23,23,23,5,8,18,21,24,11,25,5,24,20,22,4
160806C0500,16,13,11,17,28,30,28,15,6,30,27,37,10,22,16,30,27,35,12
162007B0100,16,4,6,5,12,20,16,7,6,19,11,20,5,11,7,15,18,14,8
160941C0100,16,20,4,17,28,32,26,7,7,21,13,25,15,20,14,22,27,21,6
162231C0200,16,21,9,18,24,31,27,17,15,23,16,28,14,21,12,40,22,36,12
161603C0400,16,14,8,12,28,23,18,12,9,29,13,29,4,13,6,33,34,25,12
161008B0100,16,8,13,21,20,20,20,10,6,18,13,25,10,23,8,23,19,15,11
162443C0100,16,17,8,16,23,23,30,11,7,28,19,27,11,34,14,40,18,22,11
161271E0105,16,20,5,8,28,29,21,14,10,27,22,32,13,26,7,22,26,27,7
161834B0100,16,3,15,10,26,23,24,6,8,28,10,26,10,18,5,19,17,20,9
162706C0100,16,20,16,22,21,30,28,11,10,36,24,34,13,24,15,42,29,32,8
160576B0100,16,1,11,4,15,12,22,4,3,7,12,11,6,9,8,13,10,11,4
162529C0400,16,17,11,20,31,35,27,15,13,23,16,30,12,25,9,24,26,25,13
161421C0200,16,2,11,14,24,29,17,10,2,19,18,29,4,23,6,21,26,21,7
160617B0100,16,3,6,6,8,7,15,3,3,3,6,8,3,11,5,12,9,8,3
161475C0200,16,23,10,11,22,27,21,13,10,28,15,31,12,20,10,24,34,36,12
162602C0100,16,15,20,16,41,30,29,13,9,24,24,10,12,20,11,21,33,25,9
162241C0100,16,9,10,5,11,13,18,6,4,20,10,14,6,21,5,22,15,17,5
161035C1000,16,22,15,11,25,34,25,12,7,24,24,32,12,23,10,30,27,32,8
161572C0200,16,17,8,16,29,24,21,5,5,27,19,24,15,15,10,36,32,29,9
161730B0100,16,16,12,18,32,32,23,12,4,31,25,25,9,26,10,38,24,15,10
160709C0300,16,19,14,16,25,33,23,17,14,32,26,23,11,27,6,25,43,23,12
160650B0100,16,11,14,19,19,17,28,14,6,20,26,20,9,18,6,17,23,24,9
161194C0600,16,22,11,14,26,30,28,12,10,28,13,30,23,31,18,22,29,32,14
161967B0100,16,14,18,15,29,34,31,8,15,24,16,21,8,26,9,28,20,22,10
162341C0100,16,16,18,11,36,35,20,4,12,23,19,30,12,23,11,21,26,21,7
161269B0100,16,10,6,8,32,18,16,13,8,18,20,21,12,16,4,20,21,24,8
161104B0100,16,10,8,7,25,20,14,7,9,18,18,32,5,16,9,25,17,14,15
161182B0100,16,10,3,14,23,23,16,6,9,16,18,11,11,12,7,20,19,13,6
160526C0200,16,18,13,13,35,25,29,12,4,18,27,27,15,18,8,25,24,20,8
160997C0100,16,10,4,15,21,23,27,9,6,20,13,22,13,22,9,14,24,15,14
161545S0100,16,5,28,30,41,53,56,18,16,42,26,57,19,56,28,56,33,49,17
161151C0100,16,20,15,9,26,29,19,9,6,27,19,18,11,12,10,36,28,18,10
162324B0100,16,4,14,19,20,20,12,13,6,21,12,22,4,23,8,20,18,19,4
161768B0100,16,3,8,18,23,17,9,9,9,25,17,17,8,18,9,39,24,17,6
160722B0100,16,14,13,15,29,18,34,12,12,21,16,28,16,23,6,29,31,25,4
162408C0100,16,7,11,15,30,24,23,6,6,15,20,19,14,22,10,29,35,18,5
160327B0100,16,2,8,9,20,18,17,2,4,12,11,25,8,13,6,18,14,14,6
161259B0100,16,8,4,8,13,6,16,2,3,10,6,15,6,8,4,16,9,17,9
161690B0100,16,4,14,15,21,18,23,8,8,17,14,17,4,18,9,17,21,12,2
161681B0100,16,4,6,7,23,24,23,6,6,16,12,18,4,15,11,17,27,12,8
161714B0100,16,4,5,11,27,16,19,6,5,19,10,21,7,18,13,24,23,16,11
161791C0200,16,14,15,8,25,28,36,13,6,23,18,30,16,26,17,30,32,34,15
162450C0200,16,17,16,17,29,23,31,13,7,23,17,19,7,22,12,28,40,30,12
160683E0100,16,17,9,11,28,19,23,9,13,19,16,24,14,19,7,28,20,26,5
160538B0100,16,6,8,10,14,13,18,8,11,19,9,10,4,10,5,19,15,9,8
162340C0100,16,16,14,14,32,27,36,7,13,22,16,42,17,29,11,30,21,27,11
162585C0200,16,15,10,20,36,31,23,13,7,24,21,33,12,21,5,31,29,19,7
161729B0100,16,16,13,17,21,30,26,7,3,26,19,19,8,33,10,36,21,30,8
161943C0100,16,5,10,5,22,8,16,4,2,9,16,28,3,10,9,21,12,11,5
160821C0100,16,13,13,14,35,30,33,12,13,28,27,25,19,26,8,36,30,32,14
161957C0100,16,11,11,17,23,15,20,6,5,18,13,15,8,11,6,18,22,25,8
162267B0100,16,21,18,17,34,28,16,11,8,21,23,29,6,25,9,37,42,34,10
162692C0400,16,22,14,14,26,17,25,11,10,24,21,32,11,25,8,29,26,27,7
160700C0100,16,19,14,8,25,30,16,10,9,22,21,26,12,26,7,24,12,32,10
161193C0400,16,20,13,14,32,30,35,11,18,26,20,36,11,24,8,36,28,33,8
162001E0100,16,11,14,8,16,15,18,3,4,16,8,12,1,10,4,14,12,15,6
162540B0100,16,6,14,11,32,13,22,9,4,24,16,18,9,25,6,30,16,17,12
161905C0100,16,16,12,12,37,24,33,11,4,28,17,35,5,23,11,49,42,36,11
162598B0100,16,3,11,11,31,20,18,6,10,18,21,27,10,25,5,23,27,22,3
160202B0100,16,24,8,13,31,26,29,14,6,34,21,25,8,24,11,34,21,28,9
162140B0100,16,15,13,13,32,39,31,12,11,23,20,31,3,28,8,44,32,31,13
160697B0100,16,19,12,18,22,23,23,9,12,22,12,19,15,25,12,24,17,22,11
160342B0100,16,7,10,12,17,15,25,10,8,16,13,24,6,23,9,23,19,17,4
160427E0100,16,1,4,6,9,4,4,5,4,7,6,15,5,10,1,17,8,11,2
160581C0100,16,2,11,9,16,24,25,9,5,17,5,21,7,11,6,23,23,27,5
161831C0100,16,6,5,13,11,16,20,6,9,20,13,9,6,19,6,21,16,15,9
160917C0100,16,6,7,6,15,26,15,10,5,11,15,15,5,16,8,17,15,17,7
161661C0200,16,7,11,15,36,28,14,12,14,18,23,21,6,28,6,21,28,30,7
160836C0100,16,13,15,12,24,24,19,10,10,28,17,30,14,17,9,32,19,30,7
162734B0100,16,23,12,17,33,28,35,12,6,20,22,37,16,26,8,34,34,30,9
162033C0100,16,18,17,23,32,26,26,6,15,32,19,25,11,28,4,19,33,33,9
160634C0100,16,3,5,11,14,27,20,8,6,7,8,14,6,16,7,26,14,16,6
162251C0300,16,21,11,21,26,25,31,11,9,25,17,29,15,29,13,30,27,25,8
162153C0100,16,23,14,17,38,35,24,14,10,30,12,26,11,26,5,33,46,19,11
160304C0100,16,14,14,11,25,20,28,11,12,25,26,24,3,24,7,26,21,28,9
162641S0100,16,3,26,30,55,50,39,19,14,48,31,45,23,45,13,50,55,45,13
160921B0100,16,6,0,3,10,10,13,5,4,11,8,11,3,13,2,14,12,10,3
160672C0300,16,6,15,7,24,23,20,9,7,22,14,23,8,17,14,32,29,21,10
160822C0100,16,13,12,18,38,40,21,11,14,27,15,26,12,20,11,26,24,23,12
162448B0100,16,17,12,7,19,31,26,13,8,31,14,34,8,26,11,27,19,25,2
162448C0100,16,17,15,13,30,27,27,14,9,14,16,22,9,28,8,27,24,32,10
161477B0100,16,23,7,10,32,28,29,11,15,21,18,28,10,31,8,27,36,29,11
160294B0100,16,18,15,10,27,29,25,8,9,28,17,32,11,20,8,32,26,21,6
162722C0100,16,20,16,19,26,32,33,7,6,35,21,27,13,25,11,25,28,17,12
160339C0100,16,14,10,14,31,24,23,20,14,16,21,33,13,29,5,38,19,30,5
160286B0100,16,18,14,14,29,26,30,8,10,25,20,26,10,24,15,38,30,27,11
160184C0100,16,4,10,9,26,28,26,6,4,18,9,19,8,17,6,27,22,16,9
160112B0100,16,24,20,11,26,29,28,11,9,24,19,24,15,29,8,26,32,24,16
162518B0100,16,5,8,8,20,25,28,8,5,21,10,21,11,17,12,25,25,11,11
160219B0100,16,3,18,4,14,26,21,12,10,29,16,31,10,21,5,30,28,19,6
162681C0100,16,14,12,14,31,17,32,13,7,25,22,28,17,17,7,29,23,26,8
162612C0100,16,3,11,23,26,17,22,9,8,21,12,20,10,22,8,26,31,17,7
160495C0600,16,18,18,16,25,24,18,13,9,27,19,29,10,27,5,38,26,38,13
160432C0100,16,1,12,9,21,25,15,5,12,10,6,21,4,13,8,25,17,21,8
160892C0100,16,6,10,14,20,16,20,6,13,24,6,21,12,23,13,25,20,20,9
161378C0100,16,15,16,12,28,22,25,9,13,18,20,27,10,26,8,34,28,23,9
160139C0100,16,24,21,10,27,22,23,14,8,23,22,29,17,16,9,33,27,19,11
160044C0100,16,2,10,9,13,17,15,8,3,7,10,14,9,13,8,16,16,17,5
160573C0100,16,13,16,17,23,27,25,8,7,33,24,29,9,22,14,38,29,28,18
160822C0200,16,13,17,19,30,32,33,5,11,18,24,16,9,23,8,19,24,28,9
160496C0200,16,18,9,11,22,20,27,9,4,25,17,29,12,31,8,33,35,26,11
160770C0200,16,2,10,15,17,23,18,5,9,18,4,13,16,28,10,22,12,15,11
160077B0100,16,12,19,16,21,28,16,10,10,19,15,15,8,18,7,24,26,27,3
160200C0200,16,24,13,13,36,27,35,11,6,24,19,19,12,14,7,32,24,18,13
160936B0100,16,4,9,12,14,20,13,10,4,18,8,18,8,10,8,19,17,17,8
162250B0100,16,21,20,15,20,37,30,10,7,30,16,24,11,31,10,21,36,19,11
161158C0100,16,22,18,26,31,29,30,11,10,16,18,25,4,30,6,24,22,32,8
160394C0200,16,19,14,14,30,20,27,15,5,30,22,20,9,27,10,34,27,33,7
160189B0100,16,4,12,6,21,18,30,9,10,20,15,19,8,18,9,18,16,18,7
162707B0100,16,20,14,20,32,31,18,14,7,18,24,23,10,24,8,17,33,25,8
160090B0100,16,12,11,5,13,12,17,5,1,15,12,16,4,19,7,21,16,15,6
160970B0100,16,22,13,10,29,36,37,13,13,22,12,31,10,21,12,31,25,31,6
160342C0100,16,7,8,7,14,20,22,6,12,14,19,18,7,22,9,23,15,24,9
160237C0200,16,24,11,12,32,31,33,10,5,35,20,19,11,28,11,31,26,42,15
162513E0100,16,5,10,7,10,11,21,2,4,12,12,18,3,8,3,23,13,13,5
161369B0100,16,17,14,13,23,18,17,13,10,25,12,33,12,20,3,27,23,28,7
161237B0100,16,22,22,9,20,19,23,10,9,32,22,23,10,25,9,26,26,33,4
162173B0100,16,3,4,9,14,21,9,6,5,9,7,15,5,15,5,21,14,10,4
160004C0100,16,11,2,10,25,20,24,5,7,11,17,22,4,19,8,16,22,25,6
161333C0100,16,7,9,4,16,15,16,5,6,15,13,29,4,12,6,18,13,12,12
