CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRD,PAN_PRD,PRI,PVEM,PT,MORENA,PANAL,PT_MORENA_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,PES,RSP,FPM,CNR,NULOS
080017C0100,8,14,5,11,48,1,0,6,3,77,34,28,16,24,47,11,5,6,2,32
080017C0200,8,14,9,19,47,1,2,7,6,63,34,16,11,34,40,16,6,15,6,26
080017C0300,8,14,9,12,46,0,1,10,0,68,36,19,9,34,49,27,6,7,1,33
080017C0400,8,14,7,14,69,0,2,4,5,73,26,15,7,19,55,16,5,9,1,35
080018B0100,8,14,3,8,42,0,1,4,3,47,26,27,10,18,21,17,7,5,2,25
080018C0100,8,14,7,9,37,0,2,8,2,63,21,19,8,22,39,13,8,8,2,16
080018C0200,8,14,3,9,51,0,2,3,3,41,25,13,8,21,31,17,3,4,2,24
080019B0100,8,5,4,6,43,0,1,7,1,62,32,17,8,21,32,11,6,3,1,20
080019C0100,8,5,1,11,31,1,1,9,4,55,35,10,9,16,25,15,2,12,2,21
080019C0200,8,5,3,14,32,1,0,2,4,44,27,9,6,24,35,16,1,6,2,31
080020B0100,8,14,6,14,47,0,3,6,4,57,21,15,11,17,33,14,3,4,0,27
080020C0100,8,14,10,11,32,0,0,2,5,54,33,16,7,17,35,19,4,6,2,15
080021B0100,8,14,7,11,51,0,0,6,2,61,27,22,11,26,51,22,3,8,4,29
080022B0100,8,5,3,7,46,0,3,6,4,46,21,18,3,20,24,9,4,8,2,22
080022C0100,8,5,4,4,44,0,1,6,5,45,26,12,11,13,37,14,3,6,0,16
080023B0100,8,5,8,12,32,0,3,3,5,53,23,13,8,20,30,12,7,7,2,22
080023C0100,8,5,6,11,45,0,2,3,2,56,25,9,11,22,38,11,9,6,0,24
080024B0100,8,5,4,10,31,1,0,3,1,55,25,10,3,11,28,12,2,3,2,25
080024C0100,8,5,4,9,35,0,2,6,0,29,22,13,14,12,35,10,2,10,0,29
080025B0100,8,14,8,14,50,0,2,7,3,74,29,20,11,26,51,14,6,13,3,22
080026B0100,8,14,7,12,52,1,1,9,2,72,30,24,10,27,46,22,7,6,4,29
080027B0100,8,14,6,17,51,0,2,6,4,73,33,21,10,22,43,23,10,18,2,29
080027C0100,8,14,7,8,52,1,3,6,3,72,41,22,17,22,45,16,2,9,0,27
080028B0100,8,14,6,15,33,0,2,10,0,58,22,15,9,26,33,20,4,9,2,18
080028C0100,8,14,6,14,47,0,0,9,3,37,25,21,9,22,26,8,4,11,1,26
080028C0200,8,5,2,8,34,1,2,6,2,65,17,8,9,16,27,18,1,10,2,16
080030B0100,8,5,2,2,20,0,1,2,0,22,13,10,7,5,21,4,3,4,1,15
080031B0100,8,5,3,5,11,0,0,1,0,14,13,10,0,6,10,8,1,2,0,6
080032B0100,8,5,2,12,36,0,1,5,1,56,28,16,7,13,31,15,4,5,2,23
080034B0100,8,14,5,8,44,0,0,6,6,53,26,13,13,16,42,15,4,11,4,27
080034C0100,8,14,4,10,45,0,1,8,4,58,32,18,5,21,46,15,2,6,2,25
080034C0200,8,14,3,9,43,0,0,7,6,57,26,19,8,24,43,14,6,5,1,24
080035B0100,8,5,2,7,26,0,0,4,0,30,14,4,5,12,16,3,3,2,2,10
080036B0100,8,5,4,3,8,0,0,0,3,13,21,4,5,4,11,1,2,0,2,3
080037B0100,8,5,4,1,11,0,0,3,1,16,8,5,1,6,8,5,0,3,0,4
080038B0100,8,18,8,18,45,0,1,11,2,58,21,20,10,25,36,16,4,6,2,20
080038C0100,8,18,5,10,45,0,0,7,4,58,32,13,12,25,37,12,1,12,3,29
080039B0100,8,9,4,11,42,0,0,6,1,59,19,11,11,14,37,12,3,4,2,14
080039C0100,8,9,3,9,34,0,4,6,1,51,16,11,7,20,39,12,6,9,4,29
080040B0100,8,18,5,13,49,1,1,9,2,69,39,18,10,27,43,15,4,9,4,25
080041B0100,8,9,3,9,24,0,1,4,1,52,35,13,10,25,37,10,5,8,3,17
080041C0100,8,9,9,9,43,1,1,8,0,44,27,15,11,16,30,10,1,2,0,17
080043B0100,8,9,2,5,25,0,0,1,1,42,10,12,7,9,26,8,3,5,3,25
080046B0100,8,9,0,5,20,0,0,3,3,24,7,10,6,17,24,5,2,1,0,9
080047B0100,8,9,0,2,7,0,0,0,0,10,4,2,1,11,9,5,1,1,1,11
080048B0100,8,9,1,7,18,0,1,5,2,26,11,15,2,10,14,6,1,3,1,16
080049B0100,8,9,0,4,17,0,0,3,0,22,11,2,7,13,8,2,2,1,1,8
080050B0100,8,9,1,6,17,1,1,1,1,19,10,2,2,5,7,4,3,1,0,5
080051B0100,8,9,1,2,16,0,1,1,0,10,13,2,3,7,8,4,1,1,1,3
080052B0100,8,9,2,4,12,0,1,4,2,25,15,9,7,8,16,5,0,5,1,8
080053B0100,8,18,7,14,46,0,1,7,3,64,45,16,11,24,40,16,3,9,0,24
080054B0100,8,18,3,7,45,0,2,7,0,63,29,18,10,25,35,11,6,4,2,27
080055B0100,8,9,3,12,46,0,3,7,1,41,31,9,9,17,26,9,2,5,0,25
080056B0100,8,14,8,9,46,1,2,7,2,49,30,13,9,20,24,17,9,10,3,30
080056C0100,8,14,8,7,36,3,2,4,8,55,34,22,10,17,35,14,3,4,2,34
080056C0200,8,14,1,13,49,0,0,6,3,53,23,23,14,23,33,16,7,3,0,22
080057B0100,8,5,2,6,27,0,0,2,2,29,20,10,9,15,24,9,2,5,3,26
080059B0100,8,5,5,8,43,1,1,5,2,38,22,12,9,24,38,10,6,9,1,19
080059C0100,8,5,8,13,46,2,1,3,3,55,18,14,11,13,35,12,4,5,0,21
080059E0100,8,14,3,8,47,0,4,5,2,66,36,18,10,21,41,14,8,7,2,32
080059E0101,8,14,2,17,45,0,1,8,4,59,34,24,17,26,35,16,6,5,2,23
080059E0102,8,14,5,10,45,1,2,4,3,63,26,20,15,27,47,17,5,12,1,21
080059E0103,8,14,0,14,35,0,5,8,3,50,30,22,16,17,43,21,5,8,1,35
080059E0104,8,14,3,9,40,2,2,4,3,78,26,26,9,29,47,14,4,9,4,23
080059E0105,8,14,7,13,46,1,1,12,3,61,34,18,15,22,40,21,3,5,1,28
080059E0106,8,14,6,5,57,0,2,4,2,55,40,18,11,16,47,15,5,10,3,31
080059E0107,8,14,6,10,54,0,1,8,5,67,37,17,8,19,46,17,5,8,3,21
080059E0200,8,14,6,18,49,0,5,4,8,78,35,19,8,25,45,16,6,5,1,35
080059E0201,8,14,6,18,53,0,2,6,3,66,31,24,15,28,40,17,5,4,2,26
080059E0202,8,14,9,18,51,0,1,6,5,82,27,18,11,30,41,14,4,7,2,41
080059E0203,8,14,5,6,64,1,0,7,1,73,49,23,18,26,39,16,6,10,3,25
080059E0204,8,14,8,10,45,1,2,6,4,67,28,26,18,26,46,18,7,9,2,22
080059E0300,8,14,7,16,45,0,3,6,9,79,35,20,15,32,38,19,5,12,2,31
080059E0301,8,14,7,15,40,1,2,10,2,69,34,18,9,30,50,22,5,14,3,30
080060B0100,8,11,12,4,63,1,1,8,9,57,35,30,11,24,51,20,1,4,2,29
080060C0100,8,11,10,0,59,0,4,4,5,71,18,19,15,21,44,20,9,5,0,32
080061B0100,8,11,8,14,57,0,1,4,2,84,39,22,14,21,41,20,3,7,0,26
080061C0100,8,11,5,12,60,0,2,6,2,69,41,19,5,25,45,26,5,14,2,28
080062B0100,8,11,2,11,47,0,1,4,4,62,24,16,8,21,43,15,5,5,3,31
080063B0100,8,11,3,6,53,0,1,4,4,63,33,15,8,26,24,17,4,11,1,24
080063C0100,8,11,4,10,39,1,0,7,5,64,30,21,11,21,39,17,5,4,1,37
080064B0100,8,2,4,11,46,1,1,7,4,45,20,15,11,12,35,9,3,4,0,11
080064C0100,8,2,6,10,39,1,0,5,0,53,26,11,10,13,29,25,5,5,0,28
080065B0100,8,2,3,11,31,0,2,7,1,54,15,16,10,23,26,12,4,5,3,22
080066B0100,8,11,4,7,40,0,1,5,7,55,34,14,9,18,34,17,4,2,1,29
080067B0100,8,11,8,11,47,1,3,8,4,61,28,22,16,26,33,24,2,10,0,36
080068B0100,8,2,3,6,30,0,2,6,2,32,26,18,11,16,24,10,3,6,3,18
080068C0100,8,2,2,9,32,1,2,6,3,38,27,12,8,21,29,6,5,7,1,27
080069B0100,8,11,7,10,47,0,2,3,4,58,31,11,8,20,37,21,5,9,1,30
080070B0100,8,11,5,12,64,0,1,7,7,68,43,19,9,19,39,18,7,6,1,28
080070C0100,8,11,3,13,45,0,1,6,4,72,26,19,14,30,42,13,3,13,7,38
080071B0100,8,11,5,12,69,3,1,9,2,61,29,13,14,34,40,24,8,8,1,25
080072B0100,8,11,2,12,46,0,2,11,7,62,21,20,9,22,57,19,5,4,1,23
080072C0100,8,11,2,10,54,0,0,7,0,54,39,21,13,21,55,15,5,10,2,37
080073B0100,8,2,6,8,29,0,3,4,0,41,19,21,7,13,29,9,4,3,0,17
080074B0100,8,2,2,8,31,0,1,3,3,38,30,17,10,17,35,10,4,6,2,19
080074S0100,8,2,12,17,98,0,1,15,10,139,61,39,16,45,67,24,8,15,3,37
080075B0100,8,2,4,3,26,0,1,4,3,40,15,6,10,14,24,14,4,4,3,9
080075C0100,8,2,4,5,25,1,1,4,1,42,14,17,8,12,18,13,5,6,0,17
080076B0100,8,2,8,16,45,0,0,3,3,46,19,21,9,13,24,15,5,8,1,24
080076C0100,8,2,5,6,38,0,1,5,1,55,26,19,10,16,27,22,8,8,2,18
080078B0100,8,2,4,3,26,0,1,2,2,44,25,8,6,15,28,9,7,4,1,12
080078C0100,8,2,5,8,28,0,0,5,2,34,25,11,2,12,16,15,2,3,1,18
080079B0100,8,2,4,8,30,0,0,6,2,39,17,10,11,17,28,15,2,3,1,15
080079C0100,8,2,6,5,31,0,3,9,4,40,22,11,9,19,23,11,4,3,1,10
080080B0100,8,11,13,30,124,2,1,17,9,171,89,53,28,55,116,46,9,21,3,68
080082B0100,8,7,7,9,58,2,0,3,4,47,23,13,6,21,32,11,5,4,4,22
080083B0100,8,16,9,17,51,0,0,9,7,79,39,9,10,24,55,18,4,9,2,35
080084B0100,8,7,2,7,15,0,0,5,2,43,15,11,3,8,18,5,3,2,1,20
080085B0100,8,7,6,7,28,0,0,5,0,30,18,12,7,14,16,10,2,7,1,16
080087B0100,8,16,9,10,43,1,0,6,6,55,32,20,10,19,29,12,3,6,1,32
080088B0100,8,7,1,13,27,1,0,5,1,40,21,9,10,10,19,10,3,6,1,10
080089B0100,8,7,3,6,22,0,0,1,0,18,17,14,1,9,11,3,1,4,1,13
080090B0100,8,7,5,7,22,0,0,1,2,29,18,9,4,11,17,8,2,3,0,6
080091B0100,8,7,2,2,9,0,1,2,2,6,11,6,2,5,3,3,0,0,0,8
080092B0100,8,7,0,3,15,0,1,1,0,12,7,6,0,6,4,2,1,0,0,7
080094B0100,8,7,1,5,16,0,2,3,0,10,10,1,1,9,10,2,2,2,0,6
080095B0100,8,7,3,5,20,0,1,9,1,26,10,10,4,19,20,8,1,2,1,15
080097B0100,8,7,2,3,18,0,0,2,2,17,14,4,1,9,5,3,3,2,1,11
080098B0100,8,7,4,3,15,0,0,0,2,17,10,7,3,6,14,3,2,2,0,7
080099B0100,8,7,5,9,24,0,1,2,3,37,22,11,8,15,29,20,2,7,1,22
080100B0100,8,7,6,7,31,0,3,5,4,47,27,13,7,12,23,9,2,6,1,14
080101B0100,8,7,6,9,21,0,2,5,1,36,14,10,15,15,27,14,4,8,1,22
080102B0100,8,18,9,13,54,1,2,12,1,69,32,21,12,16,41,18,4,8,2,29
080102C0100,8,18,10,19,43,0,1,3,3,66,36,27,10,20,44,20,7,6,4,32
080103B0100,8,9,2,6,31,0,1,8,3,39,19,19,6,16,27,11,4,2,1,18
080103C0100,8,9,5,11,25,1,0,1,4,51,23,8,12,11,27,14,5,5,0,10
080104B0100,8,18,7,13,32,0,0,4,1,48,33,19,12,20,40,25,5,5,0,23
080105B0100,8,18,9,8,40,0,1,5,3,45,27,15,8,18,40,10,3,9,2,26
080106B0100,8,18,6,9,46,0,1,8,1,59,19,15,10,23,57,16,2,9,0,26
080106C0100,8,18,3,11,44,0,3,4,3,51,36,22,14,27,43,17,4,5,1,15
080107B0100,8,18,3,10,51,0,2,4,4,75,25,17,7,15,39,16,9,6,2,26
080108B0100,8,18,4,7,38,0,0,10,4,54,20,8,11,21,41,16,2,9,2,27
080109B0100,8,9,2,4,34,0,1,4,2,26,13,12,6,9,26,7,2,7,1,14
080110B0100,8,18,5,12,39,1,3,1,5,57,19,23,14,22,37,13,5,7,0,14
080110C0100,8,18,5,8,36,1,0,10,3,49,29,20,5,17,30,18,4,9,4,27
080111B0100,8,18,6,13,43,1,1,8,2,54,26,16,8,28,43,20,2,7,3,26
080111C0100,8,18,5,23,47,0,2,8,3,56,37,13,7,24,33,18,2,6,2,24
080112B0100,8,9,3,3,39,1,0,5,1,44,26,20,10,18,25,19,0,1,1,28
080113B0100,8,9,2,10,33,1,1,6,0,43,21,12,15,12,30,13,4,4,1,28
080113C0100,8,9,5,10,34,0,1,7,0,49,25,15,10,20,29,15,3,6,3,23
080113E0100,8,9,4,12,35,1,2,6,2,41,17,15,4,18,18,14,2,13,3,14
080113E0101,8,9,5,12,27,1,1,6,3,28,23,12,10,18,23,15,3,5,1,20
080114B0100,8,18,11,25,52,0,1,13,3,50,24,16,16,22,35,13,5,8,0,27
080114C0100,8,18,8,13,44,0,3,9,5,51,38,22,13,20,43,12,3,9,1,29
080114C0200,8,18,5,12,43,0,1,11,4,67,25,12,14,23,32,19,1,9,2,27
080115B0100,8,9,4,17,36,0,2,3,4,48,17,15,7,14,30,21,3,8,0,25
080115E0100,8,9,6,5,37,0,0,9,1,50,34,16,10,19,36,16,3,7,3,17
080116B0100,8,18,6,15,39,1,1,8,2,58,25,10,12,16,29,14,1,12,0,27
080116C0100,8,18,6,8,39,1,3,10,3,55,29,14,9,19,38,16,2,8,3,23
080117B0100,8,18,5,10,53,1,2,8,0,58,23,21,8,25,28,17,5,6,2,28
080117C0100,8,18,9,5,38,1,1,8,2,51,24,14,12,19,31,18,3,11,2,27
080118B0100,8,9,4,5,20,0,0,3,2,20,12,6,3,7,9,7,1,2,1,3
080119B0100,8,9,4,5,33,0,3,4,3,38,18,20,11,17,28,11,5,3,0,19
080119C0100,8,9,0,12,31,0,1,6,7,42,16,11,7,24,21,16,2,7,1,12
080120B0100,8,9,3,6,39,0,0,8,2,33,19,12,8,14,29,13,2,7,3,16
080121B0100,8,9,8,9,26,0,0,4,3,43,24,10,10,24,26,13,6,5,2,21
080121C0100,8,9,5,10,54,1,1,8,2,42,22,15,6,18,33,14,7,4,1,10
080122B0100,8,18,8,18,49,2,2,3,2,73,27,22,11,19,46,22,3,9,2,30
080123B0100,8,9,4,6,32,0,0,9,2,33,26,13,5,17,27,13,1,5,2,9
080123C0100,8,9,5,11,35,0,2,7,1,51,21,10,10,12,34,12,3,4,1,14
080124B0100,8,9,3,9,21,0,0,1,3,48,27,10,8,13,19,7,4,7,1,19
080125B0100,8,9,1,5,36,0,2,3,2,31,17,9,10,22,28,11,5,7,1,22
080125C0100,8,9,2,11,39,1,2,5,2,51,27,4,4,12,25,13,2,2,4,17
080126B0100,8,9,8,13,31,0,0,7,2,50,28,16,6,13,24,11,7,11,1,20
080127B0100,8,7,1,10,20,0,0,4,1,33,10,7,2,1,14,2,2,4,1,13
080128B0100,8,16,7,10,56,0,2,10,5,67,32,22,12,22,47,16,3,12,3,23
080129B0100,8,16,7,19,45,0,1,13,2,76,26,22,12,22,36,25,6,6,2,29
080129C0100,8,16,2,15,47,0,1,5,9,83,41,10,11,21,29,16,8,11,0,37
080130B0100,8,16,3,11,42,1,0,6,5,66,28,16,14,27,34,15,5,5,1,17
080130C0100,8,16,5,13,40,0,3,5,2,71,37,20,10,27,40,20,2,9,0,32
080130C0200,8,16,1,11,57,0,0,11,7,49,23,18,11,30,44,15,6,9,2,24
080131B0100,8,7,8,2,32,0,2,6,0,38,19,21,6,11,23,9,3,4,0,14
080131C0100,8,7,2,3,35,0,0,6,2,42,17,13,12,11,26,10,5,4,1,19
080132B0100,8,16,9,12,43,0,2,8,4,76,32,21,14,22,38,8,4,13,2,37
080132C0100,8,16,10,11,45,1,4,6,6,58,25,20,15,25,45,18,3,9,2,29
080133B0100,8,16,4,13,52,0,2,5,3,65,36,22,17,21,41,18,2,10,2,28
080133C0100,8,16,7,16,56,0,2,10,3,66,29,25,9,23,34,21,2,13,3,29
080134B0100,8,16,5,12,44,0,5,11,2,56,26,25,8,16,40,15,6,4,6,23
080134C0100,8,16,9,15,44,0,1,5,4,58,29,15,6,21,48,13,1,6,0,29
080135B0100,8,16,7,14,51,0,1,11,6,60,42,17,10,28,55,22,3,10,1,34
080135C0100,8,16,5,13,52,0,3,8,2,62,30,20,14,29,46,20,10,9,1,31
080136B0100,8,16,4,8,42,1,1,5,1,53,33,10,10,16,40,17,3,8,2,22
080136C0100,8,16,5,10,46,0,1,11,4,58,28,11,9,21,29,11,5,10,1,14
080136C0200,8,16,4,12,52,0,2,4,3,48,33,15,7,25,35,8,5,7,1,27
080137B0100,8,16,6,13,52,0,1,5,5,70,33,22,13,23,54,18,4,8,0,37
080137C0100,8,16,10,17,62,0,2,11,5,66,26,24,15,20,50,21,8,6,1,30
080137C0200,8,16,9,17,46,0,2,11,7,66,40,24,11,17,41,27,5,8,8,32
080137C0300,8,16,5,13,48,0,1,8,3,64,29,18,21,19,54,21,2,12,0,30
080137S0100,8,7,7,16,78,0,3,11,5,119,50,28,19,41,88,31,10,16,2,52
080138B0100,8,7,1,4,21,0,1,3,4,27,17,9,6,14,21,10,4,5,1,14
080139B0100,8,7,1,4,14,0,0,5,1,19,8,6,2,6,21,4,1,2,0,7
080139E0100,8,7,2,4,17,2,0,3,3,18,7,6,2,8,8,3,3,1,0,12
080140B0100,8,7,1,6,11,0,0,2,0,22,12,2,2,11,17,4,0,5,0,10
080140E0100,8,7,3,4,16,0,2,3,1,24,7,6,7,8,13,5,0,3,0,7
080141B0100,8,7,5,8,33,0,1,1,1,48,29,6,11,20,23,13,1,6,0,27
080142B0100,8,7,0,3,32,0,1,5,2,21,18,9,11,16,25,5,2,6,0,14
080143B0100,8,7,1,2,6,0,0,0,1,11,7,1,0,0,5,3,1,0,2,6
080143E0100,8,7,1,4,12,0,0,2,0,18,11,5,4,4,9,5,3,5,1,7
080144B0100,8,16,8,13,40,0,0,6,6,52,17,19,14,24,53,12,4,7,1,29
080144C0100,8,16,5,15,51,0,1,6,3,62,33,18,11,17,35,18,6,6,2,23
080145B0100,8,7,6,8,23,1,1,5,0,43,27,13,5,17,30,11,2,7,0,17
080145C0100,8,7,2,11,27,0,1,1,0,43,22,7,6,16,21,8,0,6,1,29
080146B0100,8,7,8,14,37,0,3,3,1,44,22,16,11,20,28,8,3,3,1,20
080146C0100,8,7,2,10,32,0,1,4,2,49,21,11,6,18,25,8,2,2,2,18
080147B0100,8,16,4,19,60,1,2,6,2,58,29,25,8,27,46,16,5,9,2,29
080148B0100,8,16,3,6,43,2,1,5,0,62,22,14,13,22,31,17,6,8,1,33
080149B0100,8,11,5,14,44,0,1,12,2,50,35,14,14,21,40,17,3,12,2,24
080150B0100,8,11,2,10,31,0,1,6,5,58,27,22,7,18,28,10,4,8,2,25
080151B0100,8,11,5,6,48,0,2,7,2,74,35,16,17,21,38,18,4,7,2,20
080152B0100,8,2,9,10,46,0,2,4,2,46,28,14,7,20,30,11,1,8,3,24
080153B0100,8,2,4,11,34,1,3,3,5,59,26,19,12,18,26,13,2,3,3,26
080153C0100,8,2,4,5,43,0,1,9,0,61,20,13,9,21,31,13,3,8,2,15
080153C0200,8,2,2,6,46,0,0,10,2,56,25,15,2,17,25,13,6,4,0,23
080154B0100,8,2,5,7,39,0,2,2,1,54,18,16,8,15,28,23,2,6,1,25
080155B0100,8,2,2,3,25,0,1,3,1,30,12,6,5,11,18,5,1,5,2,13
080156B0100,8,11,5,13,37,0,1,5,1,70,28,14,8,30,40,17,9,7,1,31
080156C0100,8,11,8,11,51,0,2,5,4,59,30,15,9,26,34,13,3,9,2,27
080157B0100,8,2,6,13,43,0,0,3,3,42,28,13,9,18,34,14,2,6,2,33
080157C0100,8,2,8,9,41,0,3,3,3,54,34,8,12,15,28,16,4,5,2,24
080158B0100,8,2,3,8,37,0,3,9,3,53,28,17,10,13,23,13,2,3,3,12
080158C0100,8,2,3,11,35,0,0,6,5,45,25,12,6,11,28,8,2,4,0,19
080159B0100,8,2,2,9,33,0,2,4,1,37,24,16,5,11,36,11,1,5,1,22
080160B0100,8,2,5,8,41,0,0,6,3,33,20,14,7,16,19,11,4,4,0,15
080160C0100,8,2,3,9,40,1,1,5,0,35,26,11,8,17,19,6,3,6,1,19
080161B0100,8,2,2,9,29,0,4,5,5,47,30,12,12,17,38,13,4,8,1,12
080161C0100,8,2,4,6,42,0,2,8,3,38,25,18,5,13,18,16,3,7,0,22
080162B0100,8,2,2,7,35,0,3,4,1,38,24,12,6,21,31,11,4,5,3,9
080163B0100,8,11,7,4,46,0,2,8,2,58,25,15,12,19,48,16,4,7,2,32
080164B0100,8,2,2,3,35,0,0,4,3,44,21,9,7,15,19,14,4,6,0,24
080164C0100,8,2,5,6,20,0,1,2,2,43,18,18,11,17,23,7,4,10,1,17
080165B0100,8,2,1,0,14,0,0,2,1,16,7,4,4,6,14,3,1,3,0,14
080166B0100,8,2,5,10,34,0,1,6,3,52,19,14,11,15,23,14,3,4,2,17
080167B0100,8,2,5,13,44,0,3,10,2,54,27,19,7,21,33,10,2,8,0,26
080167C0100,8,2,3,8,52,0,0,10,2,48,22,16,11,26,34,13,5,5,1,29
080168B0100,8,2,3,14,19,1,2,4,6,38,30,15,6,19,28,15,3,4,1,20
080168C0100,8,2,5,5,36,1,2,5,2,51,20,12,7,7,25,12,4,3,2,20
080169B0100,8,2,11,5,32,0,4,8,3,56,21,8,8,13,38,14,4,8,0,21
080170B0100,8,2,2,12,37,0,3,8,4,45,23,13,10,26,25,9,4,9,0,21
080170C0100,8,2,1,8,32,0,1,6,3,50,28,14,7,20,29,7,2,8,1,21
080171B0100,8,2,5,4,18,0,0,1,0,21,6,8,3,4,18,10,0,3,1,7
080172B0100,8,11,4,14,52,0,1,7,1,49,26,20,7,25,44,22,7,9,3,29
080172C0100,8,11,5,10,59,0,0,5,4,62,29,18,10,23,41,19,2,9,3,30
080173B0100,8,2,0,10,22,0,1,4,3,46,18,8,8,16,26,10,2,4,1,30
080173E0100,8,2,3,8,23,1,1,5,2,30,17,10,5,17,24,9,3,3,0,12
080174B0100,8,11,5,10,53,0,0,11,2,61,40,33,10,24,40,18,9,14,3,28
080175B0100,8,5,3,6,15,0,1,3,1,29,8,5,4,10,18,9,1,2,0,7
080176B0100,8,14,8,12,44,0,1,5,2,61,25,12,14,24,32,10,6,6,2,26
080177B0100,8,5,7,14,41,0,2,3,0,36,19,15,7,17,31,16,2,2,0,26
080178B0100,8,5,5,8,29,0,1,4,1,45,22,14,10,25,28,8,6,4,2,23
080179B0100,8,5,5,4,21,0,2,4,1,24,23,5,3,8,20,7,2,2,1,14
080180B0100,8,14,10,12,37,1,3,6,3,52,32,14,9,24,48,17,6,5,1,25
080181B0100,8,5,8,8,25,0,1,1,1,26,15,9,6,10,13,8,1,5,3,15
080182B0100,8,5,3,7,34,0,0,4,4,20,12,12,3,11,16,14,0,6,1,18
080182S0100,8,5,3,28,87,0,4,14,3,100,62,44,9,32,89,42,8,11,5,61
080183B0100,8,14,5,11,47,0,2,9,0,62,28,16,7,23,41,11,3,8,2,21
080184B0100,8,5,3,13,29,0,2,5,2,42,35,13,6,15,35,10,9,5,0,31
080185B0100,8,14,5,11,44,0,1,4,4,62,27,20,12,21,31,21,7,3,0,17
080185C0100,8,14,5,9,50,2,1,6,4,64,28,18,7,17,31,15,0,6,1,24
080186B0100,8,5,7,14,52,0,0,7,2,53,22,17,9,14,36,15,3,4,1,26
080186C0100,8,5,4,6,35,1,1,8,2,50,21,5,7,15,25,9,1,4,1,8
080187B0100,8,5,4,10,39,0,1,7,1,42,25,11,14,17,31,10,3,5,3,19
080188B0100,8,5,4,10,42,0,1,8,3,36,19,14,8,21,27,8,5,2,1,24
080189B0100,8,14,5,7,55,2,2,5,3,53,33,15,17,20,44,19,7,13,2,30
080190B0100,8,14,8,21,54,0,0,9,1,76,34,17,16,20,62,18,9,5,3,26
080191B0100,8,5,7,8,36,1,1,5,2,70,29,10,11,20,24,12,2,2,1,26
080191C0100,8,5,4,10,39,0,1,4,5,48,28,14,6,16,25,18,9,8,3,23
080191C0200,8,5,3,6,42,0,2,7,3,43,24,17,10,14,40,22,7,7,1,21
080192B0100,8,14,2,24,36,0,2,5,7,71,30,18,5,39,51,17,4,7,0,27
080192C0100,8,14,5,13,59,0,2,12,6,48,36,22,13,28,47,12,5,5,3,23
080192C0200,8,14,8,7,48,1,5,5,4,54,33,14,5,25,48,21,8,12,1,23
080192C0300,8,14,4,11,57,0,0,11,4,58,27,28,7,30,34,18,4,5,4,34
080192C0400,8,14,10,9,40,1,2,2,4,64,28,14,13,30,42,24,6,4,1,36
