CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PT_PVEM_PANAL,PT_MORENA_PANAL,PVEM_MORENA_PANAL,PT_PVEM,PT_MORENA,PT_PANAL,PVEM_MORENA,PVEM_PANAL,MORENA_PANAL,MC,PAZ,MD,PP,PES,RSP,FPM,CNR,NULOS
320746B0100,32,5,2,1,8,17,2,1,0,8,0,2,5,2,15,12,2,6,6,1,23,14,4,2,6,7,59,4,2,0,1,14,7
321726B0100,32,5,0,1,11,16,0,1,0,14,2,0,10,4,15,10,6,14,9,1,27,18,2,2,6,5,74,1,3,0,1,18,10
320607B0100,32,5,1,2,13,27,2,1,3,8,4,1,4,2,14,4,4,7,8,1,42,27,3,4,4,13,105,2,1,0,4,21,15
321559B0100,32,5,1,1,20,29,5,6,3,11,3,4,11,3,19,10,5,9,9,1,40,22,8,0,8,4,89,2,5,0,5,17,20
321719B0100,32,5,2,0,13,15,2,0,1,13,7,1,5,3,17,5,9,13,9,0,33,30,12,4,7,6,80,3,2,0,7,14,8
320617B0100,32,5,1,1,15,24,0,3,2,7,3,1,7,2,17,9,4,15,7,1,29,27,9,1,12,9,78,3,3,0,6,18,13
321533B0100,32,5,0,2,11,19,4,1,2,16,4,1,14,1,19,12,7,13,11,1,35,24,3,2,5,9,76,6,3,0,7,23,14
321042B0100,32,5,1,1,15,26,5,3,0,10,3,2,9,4,17,7,6,11,5,1,25,38,3,2,5,10,65,0,4,0,6,20,9
320572B0100,32,5,3,3,16,18,3,0,0,9,1,2,7,2,17,6,2,8,9,2,30,20,11,5,5,10,56,4,3,0,8,17,8
320617C0300,32,5,3,2,8,15,1,1,1,15,5,1,8,1,11,11,7,10,5,1,34,29,6,3,5,10,91,3,2,0,3,15,11
320003C0100,32,5,1,2,7,16,1,0,1,8,5,0,7,3,21,5,5,13,2,0,21,15,6,2,6,12,49,2,1,0,3,15,6
320968B0100,32,5,1,1,19,21,5,1,2,13,4,0,9,4,25,10,4,10,7,2,46,19,4,5,4,6,76,0,4,0,4,19,15
321529B0100,32,5,1,0,8,18,2,2,1,5,2,2,8,3,13,4,3,14,0,0,17,23,6,4,8,5,48,3,0,0,2,12,12
320034B0100,32,5,0,0,13,18,1,1,1,5,1,1,11,0,18,10,2,4,5,0,21,14,5,2,9,7,52,2,1,0,1,17,5
321465B0100,32,5,1,1,7,15,1,0,1,9,1,1,8,2,19,5,2,4,5,0,25,13,4,1,1,4,54,4,2,0,1,11,8
321465C0100,32,5,0,1,7,15,2,0,3,4,3,1,2,1,15,5,6,8,5,0,14,13,3,5,1,7,55,0,0,0,2,9,7
320627C0100,32,5,0,1,16,17,3,1,1,6,5,1,8,3,14,12,12,5,9,1,33,29,5,2,4,8,80,7,4,0,5,15,8
321486C0100,32,5,1,2,8,17,2,1,3,16,0,1,9,0,14,14,4,9,6,0,30,12,3,2,5,1,56,0,2,0,1,12,13
321734B0100,32,5,0,1,6,10,3,0,2,7,2,1,5,1,12,3,1,7,3,1,24,19,1,3,0,2,46,1,1,0,1,10,9
320976B0100,32,5,2,1,8,20,0,2,1,17,4,0,9,4,32,8,10,6,5,3,27,34,8,5,15,15,83,7,3,0,9,18,17
321467B0100,32,5,0,1,11,12,1,1,2,2,1,0,8,1,14,6,1,2,5,0,21,13,1,1,7,2,45,0,4,0,4,13,7
320578B0100,32,5,2,2,19,36,4,1,1,10,5,0,13,2,27,10,4,9,8,0,36,33,7,6,6,12,85,1,1,0,0,11,11
321866B0100,32,6,2,1,12,19,4,1,2,12,2,1,6,1,16,14,7,8,8,0,31,22,7,3,3,12,57,2,1,0,6,13,12
321783B0100,32,6,2,3,17,19,2,1,3,25,3,1,7,1,18,11,3,6,5,2,22,20,3,1,7,8,68,1,3,0,2,9,10
321790B0100,32,6,2,3,11,16,1,2,1,9,1,2,2,0,12,5,3,5,6,2,29,12,3,1,4,4,50,1,1,0,4,10,9
320886B0100,32,6,0,0,14,19,1,1,2,13,3,2,10,0,18,7,5,6,6,1,25,27,3,5,8,5,48,1,0,0,2,16,13
320718B0100,32,6,0,2,14,20,2,1,1,9,6,2,11,3,13,9,4,7,9,2,25,20,5,1,6,9,78,0,1,0,3,16,12
321606C0100,32,6,2,1,3,17,6,0,2,12,4,1,6,3,15,14,5,12,13,1,25,14,4,0,8,8,68,0,1,0,3,16,10
321825C0100,32,6,3,1,10,15,3,2,0,5,3,1,3,0,7,9,1,9,5,0,23,15,1,2,5,7,49,1,1,0,4,15,9
320726B0100,32,6,4,1,9,18,4,0,2,18,6,2,5,2,35,9,8,12,15,2,31,27,5,1,12,9,69,2,1,0,6,24,12
321815B0100,32,6,2,1,7,12,7,1,4,6,1,1,4,3,14,6,5,8,3,3,13,5,1,0,4,2,49,1,1,0,5,6,11
321870E0205,32,6,2,3,13,14,4,3,0,11,1,2,5,2,14,7,8,6,6,1,38,22,8,6,8,7,86,1,6,0,2,30,12
321872B0100,32,6,2,3,12,18,3,1,1,8,4,4,8,3,24,11,2,4,7,1,29,21,4,5,2,12,63,3,6,0,6,16,8
321193B0100,32,6,1,0,10,9,2,2,1,9,1,1,6,1,10,4,1,5,5,0,19,21,5,3,8,4,44,1,1,0,3,5,9
321844C0100,32,6,0,1,16,6,1,1,3,3,6,2,11,1,19,5,3,8,3,2,22,19,2,4,5,5,58,3,3,0,10,11,12
321819B0100,32,6,2,2,11,12,1,3,0,9,3,2,4,1,8,1,11,7,9,2,29,22,4,4,7,8,56,2,2,0,5,17,7
321874C0300,32,6,0,0,11,16,5,1,1,11,3,0,6,1,21,7,1,10,4,1,32,20,7,7,6,8,80,5,5,0,2,16,8
321862C0100,32,6,2,0,8,25,4,0,1,12,1,0,15,1,20,9,5,6,4,1,32,21,4,3,3,5,70,4,2,0,4,17,6
321818C0100,32,6,3,1,9,12,1,0,4,8,2,1,6,3,20,4,9,5,5,1,28,20,1,2,2,4,48,3,1,0,1,5,7
321853C0100,32,6,4,2,8,9,2,2,2,8,1,0,7,0,8,5,5,8,2,0,17,15,5,1,6,4,39,2,4,0,2,13,12
320074B0100,32,6,3,0,13,17,2,0,1,12,2,2,7,3,22,11,2,4,5,0,25,19,4,5,7,6,68,6,3,0,5,11,8
321820C0400,32,6,2,2,20,26,4,3,1,15,3,5,5,4,23,7,6,7,5,2,38,28,5,7,8,8,75,1,6,0,2,17,8
321786B0100,32,6,1,1,8,15,1,0,0,5,4,1,5,4,10,6,1,10,4,1,14,15,3,3,7,6,49,1,0,0,2,8,12
321798B0100,32,6,1,1,17,14,2,0,2,10,4,0,6,4,14,7,5,11,9,1,23,20,3,6,4,5,74,2,3,0,4,22,10
321821C0100,32,6,1,2,5,26,2,1,1,5,1,1,2,3,19,12,4,8,9,2,35,15,5,3,8,5,66,3,1,0,2,16,11
321775C0100,32,6,0,0,12,11,2,1,3,5,0,2,3,2,21,3,1,6,5,1,19,15,2,2,3,4,50,1,3,0,1,13,11
321825B0100,32,6,0,1,8,13,3,1,1,17,2,0,5,1,14,6,3,8,6,0,21,17,2,2,5,5,45,1,3,0,5,15,6
321869C0400,32,6,4,5,19,21,5,2,1,13,1,1,10,0,18,10,8,13,10,3,35,29,9,3,5,8,108,1,1,0,4,21,14
321810B0100,32,6,3,2,10,10,0,1,1,8,1,3,8,4,14,7,3,3,3,1,18,14,4,1,5,6,40,3,2,0,4,16,8
321809B0100,32,6,1,0,10,11,2,1,1,4,2,2,12,3,15,10,3,11,4,0,27,13,4,3,2,8,63,3,2,0,4,13,11
321781B0100,32,6,0,2,5,18,2,0,2,9,2,3,5,1,13,6,5,6,7,1,30,22,7,7,8,3,56,0,1,0,5,10,7
321799B0100,32,6,0,1,7,18,2,0,3,5,0,1,4,2,12,8,3,7,7,0,28,16,5,2,7,11,74,1,5,0,3,15,17
321824C0100,32,6,0,1,11,10,6,1,3,5,2,0,7,1,11,2,2,4,7,2,16,13,3,1,5,2,50,1,4,0,4,13,11
321870C0100,32,6,4,4,17,14,3,0,2,24,5,0,11,2,21,12,7,7,9,2,43,30,7,4,5,9,79,3,2,0,7,22,18
321869C0700,32,6,4,2,13,25,0,1,4,7,9,4,9,4,26,10,4,15,9,2,36,29,5,5,13,9,93,3,3,0,4,21,11
320075B0100,32,6,2,2,14,16,1,1,0,9,1,1,4,2,17,7,6,3,6,4,20,18,8,4,6,7,60,3,3,0,3,9,7
321803B0100,32,6,0,2,17,20,5,3,3,9,6,3,7,3,24,11,7,17,7,3,30,22,8,2,7,20,86,0,1,0,1,16,14
321859C0100,32,6,0,0,18,17,2,1,2,10,3,2,4,4,19,12,10,6,10,0,34,26,4,3,5,8,75,2,3,0,7,14,6
320949C0100,32,6,2,0,14,23,2,1,2,12,2,1,6,2,16,8,4,7,5,0,27,21,1,6,5,10,51,2,3,0,4,10,10
321805B0100,32,6,2,1,3,17,1,2,1,11,1,1,10,4,12,11,0,10,6,2,28,16,3,3,2,11,53,1,2,0,3,12,10
321856C0100,32,6,3,0,5,12,5,0,0,3,1,4,6,1,16,9,2,9,8,1,17,15,0,0,7,8,42,2,1,0,3,11,9
320077C0100,32,6,0,0,15,14,2,0,2,5,2,1,3,2,14,4,3,5,5,2,18,10,3,0,3,8,42,0,1,0,1,6,3
321869B0100,32,6,4,2,19,25,2,3,2,21,0,2,19,4,25,11,2,11,6,2,34,33,6,3,4,6,74,2,1,0,7,25,11
321894B0100,32,7,5,1,16,18,4,0,1,12,5,2,6,4,18,13,10,9,10,5,41,29,6,5,7,11,83,3,2,0,8,22,18
320494C0100,32,7,1,1,9,16,0,3,1,11,6,1,9,3,30,12,1,11,9,0,25,26,7,6,5,11,70,4,1,0,4,21,7
321907C0100,32,7,0,0,4,6,1,0,0,6,1,1,4,2,15,6,3,4,3,0,23,16,0,3,3,7,51,2,3,0,2,20,5
320535B0100,32,7,0,0,12,20,3,2,2,10,6,1,7,1,31,10,8,7,9,2,34,16,4,0,9,8,76,4,2,0,7,18,5
320470E0301,32,7,6,0,12,23,1,1,4,7,1,2,11,8,18,7,5,9,3,2,40,29,2,2,7,8,68,3,3,0,2,19,9
320766B0100,32,7,1,1,11,15,0,1,0,8,2,0,6,1,14,3,2,7,8,0,25,14,4,2,6,4,53,1,1,0,2,10,4
321679C0100,32,7,1,2,8,15,3,0,2,7,3,2,3,1,7,7,4,5,6,5,13,18,7,1,6,6,60,0,2,0,4,12,13
320507C0100,32,7,2,2,6,27,6,1,0,10,4,4,10,2,31,4,7,7,17,3,41,25,5,5,12,10,72,4,3,0,12,21,12
321903B0100,32,7,1,1,10,15,1,0,0,12,2,1,7,4,14,12,3,10,6,1,21,26,2,3,14,9,66,2,1,0,2,18,13
320471C0100,32,7,0,1,10,18,5,0,2,12,5,3,13,3,21,8,5,8,5,1,37,26,3,7,5,9,76,3,5,0,7,11,10
320464B0100,32,7,1,0,13,17,1,2,2,6,2,1,4,0,15,8,2,4,5,1,29,15,7,3,8,5,70,4,3,0,4,11,10
320532C0100,32,7,1,1,14,16,4,1,1,4,0,1,5,4,27,6,11,5,5,3,33,22,5,4,5,4,63,6,3,0,4,13,13
320468C0200,32,7,0,3,22,15,2,0,1,7,1,3,9,2,16,8,9,7,4,3,30,30,2,2,10,7,70,2,2,0,9,15,12
320463C0100,32,7,1,2,4,18,3,0,1,7,4,0,4,5,23,4,3,8,5,2,28,25,8,7,6,10,73,1,2,0,5,16,12
320551C0200,32,7,3,3,11,22,3,1,1,15,1,2,3,5,11,13,8,5,13,1,34,27,7,4,10,11,72,1,1,0,3,32,23
320469C0100,32,7,0,1,9,22,3,2,4,12,3,1,12,4,22,9,7,13,5,2,44,22,6,1,5,11,57,5,4,0,5,14,13
320470C0400,32,7,2,3,6,23,6,0,3,11,3,3,12,1,25,5,4,8,13,0,34,25,4,1,7,7,72,2,5,0,6,26,17
320494C0300,32,7,2,1,16,21,2,1,3,9,3,4,9,0,17,11,6,11,12,2,38,18,4,5,9,10,80,1,2,0,7,16,8
320549C0200,32,7,1,3,16,28,2,6,3,9,5,1,9,3,25,18,4,6,10,1,41,23,11,2,11,10,72,3,3,0,7,18,9
321687C0100,32,7,0,1,12,17,3,0,2,7,1,1,8,4,22,14,3,5,9,0,27,19,4,2,4,3,69,1,2,0,6,12,15
320470E0204,32,7,1,1,13,23,2,1,2,11,0,1,7,2,25,11,1,5,5,1,23,20,6,1,5,8,63,1,3,0,4,19,8
320480B0100,32,7,2,2,15,21,1,2,1,14,1,0,3,4,22,11,4,2,7,2,32,14,6,3,13,12,74,1,0,0,9,16,10
321097C0200,32,7,1,1,20,26,2,2,2,8,2,4,8,4,29,14,4,7,9,2,26,24,6,8,11,7,93,3,5,0,8,18,21
321675B0100,32,7,4,1,14,23,2,1,1,8,3,1,10,4,22,7,6,7,7,1,27,16,2,1,4,10,63,4,1,0,1,9,7
320503S0100,32,7,4,7,20,36,9,1,2,17,9,2,13,2,36,18,13,9,10,1,52,55,13,5,11,17,141,7,5,0,15,38,22
320472C0100,32,7,0,1,16,19,5,3,3,10,2,4,8,4,20,8,4,2,6,3,31,32,5,5,4,9,56,4,2,0,2,23,7
321896C0100,32,7,0,1,10,11,0,1,0,5,2,3,7,0,14,9,2,3,12,0,18,10,3,1,5,1,51,1,1,0,4,6,9
320491B0100,32,7,1,1,14,26,2,1,1,8,2,2,5,5,20,8,4,6,2,2,35,24,4,1,4,10,81,3,1,0,7,18,8
