CLAVE_CASILLA,ID_ESTADO,estrato,PT,MORENA,PT_MORENA,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,MC,PES,RSP,FPM,CNR,NULOS
160029B0100,16,2,11,7,23,18,21,7,5,20,21,20,6,14,5,32,15,22,6
160029C0100,16,2,5,15,26,20,17,9,7,24,18,14,7,14,5,20,25,21,10
160030B0100,16,2,14,13,26,28,17,4,5,18,12,31,3,22,6,14,23,26,5
160030C0100,16,2,12,11,24,13,17,13,5,20,25,21,5,19,7,20,22,23,3
160031B0100,16,14,10,20,34,32,26,6,6,30,21,28,12,31,9,30,37,33,10
160031C0100,16,14,13,19,25,28,24,16,13,18,24,38,12,31,8,29,27,25,6
160032B0100,16,14,20,16,25,26,26,12,6,24,16,26,11,21,16,30,20,26,15
160032C0100,16,14,8,11,23,35,29,13,9,23,19,26,11,21,18,30,24,24,8
160032C0200,16,14,17,8,26,21,26,14,5,14,18,37,4,31,9,16,28,26,4
160033B0100,16,14,13,12,23,35,20,11,8,22,17,24,16,21,12,31,32,22,10
160033C0100,16,14,14,12,28,21,34,17,8,24,18,26,12,23,8,24,24,22,7
160034B0100,16,14,11,8,21,27,19,8,8,25,16,23,9,25,4,23,26,25,16
160034C0100,16,2,13,9,28,29,21,7,5,20,25,27,7,24,10,26,23,26,7
160035B0100,16,14,9,15,24,28,27,12,8,24,20,20,13,23,10,37,24,20,12
160035C0100,16,14,16,10,28,32,21,18,10,20,23,12,8,37,9,28,23,22,6
160036B0100,16,14,11,11,29,33,31,10,10,23,23,28,7,31,18,27,30,32,10
160036C0100,16,14,13,12,34,27,27,14,6,29,16,33,11,32,11,20,31,29,6
160037B0100,16,2,9,7,21,14,15,5,3,18,8,11,2,16,4,12,18,11,6
160037C0100,16,2,11,14,24,12,16,6,5,15,14,13,4,16,7,8,13,17,8
160038B0100,16,2,13,10,22,13,11,5,4,18,18,17,5,21,8,19,22,13,2
160038C0100,16,2,8,9,17,18,14,10,2,19,16,12,7,21,5,12,19,13,6
160039B0100,16,2,5,7,26,16,19,10,3,21,11,31,4,14,4,15,10,18,4
160039C0100,16,2,12,9,20,19,24,8,3,16,9,16,5,17,6,21,13,16,5
160040B0100,16,14,16,14,27,29,23,7,7,21,12,37,14,34,6,31,35,24,6
160040C0100,16,14,8,16,31,33,28,13,10,19,24,25,9,24,8,38,24,33,8
160041B0100,16,14,14,14,40,39,23,9,12,23,15,23,2,17,13,31,16,33,11
160041C0100,16,14,10,16,19,23,23,4,7,28,18,26,14,19,12,33,28,33,19
160042B0100,16,2,9,9,22,18,14,13,3,13,3,15,4,7,6,15,17,12,7
160042C0100,16,2,7,6,18,17,7,3,5,13,11,15,6,14,2,21,14,8,3
160043B0100,16,2,5,14,12,20,20,10,3,10,17,19,12,20,8,19,8,22,1
160043C0100,16,2,13,10,19,13,21,6,3,17,12,15,6,16,7,23,17,21,7
160044B0100,16,2,6,9,20,11,8,10,3,13,6,12,7,17,5,17,18,19,5
160044C0100,16,2,10,9,13,17,15,8,3,7,10,14,9,13,8,16,16,17,5
160045B0100,16,2,8,16,14,22,25,11,6,20,7,15,8,21,6,30,22,23,3
160045C0100,16,2,9,13,25,28,19,9,5,17,17,21,10,23,8,30,23,19,7
160045C0200,16,2,8,11,24,15,21,6,8,20,11,20,10,21,7,23,20,22,8
160045C0300,16,2,9,18,26,26,18,5,5,22,21,23,8,22,9,27,21,18,4
160046B0100,16,14,22,20,33,21,35,13,10,31,16,30,11,21,13,26,26,30,8
160048B0100,16,2,6,10,24,20,20,6,6,19,16,21,8,24,6,20,15,20,9
160049B0100,16,2,6,6,17,14,9,10,9,16,13,26,2,21,5,20,18,16,8
160050B0100,16,2,8,13,18,13,14,9,5,21,19,10,8,13,2,16,16,17,5
160050C0100,16,2,9,8,17,17,18,9,6,11,9,14,6,11,4,13,14,20,5
160051B0100,16,2,10,8,17,16,21,9,6,18,11,24,6,14,5,21,26,18,6
160051C0100,16,2,12,14,22,14,34,8,5,15,10,27,8,16,10,28,21,21,6
160052B0100,16,15,14,18,31,35,34,15,8,19,17,30,9,27,9,30,34,19,9
160052C0100,16,15,9,18,27,49,32,6,10,26,26,35,13,28,9,31,40,26,8
160053B0100,16,15,12,13,27,22,24,10,7,30,24,24,7,21,7,33,17,29,3
160054B0100,16,15,10,16,22,26,31,4,7,21,16,32,13,24,9,26,36,26,11
160055B0100,16,15,13,18,26,26,21,3,9,21,19,25,14,28,11,32,22,27,12
160055C0100,16,15,12,17,30,27,37,12,6,29,14,20,9,25,15,37,27,22,10
160055C0200,16,15,11,9,23,14,31,15,8,25,18,23,8,27,15,29,24,18,5
160056B0100,16,15,15,8,30,24,37,10,10,18,21,29,9,15,9,23,32,28,8
160056C0100,16,15,6,12,23,20,32,11,4,24,16,26,19,19,9,25,27,24,6
160057B0100,16,15,16,18,28,31,23,11,5,24,17,30,13,24,15,30,36,25,7
160057C0100,16,15,17,12,27,35,29,8,9,23,24,22,11,20,12,31,13,23,15
160057C0200,16,15,13,12,21,27,28,9,14,28,11,37,15,17,12,27,30,19,7
160058B0100,16,12,10,7,24,22,25,5,10,24,12,30,8,18,7,19,28,17,7
160058C0100,16,12,11,20,17,24,25,7,7,20,21,20,9,20,9,20,24,20,6
160059B0100,16,12,9,10,23,20,26,9,7,14,18,27,6,18,7,21,20,25,11
160059C0100,16,12,8,7,24,19,28,7,3,27,18,19,11,24,6,26,23,18,13
160059C0200,16,12,11,11,17,29,14,11,8,17,14,18,11,18,12,28,26,29,7
160060B0100,16,24,24,13,29,33,23,10,3,18,21,25,11,18,9,30,23,18,6
160060C0100,16,24,12,15,30,26,20,9,7,12,28,29,10,33,9,28,24,29,5
160060C0200,16,24,19,13,39,27,23,10,10,26,9,24,10,20,11,26,26,19,12
160061B0100,16,24,17,13,44,32,24,6,14,31,19,28,6,20,5,37,30,23,11
160061C0100,16,24,13,14,29,29,40,9,8,17,17,36,14,26,8,29,29,29,15
160062B0100,16,12,9,9,18,28,28,4,2,25,15,21,9,12,8,17,22,22,8
160062C0100,16,12,11,15,24,13,25,11,6,14,11,13,7,18,4,25,17,21,5
160062C0200,16,12,6,5,12,17,13,9,6,15,12,21,9,24,5,28,19,18,10
160063B0100,16,12,11,16,20,23,25,4,8,22,16,12,11,19,7,25,19,37,7
160063C0100,16,12,7,17,25,24,24,11,8,11,7,27,5,31,10,21,29,18,6
160063C0200,16,12,9,20,21,23,27,7,7,10,14,24,6,31,6,33,23,19,1
160063C0300,16,12,11,12,29,22,16,6,11,19,19,24,4,14,8,34,23,23,7
160064B0100,16,12,10,9,26,19,14,9,6,15,12,36,17,16,7,25,22,22,9
160064C0100,16,12,13,15,21,23,24,13,5,19,14,26,11,19,6,22,28,23,8
160064C0200,16,12,15,13,24,15,25,15,7,19,14,29,7,13,11,23,23,17,12
160065B0100,16,12,11,9,22,22,19,8,9,9,13,28,8,21,4,28,22,9,11
160065C0100,16,12,8,10,19,23,16,9,5,18,10,30,10,14,6,15,25,29,6
160065C0200,16,12,15,10,23,17,21,12,9,21,14,21,2,14,12,23,15,19,2
160066B0100,16,12,7,17,21,21,20,8,6,19,18,24,3,25,7,34,28,14,7
160066C0100,16,12,9,5,31,26,27,9,6,18,24,21,9,20,12,24,28,22,8
160066C0200,16,12,8,12,32,23,21,3,9,21,18,34,10,17,7,28,25,16,6
160067B0100,16,12,8,14,12,21,20,11,11,18,16,18,7,16,3,18,21,10,5
160067C0100,16,12,13,10,23,25,20,6,5,13,9,20,10,13,8,19,11,18,6
160068B0100,16,12,8,9,27,23,25,6,5,15,12,22,9,21,7,33,23,20,8
160068C0100,16,12,13,17,26,20,22,11,7,19,15,28,8,17,8,16,27,25,8
160068C0200,16,12,5,16,23,32,19,9,11,18,9,27,12,22,9,20,24,10,8
160069B0100,16,24,14,16,21,27,27,13,7,19,12,32,6,26,6,29,27,16,7
160069C0100,16,24,18,14,19,27,20,9,9,18,19,25,7,25,9,34,22,20,7
160070B0100,16,12,9,10,25,15,16,14,4,18,11,22,8,26,6,36,13,21,5
160070C0100,16,12,13,3,32,20,24,10,8,17,15,20,2,21,7,30,22,21,10
160071B0100,16,24,11,20,25,31,23,5,11,20,16,29,8,29,7,36,29,34,6
160071C0100,16,24,16,9,27,24,25,9,15,23,15,28,15,29,7,34,34,28,8
160072B0100,16,12,11,10,27,16,21,5,8,18,16,19,4,15,7,23,14,18,13
160072C0100,16,12,6,13,11,23,18,13,7,17,13,23,9,15,10,24,15,19,4
160073B0100,16,12,8,13,24,17,25,7,5,20,16,19,12,20,13,36,28,17,11
160073C0100,16,12,11,14,21,32,17,7,5,23,17,26,12,19,18,23,18,31,9
160073C0200,16,12,13,13,22,24,25,5,12,18,16,26,12,22,12,27,31,17,10
160073C0300,16,12,15,6,28,26,18,7,11,17,13,27,10,20,11,27,19,20,13
160074B0100,16,24,14,9,20,27,25,10,8,21,11,20,10,26,5,30,27,33,8
160074C0100,16,24,13,16,26,19,21,12,3,27,21,24,13,30,7,29,33,23,11
160075B0100,16,12,4,6,23,26,16,4,3,16,19,23,8,22,6,24,21,20,6
160075C0100,16,12,5,13,24,27,19,9,5,15,11,29,8,25,7,20,22,7,3
160076B0100,16,12,12,11,16,20,24,4,9,20,18,16,7,23,8,23,13,21,4
160076C0100,16,12,13,17,18,18,21,5,8,17,17,35,4,17,3,28,19,28,13
160077B0100,16,12,19,16,21,28,16,10,10,19,15,15,8,18,7,24,26,27,3
160077C0100,16,12,12,9,19,29,22,10,10,23,16,14,11,18,14,25,23,18,7
160077C0200,16,12,8,12,25,20,26,12,14,15,16,31,16,15,3,28,22,15,6
160078B0100,16,24,14,19,29,33,39,10,9,20,17,36,13,21,9,38,22,24,7
160078C0100,16,24,16,16,27,32,26,16,7,26,19,20,11,22,8,31,31,14,16
160079B0100,16,12,11,5,23,19,15,2,6,12,9,16,7,15,7,16,14,17,9
160079C0100,16,12,13,12,17,21,18,5,7,16,11,20,6,17,6,18,16,12,4
160080B0100,16,12,8,10,29,20,29,8,11,19,13,10,12,16,7,30,26,24,4
160080C0100,16,12,10,8,18,21,16,9,11,25,16,24,7,24,9,24,25,23,4
160081B0100,16,12,9,8,18,20,16,7,5,10,9,13,6,13,6,16,19,18,5
160081C0100,16,12,2,4,20,18,22,4,8,13,17,16,6,16,3,18,14,12,4
160082B0100,16,24,11,14,27,37,27,8,7,22,20,34,12,33,4,19,27,20,16
160082C0100,16,24,12,16,32,23,22,10,7,30,19,25,9,30,15,35,20,24,9
160083B0100,16,12,8,9,16,20,29,7,6,17,18,22,11,14,10,23,17,27,9
160083C0100,16,12,6,12,20,28,16,12,13,19,15,19,8,18,7,21,16,22,4
160084B0100,16,24,12,17,24,25,32,10,7,26,21,31,16,27,10,33,24,22,8
160084C0100,16,24,15,16,31,32,15,15,7,26,13,29,11,21,13,28,24,26,10
160084C0200,16,24,18,20,32,35,29,10,6,20,8,33,14,21,9,21,21,20,5
160085B0100,16,12,11,10,25,18,20,4,9,14,8,18,6,18,10,25,20,25,3
160085C0100,16,12,7,8,31,20,13,4,7,23,12,20,7,21,7,27,19,10,13
160086B0100,16,24,12,14,26,23,31,17,9,15,14,28,7,23,13,37,25,20,12
160087B0100,16,12,8,10,19,14,20,7,5,18,11,21,6,21,8,21,20,18,2
160087C0100,16,12,14,11,22,21,30,5,5,19,11,18,10,15,5,21,22,20,5
160087S0100,16,12,25,31,43,41,52,18,10,48,34,59,10,38,15,57,52,43,11
160088B0100,16,12,20,10,28,22,20,9,7,20,10,25,6,24,5,27,21,19,6
160088C0100,16,12,9,9,24,25,24,13,7,24,8,24,13,24,8,38,18,19,10
160089B0100,16,12,10,10,22,31,18,8,7,17,12,22,5,20,6,23,20,15,10
160089C0100,16,12,7,16,22,22,19,6,8,23,20,18,8,10,6,22,30,24,5
160090B0100,16,12,11,5,13,12,17,5,1,15,12,16,4,19,7,21,16,15,6
160090C0100,16,12,7,8,12,25,10,9,2,16,11,21,3,6,6,19,11,14,5
160091B0100,16,12,12,15,12,14,18,11,7,9,13,20,5,11,5,22,16,13,5
160092B0100,16,12,4,7,15,16,9,6,5,17,10,16,10,9,4,20,15,15,9
160092C0100,16,12,4,9,15,15,17,3,3,17,14,22,3,21,5,13,14,10,6
160093B0100,16,24,10,20,30,31,24,8,13,23,19,22,11,25,7,40,37,32,14
160094B0100,16,12,8,10,14,22,16,3,5,18,14,20,4,18,4,24,26,14,9
160094C0100,16,12,10,8,22,26,10,6,8,20,14,22,4,13,6,25,15,22,4
160095B0100,16,12,15,9,29,21,29,12,7,22,16,17,9,18,11,33,15,22,2
160095S0100,16,12,16,20,44,35,49,16,21,36,41,48,18,38,18,60,52,48,15
160096B0100,16,12,11,12,29,19,14,8,9,24,11,21,7,15,7,23,21,22,5
160096C0100,16,12,13,7,23,10,20,8,5,14,17,14,12,11,14,20,19,25,4
160097B0100,16,24,11,14,25,20,35,9,9,22,18,34,8,29,15,24,29,31,5
160098B0100,16,12,10,7,15,18,14,9,8,22,9,16,5,14,4,19,10,15,0
160098C0100,16,12,9,8,15,20,13,6,4,13,7,20,7,15,6,25,18,24,8
160099B0100,16,12,7,15,21,24,24,8,4,15,12,23,4,21,10,25,22,18,3
160099C0100,16,12,9,10,25,21,21,12,9,21,15,22,6,18,8,20,24,22,4
160100B0100,16,24,14,16,33,15,36,10,8,21,25,25,10,31,13,38,27,29,5
160101B0100,16,24,19,7,34,25,21,9,7,20,19,28,3,20,6,33,23,24,14
160101C0100,16,24,6,8,20,25,34,9,9,36,21,19,15,16,11,20,22,21,16
160101C0200,16,24,14,12,27,26,21,12,13,27,18,21,8,29,8,22,26,18,5
160102B0100,16,24,17,17,33,31,23,14,8,29,12,29,12,25,10,30,27,13,13
160103B0100,16,24,12,12,37,18,27,7,12,27,17,25,10,20,6,34,25,25,9
160104B0100,16,24,15,13,29,28,29,11,4,23,22,18,8,24,10,24,21,26,12
160104C0100,16,24,16,8,22,30,21,9,7,25,21,18,7,22,11,30,39,27,5
160105B0100,16,24,8,17,30,30,31,11,5,34,21,35,11,26,12,29,29,29,7
160105C0100,16,24,15,16,37,25,29,10,16,37,22,19,9,24,11,28,31,22,15
160105C0200,16,24,13,7,31,34,35,9,8,22,13,28,10,25,10,38,26,33,14
160105C0300,16,24,15,16,41,31,23,12,11,34,21,39,9,23,11,48,22,23,6
160106B0100,16,12,15,12,30,23,25,9,5,23,15,27,8,20,8,24,22,19,10
160106C0100,16,12,13,10,28,24,31,12,7,28,14,16,4,22,8,24,12,25,6
160107B0100,16,12,12,8,15,17,19,8,8,16,8,11,5,14,4,19,13,12,3
160107C0100,16,12,11,8,19,16,13,11,3,14,18,9,4,14,5,15,23,12,8
160108B0100,16,12,8,11,18,17,26,8,4,16,21,25,11,14,6,21,25,34,9
160108C0100,16,12,5,14,26,26,21,8,7,20,21,14,5,29,16,20,19,23,6
160108C0200,16,12,8,13,22,24,24,11,3,28,15,21,9,31,8,12,24,27,7
160109B0100,16,12,15,10,15,19,20,6,8,14,22,34,6,25,14,20,29,25,3
160109C0100,16,12,6,13,23,19,25,8,5,18,12,17,13,24,8,24,24,15,5
160109C0200,16,12,12,8,30,25,29,12,5,12,19,18,6,21,8,17,26,14,10
160110B0100,16,12,9,14,28,20,20,6,7,16,11,17,12,16,14,23,18,12,8
160110C0100,16,12,13,12,19,23,26,7,7,17,21,22,10,18,11,33,28,13,4
160110C0200,16,12,11,17,32,20,21,12,6,23,14,23,11,13,8,17,16,22,10
160111B0100,16,24,6,13,30,23,21,11,11,19,14,28,10,27,11,37,33,21,4
160111C0100,16,24,13,15,27,24,24,11,2,12,17,35,8,27,6,28,28,23,9
160111C0200,16,24,8,13,21,26,24,9,10,21,15,17,9,26,15,35,21,18,11
160111C0300,16,24,4,7,35,20,24,8,8,25,17,30,9,22,12,29,26,18,8
160111C0400,16,24,15,23,20,32,25,11,7,20,14,24,10,21,7,31,18,18,6
160112B0100,16,24,20,11,26,29,28,11,9,24,19,24,15,29,8,26,32,24,16
160112C0100,16,24,17,10,24,29,18,13,12,20,30,32,14,32,10,21,33,28,11
160112C0200,16,24,21,9,30,29,32,13,8,24,15,30,10,30,8,27,23,26,17
160113B0100,16,24,10,12,21,26,24,11,5,34,20,38,10,18,11,26,28,22,10
160113C0100,16,24,11,19,25,30,21,7,4,20,18,32,13,40,10,35,34,31,10
160113C0200,16,24,17,17,29,24,25,7,12,16,23,37,9,24,6,27,21,30,9
160113C0300,16,24,10,15,28,23,34,7,16,19,20,29,9,30,5,40,23,24,6
160113E0100,16,24,10,18,31,13,25,13,8,27,17,19,10,21,15,31,32,35,7
160113E0101,16,24,14,14,29,33,35,9,11,25,15,21,7,36,5,36,30,34,10
160113E0102,16,24,17,20,30,34,30,16,4,30,21,24,10,27,7,34,27,32,13
160113E0103,16,24,14,12,20,30,26,9,8,34,20,39,15,28,7,25,27,34,9
160114B0100,16,12,6,9,19,18,23,11,6,15,13,27,9,18,13,24,19,25,9
160114C0100,16,12,9,12,25,19,16,4,13,16,14,18,13,18,8,27,23,17,6
160115B0100,16,24,13,12,34,22,35,14,7,33,20,22,6,17,10,22,31,34,8
160115C0100,16,24,15,12,29,30,32,13,9,20,22,24,11,30,11,28,28,24,10
160116B0100,16,24,13,10,23,28,19,9,9,23,15,26,8,30,6,24,32,23,12
160116C0100,16,24,10,17,23,23,24,10,9,18,26,20,9,20,12,29,24,28,12
160117B0100,16,12,7,14,19,23,11,8,9,23,14,25,11,18,11,17,18,16,9
160117C0100,16,12,11,6,22,19,24,8,9,21,12,16,3,18,5,22,19,20,7
160118B0100,16,24,17,22,32,31,25,15,10,24,22,31,13,26,11,32,24,26,14
160119B0100,16,24,12,15,31,23,29,8,7,16,19,29,10,25,9,18,18,22,11
160119C0100,16,24,11,8,28,36,26,12,12,19,9,26,6,23,8,30,21,19,8
160119C0200,16,24,15,11,23,17,19,16,10,29,26,25,6,13,9,29,27,26,9
160120B0100,16,12,14,10,5,15,17,11,9,13,8,16,6,19,9,26,16,19,6
160120C0100,16,12,9,11,17,8,18,5,2,18,12,14,6,11,7,24,25,16,8
160120E0100,16,12,12,4,20,13,15,8,9,11,9,16,4,11,4,26,19,21,9
160121B0100,16,12,14,14,29,23,26,7,5,27,16,19,11,27,9,17,24,25,10
160121C0100,16,12,8,10,22,24,26,5,6,16,11,19,8,24,11,20,27,18,11
160122B0100,16,12,9,4,23,21,27,5,2,15,11,13,11,13,4,22,16,14,4
160122C0100,16,12,9,5,18,29,14,7,2,11,14,21,5,17,9,23,19,19,9
160123B0100,16,12,3,9,12,5,11,4,1,9,5,6,4,7,2,11,6,7,3
160124B0100,16,12,12,11,29,22,24,7,8,25,20,24,9,26,12,16,14,23,6
160125B0100,16,24,14,14,26,28,26,11,6,16,7,22,8,25,7,32,21,23,5
160125E0100,16,12,4,5,14,13,11,2,1,10,6,14,1,12,2,13,5,13,7
160126B0100,16,12,8,12,22,16,16,8,6,12,8,20,9,16,4,24,21,19,4
160127B0100,16,12,7,5,13,11,7,6,2,8,7,10,7,7,3,13,12,6,6
160127E0100,16,12,5,2,9,12,8,5,2,4,7,14,4,9,1,11,10,11,2
160128B0100,16,12,2,9,14,4,12,0,5,6,4,5,2,7,8,13,5,16,4
160129B0100,16,12,4,9,20,17,14,6,4,10,8,20,7,11,8,19,19,14,4
160129C0100,16,12,8,6,15,13,15,6,5,8,9,18,9,24,6,17,12,14,7
160130B0100,16,12,3,3,6,4,4,3,1,7,4,5,1,5,1,2,2,2,2
160131B0100,16,12,6,2,3,5,8,1,1,5,2,14,2,5,3,5,5,5,1
160132B0100,16,18,23,12,15,28,28,6,14,21,24,30,11,19,7,19,22,20,8
160132C0100,16,18,16,10,28,24,22,14,8,24,17,24,8,24,11,18,25,24,7
160133B0100,16,6,10,12,17,16,17,7,8,16,15,18,9,19,9,26,21,18,8
160133C0100,16,6,10,9,16,19,14,9,3,21,13,22,5,20,6,28,22,20,10
160134B0100,16,6,5,6,14,17,10,8,5,5,4,6,2,7,1,11,13,7,4
160135B0100,16,6,8,14,15,14,15,8,6,13,11,24,9,15,2,18,21,9,7
160136B0100,16,12,8,7,26,33,22,10,6,23,25,28,9,17,10,20,20,27,8
160136C0100,16,12,7,11,29,18,24,5,9,26,10,29,11,23,7,29,29,24,5
160137B0100,16,24,17,17,35,22,25,14,5,22,13,44,9,24,8,34,19,28,12
160137C0100,16,24,22,15,29,26,25,7,12,25,17,24,13,17,9,33,19,30,7
160137C0200,16,24,9,16,31,28,34,5,5,26,16,31,22,24,10,33,42,23,9
160138B0100,16,12,1,3,19,7,9,3,5,12,6,10,3,12,6,18,9,7,2
160138E0100,16,24,7,16,28,23,28,10,6,22,21,19,7,22,10,29,18,27,7
160139B0100,16,24,12,14,25,25,29,10,12,24,17,20,18,25,17,25,25,34,5
160139C0100,16,24,21,10,27,22,23,14,8,23,22,29,17,16,9,33,27,19,11
160139C0200,16,24,11,18,22,34,31,18,8,29,17,20,14,25,10,31,32,28,14
160140B0100,16,12,7,12,23,15,25,9,8,20,19,26,6,14,10,21,23,23,9
160140C0100,16,12,9,17,20,17,22,7,4,22,14,22,4,17,11,30,17,24,7
160140C0200,16,12,12,10,28,16,19,8,2,24,14,18,11,25,9,34,21,21,8
160141B0100,16,24,11,16,22,31,20,7,10,21,22,28,11,24,7,20,32,31,15
160141C0100,16,24,20,17,35,27,24,8,13,27,27,33,11,18,10,32,24,21,10
160142B0100,16,24,11,25,31,31,24,10,13,26,16,29,19,26,13,42,36,23,10
160142C0100,16,24,12,15,24,34,27,9,14,26,23,36,7,38,15,41,23,32,11
160142E0100,16,12,16,9,21,18,22,9,11,16,12,16,12,17,8,21,20,22,7
160142E0101,16,12,8,14,22,18,19,6,8,23,17,25,12,19,7,16,24,12,8
160143B0100,16,12,13,12,23,27,27,6,6,21,19,18,9,16,8,26,27,16,5
160143C0100,16,12,9,15,28,25,15,7,2,19,15,21,7,11,5,27,19,16,7
160144B0100,16,24,15,18,25,27,34,17,4,18,22,33,7,25,13,25,32,25,12
160145B0100,16,12,13,9,18,30,21,4,9,22,14,26,4,17,9,25,14,24,7
160145C0100,16,12,7,11,20,19,25,12,6,28,19,19,5,12,6,19,23,24,5
160145C0200,16,12,11,10,22,21,17,9,6,22,18,23,9,22,10,19,16,18,6
160146B0100,16,12,12,7,28,13,24,8,6,13,21,27,8,14,7,25,21,22,3
160146C0100,16,12,7,7,20,19,25,13,4,22,14,20,12,16,6,25,22,12,1
160147B0100,16,24,9,15,28,30,39,6,14,26,21,24,8,20,5,37,21,32,3
160147C0100,16,24,17,20,33,25,24,9,9,27,12,27,10,24,12,36,32,23,3
160147E0100,16,24,11,13,28,30,25,14,16,30,19,27,9,34,10,36,34,21,17
160148B0100,16,24,14,9,28,16,16,12,11,17,21,19,4,25,12,32,22,32,4
160148C0100,16,24,13,4,26,29,21,7,6,15,15,21,12,24,6,34,18,24,13
160149B0100,16,11,17,8,27,25,21,8,10,24,11,27,9,20,7,29,28,17,11
160149C0100,16,11,12,14,18,24,15,10,12,18,21,23,8,18,8,30,28,19,5
