CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,PT,MC,MORENA_PANAL,PES,RSP,FPM,CNR,NULOS
060124B0100,6,3,26,34,10,16,3,19,7,15,42,43,10,22,2,5,34,0
060143C0100,6,3,19,36,6,19,6,20,6,35,49,46,3,23,3,3,26,0
060139B0100,6,3,25,32,4,15,5,28,14,26,60,71,2,23,0,3,27,1
060144C0200,6,3,21,30,5,21,1,21,6,33,42,49,2,21,2,1,36,0
060079B0100,6,3,28,44,6,15,3,20,18,30,51,57,1,14,2,4,32,0
060028S0100,6,3,54,63,11,28,6,46,27,45,107,97,9,40,4,7,64,1
060145E0101,6,3,27,30,5,22,3,20,12,21,54,68,2,14,1,5,40,0
060001C0400,6,3,32,34,5,23,2,19,18,23,65,58,3,24,2,1,38,0
060148B0100,6,3,25,24,11,8,5,16,14,26,50,35,2,16,1,3,25,0
060067B0100,6,3,22,20,6,11,2,20,8,25,33,46,1,17,0,3,14,0
060123B0100,6,3,42,33,8,26,4,16,11,19,55,54,2,22,1,3,25,0
060161C0100,6,3,30,48,8,17,7,23,13,24,45,58,6,24,4,4,35,0
060120B0100,6,3,36,28,7,15,6,22,15,29,54,61,6,31,2,1,43,0
060140C0400,6,3,22,32,5,19,6,16,11,32,45,50,5,28,3,2,30,0
060067C0100,6,3,21,39,8,8,2,14,7,19,49,47,1,15,1,0,23,0
060145E0105,6,3,34,44,5,11,2,21,12,20,64,54,6,19,0,4,44,1
060001C0200,6,3,27,38,6,14,2,22,12,32,53,66,4,29,3,4,34,0
060001C0700,6,3,32,40,7,15,3,23,19,25,66,57,2,26,1,3,40,0
060149B0100,6,3,29,19,4,16,3,15,7,27,44,41,6,18,2,1,19,0
060001C0300,6,3,29,51,5,18,5,16,13,27,58,60,4,19,2,3,38,0
060139C0700,6,3,40,45,10,31,5,26,16,24,52,46,1,29,2,1,34,0
060001B0100,6,3,38,40,8,10,3,16,19,29,55,63,5,29,0,2,53,0
060139C0200,6,3,25,40,7,24,5,29,15,27,75,54,3,23,5,2,37,0
060140C0300,6,3,29,36,6,12,3,16,9,21,63,62,5,24,5,5,35,0
060354B0100,6,3,37,50,4,26,3,15,12,29,54,59,4,27,2,3,44,0
060147C0100,6,3,26,42,7,21,2,25,21,25,54,64,4,27,3,5,29,0
060020B0100,6,3,25,27,3,19,0,13,7,17,35,30,0,16,2,1,25,0
060092C0200,6,3,30,25,10,17,4,14,11,37,55,54,2,22,4,5,21,0
060145C0600,6,3,29,34,6,15,9,20,12,28,56,56,4,26,3,6,24,0
060140C0100,6,3,26,36,4,21,3,20,14,23,56,67,5,18,2,1,30,0
060145E0104,6,3,35,35,5,15,1,30,13,26,64,63,6,20,1,2,32,0
060141C0100,6,3,28,36,6,16,3,19,18,19,50,61,6,22,4,6,29,1
060083B0100,6,4,12,28,5,10,2,6,9,13,31,28,6,12,1,2,12,0
060103C0200,6,4,23,33,7,17,0,15,11,21,47,43,7,10,5,5,30,0
060129B0100,6,4,31,40,7,17,6,12,11,20,29,36,3,16,2,2,19,0
060116B0100,6,4,24,34,9,11,7,19,11,29,51,51,2,24,3,6,32,0
060075C0100,6,4,24,28,7,14,1,26,11,16,43,40,3,18,1,1,25,1
060167B0100,6,4,11,14,3,9,0,8,5,4,19,29,0,9,1,3,15,0
060055B0100,6,4,21,27,5,17,0,12,15,24,53,39,2,17,3,2,33,0
060084C0100,6,4,35,29,12,11,5,12,17,19,46,51,3,19,0,0,33,0
060106C0200,6,4,25,34,6,14,3,18,13,25,53,47,5,15,0,3,32,0
060168B0100,6,4,26,35,8,17,5,15,9,19,45,45,2,27,3,3,22,1
060136B0100,6,4,23,31,3,11,2,14,10,19,28,44,3,26,2,6,31,1
060106C0100,6,4,22,36,6,18,3,21,13,20,52,35,2,17,4,4,26,0
060133B0100,6,4,15,15,2,13,1,14,10,12,28,42,4,22,0,2,16,0
060060E0103,6,4,36,37,7,20,4,23,20,32,58,66,8,24,3,9,34,0
060062C0100,6,4,32,25,6,18,0,17,14,23,58,44,8,17,1,3,32,1
060059B0100,6,4,30,27,9,13,2,16,8,28,43,54,1,17,0,2,31,0
060062E0105,6,4,28,36,4,18,5,21,22,29,50,74,3,15,1,5,31,1
060156B0100,6,4,17,13,7,7,2,23,11,9,31,39,1,14,4,1,15,0
060087B0100,6,4,13,16,5,6,0,5,6,13,15,21,1,12,2,3,12,0
060099B0100,6,4,12,15,4,6,1,10,7,14,20,17,1,10,1,0,12,1
060074C0200,6,4,18,42,3,10,8,14,11,31,48,56,6,19,1,2,28,0
060062E0100,6,4,18,45,9,20,4,35,15,25,47,64,7,27,1,3,31,1
060138C0600,6,4,33,37,3,26,5,20,15,28,46,53,2,31,1,2,39,3
060060E0106,6,4,30,41,3,27,6,14,13,31,57,67,8,32,2,4,30,0
060103B0100,6,4,11,25,10,15,4,24,19,18,41,31,3,18,2,2,23,0
060074B0100,6,4,22,32,5,21,2,21,15,26,63,52,2,21,2,1,27,1
060117B0100,6,4,21,10,3,12,0,11,10,22,33,24,4,14,3,1,15,2
060117C0100,6,4,21,33,5,13,2,14,12,17,42,35,2,14,0,1,19,0
060075B0100,6,4,28,30,9,9,3,8,17,16,54,38,1,20,3,2,25,0
060089C0100,6,4,16,20,5,9,3,11,13,7,26,33,2,12,3,3,27,0
060060E0105,6,4,29,38,9,19,4,26,11,27,59,63,6,24,2,4,39,0
060075C0200,6,4,26,32,4,12,0,19,7,23,35,53,3,13,4,1,18,0
060111C0100,6,4,27,29,1,10,5,16,12,25,46,51,1,18,0,5,33,0
060134B0100,6,4,32,34,2,14,6,16,21,22,48,54,4,24,1,2,25,0
060296B0100,6,5,30,43,6,26,7,32,16,32,57,63,2,19,0,4,27,0
060331B0100,6,5,9,10,2,9,2,7,3,7,16,21,1,10,1,2,10,0
060245C0100,6,5,27,52,6,18,2,24,12,32,45,67,3,24,2,0,37,1
060236E0303,6,5,37,49,5,9,6,18,19,32,60,69,3,25,2,4,44,0
060226E0200,6,5,11,21,3,15,1,6,4,10,20,30,1,12,1,1,15,0
060172B0100,6,5,13,31,2,9,4,17,16,9,35,30,0,11,3,4,20,1
060224B0100,6,5,24,18,6,9,4,8,6,10,30,39,1,19,0,0,16,0
060311C0100,6,5,40,44,6,23,2,25,11,23,56,64,2,30,1,3,36,0
060321C0100,6,5,21,46,10,20,2,19,20,31,60,65,3,36,1,1,36,0
060236C0300,6,5,30,34,9,11,2,25,16,27,46,60,5,22,5,2,38,0
060325B0100,6,5,33,34,14,21,3,21,13,23,43,55,4,19,3,0,15,0
060236E0300,6,5,51,40,7,27,3,17,17,30,54,50,2,24,0,4,37,0
060205B0100,6,5,16,27,6,8,2,17,11,22,32,54,2,18,2,2,13,0
060298B0100,6,5,30,32,2,16,2,21,22,27,48,50,3,19,1,4,28,0
060236E0203,6,5,34,53,12,20,4,16,14,23,70,63,8,18,1,3,47,0
060228E0300,6,5,17,15,3,9,3,13,7,9,22,30,3,8,0,2,13,0
060236E0100,6,5,32,41,8,33,2,23,4,30,54,72,0,22,2,2,27,1
060311B0100,6,5,34,37,3,22,0,24,12,34,53,58,4,26,4,5,34,0
060326B0100,6,5,12,17,7,13,4,11,9,16,39,34,2,13,1,1,22,0
060236E0202,6,5,39,43,3,22,2,24,16,30,50,62,5,20,3,6,31,0
060260C0300,6,5,29,38,10,24,6,21,14,30,49,51,4,26,1,0,41,0
060216C0200,6,5,21,31,9,17,6,19,18,16,60,50,1,18,3,2,31,0
060202C0300,6,5,22,35,3,15,4,20,14,31,60,48,7,18,0,3,29,0
060321B0100,6,5,26,31,5,21,7,22,21,23,54,61,5,25,3,4,35,1
060217B0100,6,5,17,30,4,12,2,16,10,19,32,40,5,17,2,3,26,0
060274E0100,6,5,12,15,4,11,1,8,3,4,19,35,2,7,2,2,9,0
060236E0103,6,5,29,36,7,19,5,19,21,32,51,60,3,24,2,2,33,1
060221C0100,6,6,20,23,10,13,2,12,12,23,39,48,2,21,5,1,21,0
060312C0400,6,6,26,34,8,22,2,22,20,21,70,56,4,24,4,3,24,0
060188C0100,6,6,30,23,2,19,1,18,9,15,51,47,3,20,3,3,30,0
060186B0100,6,6,25,26,5,18,1,18,7,29,44,49,5,16,3,2,25,0
060233C0100,6,6,26,24,7,19,4,13,10,23,56,55,3,24,3,2,24,0
060316B0100,6,6,23,33,5,24,3,20,15,31,61,57,3,22,2,8,33,0
060178B0100,6,6,23,32,8,14,4,25,12,18,53,47,5,25,2,3,30,0
060276C0100,6,6,24,29,6,14,3,9,9,18,39,48,3,14,1,1,19,0
060283C0400,6,6,27,25,5,19,10,23,11,21,65,55,7,23,1,4,34,0
060280E0104,6,6,35,34,7,20,4,32,18,28,57,62,4,32,1,4,26,0
060209B0100,6,6,21,36,4,14,2,17,16,27,30,41,5,22,3,2,26,3
060240B0100,6,6,35,49,9,18,7,25,18,27,51,71,5,30,3,8,29,0
060188B0100,6,6,25,24,8,14,3,14,13,17,34,58,3,24,1,4,27,0
060187C0100,6,6,28,25,5,21,3,19,9,22,46,44,1,14,2,2,24,0
060336B0100,6,6,19,23,5,20,1,8,13,13,44,45,6,16,0,8,21,0
060174B0100,6,6,22,29,5,14,1,13,8,17,33,47,2,15,1,3,22,1
060234C0200,6,6,23,29,13,24,4,27,20,26,70,69,2,25,3,1,23,1
060277B0100,6,6,31,49,8,20,4,18,18,21,44,53,1,20,1,4,30,0
060179B0100,6,6,15,22,4,5,3,9,4,9,39,38,1,14,1,5,28,0
060264B0100,6,6,33,36,9,16,2,16,14,27,51,50,3,25,4,2,24,0
060335C0200,6,6,27,31,4,14,3,20,8,29,56,54,5,25,2,2,26,0
060264C0200,6,6,25,30,6,16,3,21,11,20,56,56,3,28,2,2,29,0
060317B0100,6,6,28,20,3,11,3,12,6,20,30,35,1,18,1,3,23,2
060283C0200,6,6,33,38,8,17,2,22,13,25,57,54,1,23,2,1,26,0
060261C0200,6,6,23,35,7,15,8,26,11,22,49,53,2,27,3,3,28,0
060258C0100,6,6,26,38,10,10,3,25,21,23,52,69,4,20,5,5,22,0
060280C0300,6,6,32,39,4,25,7,24,10,33,52,58,1,19,2,1,35,0
060211C0200,6,6,25,35,8,22,3,26,17,24,51,61,5,17,2,5,25,0
060335C0100,6,6,18,30,8,12,5,20,14,29,41,49,3,22,2,2,40,0
060336C0100,6,6,23,29,5,8,3,12,17,16,33,43,2,16,5,4,29,0
060319B0100,6,6,21,29,7,15,6,15,7,16,46,52,6,14,0,1,23,0
060285B0100,6,6,33,31,5,26,4,20,14,25,45,52,6,19,4,5,31,1
060240C0100,6,6,29,34,7,13,4,25,13,29,62,55,6,25,5,1,32,0
060283B0100,6,6,31,55,3,19,4,28,11,19,56,68,1,22,4,1,38,0
060329B0100,6,6,37,40,6,23,3,17,23,31,52,64,2,24,1,4,33,0
060291C0500,6,6,43,52,7,24,5,13,9,39,58,68,3,26,2,2,30,0
060277C0100,6,6,29,30,3,19,4,22,17,26,55,54,4,27,6,1,24,0
