CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PVEM_MORENA_PANAL,PT_PVEM_PANAL,PT_MORENA_PANAL,PT_PVEM,PVEM_MORENA,PVEM_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,VIVA,LN,PES,RSP,FPM,CNR,NULOS
180119C0200,18,3,0,14,2,37,11,0,8,17,2,12,0,10,21,15,1,7,23,33,16,26,14,0,8,33,9,11,0,0,0,0
180635B0100,18,4,0,12,1,36,14,0,11,12,1,8,1,13,13,9,2,5,18,40,11,28,7,0,12,29,4,12,0,0,2,1
180247B0100,18,9,2,7,0,15,8,0,8,10,2,7,0,9,9,11,0,2,9,18,4,14,5,0,3,17,3,2,0,0,1,1
180798B0100,18,4,0,10,1,20,5,0,6,9,0,6,1,6,9,7,1,7,17,19,9,19,6,0,9,20,5,7,0,0,1,0
180592B0100,18,6,0,3,0,9,1,0,4,2,1,4,0,5,1,3,0,1,5,8,3,6,2,0,3,6,0,2,1,0,1,0
180972C0400,18,9,2,18,0,36,13,0,22,6,2,12,1,12,15,14,1,8,22,37,8,25,10,0,7,37,4,7,0,0,2,0
180799E0102,18,2,0,10,1,33,11,1,16,13,1,14,2,13,11,13,0,7,19,31,12,19,7,0,13,32,10,5,1,0,1,0
180646B0100,18,2,1,12,0,26,6,0,11,11,0,8,2,10,8,13,1,3,16,28,13,17,5,0,7,23,5,4,0,0,0,0
180146B0100,18,7,0,4,1,9,2,0,5,10,2,2,0,7,6,4,0,1,8,21,5,7,2,0,5,11,2,3,0,0,0,0
180113C0100,18,5,1,15,2,33,13,0,19,19,1,10,0,13,13,13,1,10,19,33,15,41,14,0,13,31,12,4,0,0,2,3
180954B0100,18,2,2,12,1,25,8,0,10,16,0,10,0,15,14,8,1,4,8,24,9,21,5,0,8,38,7,6,0,0,0,0
180545C0100,18,6,0,11,0,27,15,0,15,16,2,12,1,13,9,8,0,10,10,28,10,29,9,0,8,26,9,5,0,0,1,2
180164B0100,18,7,1,8,0,21,5,1,11,11,1,8,0,15,7,16,1,5,9,19,10,20,9,0,2,25,3,2,0,0,1,1
180003B0100,18,8,3,15,0,43,22,0,24,15,0,14,1,12,16,20,0,8,15,39,11,31,11,0,12,39,3,9,1,0,3,2
180690B0100,18,2,0,7,1,18,8,0,6,13,1,8,1,7,3,12,0,9,11,21,9,20,8,0,2,17,7,6,0,0,0,2
180689B0100,18,2,0,7,1,19,10,0,7,10,2,5,0,10,3,12,1,5,7,17,8,15,9,1,5,27,5,4,0,0,0,1
180960C0100,18,2,2,11,1,23,10,0,8,11,2,5,1,16,7,6,1,6,10,25,5,20,10,0,7,24,10,7,1,0,2,0
180106B0100,18,5,0,5,2,32,10,0,6,15,1,16,0,13,15,14,2,9,17,23,16,26,10,1,7,27,5,3,0,0,1,2
180013B0100,18,1,0,9,2,38,9,0,19,11,2,10,1,8,10,15,0,13,15,26,16,17,7,0,10,35,4,5,0,0,1,1
180288B0100,18,6,0,3,2,22,9,0,8,9,0,8,1,8,7,4,0,6,11,32,4,24,4,0,10,25,6,4,0,0,2,1
180102C0200,18,5,1,15,1,31,8,0,12,16,0,4,1,6,6,14,0,4,15,28,14,20,4,0,4,34,2,1,0,0,2,3
180959B0100,18,2,0,11,0,20,8,0,11,6,0,3,1,10,5,10,1,6,6,21,9,23,10,1,8,25,4,5,0,0,0,0
180757C0100,18,2,0,9,3,26,11,0,10,13,0,9,0,7,10,12,0,7,9,21,13,28,10,0,7,20,6,5,1,0,2,2
180525B0100,18,1,0,12,0,30,10,0,11,10,0,6,0,11,4,9,0,5,10,17,4,25,9,0,9,14,5,7,0,0,0,2
180180C0100,18,7,0,8,0,25,6,2,13,10,0,2,0,7,8,9,2,3,14,15,6,21,6,0,7,22,4,2,0,0,1,0
180861B0100,18,5,1,13,1,33,18,0,12,8,1,9,1,6,4,7,2,11,12,23,7,16,5,0,7,19,8,2,1,0,0,1
180032B0100,18,8,0,4,2,15,7,0,9,6,1,8,0,4,7,9,0,6,13,26,5,12,4,1,4,21,6,10,0,0,1,0
180676C0100,18,4,0,13,1,36,11,0,17,13,3,19,2,20,14,19,0,11,15,37,14,44,14,1,8,35,11,12,0,0,1,1
180908C0100,18,2,1,8,1,24,17,0,7,10,1,4,1,10,11,9,1,6,14,23,5,19,6,1,4,26,10,6,0,0,2,0
180700B0100,18,4,1,16,1,34,15,0,19,7,1,10,0,12,15,13,1,7,10,22,16,18,6,0,11,30,7,11,0,0,0,1
180537B0100,18,6,0,14,1,38,14,0,15,7,3,8,1,16,13,14,3,8,14,38,10,38,9,0,7,33,4,8,1,0,3,0
180107C0100,18,7,2,21,0,40,9,0,8,18,2,10,1,14,16,14,2,11,18,31,11,31,10,0,12,42,9,11,0,0,1,3
180258B0100,18,6,1,16,3,32,9,0,21,10,2,10,3,9,7,11,2,10,22,30,12,21,11,1,6,39,4,9,0,0,0,1
180249B0100,18,9,0,12,4,38,10,0,13,18,0,15,0,14,11,12,1,7,14,25,12,27,7,0,4,29,9,1,0,0,0,1
180173B0100,18,5,0,11,2,34,10,0,12,17,2,4,1,11,8,14,1,5,14,17,7,27,11,0,9,25,5,7,0,0,0,1
180460C0100,18,6,0,10,2,20,6,0,8,10,3,10,2,8,8,5,3,2,14,25,11,24,7,0,4,27,5,4,0,0,1,4
180488B0100,18,8,3,12,1,40,21,1,15,16,2,14,0,10,14,9,0,12,33,39,21,33,11,0,10,42,6,8,0,0,1,2
180799E0401,18,2,1,14,1,31,15,0,10,11,0,15,1,13,19,16,1,8,10,29,11,25,8,0,14,19,9,12,1,0,3,1
180752C0100,18,4,1,17,3,43,15,0,23,18,2,15,0,11,13,8,0,9,15,21,11,23,10,0,4,41,11,11,0,0,1,4
180842C0100,18,6,1,11,1,25,5,0,10,5,1,11,2,16,6,10,1,5,11,28,4,20,7,0,2,26,8,7,0,0,1,2
180106C0100,18,5,0,10,0,37,9,0,11,7,0,10,1,14,10,11,1,7,12,25,8,19,8,0,4,31,9,8,1,0,0,2
180672B0100,18,2,2,1,0,7,2,0,3,4,0,1,0,2,4,1,0,1,4,9,2,3,1,0,2,8,1,1,0,0,1,1
180963C0100,18,2,0,12,1,26,9,0,10,17,2,9,0,10,9,14,1,5,18,25,5,25,8,0,8,21,4,6,0,0,2,1
180123C0300,18,3,0,13,1,38,11,0,15,15,3,12,2,13,17,11,1,10,13,30,10,20,11,0,8,40,10,7,0,0,0,1
180740B0100,18,2,1,15,0,26,7,0,10,17,2,2,0,8,11,8,1,6,22,21,11,24,2,0,10,24,5,5,1,0,0,1
180075B0100,18,9,0,10,2,40,15,0,14,8,3,13,0,13,12,8,0,8,13,35,10,19,2,1,9,27,3,7,0,0,1,0
180799E0400,18,2,3,6,2,39,9,0,14,18,3,14,3,14,10,19,1,15,19,30,13,28,12,1,8,25,7,8,0,0,2,1
180651C0100,18,4,2,13,0,31,13,1,13,17,3,6,2,12,6,11,0,14,15,33,9,30,8,1,6,42,9,7,0,0,2,2
180047E0100,18,6,0,5,0,4,1,0,1,1,0,3,0,0,0,2,0,0,0,5,2,2,1,0,1,5,0,2,0,0,0,0
180301B0100,18,6,1,12,1,30,7,0,8,15,1,9,0,10,10,15,1,7,13,25,9,21,7,1,6,18,7,7,0,0,1,3
180703B0100,18,4,2,12,0,30,20,1,13,10,0,8,1,15,5,12,0,4,20,26,13,22,5,0,8,35,7,6,0,0,3,1
180621C0100,18,4,2,11,1,23,9,0,11,8,0,17,1,15,11,14,1,10,11,24,7,23,6,0,9,30,4,8,1,0,2,3
180709S0200,18,4,1,25,1,76,29,0,28,21,3,16,4,23,21,22,2,22,31,70,21,49,16,0,22,78,18,12,0,0,0,0
180270E0300,18,6,0,3,0,27,4,0,11,5,2,4,1,3,5,7,1,4,4,18,4,16,11,0,3,19,7,4,0,0,0,0
180109B0100,18,7,0,13,1,41,18,0,13,11,3,9,2,9,7,8,2,5,9,35,18,21,7,2,10,33,4,6,1,0,2,2
180759C0200,18,2,1,14,3,49,13,0,10,19,2,13,0,10,11,12,1,3,16,21,11,21,4,0,9,30,7,7,0,0,1,2
180907B0100,18,2,0,9,1,31,13,0,19,13,1,12,1,19,13,15,1,14,11,48,11,24,11,1,11,38,8,10,0,0,1,2
180567B0100,18,8,0,12,5,39,13,2,21,18,1,16,2,21,12,12,0,9,16,36,12,40,7,0,12,46,6,9,0,0,3,2
180963B0100,18,2,1,14,1,26,7,0,9,10,1,10,0,15,11,7,2,5,16,37,9,18,6,1,7,35,10,7,0,0,0,2
180503C0100,18,1,3,8,0,23,15,0,12,14,2,8,0,15,14,11,1,5,19,22,9,21,6,0,8,26,7,4,0,0,1,4
180038C0100,18,8,1,18,1,31,12,0,5,13,2,12,1,11,4,8,0,7,13,22,13,18,9,0,4,31,9,3,0,0,1,2
180813B0100,18,1,0,13,1,27,10,1,10,13,1,12,1,18,8,9,1,8,11,30,9,29,13,0,7,27,7,8,0,0,0,1
180136B0100,18,5,0,12,3,34,17,0,10,19,0,10,1,17,15,9,2,11,25,42,12,25,12,0,10,42,11,3,1,0,0,2
180390C0100,18,6,0,13,1,37,12,0,18,16,1,8,1,15,10,16,0,10,15,15,7,33,6,0,10,26,6,7,0,0,1,3
180929B0100,18,4,4,5,1,23,14,0,14,13,4,11,0,10,11,10,1,6,16,28,12,30,8,0,6,39,8,7,0,0,0,0
180923B0100,18,4,1,8,0,15,3,0,6,13,0,14,0,3,7,13,0,7,8,25,8,17,7,0,11,20,8,4,1,0,0,0
180787B0100,18,2,2,11,0,19,5,0,13,13,0,10,1,7,7,9,0,4,12,21,6,8,2,0,8,20,2,3,0,0,3,2
180695C0100,18,4,1,13,1,59,13,0,7,18,2,11,0,23,9,13,1,8,22,27,11,36,5,0,6,33,11,8,0,0,1,1
180505C0100,18,6,1,12,1,37,11,0,9,8,2,11,0,14,11,14,0,8,15,20,8,26,9,0,3,25,6,8,0,0,2,1
180177C0100,18,9,0,9,0,19,7,0,7,13,2,7,1,7,9,12,0,4,10,23,9,21,10,0,8,19,7,7,1,0,1,1
180745B0100,18,4,0,11,0,40,12,0,20,18,1,12,0,14,13,23,0,10,19,41,8,30,6,1,5,38,3,3,0,0,1,1
180178B0100,18,7,3,14,1,18,8,0,10,23,2,14,2,2,7,15,1,3,11,17,8,13,4,0,7,16,7,4,0,0,1,1
180019B0100,18,6,0,5,1,4,4,0,2,3,0,1,0,4,1,4,0,1,2,5,0,6,2,0,1,4,0,3,0,0,0,1
180719C0100,18,4,0,15,0,24,12,0,10,12,0,13,0,8,3,12,1,7,15,27,9,22,7,0,9,26,9,3,0,0,2,1
180733B0100,18,4,1,19,0,44,15,0,8,20,1,12,0,18,10,13,2,11,13,37,7,30,11,0,10,34,7,4,0,0,1,2
180116C0300,18,7,0,15,1,44,13,1,25,13,3,15,2,13,14,18,1,8,21,34,7,27,5,0,12,42,7,13,0,0,0,2
180128B0100,18,3,1,12,3,34,10,0,9,12,2,3,1,7,12,7,0,1,14,22,6,15,3,0,3,29,3,4,1,0,1,1
180217C0100,18,3,1,13,2,33,16,0,9,5,1,9,1,16,9,17,1,10,17,23,4,20,12,0,8,43,4,10,0,0,2,1
180930B0100,18,4,0,10,3,35,8,1,15,19,1,13,1,15,13,9,2,2,14,23,10,17,9,0,7,39,12,10,0,0,0,3
180062B0100,18,7,1,6,0,14,5,0,8,5,0,4,1,9,6,5,0,3,3,14,2,13,4,0,5,9,5,1,1,0,0,0
180002C0100,18,8,0,13,1,21,13,0,13,11,0,14,2,13,5,8,0,11,18,30,21,23,6,1,11,30,11,7,0,0,1,0
180018C0100,18,8,0,4,1,28,6,0,17,10,0,9,2,11,17,6,2,5,10,28,10,18,7,0,8,23,3,4,0,0,0,0
180774C0100,18,2,1,9,0,33,15,0,18,10,0,12,0,13,12,12,0,5,14,19,10,29,5,1,3,21,5,6,0,0,2,3
180272B0100,18,8,0,8,0,28,7,0,9,14,0,12,1,7,6,6,0,6,10,12,9,25,5,0,3,26,5,2,0,0,0,1
180357B0100,18,8,2,19,3,29,14,1,15,11,1,10,1,14,16,11,1,8,18,41,14,24,5,0,11,23,10,9,0,0,0,2
180601C0300,18,4,0,11,5,36,14,0,11,15,0,13,0,8,12,16,2,11,17,32,10,30,15,1,6,35,4,7,1,0,1,0
180532C0100,18,8,1,11,0,36,15,0,17,12,1,9,0,7,5,10,1,2,15,28,4,22,8,0,5,25,8,6,1,0,1,0
180957C0100,18,2,0,6,2,33,5,0,9,6,0,1,0,15,11,5,0,5,11,23,14,17,9,0,6,28,9,6,0,0,0,0
180405B0100,18,9,0,1,0,9,2,0,3,1,0,1,0,2,5,2,0,1,4,7,3,2,0,0,2,5,2,3,0,0,0,0
180061B0100,18,9,0,12,1,43,12,0,17,13,0,15,0,17,14,14,1,9,12,40,11,41,11,1,17,38,9,1,0,0,2,4
180713B0100,18,4,1,14,2,38,14,0,17,15,2,12,3,12,12,15,0,8,23,26,21,39,10,0,16,43,11,4,0,0,0,2
180020B0100,18,6,1,4,2,10,5,0,6,5,1,4,0,4,3,6,0,6,3,17,3,10,4,0,5,10,4,5,0,0,0,0
180755B0100,18,4,1,10,3,27,14,1,15,10,3,13,3,16,4,9,3,8,11,20,5,24,3,0,6,33,11,2,0,0,1,0
180734B0100,18,2,0,9,2,16,3,0,10,8,0,5,0,4,6,10,1,5,10,17,7,9,2,0,6,31,3,2,0,0,0,0
180730C0100,18,4,0,10,1,25,8,0,9,10,2,15,1,9,4,14,0,3,11,25,12,10,7,1,6,25,9,1,0,0,0,1
180417E0100,18,7,0,5,0,6,2,0,4,6,0,3,0,4,3,3,0,1,9,10,1,9,3,0,3,5,3,2,1,0,0,0
180333C0100,18,6,1,15,0,36,11,0,12,11,0,12,0,9,8,5,3,13,20,26,5,28,12,0,9,41,10,2,1,0,2,0
180516B0100,18,8,0,13,2,20,8,0,10,18,1,15,3,15,16,13,1,8,25,32,13,30,11,1,4,30,11,9,0,0,0,1
180627C0100,18,4,0,14,2,34,6,0,15,15,1,7,0,13,12,11,0,5,14,30,7,29,6,0,4,29,5,5,1,0,2,3
180186B0100,18,7,0,19,2,41,14,0,12,13,0,15,1,19,16,13,4,9,20,24,15,24,8,1,10,34,6,8,2,0,4,2
180229B0100,18,5,0,17,0,45,10,1,17,12,3,14,0,10,13,11,0,9,19,44,16,30,16,0,12,35,6,10,0,0,0,1
180494B0100,18,1,0,12,1,26,10,0,6,13,1,13,1,8,6,6,1,6,13,26,5,18,4,0,13,21,9,7,0,0,3,0
180706B0100,18,4,2,13,2,47,8,1,22,16,2,15,0,15,11,10,0,9,18,35,13,33,5,1,9,36,10,9,0,0,0,1
180322C0100,18,6,0,15,5,39,7,0,13,15,1,7,0,10,4,14,0,8,11,24,10,17,8,0,4,30,6,8,0,0,1,2
180033C0100,18,8,0,10,1,15,9,0,15,7,1,4,0,4,5,13,0,5,12,25,5,17,5,0,2,21,7,3,0,0,1,3
180911C0100,18,4,1,8,1,20,3,0,9,12,2,6,0,7,8,6,1,9,18,26,5,15,4,0,3,27,3,8,0,0,1,2
180103B0100,18,3,0,13,1,37,11,0,14,11,2,12,1,12,12,15,1,10,15,27,8,29,7,0,13,41,12,8,0,0,1,4
180137C0100,18,5,0,12,0,31,14,0,10,16,1,9,0,8,13,8,3,10,17,27,6,25,2,0,14,26,4,12,1,0,2,0
180421B0100,18,5,1,16,0,32,22,1,12,17,1,12,1,21,12,20,0,9,20,40,9,32,10,1,6,25,7,5,0,0,1,0
180957B0100,18,2,0,10,1,24,5,0,14,7,1,12,2,10,7,7,0,2,13,22,7,23,5,0,3,23,6,10,0,0,0,0
180848B0100,18,5,0,15,1,26,17,0,22,17,2,18,0,17,10,7,0,8,6,20,18,22,5,0,7,28,10,4,0,0,0,0
180743C0100,18,2,2,10,0,16,8,0,9,12,1,9,0,4,9,10,0,7,13,16,6,14,4,0,5,18,4,5,0,0,0,1
180435B0100,18,6,0,10,1,27,12,1,5,14,0,7,0,7,9,5,0,4,14,20,13,26,9,0,10,29,7,5,0,0,1,1
180268B0100,18,6,0,13,0,37,10,1,14,9,2,6,3,13,11,10,1,4,10,28,6,22,7,0,4,26,9,6,0,0,0,3
180370B0100,18,8,1,7,1,23,8,0,11,11,2,12,1,6,15,12,0,9,10,29,7,20,9,1,5,32,6,7,1,1,0,0
180927C0100,18,4,0,11,1,26,7,0,6,11,0,6,0,11,0,11,1,6,8,25,7,13,6,0,4,17,4,4,0,0,2,0
180583B0100,18,6,2,7,1,18,9,1,6,6,0,11,0,9,9,7,0,6,10,16,6,16,6,0,10,18,2,5,1,0,0,0
180881B0100,18,2,1,6,1,32,13,0,8,9,0,7,1,11,5,3,0,6,12,25,9,20,9,1,6,26,5,4,0,0,0,0
180664C0100,18,4,0,11,4,39,4,0,13,18,3,11,0,8,18,13,0,7,18,27,8,22,4,1,12,35,6,6,0,0,2,1
180059C0100,18,7,1,10,4,47,15,2,12,16,0,11,0,22,13,10,1,11,13,37,17,30,12,1,9,38,4,8,0,0,1,0
180979C0100,18,9,0,12,0,33,14,0,13,10,1,7,0,9,12,18,1,8,16,31,12,35,10,0,10,38,9,5,1,0,0,1
180068C0100,18,3,1,9,1,17,5,0,15,10,1,4,0,6,9,9,1,4,11,15,12,24,3,0,5,24,2,6,0,0,0,1
180220C0100,18,3,0,13,2,25,15,0,17,9,0,9,0,8,8,11,2,12,14,27,6,27,12,1,6,28,12,8,0,0,0,2
180755C0100,18,4,1,15,2,27,13,0,14,15,1,6,1,11,17,11,0,7,19,32,12,21,9,0,2,28,5,2,1,1,0,2
180747C0100,18,4,1,15,1,34,12,0,23,15,4,14,1,9,14,10,1,7,12,34,8,25,6,0,12,31,7,4,0,0,4,2
180764B0100,18,4,1,15,2,46,16,0,14,18,0,9,2,16,18,16,1,4,17,34,17,32,6,1,12,31,15,10,0,0,2,3
180283B0100,18,8,0,17,1,38,15,0,20,17,3,10,3,12,13,11,0,8,12,31,9,33,15,0,9,42,7,4,1,0,0,1
180974C0100,18,9,1,11,1,25,10,0,9,10,1,10,2,8,8,17,1,8,8,33,5,24,11,0,6,29,2,8,0,0,1,2
180769E0200,18,2,0,7,0,14,6,0,7,12,2,8,0,2,7,9,0,7,9,14,5,10,5,0,6,17,5,6,0,0,1,0
180348C0100,18,6,0,9,0,27,9,1,11,8,2,10,1,17,11,7,1,9,21,24,8,26,9,0,10,33,10,8,1,0,0,0
180154B0100,18,7,0,6,2,34,4,0,10,9,1,13,0,11,6,11,0,6,13,16,7,19,3,0,6,30,6,8,0,0,0,2
180118C0500,18,3,4,17,0,38,15,0,18,11,2,13,1,17,10,13,1,9,21,32,10,47,6,2,8,39,10,6,1,0,2,2
180236C0100,18,5,1,14,0,25,7,0,17,11,2,10,0,14,10,14,0,6,13,30,10,31,15,0,11,31,7,6,0,0,1,0
180523B0100,18,6,1,8,1,25,10,1,8,8,2,8,0,15,12,5,1,4,6,34,8,22,4,1,6,28,7,5,0,0,0,0
180287B0100,18,6,0,12,1,34,12,2,10,8,0,8,0,13,18,8,1,4,9,28,11,16,6,0,8,31,5,7,1,0,0,1
180255B0100,18,9,2,8,1,30,7,0,8,6,1,7,0,13,10,2,1,9,12,23,12,15,8,0,1,15,8,7,0,0,0,1
180321C0100,18,1,0,6,1,20,6,1,12,7,3,10,0,7,6,10,0,3,11,20,7,22,4,1,6,29,4,5,0,0,0,0
180246B0100,18,7,0,1,1,10,3,0,2,2,0,3,0,2,2,2,1,4,2,5,2,6,4,0,2,5,0,2,0,0,0,1
180576B0100,18,8,0,20,3,43,16,0,14,13,2,12,1,21,8,15,0,8,23,37,21,35,12,0,9,35,8,6,0,0,0,0
180573B0100,18,8,0,17,3,51,15,0,13,16,3,15,1,19,14,16,1,5,17,36,14,27,10,0,12,48,7,7,0,0,1,1
180423B0100,18,9,0,19,1,41,9,0,19,15,2,10,1,15,7,17,0,7,17,44,6,36,10,0,6,48,8,5,2,0,0,3
180607C0200,18,4,0,11,1,44,20,0,17,22,1,12,0,16,16,17,1,11,22,38,14,32,4,0,8,38,12,13,1,0,4,3
180203E0100,18,8,0,5,0,19,10,0,10,7,0,10,0,8,7,2,1,2,10,13,7,15,3,0,2,15,5,4,0,0,1,1
180909B0100,18,2,0,18,1,46,11,2,11,22,2,13,3,19,13,20,2,6,27,39,11,30,8,2,12,26,15,7,0,0,2,1
180346E0100,18,6,2,2,1,18,6,0,5,7,0,4,1,7,9,6,0,3,5,13,3,13,4,0,2,16,3,4,0,0,0,1
180854B0100,18,5,2,16,2,31,16,0,7,18,1,6,4,15,6,11,2,7,17,31,12,27,13,0,13,33,5,9,0,0,0,2
180095B0100,18,7,1,10,3,17,3,0,10,5,0,4,1,7,8,4,0,2,8,14,10,15,3,0,1,14,3,1,0,0,1,0
180116C0800,18,7,1,15,4,43,20,0,21,19,2,8,1,23,16,20,0,9,26,42,9,30,11,0,5,38,13,11,0,1,0,3
180222B0100,18,3,2,23,1,42,15,1,11,12,2,18,2,14,12,18,0,4,10,43,11,32,7,0,5,40,10,12,1,0,3,0
180909C0100,18,2,0,15,2,27,13,2,14,16,3,15,0,11,9,10,5,9,28,42,16,31,9,0,11,38,11,3,0,0,1,2
180218C0100,18,3,2,19,3,41,17,0,11,9,0,15,1,16,15,11,0,9,14,32,13,27,12,0,6,39,7,8,0,0,2,0
180106C0200,18,5,0,16,1,36,6,0,7,9,3,8,3,9,11,8,2,3,13,27,7,21,6,0,8,39,7,5,0,0,2,2
180120B0100,18,9,1,7,0,31,20,0,15,20,4,13,2,18,13,18,2,13,15,39,13,43,7,1,8,40,7,10,0,0,2,1
180903B0100,18,2,2,10,2,23,6,0,7,9,1,12,1,8,10,13,0,7,12,24,9,17,3,0,6,29,4,2,0,0,1,0
180307B0100,18,8,0,10,0,30,9,0,12,15,1,5,0,9,9,10,0,9,9,34,12,24,9,1,10,28,7,5,0,0,1,3
180258C0100,18,6,0,22,0,26,9,0,18,12,5,12,0,15,13,14,0,8,8,28,8,22,7,0,9,44,8,7,0,0,1,1
180252C0100,18,9,3,8,0,31,14,1,10,19,2,7,2,16,7,10,0,7,12,20,8,18,4,0,7,18,4,4,0,0,0,1
180844C0700,18,5,0,14,1,42,9,0,16,17,2,16,2,16,12,18,0,14,13,42,16,27,15,0,23,26,8,5,0,0,1,1
180764E0100,18,4,0,8,2,26,10,1,13,13,3,8,1,18,3,7,1,3,14,21,11,33,9,0,11,29,4,6,0,0,2,1
180724C0200,18,4,0,23,4,42,11,0,13,18,2,18,0,15,13,17,0,6,22,30,7,26,10,0,11,51,11,7,1,0,1,2
180343B0100,18,6,1,10,0,25,3,0,9,8,1,10,1,8,15,8,0,6,15,12,8,15,4,0,2,36,3,4,1,0,0,0
180193B0100,18,7,0,4,0,21,7,0,4,3,1,6,1,6,5,8,0,3,9,15,7,9,5,0,7,14,3,4,1,0,0,1
180831C0100,18,8,0,13,1,28,11,1,5,12,0,11,0,9,13,9,0,6,12,18,12,17,7,0,5,22,5,7,0,0,1,1
180169C0100,18,7,2,7,1,29,5,0,7,7,1,8,0,11,5,7,1,4,11,16,10,19,2,0,3,20,7,7,1,0,0,0
180560B0100,18,1,0,11,0,20,9,0,8,12,2,6,1,7,8,10,0,3,12,19,9,17,4,0,3,19,6,2,0,0,1,1
180269B0100,18,6,0,11,1,33,11,0,14,5,0,14,2,14,10,9,1,6,17,29,11,22,9,0,7,44,8,8,0,0,0,5
180348B0100,18,6,1,12,1,33,8,0,9,12,0,12,2,12,14,10,0,7,15,37,9,27,7,0,4,43,4,5,0,0,1,0
180009C0100,18,1,0,19,1,47,14,0,16,20,1,11,0,17,11,21,0,9,22,38,16,32,9,0,9,34,7,7,2,0,1,2
180234B0100,18,7,0,5,1,21,3,0,10,3,0,6,0,6,8,6,0,3,7,9,5,12,2,0,5,8,4,2,0,0,1,0
180311B0100,18,6,0,26,1,40,20,0,12,16,2,9,0,16,11,13,1,8,10,43,16,44,9,0,6,33,17,12,1,0,2,3
180668B0100,18,4,2,10,3,24,12,0,10,11,0,4,0,15,9,14,2,4,19,25,18,27,6,0,7,32,4,6,0,0,0,1
180515B0100,18,6,0,10,3,28,4,0,4,15,2,8,0,6,11,5,0,4,8,26,9,21,8,0,7,22,5,5,0,0,2,1
180137S0100,18,5,1,27,3,77,28,1,29,40,5,29,2,28,20,21,1,26,33,55,21,52,12,1,16,61,11,16,0,0,5,1
180938B0100,18,4,0,19,5,25,10,0,11,13,1,18,1,9,16,12,0,2,14,27,12,29,12,2,9,29,4,9,0,0,0,1
