CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRD,PAN_PRD,PRI,PVEM,PT,MORENA,PANAL,PT_MORENA_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,PES,RSP,FPM,CNR,NULOS
081912C0100,8,1,9,5,23,0,2,5,0,32,21,15,8,17,26,10,1,4,0,14
081014B0100,8,14,3,11,47,0,0,4,5,56,28,14,11,17,34,17,7,7,0,17
081411C0100,8,14,6,11,60,2,2,4,2,77,35,16,11,22,43,19,5,8,3,22
080609E0205,8,17,4,6,57,0,0,5,2,68,35,21,12,20,34,14,4,10,2,24
080884C0300,8,17,5,15,59,1,4,6,2,60,20,25,3,16,49,9,4,7,3,36
081398C0100,8,14,4,11,45,0,3,2,3,74,23,18,14,27,38,17,6,5,0,40
080553B0100,8,6,6,11,33,0,1,7,2,40,29,5,6,14,33,6,1,6,1,15
081404B0100,8,14,7,11,53,0,0,4,1,42,16,13,12,15,24,15,5,8,0,25
081562C0300,8,12,11,8,64,0,2,7,4,70,32,14,9,26,50,11,3,9,2,27
080575C0100,8,15,4,19,52,0,2,7,4,54,28,20,10,29,52,12,6,11,4,31
082679B0100,8,9,6,8,30,0,1,1,2,38,16,8,4,15,27,7,0,8,2,18
082236E0100,8,7,2,0,3,0,0,1,0,10,4,1,2,2,3,0,1,1,0,2
081868C0100,8,10,8,15,55,1,1,4,6,75,42,20,8,18,35,19,3,9,3,28
082808C0100,8,1,4,14,42,0,0,6,0,48,21,14,0,18,38,10,3,6,1,21
080170B0100,8,2,5,9,30,1,2,6,3,44,19,10,6,19,38,15,1,2,4,20
080609E0204,8,17,6,15,41,0,0,6,6,75,21,11,8,32,42,21,1,11,4,29
081559C0200,8,12,12,13,49,0,1,12,6,68,37,16,9,19,44,22,4,10,1,29
082069B0100,8,4,4,7,30,0,1,3,4,29,16,7,8,12,28,11,3,6,3,14
082727C0100,8,1,3,9,40,1,2,9,5,38,18,11,12,14,22,7,4,4,0,28
081006E0100,8,14,5,11,45,0,1,11,4,61,21,19,11,19,34,14,5,7,0,27
081035B0100,8,9,1,1,23,0,0,1,0,21,8,7,3,5,11,3,0,2,0,7
080364E0101,8,16,6,17,62,0,5,9,3,68,36,26,6,26,46,20,6,10,3,37
082430C0300,8,11,3,14,40,1,2,8,2,84,35,17,14,21,39,24,4,9,1,33
082136B0100,8,12,5,11,61,0,1,3,3,42,23,13,9,17,47,14,7,10,1,27
081715B0100,8,13,7,12,62,0,2,7,6,75,43,17,11,24,38,16,7,13,0,29
080422B0100,8,6,3,8,29,0,0,5,1,33,17,9,6,21,23,10,4,5,1,20
081036B0100,8,9,10,7,41,2,2,7,4,57,28,17,7,18,30,12,3,5,1,27
081729B0100,8,13,2,9,40,0,2,6,2,56,23,13,7,22,35,26,1,5,1,30
081877C0200,8,10,5,15,50,0,4,3,4,63,28,24,14,21,41,18,1,11,2,27
080991C0400,8,14,4,17,58,1,0,4,5,86,30,19,14,26,48,18,5,11,3,24
081358B0100,8,2,7,6,34,1,1,1,3,43,24,19,2,17,25,15,3,3,1,19
081649C0100,8,4,4,8,43,0,1,1,2,43,21,10,4,16,36,12,3,5,0,29
081101C0200,8,9,7,13,46,0,1,8,2,53,23,12,8,17,43,14,3,5,1,22
082063B0100,8,3,3,11,43,0,3,6,3,43,25,19,6,15,20,5,4,4,0,17
081901B0100,8,1,6,7,29,1,0,5,4,50,18,16,4,17,20,14,3,3,2,17
080184B0100,8,5,3,5,36,0,4,8,5,44,17,19,5,11,36,15,6,5,2,20
081767C0100,8,4,6,8,30,0,0,3,1,32,25,13,4,11,24,4,2,6,2,26
082904B0100,8,11,6,10,34,1,1,8,5,51,31,16,11,20,36,15,3,8,2,20
081845B0100,8,1,3,3,29,0,3,4,4,43,23,14,8,12,25,8,2,4,0,13
081921B0100,8,1,1,15,32,0,0,8,2,44,17,12,7,20,27,4,7,6,0,22
080608E0103,8,15,7,13,53,0,3,8,2,70,32,24,10,23,46,18,5,9,1,20
082997B0100,8,1,3,9,32,1,1,4,1,48,21,5,6,16,32,22,1,3,0,22
082071B0100,8,4,4,7,29,0,0,6,3,56,26,9,6,19,22,11,3,5,2,19
082812B0100,8,10,4,21,55,0,3,8,6,65,42,25,8,22,48,22,7,9,1,30
081105B0100,8,9,5,9,40,0,2,3,3,42,27,18,7,18,24,9,2,8,2,26
081584B0100,8,4,1,7,21,1,0,3,2,32,21,8,11,10,23,17,0,9,3,14
081014C0100,8,14,4,11,43,0,0,8,2,69,19,18,12,17,45,20,7,10,2,23
083239B0100,8,8,4,8,39,0,0,6,1,45,26,16,10,20,13,19,7,5,2,22
082948B0100,8,1,2,5,32,1,0,3,2,42,16,14,6,14,23,12,0,2,2,20
081108B0100,8,18,6,12,43,0,0,10,6,64,35,16,14,33,45,26,3,15,5,38
080390B0100,8,7,2,1,11,0,1,1,1,11,9,3,0,5,8,2,1,1,0,8
080278C0100,8,7,5,12,36,0,1,5,3,48,25,14,9,25,29,14,1,6,0,11
080754C0300,8,15,3,14,55,0,1,8,2,63,35,20,9,34,40,16,9,8,2,28
081604B0100,8,4,0,2,17,1,1,0,1,13,11,7,4,11,19,6,1,3,1,6
081114B0100,8,18,5,10,42,0,1,10,1,59,38,13,12,16,39,12,3,8,1,38
082195C0100,8,12,8,15,54,0,4,15,3,76,19,16,13,23,43,19,8,13,2,33
082900C0100,8,8,7,6,37,0,0,4,4,57,28,17,6,15,31,18,3,6,0,18
080947B0100,8,14,1,12,43,0,1,6,7,59,28,16,10,18,26,15,3,3,2,21
082806B0100,8,10,11,15,50,1,1,5,4,82,30,26,11,26,39,12,3,6,0,39
081205B0100,8,7,2,7,12,0,0,0,1,19,17,3,2,5,8,7,2,1,0,8
080337C0100,8,7,4,8,30,0,0,2,4,27,17,13,5,19,22,11,3,5,0,12
082970B0100,8,1,3,5,11,0,0,1,3,22,9,8,5,15,11,9,0,0,0,11
082490B0100,8,14,10,15,42,0,4,9,5,70,34,14,13,30,37,16,7,4,5,17
081683C0400,8,13,5,9,51,0,1,7,3,72,32,21,10,23,43,16,4,6,1,38
083101B0100,8,12,4,15,44,0,1,6,1,59,31,14,10,28,43,18,8,5,0,27
083115C0100,8,3,4,12,41,0,2,7,2,50,28,16,6,17,23,12,5,5,3,18
082984B0100,8,10,7,15,53,0,2,8,1,81,37,19,15,25,27,16,11,9,4,38
082141B0100,8,3,4,13,34,0,1,0,1,43,15,12,7,15,31,6,3,1,3,28
082880C0100,8,6,3,8,45,0,1,2,3,44,22,15,9,15,30,11,4,4,3,20
081499B0100,8,3,1,8,27,0,1,2,0,32,12,8,5,4,16,12,1,3,1,13
082397C0100,8,2,3,8,38,0,1,3,2,47,15,15,8,20,26,12,1,1,0,22
080778C0100,8,15,5,7,50,0,2,0,3,55,23,17,13,13,43,15,2,10,2,24
080125C0100,8,9,2,11,17,0,0,7,3,53,18,21,11,15,34,14,1,7,0,21
081706C1000,8,13,9,12,45,0,2,7,4,66,25,32,8,27,46,14,5,10,0,28
083067B0100,8,2,3,3,24,0,0,1,1,27,10,8,2,4,11,4,3,1,1,15
081827B0100,8,11,11,8,41,0,4,8,3,60,27,25,13,24,29,10,4,11,0,24
081505B0100,8,12,5,12,51,0,2,6,3,70,46,19,13,37,44,13,5,9,0,42
081295C0100,8,9,9,4,24,0,1,4,3,47,21,11,6,10,27,11,6,3,1,24
080570B0100,8,17,7,14,49,0,3,8,2,55,27,16,11,26,32,26,4,7,2,36
081360B0100,8,2,0,3,21,0,0,1,0,24,7,5,3,5,14,3,1,4,1,7
082316C0100,8,5,9,10,38,1,0,4,1,59,19,13,10,18,29,16,2,2,1,22
081920B0100,8,1,1,11,23,1,2,1,3,42,19,15,2,12,34,14,3,9,0,22
081413B0100,8,5,3,6,27,0,3,5,1,38,15,17,6,15,24,10,3,3,3,17
080905E0100,8,8,4,2,12,0,2,2,0,17,7,4,3,8,4,2,1,4,1,5
082085B0100,8,13,3,10,46,0,0,9,2,72,31,23,17,20,41,19,9,14,1,37
080373C0100,8,16,7,13,48,0,0,10,5,77,34,17,11,28,29,24,6,12,1,24
081547C0100,8,12,5,11,57,0,4,3,5,64,26,15,20,24,29,19,6,5,2,27
082907B0100,8,11,4,7,40,0,0,5,5,70,38,20,14,25,41,20,5,11,3,46
082884C0100,8,6,3,13,30,0,0,3,1,62,25,23,6,10,28,12,5,4,1,18
080541C0400,8,17,8,14,53,0,3,8,5,68,27,16,6,31,50,24,2,8,1,23
083272C0100,8,15,5,11,42,0,0,8,0,72,34,19,12,19,40,12,7,7,1,24
081919B0100,8,10,8,12,53,0,0,7,3,50,24,14,11,35,31,18,4,7,1,24
081265B0100,8,7,3,3,5,0,0,1,0,5,4,2,1,8,7,2,0,0,0,5
080918B0100,8,7,3,1,19,0,1,2,0,13,7,5,2,3,8,3,1,3,0,7
080102C0100,8,18,7,11,43,0,1,6,2,75,32,21,13,24,46,9,4,8,3,35
080559B0100,8,6,5,8,38,0,2,4,2,43,11,6,6,21,32,11,4,3,1,14
080983C0200,8,14,6,15,43,0,2,8,2,58,28,13,8,24,38,16,2,7,3,30
082771C0100,8,10,3,8,51,0,1,9,5,57,19,22,12,28,24,19,8,7,0,23
080207B0100,8,5,4,7,18,0,1,3,0,27,16,1,3,9,13,7,5,5,0,6
083220B0100,8,17,9,14,42,0,1,10,3,72,39,15,8,26,27,8,5,9,0,28
081340B0100,8,18,2,11,53,0,5,8,10,68,24,17,9,17,29,12,3,7,3,20
082689B0100,8,7,1,1,24,1,0,2,2,22,14,7,4,11,18,12,1,2,1,7
081367B0100,8,2,2,10,32,0,2,1,5,43,21,15,8,14,30,11,3,2,2,23
082420B0100,8,2,2,3,32,0,1,5,5,52,22,16,7,12,21,10,2,6,0,13
082162B0100,8,12,3,7,52,0,0,3,3,52,30,19,7,17,36,18,4,6,0,30
082035B0100,8,4,4,13,34,0,1,6,2,43,24,18,4,15,33,7,7,8,0,23
082190B0100,8,3,2,14,33,0,0,4,2,43,21,18,6,19,27,9,3,8,1,22
080523B0100,8,8,5,8,26,0,1,8,1,36,26,22,6,19,24,15,3,7,1,21
083299B0100,8,8,10,9,53,0,3,4,3,53,20,13,10,19,22,15,4,5,2,32
081996B0100,8,3,9,15,37,1,1,3,3,37,14,12,10,10,29,18,3,5,1,18
082685E0200,8,7,5,7,19,0,0,6,1,27,19,16,9,15,43,12,2,8,2,16
080723C0100,8,6,4,10,28,0,1,9,3,45,15,5,8,17,35,9,2,2,3,15
082743C0100,8,1,1,7,25,0,0,3,4,37,19,8,7,14,27,11,1,6,2,12
080076B0100,8,2,3,13,30,0,1,9,0,54,24,16,12,16,38,13,2,10,1,21
082558B0100,8,9,1,4,11,0,0,1,0,24,9,3,4,4,12,4,1,1,1,8
082173B0100,8,12,5,11,38,1,3,9,2,60,22,13,9,24,35,11,5,7,2,24
083205B0100,8,15,8,14,32,0,0,7,4,62,29,21,5,19,37,15,5,4,3,21
082306B0100,8,5,4,6,36,0,0,3,0,44,29,14,6,14,31,15,3,3,1,22
080780B0100,8,15,2,11,38,1,0,8,4,51,38,24,14,29,42,18,5,9,4,35
082079B0100,8,4,6,5,19,1,0,5,3,37,24,11,5,13,27,9,2,5,1,20
083278C0100,8,15,7,13,46,0,1,5,6,52,26,24,11,23,40,18,4,9,0,23
083087B0100,8,2,7,13,52,1,2,5,1,46,27,27,6,16,29,12,4,4,3,26
080847C0500,8,15,3,16,65,0,1,6,4,74,26,19,5,22,41,20,5,10,3,39
081511B0100,8,12,7,17,41,0,3,5,3,49,27,21,14,27,45,24,4,11,1,32
083217B0100,8,8,5,13,36,0,0,3,2,48,13,10,4,14,20,4,2,3,1,15
082709B0100,8,9,2,4,11,0,1,0,1,17,6,9,7,10,6,3,1,5,1,6
081596B0100,8,13,8,10,45,1,0,8,3,62,25,13,10,19,37,16,1,8,1,29
080657B0100,8,6,3,9,24,0,1,5,1,41,22,17,7,12,33,10,2,3,2,18
080490B0100,8,17,7,21,48,1,2,10,5,74,36,26,13,18,49,18,6,10,1,34
081683B0100,8,13,8,19,37,0,0,8,2,69,32,30,11,24,40,18,3,3,3,36
083282C0200,8,5,6,10,34,0,2,11,3,44,17,14,10,17,35,14,0,8,1,20
081090C0100,8,18,5,16,38,0,2,4,1,51,26,23,10,19,32,13,3,6,3,22
082031B0100,8,4,2,8,30,0,2,7,8,47,25,15,9,15,25,11,4,3,1,11
081916C1400,8,11,7,14,56,0,4,8,7,71,39,14,11,22,45,15,2,10,4,25
082094C0100,8,3,4,6,31,0,3,5,2,41,25,15,9,13,23,12,3,4,0,24
081594B0100,8,13,6,19,33,0,2,8,3,65,30,23,9,13,21,15,7,4,0,33
081955B0100,8,3,9,11,63,0,1,9,4,60,17,15,5,14,35,12,1,2,0,25
083004C0100,8,10,8,19,50,0,1,9,4,63,31,18,9,26,45,9,1,6,1,28
080983B0100,8,14,9,5,41,0,0,8,2,71,41,13,9,27,50,8,4,11,1,27
081010B0100,8,5,1,8,25,0,0,2,0,27,17,8,5,6,9,6,0,1,1,19
080723B0100,8,6,1,6,34,0,1,4,3,40,19,10,10,9,30,17,1,7,0,14
080332C0200,8,16,5,12,55,0,1,6,5,83,37,16,12,22,49,17,5,8,3,29
082800B0100,8,10,11,15,46,1,1,8,2,73,29,15,10,14,33,19,6,3,3,31
082827B0100,8,10,5,16,42,0,2,8,1,60,25,21,4,36,33,19,8,7,0,22
080852E0106,8,17,7,7,43,1,2,4,2,65,24,19,17,23,49,20,3,7,2,32
081799B0100,8,4,8,11,40,0,0,6,2,42,22,20,5,11,23,9,6,5,3,20
080361B0100,8,7,1,5,9,1,1,2,0,13,13,4,0,7,9,0,2,3,0,8
082523B0100,8,7,1,3,26,0,0,6,0,30,15,12,2,15,19,8,1,1,0,10
080772B0100,8,6,4,16,28,0,1,7,2,39,25,11,12,17,24,18,2,6,1,27
081318B0100,8,18,4,8,50,0,0,5,6,65,23,24,10,24,31,16,3,5,1,19
082382B0100,8,7,3,5,18,0,0,3,3,17,9,5,6,9,18,3,0,4,3,7
080848C0100,8,17,4,8,42,1,1,9,4,47,29,21,11,21,26,10,3,5,3,21
081077B0100,8,7,0,2,14,0,0,4,1,20,6,4,3,7,12,6,1,2,2,14
081172B0100,8,7,5,12,28,0,0,4,4,56,26,12,6,20,32,14,2,5,2,19
082160B0100,8,13,5,15,59,0,5,6,3,71,31,20,16,32,40,17,9,8,2,27
083099B0100,8,2,5,5,22,0,0,4,2,27,6,8,7,10,16,6,2,6,1,11
080115B0100,8,9,3,6,45,1,1,6,2,40,17,16,8,27,26,16,3,5,2,24
083303C0100,8,17,2,16,44,2,0,6,3,47,30,18,12,21,40,11,4,6,1,28
081866B0100,8,10,5,18,65,0,0,13,4,69,32,28,10,33,34,23,8,10,0,28
080156C0100,8,11,4,9,41,0,3,4,1,71,23,18,11,26,43,16,6,9,0,27
080591B0100,8,8,5,9,31,1,2,1,5,59,26,11,6,17,32,14,5,5,1,19
082448C0200,8,2,5,7,38,0,3,8,0,49,23,13,8,19,25,14,4,2,2,17
081827C0300,8,11,8,8,39,0,2,4,5,70,24,18,10,20,35,18,3,7,0,31
080689C0100,8,17,6,22,45,0,3,9,6,55,30,11,17,21,43,19,9,6,6,30
081888C0300,8,11,2,10,43,0,0,3,2,67,27,15,9,29,36,15,3,6,4,24
080527C0100,8,8,5,11,34,0,1,3,1,53,32,11,11,19,32,13,4,6,3,16
081328B0100,8,9,3,10,33,0,2,6,1,52,16,14,9,19,35,15,3,4,1,14
081359B0100,8,11,6,7,49,0,2,4,2,84,37,13,14,22,46,11,3,10,1,28
082759B0100,8,1,3,9,42,0,1,2,2,55,20,19,7,13,32,13,3,5,1,12
083153C0100,8,2,4,7,33,0,1,6,2,44,25,10,6,14,27,18,2,10,1,26
080192C0300,8,14,5,16,40,0,4,8,3,83,39,21,6,17,38,16,4,10,2,36
082928B0100,8,2,6,9,32,0,1,2,0,33,23,10,8,12,33,13,0,6,0,26
081683C1400,8,13,3,12,57,0,0,5,4,69,32,18,10,25,46,21,6,7,3,29
082979B0100,8,1,4,5,32,0,0,4,0,53,13,8,6,14,27,10,4,2,0,16
081797B0100,8,13,8,16,63,0,0,6,5,79,38,19,14,26,41,23,6,3,2,30
081517B0100,8,12,5,9,42,1,2,7,4,51,27,15,8,28,33,14,3,7,1,23
080583B0100,8,17,4,9,45,1,1,10,1,56,34,14,7,17,27,12,1,6,1,18
082114B0100,8,3,7,9,32,0,0,5,1,57,29,12,9,22,31,8,1,7,1,25
080977B0100,8,5,3,8,25,1,2,6,3,29,18,17,9,16,28,8,6,3,0,13
080258B0100,8,9,4,7,25,0,1,1,0,19,10,8,3,6,12,2,1,3,0,7
082803C0100,8,10,5,7,38,1,1,4,3,64,25,10,8,18,24,10,4,6,0,24
080294B0100,8,7,3,7,20,0,2,7,1,34,16,15,2,10,19,8,3,3,0,14
081432C0100,8,3,7,5,46,1,1,6,0,48,22,15,9,14,24,7,3,3,0,18
080192C0500,8,14,4,12,51,0,2,9,2,63,28,7,10,25,44,10,11,10,0,28
082632B0100,8,14,4,9,54,0,2,5,3,57,27,17,5,16,31,13,4,4,3,12
080919B0100,8,7,3,8,43,1,1,2,2,54,23,17,6,24,22,17,3,7,1,22
080412C0100,8,6,8,7,27,0,0,3,2,42,16,10,6,13,25,7,1,5,2,17
083235B0100,8,17,4,18,56,1,0,7,1,81,36,18,10,22,32,18,9,9,1,28
081677B0100,8,4,4,11,39,1,0,4,4,41,27,15,12,15,26,10,1,4,2,19
081635C0100,8,4,4,6,32,0,0,3,5,36,27,11,10,16,30,8,5,9,1,14
081642C0800,8,13,6,19,48,1,1,12,0,92,26,27,6,23,42,17,9,12,6,35
080666B0100,8,17,6,6,43,1,3,11,2,61,29,12,15,26,48,9,4,10,4,26
080114C0200,8,18,4,12,55,0,1,5,2,60,37,18,13,22,32,22,6,3,1,34
081718B0100,8,4,7,6,42,1,0,4,2,55,21,13,3,16,24,12,5,6,1,19
083283B0100,8,14,10,12,38,0,1,4,1,51,30,18,11,24,43,12,6,11,2,25
081406C0200,8,5,3,13,40,0,0,7,3,44,31,18,12,19,24,16,6,3,3,19
081218C0100,8,16,5,14,39,0,2,8,7,55,28,11,11,25,52,21,5,6,3,16
082120C0300,8,12,4,19,51,0,2,11,7,69,31,22,11,25,49,22,7,7,2,28
082777C0100,8,1,3,7,37,0,1,3,2,40,25,10,7,10,21,7,5,5,1,19
083239C0100,8,8,7,13,38,0,2,8,3,49,24,10,12,26,25,11,4,4,2,26
080713C0100,8,17,4,10,30,0,1,7,2,49,33,17,6,27,35,22,7,8,2,24
080598B0100,8,8,2,8,27,0,2,4,3,42,21,10,5,19,25,12,4,4,1,18
082757B0100,8,1,4,8,35,0,3,1,2,53,23,15,11,15,20,9,3,4,2,15
080991E0102,8,14,7,6,40,0,2,7,7,57,37,15,7,20,33,19,8,9,1,30
082833C0100,8,12,5,10,48,0,5,9,2,61,25,13,10,24,38,17,4,8,6,25
080608E0202,8,15,6,8,43,0,0,11,4,65,26,17,6,25,37,10,3,8,2,14
080912B0100,8,16,9,15,51,2,2,9,5,55,36,22,13,41,41,15,6,11,1,29
082936C0100,8,2,6,7,26,0,1,2,1,30,23,17,10,7,21,10,3,6,2,15
082597B0100,8,9,1,5,16,0,1,5,0,19,7,8,4,3,10,6,1,0,2,6
080002S0100,8,2,10,19,73,0,2,9,6,116,59,38,17,51,80,35,7,19,3,57
081046C0100,8,16,10,11,49,0,6,8,3,62,25,17,11,23,40,10,3,5,0,30
080510B0100,8,15,7,7,31,0,0,5,4,62,37,19,12,22,32,24,2,9,1,23
081891B0100,8,10,8,9,58,0,2,7,7,60,40,15,9,26,34,23,3,3,4,26
082117B0100,8,3,2,6,35,0,1,5,4,48,20,18,9,15,24,17,5,4,1,15
083221C0200,8,17,6,9,49,0,3,6,3,51,30,16,7,21,34,16,4,11,1,27
081107C0100,8,18,4,11,36,0,2,10,1,61,29,18,9,24,50,15,9,6,0,34
083225C0200,8,17,11,15,48,0,0,8,3,65,25,18,19,16,35,12,6,4,2,34
081143B0100,8,18,3,11,45,0,2,6,4,69,38,15,7,16,43,20,2,7,1,19
081924C0100,8,1,2,11,30,0,0,3,3,34,15,9,4,17,16,11,1,9,1,16
082823C0800,8,10,7,21,52,0,0,12,6,60,35,23,12,18,44,18,3,10,0,25
083287C0100,8,17,5,7,29,1,1,6,1,55,32,14,8,16,34,19,2,7,2,15
080989C0100,8,5,0,14,26,0,0,4,1,42,17,17,5,11,17,19,1,2,1,14
083305B0100,8,17,7,15,61,1,1,9,3,64,33,24,7,17,38,17,4,5,2,26
082357B0100,8,7,4,12,26,0,1,9,1,28,22,10,6,8,24,9,3,2,1,17
082814C0200,8,10,8,16,60,0,3,14,2,85,25,20,11,23,38,21,7,9,5,37
080641C0600,8,15,6,14,62,0,2,14,4,66,40,25,6,22,45,20,6,9,3,30
082815C0900,8,10,6,17,59,0,0,8,3,66,43,20,11,31,46,17,2,6,5,27
081123B0100,8,18,6,18,41,0,3,5,7,59,32,22,19,19,34,29,10,9,5,30
081785B0100,8,13,7,8,42,1,1,7,6,47,26,20,4,14,46,15,6,11,0,26
082338B0100,8,7,2,0,22,0,1,3,1,27,12,3,2,6,13,11,2,4,0,13
083238B0100,8,17,4,16,38,0,0,7,2,71,27,21,13,28,29,16,7,13,1,26
082760C0100,8,10,6,15,51,0,4,9,8,65,27,12,12,24,27,23,5,5,0,25
080805C0900,8,15,7,12,63,0,2,4,2,76,46,15,15,24,37,19,2,5,2,37
081945E0100,8,11,12,20,56,0,2,4,5,52,37,25,7,28,38,16,3,9,1,29
081287B0100,8,9,3,3,38,1,1,3,1,35,19,11,7,15,17,7,3,5,1,19
081960B0100,8,3,6,9,33,0,0,5,2,26,17,9,9,13,28,9,1,5,1,18
081578B0100,8,13,10,16,40,0,0,10,4,63,33,20,8,28,44,23,8,6,0,27
080133C0100,8,16,8,13,64,0,1,6,8,54,23,26,10,26,51,18,5,6,2,29
080806B0100,8,15,5,9,39,0,1,4,2,53,23,13,11,16,39,18,4,6,1,26
082475B0100,8,7,3,6,23,0,1,6,0,34,13,11,2,9,15,4,0,5,1,16
080586B0100,8,8,5,9,40,0,0,3,4,43,22,15,7,13,34,7,2,5,2,12
081273C0200,8,9,4,9,41,0,2,8,4,47,27,21,6,29,28,16,3,5,3,17
082109C0100,8,13,3,13,45,0,1,5,2,58,24,17,7,16,37,15,2,5,3,18
080256B0100,8,9,1,2,20,0,0,6,1,23,11,5,2,7,11,5,3,2,0,15
082355B0100,8,7,0,2,6,0,0,1,0,6,4,3,2,7,2,3,1,2,0,8
080019B0100,8,5,3,16,45,0,1,7,1,48,20,15,7,16,32,12,3,8,0,21
080083B0100,8,16,8,11,57,1,6,4,5,81,37,22,18,29,47,20,5,11,2,22
081597B0100,8,13,7,19,45,0,4,6,0,67,40,16,18,23,46,25,3,6,0,28
080736B0100,8,15,7,9,41,0,2,12,9,59,23,21,9,21,29,19,4,5,0,18
080107B0100,8,18,5,13,25,0,3,11,1,69,42,19,8,26,42,16,3,5,5,22
080553C0100,8,6,8,6,34,1,1,1,1,48,19,20,5,14,32,7,4,2,0,15
081446B0100,8,4,3,7,26,0,0,5,1,41,21,8,4,5,26,12,6,8,0,19
082486C0100,8,5,10,6,34,0,1,7,3,47,20,9,8,11,19,14,5,6,1,18
080070C0100,8,11,4,13,44,0,2,5,4,57,26,25,13,33,49,22,6,11,2,29
080608E0400,8,15,3,9,46,1,2,7,3,62,29,21,12,15,36,12,3,9,0,30
081916C0800,8,11,7,19,53,4,1,5,4,69,33,18,9,35,49,21,9,9,2,33
082880B0100,8,6,6,11,26,0,1,7,3,47,17,15,7,12,31,7,3,2,2,23
080279C0200,8,16,5,10,49,0,0,14,3,62,29,17,14,31,29,9,5,12,1,30
082845C0100,8,6,2,12,42,0,0,7,2,49,17,10,7,12,20,12,1,5,2,16
080051B0100,8,9,0,2,9,0,0,1,2,13,12,7,4,6,6,5,3,0,0,7
082924B0100,8,11,6,15,51,0,1,5,2,62,17,18,11,22,37,22,2,10,3,28
082846B0100,8,6,2,11,35,0,2,5,3,49,17,8,4,20,28,13,3,5,1,22
080872B0100,8,17,10,10,51,0,0,5,4,44,26,19,17,19,32,17,4,5,1,21
080998E0101,8,5,16,9,28,0,0,6,1,39,19,9,8,18,26,3,5,6,1,19
080261C0100,8,14,4,6,55,0,3,12,7,57,31,12,8,32,33,19,6,6,1,20
080380B0100,8,7,2,3,17,0,2,3,0,24,11,11,13,10,17,8,5,1,2,12
080964B0100,8,5,6,8,21,0,0,6,0,40,19,16,7,16,24,15,4,3,2,15
081867B0100,8,1,6,13,44,0,1,6,4,42,27,23,5,14,28,21,5,8,2,24
080561B0100,8,15,5,12,45,1,4,7,3,73,29,23,13,19,31,23,6,5,0,28
080415C0100,8,6,5,7,32,1,0,5,0,33,25,13,5,16,20,10,3,4,3,10
082189C0200,8,12,2,11,39,0,1,4,3,69,37,26,17,26,48,22,5,8,1,23
081587B0100,8,4,3,10,43,0,1,6,6,45,25,17,14,17,39,16,4,4,2,19
082319C0100,8,5,6,10,28,0,2,4,2,48,21,11,5,14,24,14,3,5,1,18
080727B0100,8,6,6,4,51,0,1,6,3,62,23,18,8,23,35,7,4,3,1,22
082002B0100,8,12,3,7,55,0,1,10,5,52,38,16,6,23,32,15,7,8,2,25
