CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PT_PVEM_PANAL,PT_MORENA_PANAL,PVEM_MORENA_PANAL,PT_PVEM,PT_MORENA,PT_PANAL,PVEM_MORENA,PVEM_PANAL,MORENA_PANAL,MC,PAZ,MD,PP,PES,RSP,FPM,CNR,NULOS
320015B0100,32,5,1,1,5,16,2,0,2,10,2,0,7,2,11,7,2,3,4,1,23,7,3,1,5,8,40,2,2,0,5,5,9
320015C0100,32,5,0,2,8,14,0,1,1,10,3,2,1,4,12,7,3,4,0,3,17,12,3,1,3,9,47,4,1,0,1,11,8
320016B0100,32,9,1,0,2,2,0,2,2,4,2,2,1,1,1,5,4,5,1,0,7,7,5,1,4,2,22,0,1,0,3,4,3
320017B0100,32,9,0,0,21,21,6,1,0,11,2,2,7,4,22,11,2,10,6,0,30,28,3,2,8,9,61,0,3,0,4,15,7
320017C0100,32,9,4,0,9,22,1,3,1,12,4,2,8,0,19,16,9,6,5,2,28,21,10,4,4,9,67,4,1,0,2,16,13
320018B0100,32,9,1,0,10,18,2,4,0,17,3,1,8,3,23,12,6,11,7,0,27,24,4,6,5,10,73,2,4,0,6,14,7
320019B0100,32,9,0,2,3,20,1,0,1,5,0,1,3,3,12,3,3,4,2,0,16,13,4,1,5,8,35,1,2,0,3,10,3
320020B0100,32,9,2,1,6,15,7,1,3,11,2,2,6,1,13,8,3,4,3,2,25,19,1,2,5,5,44,2,2,0,2,6,9
320021B0100,32,9,0,0,7,4,0,1,1,2,0,0,2,2,1,2,1,1,5,0,3,3,2,3,1,0,16,1,0,0,1,3,3
320022B0100,32,5,0,2,6,12,6,1,3,5,2,2,4,1,10,5,5,7,5,2,21,20,4,0,2,6,45,1,1,0,5,8,5
320022C0100,32,5,0,1,8,10,2,2,1,5,3,1,4,0,8,5,1,7,5,2,26,17,4,1,5,2,60,2,1,0,6,10,8
320023B0100,32,2,1,1,5,8,1,1,2,9,2,1,5,0,14,4,4,7,6,0,23,10,4,1,4,3,33,1,3,0,2,5,10
320024B0100,32,9,2,0,9,9,1,2,1,7,1,3,5,0,12,3,5,6,3,0,23,15,6,2,7,5,59,1,4,0,1,13,8
320026B0100,32,9,2,0,3,8,0,0,2,6,0,0,2,0,10,4,1,6,0,1,8,8,2,2,6,1,31,1,1,0,2,7,6
320027B0100,32,9,1,0,0,10,0,0,0,4,0,0,3,0,5,4,2,3,1,0,14,7,1,0,1,1,15,1,0,0,1,7,1
320028B0100,32,9,0,0,3,11,1,0,0,4,4,1,2,0,8,5,2,2,5,1,8,5,2,1,2,4,24,1,0,0,0,9,3
320029B0100,32,9,2,0,3,2,0,0,0,3,0,1,4,0,4,2,2,1,0,0,2,1,2,0,3,2,12,1,0,0,1,3,0
320031B0100,32,2,2,1,19,10,0,3,0,8,1,0,1,1,9,8,3,5,5,1,22,19,2,1,7,3,56,1,1,0,1,10,8
320032B0100,32,9,1,1,14,13,3,1,1,10,2,1,6,2,9,9,5,3,3,0,23,17,5,4,10,7,60,3,2,0,10,12,8
320033B0100,32,2,1,2,12,16,2,0,1,6,4,2,10,0,8,5,2,2,4,2,28,21,4,3,6,6,46,0,4,0,4,9,6
320034B0100,32,5,0,0,13,18,1,1,1,5,1,1,11,0,18,10,2,4,5,0,21,14,5,2,9,7,52,2,1,0,1,17,5
320035B0100,32,5,1,1,13,13,1,0,3,9,4,1,5,5,23,13,2,10,12,0,31,27,4,3,9,9,69,5,3,0,6,15,10
320036B0100,32,2,0,0,6,12,1,0,2,9,2,2,9,1,10,4,6,5,4,0,22,14,1,2,9,2,50,2,2,0,2,12,6
320037B0100,32,9,0,0,2,8,1,1,0,3,3,1,2,3,10,4,2,3,3,1,22,3,2,3,2,5,40,1,2,0,1,7,3
320038B0100,32,9,2,2,11,10,0,0,0,7,1,1,5,0,14,2,3,5,4,0,19,18,3,2,5,5,44,1,0,0,2,10,10
320039B0100,32,9,0,2,1,6,0,1,0,8,0,2,1,2,3,0,0,3,1,0,12,2,4,0,4,3,21,1,1,0,4,7,1
320040B0100,32,1,1,1,6,15,5,1,3,16,2,2,5,2,24,7,7,11,7,1,38,29,2,1,8,11,97,5,2,0,4,29,17
320040C0100,32,1,1,0,10,25,3,2,5,10,0,1,10,5,30,14,5,7,7,0,39,25,7,7,6,6,79,0,3,0,6,18,16
320040C0200,32,1,2,3,13,17,6,1,4,10,5,1,8,3,24,10,10,9,12,2,45,30,4,1,8,6,77,1,3,0,6,16,23
320040C0300,32,1,2,4,20,20,1,1,2,16,3,2,13,5,23,13,7,8,6,1,45,29,7,3,8,12,94,0,3,0,3,19,13
320040C0400,32,1,1,3,12,22,3,4,1,16,3,1,9,5,15,11,7,7,6,2,48,29,5,4,6,14,85,2,4,0,4,20,13
320041B0100,32,4,1,1,12,22,4,1,1,12,3,1,9,7,20,15,7,5,8,2,30,30,3,5,5,9,83,1,3,0,5,15,19
320041C0100,32,4,0,1,13,13,2,2,1,15,2,2,5,3,25,12,5,8,9,1,40,23,11,3,8,14,69,4,1,0,8,17,11
320041C0200,32,4,2,3,15,27,1,1,0,7,6,1,10,1,28,17,3,9,8,2,38,26,14,2,9,9,75,2,3,0,7,19,19
320042B0100,32,1,0,0,12,22,1,2,0,12,2,1,8,1,26,11,6,10,3,1,22,22,9,1,6,10,75,5,1,0,4,15,17
320043B0100,32,1,3,0,14,15,1,1,4,7,1,0,5,3,22,5,2,6,6,2,16,22,3,1,5,11,41,0,4,0,3,9,10
320043C0100,32,1,3,0,6,14,1,0,1,3,3,1,2,2,13,11,4,10,6,1,27,19,1,1,7,7,42,1,1,0,3,12,4
320044B0100,32,1,1,2,6,20,1,2,2,14,4,0,9,2,16,7,9,6,3,0,38,25,2,4,8,12,70,1,3,0,6,19,11
320044C0100,32,1,1,5,13,25,0,4,0,12,5,0,9,2,21,9,5,4,3,0,28,24,6,4,11,10,66,1,2,0,3,16,10
320045B0100,32,1,1,3,13,17,5,2,2,8,3,2,9,0,16,9,2,6,2,0,16,21,1,0,6,9,58,4,4,0,3,13,10
320045C0100,32,1,1,0,13,16,2,0,2,14,1,1,4,0,15,8,2,9,5,0,27,13,3,3,5,4,66,3,0,0,6,14,15
320046B0100,32,1,1,1,12,12,3,0,3,11,0,0,2,2,10,5,2,6,7,0,23,17,2,3,6,2,47,2,3,0,3,13,2
320046C0100,32,1,1,1,11,15,1,2,3,8,2,0,7,2,13,6,4,6,5,1,11,12,4,3,5,4,57,2,2,0,3,10,10
320047B0100,32,1,0,0,8,14,1,0,2,7,2,0,3,1,17,8,3,4,4,1,25,16,3,3,4,4,30,1,1,0,2,20,6
320047C0100,32,1,1,1,8,10,2,0,2,8,0,2,8,1,7,4,2,5,6,1,19,17,5,0,5,2,56,0,1,0,6,7,13
320048B0100,32,1,1,2,20,18,4,1,3,11,3,2,9,7,22,9,1,9,12,1,32,29,5,4,6,7,84,2,2,0,4,14,15
320048C0100,32,1,0,0,13,15,1,1,3,19,5,0,10,1,20,10,6,12,10,0,30,24,2,4,9,9,87,2,2,0,10,14,15
320048C0200,32,1,1,3,12,17,0,1,1,13,6,2,11,3,15,13,4,11,8,2,31,28,5,2,5,11,79,3,9,0,6,14,13
320048E0100,32,1,1,0,3,20,5,0,3,8,2,3,8,2,18,10,3,4,7,1,41,30,4,2,6,8,51,2,1,0,3,20,8
320048E0101,32,1,2,1,9,20,3,1,0,8,3,2,6,3,18,9,1,13,6,2,29,20,4,2,7,11,69,5,3,0,5,16,9
320048E0102,32,1,1,0,8,21,1,2,3,10,2,2,5,2,23,9,2,5,7,1,25,21,6,1,11,8,77,4,3,0,6,12,10
320048E0103,32,1,2,3,12,20,3,2,4,15,1,3,12,2,18,9,0,4,9,2,31,26,3,1,8,9,62,2,4,0,4,8,7
320049B0100,32,1,0,3,14,26,3,2,0,11,4,1,9,3,18,10,5,3,4,2,40,25,4,4,5,6,69,2,2,0,4,17,5
320050B0100,32,1,2,2,11,21,2,0,1,12,1,2,10,1,24,10,4,7,6,2,25,21,6,5,5,8,57,3,4,0,9,14,12
320050C0100,32,1,4,2,9,18,0,0,2,13,3,3,5,2,14,10,5,5,8,0,32,18,6,1,10,8,66,0,1,0,3,17,8
320050S0100,32,1,2,2,24,43,7,2,4,17,11,2,11,6,35,17,6,20,16,2,72,39,13,5,18,20,130,4,3,0,11,35,12
320051B0100,32,1,2,1,10,21,1,1,0,5,0,2,5,2,12,5,2,1,3,2,24,15,5,2,6,5,38,3,1,0,1,13,12
320051C0100,32,1,2,0,8,11,3,1,2,4,2,1,5,2,15,2,4,5,7,1,24,20,1,6,3,11,54,1,1,0,3,11,7
320052B0100,32,1,1,3,5,14,3,0,1,10,4,3,11,5,17,10,2,11,10,4,26,33,4,11,11,10,78,0,3,0,3,16,16
320053B0100,32,1,0,0,21,30,8,0,0,5,4,1,8,3,24,12,6,9,10,2,40,23,5,4,7,11,74,4,1,0,7,18,12
320053C0100,32,1,1,3,10,35,3,0,2,14,2,2,2,1,23,10,6,8,7,6,26,34,3,2,7,3,84,1,2,0,6,21,17
320053C0200,32,1,4,0,12,20,2,1,2,12,4,0,8,4,18,9,8,17,12,3,35,32,4,3,10,8,82,2,0,0,6,24,16
320054B0100,32,1,0,3,11,24,2,3,1,19,3,0,7,2,16,11,5,8,4,0,28,22,5,4,6,6,67,1,4,0,3,19,15
320054C0100,32,1,1,1,9,20,4,3,1,10,2,1,6,2,17,18,10,12,6,2,32,23,2,4,7,8,59,3,7,0,6,20,13
320054C0200,32,1,1,0,6,17,3,0,1,13,4,4,7,2,21,11,5,7,9,4,33,26,6,4,8,13,73,9,4,0,5,21,8
320054C0300,32,1,0,4,14,20,5,0,0,13,1,3,5,6,29,6,4,12,7,0,27,22,3,5,7,11,72,1,1,0,4,17,13
320054C0400,32,1,3,2,6,22,1,0,3,19,2,2,6,2,20,10,5,6,8,3,31,19,6,3,11,6,72,6,3,0,5,19,7
320054C0500,32,1,0,1,10,20,3,1,0,12,8,3,12,1,18,8,5,6,10,2,37,11,5,2,5,10,62,4,3,0,3,18,12
320055B0100,32,1,3,1,9,17,2,1,1,12,4,3,8,3,13,10,6,7,9,2,27,22,6,3,11,6,56,1,2,0,5,13,8
320055C0100,32,1,1,1,8,20,2,2,2,5,2,0,8,1,17,7,5,8,7,1,18,19,6,3,8,5,57,1,4,0,5,10,5
320055C0200,32,1,1,2,8,14,4,1,3,8,6,1,3,2,16,7,6,8,9,0,21,21,5,1,8,8,68,2,0,0,7,11,8
320056B0100,32,12,3,2,8,22,0,1,2,11,1,3,10,2,16,10,4,10,5,3,37,18,3,2,8,7,68,3,0,0,3,13,6
320056C0100,32,12,1,2,12,16,3,2,1,8,3,1,6,1,19,8,4,11,6,1,34,22,6,0,1,6,66,0,2,0,1,16,7
320056C0200,32,12,0,5,10,12,1,1,1,14,1,1,7,3,21,10,3,4,6,3,22,21,2,4,6,10,72,0,6,0,3,20,10
320057B0100,32,12,2,0,10,20,2,1,2,8,2,0,6,2,9,9,6,8,4,2,25,20,8,4,8,7,61,1,1,0,3,17,12
320057C0100,32,12,3,0,7,18,0,0,0,7,2,4,10,0,13,6,3,5,6,0,17,23,7,1,5,11,45,3,5,0,1,19,15
320057C0200,32,12,0,1,4,21,4,1,3,4,4,2,10,2,13,9,5,8,6,2,17,25,6,0,7,3,70,1,1,0,5,15,10
320058B0100,32,8,1,2,6,20,1,0,0,16,1,0,5,3,10,9,3,7,4,1,17,22,6,1,3,3,48,3,1,0,2,13,9
320058C0100,32,8,0,1,8,15,2,0,3,10,3,1,2,2,14,9,1,5,6,3,23,13,8,4,4,10,49,2,3,0,3,9,9
320059B0100,32,12,1,1,10,13,1,1,0,7,1,0,5,2,23,14,3,13,8,1,20,19,6,3,7,7,62,2,5,0,9,14,9
320060B0100,32,8,1,0,2,6,1,0,0,1,0,0,1,0,3,3,0,2,0,1,4,0,2,1,2,1,17,2,1,0,3,2,2
320061B0100,32,8,5,2,6,11,2,0,0,6,2,1,10,3,13,8,3,10,2,2,25,17,6,2,12,4,52,1,3,0,2,5,7
320061C0100,32,8,2,2,14,12,3,2,2,6,0,1,3,4,5,7,3,2,7,1,28,18,8,3,5,2,49,1,1,0,0,11,6
320062B0100,32,4,1,0,10,18,3,3,1,14,2,0,4,4,23,10,6,9,12,1,24,23,6,6,2,10,76,0,3,0,5,14,5
320063B0100,32,12,1,1,9,20,1,0,0,13,4,0,6,2,16,5,3,12,3,0,39,19,5,5,5,11,86,0,1,0,3,11,17
320064B0100,32,8,0,1,14,9,1,1,0,6,1,1,7,4,21,4,8,6,5,0,23,22,1,0,8,7,43,3,3,0,2,13,10
320064C0100,32,8,1,2,5,15,2,0,3,7,3,1,4,1,18,8,4,7,8,1,25,22,9,4,3,9,72,1,1,0,0,8,6
320065B0100,32,4,0,2,12,14,2,1,0,8,3,1,6,3,11,5,3,5,2,1,25,13,1,2,8,10,50,2,0,0,5,9,2
320066B0100,32,4,1,1,17,18,5,0,6,11,6,3,6,1,24,15,5,10,5,2,34,20,7,10,10,6,79,5,3,0,0,19,10
320067B0100,32,1,1,1,7,10,2,2,1,8,2,0,6,3,14,9,3,6,4,0,19,19,6,2,3,8,42,3,2,0,3,6,9
320068B0100,32,8,0,1,9,9,4,0,1,4,1,0,4,0,8,1,0,3,2,2,5,8,2,0,2,1,27,1,0,0,1,4,4
320069B0100,32,8,1,2,13,11,4,0,1,6,2,0,2,2,18,4,3,5,3,3,25,21,3,4,4,7,49,1,0,0,1,6,5
320069C0100,32,8,1,0,7,13,3,0,4,9,2,0,9,1,12,5,2,5,3,2,22,17,3,2,2,5,42,3,0,0,1,11,11
320070B0100,32,12,3,2,9,12,1,0,1,7,2,3,11,0,10,9,4,9,3,0,17,16,1,3,5,7,45,3,3,0,5,15,13
320073B0100,32,6,3,0,15,17,2,0,3,9,4,1,7,3,16,9,3,11,5,2,31,19,7,5,14,12,81,7,3,0,5,18,11
320074B0100,32,6,3,0,13,17,2,0,1,12,2,2,7,3,22,11,2,4,5,0,25,19,4,5,7,6,68,6,3,0,5,11,8
320075B0100,32,6,2,2,14,16,1,1,0,9,1,1,4,2,17,7,6,3,6,4,20,18,8,4,6,7,60,3,3,0,3,9,7
320076B0100,32,6,1,1,9,22,3,2,5,6,7,2,11,1,26,8,5,7,8,2,37,27,6,2,8,8,72,0,4,0,2,16,10
320076C0100,32,6,2,1,12,16,4,0,2,7,1,2,8,1,18,11,5,13,6,2,25,25,5,4,8,11,63,4,2,0,6,17,12
320076S0100,32,6,5,0,19,40,4,3,4,28,6,4,10,7,29,12,9,13,11,6,56,52,5,6,15,19,137,7,3,0,7,38,23
320077B0100,32,6,0,1,10,6,1,0,1,7,1,3,2,3,14,5,7,5,1,2,19,11,5,3,7,3,57,3,1,0,3,5,8
320077C0100,32,6,0,0,15,14,2,0,2,5,2,1,3,2,14,4,3,5,5,2,18,10,3,0,3,8,42,0,1,0,1,6,3
320078B0100,32,6,3,0,6,17,1,2,1,9,1,2,7,2,26,6,7,9,7,0,29,15,3,4,6,8,68,5,4,0,2,20,14
320079B0100,32,6,1,3,14,19,4,0,2,5,3,1,6,3,12,10,7,8,8,1,27,20,3,4,4,8,66,2,2,0,3,14,11
320079C0100,32,6,1,2,6,18,5,1,1,5,4,2,0,3,18,8,4,7,2,0,31,18,7,0,9,3,66,6,0,0,5,11,10
320080B0100,32,6,1,3,5,16,2,1,1,6,6,1,5,2,17,6,4,6,3,1,24,16,5,4,3,1,53,2,4,0,0,8,9
320080C0100,32,6,1,0,8,6,1,0,0,9,2,2,5,3,14,7,2,6,4,2,24,18,0,8,5,4,45,1,1,0,1,8,8
320082B0100,32,13,1,0,6,15,2,1,1,8,4,4,4,2,15,4,5,6,5,2,26,13,4,1,7,4,43,1,0,0,3,4,9
320083B0100,32,13,1,0,4,12,2,1,0,2,1,0,2,2,8,4,2,6,3,3,8,10,1,1,2,6,36,1,1,0,4,7,6
320084B0100,32,6,0,5,19,26,4,4,3,13,2,1,8,2,27,16,3,14,7,5,35,33,10,4,5,14,88,3,0,0,7,26,14
320085B0100,32,10,1,1,3,4,1,0,0,3,2,0,0,1,10,3,4,3,3,0,10,3,1,0,4,2,24,3,0,0,3,7,6
320086B0100,32,10,1,0,5,3,1,1,2,3,0,0,3,2,5,5,2,4,2,0,15,6,2,2,3,5,27,1,0,0,1,5,1
320087B0100,32,10,0,0,3,8,0,0,1,5,0,1,3,1,4,2,3,1,0,1,7,3,1,0,2,6,17,3,0,0,1,3,2
320091B0100,32,13,1,1,7,4,2,1,0,3,0,1,4,2,6,10,1,6,2,1,6,10,1,0,2,4,29,1,0,0,5,4,4
320092B0100,32,10,1,0,3,9,3,0,2,7,0,0,5,0,8,3,1,3,2,0,11,4,0,2,1,4,28,0,0,0,1,9,3
320093B0100,32,10,0,0,1,2,2,0,0,6,0,0,2,1,1,1,0,0,1,0,2,6,0,0,2,1,16,1,0,0,1,2,4
320094B0100,32,10,0,1,7,4,2,1,0,5,1,1,4,1,5,4,4,4,1,0,5,10,0,0,1,4,25,2,0,0,1,5,5
320095B0100,32,10,0,0,2,3,0,0,0,3,0,0,2,1,3,0,2,1,0,1,3,7,0,0,3,2,14,1,0,0,1,2,2
320096B0100,32,10,0,0,4,6,1,0,0,7,1,1,1,0,6,4,2,7,1,3,16,10,3,0,2,4,29,1,1,0,3,6,6
320098B0100,32,10,0,1,4,2,1,0,1,3,0,1,2,3,10,2,2,3,0,0,13,4,2,4,3,4,32,2,1,0,1,7,3
320099B0100,32,10,0,0,6,5,2,0,0,4,1,1,2,0,11,7,3,0,2,0,11,14,1,1,4,3,28,1,1,0,0,11,5
320103B0100,32,9,2,0,10,16,1,0,0,8,0,0,7,3,18,12,0,10,2,0,25,13,10,6,4,7,44,1,0,0,3,11,13
320103C0100,32,9,1,1,9,13,5,0,2,9,5,3,5,2,14,15,7,7,3,0,21,13,1,2,10,3,57,4,2,0,0,12,11
320104B0100,32,5,0,1,7,19,2,0,1,14,1,2,4,2,18,5,3,12,2,1,28,26,6,1,5,6,63,4,0,0,3,17,16
320104C0100,32,5,0,2,19,19,5,0,3,9,1,3,4,1,21,6,1,3,9,1,22,25,3,1,5,6,61,0,0,0,6,6,12
320105B0100,32,9,1,3,17,22,3,2,1,7,5,2,8,2,32,10,5,10,8,3,44,18,10,4,7,8,78,4,3,0,6,26,11
320105C0100,32,9,1,0,17,20,1,0,1,11,3,2,7,6,22,14,3,15,5,7,30,24,10,3,7,14,79,2,2,0,10,14,20
320106B0100,32,9,1,3,6,11,0,0,1,9,1,1,3,4,15,11,3,6,5,2,18,21,2,4,7,4,47,3,3,0,8,8,8
320106C0100,32,9,0,1,7,13,3,4,0,7,3,3,0,1,17,8,3,8,4,3,21,14,5,1,7,7,54,1,5,0,6,11,8
320107B0100,32,9,5,1,8,9,4,3,0,7,3,2,3,1,17,8,5,5,4,2,25,10,2,2,7,3,52,2,2,0,3,9,7
320107C0100,32,9,1,1,3,12,4,1,1,4,0,2,7,2,14,6,3,4,5,2,22,18,7,1,6,7,48,1,2,0,2,8,6
320108B0100,32,9,3,0,17,22,3,3,0,9,5,2,8,4,27,18,6,16,7,2,34,32,7,3,11,8,74,1,2,0,4,22,16
320108C0100,32,9,1,0,16,24,6,2,0,9,8,1,6,3,18,11,6,14,8,0,36,19,9,2,5,9,83,3,0,0,5,22,14
320109B0100,32,9,1,2,8,13,0,1,2,5,1,1,6,4,12,2,3,4,3,0,15,20,4,0,6,5,48,1,3,0,2,16,8
320110B0100,32,9,1,2,12,18,3,4,0,12,2,0,6,1,19,5,4,6,7,2,26,24,6,4,4,10,71,3,4,0,4,19,5
320111B0100,32,9,0,0,6,8,4,0,1,8,0,2,3,2,11,7,1,3,2,3,19,14,4,1,4,10,39,1,1,0,0,9,9
320112B0100,32,9,0,7,8,11,1,1,0,6,1,0,6,1,14,4,9,10,4,1,21,18,3,4,2,9,65,3,2,0,2,18,13
320112C0100,32,9,0,2,13,8,6,3,0,10,2,0,5,2,14,3,2,5,11,3,29,22,6,2,10,7,44,1,2,0,2,17,8
320113B0100,32,9,2,1,5,9,4,0,0,4,1,0,6,1,12,5,2,7,1,2,13,11,5,1,6,5,31,1,1,0,3,11,3
320114B0100,32,4,1,1,10,13,4,0,3,12,6,0,5,0,18,3,8,10,9,2,31,28,6,1,11,8,78,1,3,0,5,14,11
320115B0100,32,4,2,1,17,22,5,1,1,10,5,1,12,3,18,11,7,5,4,3,20,21,3,4,7,9,71,2,2,0,4,13,10
320116B0100,32,12,2,1,10,19,1,1,2,12,2,0,9,2,20,14,1,8,4,1,29,34,4,0,9,4,62,0,1,0,6,19,8
320117B0100,32,1,1,1,6,11,2,1,1,9,2,3,1,4,12,7,1,7,2,1,13,12,1,3,3,8,39,2,1,0,3,14,6
320118B0100,32,4,2,0,4,11,2,1,1,7,2,2,4,1,15,8,3,7,5,0,23,25,4,4,6,4,42,1,2,0,3,11,8
320119B0100,32,4,2,0,4,15,3,4,0,14,2,3,3,3,22,13,10,13,7,2,32,29,6,2,5,11,83,6,6,0,3,19,20
320120B0100,32,8,0,0,9,8,2,0,1,6,2,0,3,1,15,4,5,6,2,0,16,15,2,0,3,5,27,4,1,0,3,12,5
320121B0100,32,8,1,1,2,5,0,1,1,4,1,0,1,0,1,0,0,2,1,0,9,6,1,1,2,1,18,0,2,0,2,3,4
320121E0100,32,8,0,1,2,1,0,1,0,2,2,0,2,1,2,3,1,2,1,0,7,3,3,0,2,3,13,2,2,0,0,3,1
320122B0100,32,8,2,0,7,8,0,0,3,7,3,0,4,0,9,1,4,3,4,2,18,12,6,2,1,4,45,1,2,0,3,14,3
320123B0100,32,8,0,1,7,19,2,1,1,11,0,3,3,3,10,6,6,9,6,3,28,11,5,2,4,6,48,0,5,0,3,10,8
320124B0100,32,8,3,1,7,5,4,0,0,3,0,1,2,1,8,1,2,1,4,1,7,15,2,2,2,4,26,1,2,0,0,4,5
320124E0100,32,8,0,1,7,4,3,3,1,3,1,0,3,2,6,1,4,2,1,2,5,7,4,0,4,0,13,0,0,0,1,4,2
320125B0100,32,8,2,2,8,13,1,0,1,3,1,2,6,2,6,7,2,1,2,0,15,20,4,1,4,3,30,1,0,0,0,23,6
320125E0100,32,8,1,1,0,3,2,0,1,4,1,0,5,1,7,5,1,3,2,0,9,5,4,1,0,1,19,1,0,0,2,7,1
320126B0100,32,8,1,0,2,3,0,1,0,0,0,0,2,0,6,4,2,4,1,0,7,8,2,0,3,4,16,1,0,0,1,2,2
320127B0100,32,8,3,1,11,17,2,0,1,9,4,2,4,2,17,6,4,6,9,1,36,21,5,6,7,2,63,2,1,0,1,11,10
320128B0100,32,8,1,4,8,13,5,0,2,8,5,1,7,2,18,7,5,5,6,0,17,23,7,3,4,5,51,3,2,0,5,17,9
320129B0100,32,1,1,0,7,14,4,0,0,3,2,1,7,1,20,9,2,4,5,2,11,11,2,1,9,6,49,0,2,0,2,12,7
320130B0100,32,8,1,1,8,13,5,0,3,11,2,0,3,1,10,9,4,7,3,0,25,8,6,4,6,6,48,1,3,0,4,8,9
320131B0100,32,8,0,0,1,4,0,0,0,0,1,0,1,1,1,1,1,2,0,0,7,5,2,0,0,0,7,0,0,0,0,1,1
320131E0100,32,8,0,1,2,2,0,1,0,2,0,0,1,0,2,1,1,1,3,0,6,3,1,0,0,0,7,0,0,0,1,2,0
320132B0100,32,8,1,0,6,10,3,1,2,7,1,0,4,2,11,2,1,7,6,0,14,16,2,0,5,5,41,1,4,0,3,7,5
320133B0100,32,8,1,0,6,5,4,0,1,0,2,0,2,0,3,2,1,2,0,0,10,8,5,2,4,4,29,0,2,0,4,7,4
320134B0100,32,8,1,0,3,15,1,0,0,0,1,0,1,1,6,5,5,5,2,1,12,13,3,1,2,4,31,2,1,0,0,4,5
320135B0100,32,12,3,4,14,14,3,0,2,14,0,1,8,3,20,11,10,9,12,1,29,22,7,8,10,9,83,2,3,0,3,14,9
320135C0100,32,12,2,0,9,19,3,2,1,9,6,2,2,0,25,12,5,13,6,3,29,25,6,8,11,8,67,1,4,0,6,20,10
320135C0200,32,12,2,1,21,18,2,0,1,9,3,3,9,2,25,11,3,13,7,0,28,25,0,3,6,6,67,3,5,0,8,14,7
320135C0300,32,12,1,2,8,31,2,0,3,10,4,0,6,2,20,13,3,5,7,1,38,26,5,2,7,4,77,1,2,0,4,10,16
320135C0400,32,12,1,1,14,17,6,2,1,6,5,2,7,5,16,14,7,11,9,2,35,21,6,5,6,8,66,0,7,0,6,16,14
320136B0100,32,8,0,3,12,16,3,2,5,15,5,0,8,0,21,14,6,13,11,1,40,33,6,7,8,9,89,3,5,0,4,12,16
320136C0100,32,8,2,3,11,14,5,2,3,16,5,2,9,3,18,12,10,9,4,2,31,17,9,6,9,10,91,5,3,0,5,19,18
320136C0200,32,8,1,2,13,24,6,1,3,9,4,4,9,4,24,7,11,8,12,3,30,16,8,4,7,9,98,2,4,0,7,14,13
320136C0300,32,8,1,2,8,39,2,0,2,19,4,0,9,5,14,12,6,10,9,1,27,23,6,2,2,10,84,2,2,0,5,29,21
320137B0100,32,4,3,3,13,28,3,0,1,5,10,3,14,4,16,18,3,10,12,2,39,23,9,4,6,6,91,3,3,0,6,22,17
