CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRD,PAN_PRD,PRI,PVEM,PT,MORENA,PANAL,PT_MORENA_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,PES,RSP,FPM,CI1,CI2,CNR,NULOS
'080012B0100',8,2,4,18,1,2,2,0,15,6,6,3,7,12,3,0,2,2,0,8,9,6
'080013B0100',8,2,14,19,0,1,4,4,38,21,14,6,14,27,6,5,4,2,1,14,17,8
'080014B0100',8,2,12,23,0,1,3,1,37,12,14,4,18,15,3,2,4,4,0,17,13,16
'080015B0100',8,2,5,6,0,0,2,1,19,10,2,3,6,8,7,0,1,1,0,9,10,2
'080016B0100',8,2,8,16,0,0,3,2,18,9,13,7,9,14,5,0,3,0,0,15,8,14
'080017B0100',8,14,24,40,1,0,10,2,70,26,23,8,30,34,21,9,8,1,0,22,20,15
'080017C0100',8,14,24,49,0,2,10,0,60,34,15,6,24,43,18,8,8,2,0,25,26,24
'080017C0200',8,14,31,46,0,0,8,4,55,27,12,6,16,37,22,3,6,3,0,26,34,25
'080017C0300',8,14,22,47,0,1,5,3,53,39,22,9,23,45,16,2,9,3,0,26,21,22
'080017C0400',8,14,18,52,0,1,3,2,65,26,24,9,12,40,16,1,12,2,0,22,23,25
'080018B0100',8,14,17,24,0,0,2,2,45,18,14,4,19,23,16,4,4,3,1,15,13,21
'080018C0100',8,14,14,27,0,1,4,4,43,25,12,8,25,21,12,2,6,1,0,20,20,17
'080018C0200',8,14,18,32,1,1,3,4,37,30,10,4,20,38,8,0,7,2,0,12,18,19
'080019B0100',8,5,15,22,0,0,5,2,49,26,12,9,13,23,9,3,7,1,0,17,21,20
'080019C0100',8,5,17,33,1,1,0,4,41,12,18,6,17,33,11,2,4,5,0,15,13,18
'080019C0200',8,5,15,28,0,2,7,2,46,25,10,5,13,25,13,2,5,2,0,17,22,20
'080020B0100',8,14,18,35,1,0,4,5,35,34,17,5,18,20,12,6,2,3,0,15,23,24
'080020C0100',8,14,23,46,0,2,5,3,50,31,9,8,19,27,15,2,9,4,1,18,15,19
'080021B0100',8,14,19,35,0,3,3,5,58,26,14,9,21,33,13,7,8,4,0,24,22,24
'080022B0100',8,5,15,30,0,2,4,0,43,15,20,6,11,23,12,1,5,5,0,13,19,14
'080022C0100',8,5,22,35,1,0,1,0,43,15,7,8,13,26,12,1,3,3,0,11,17,23
'080023B0100',8,5,14,37,1,0,6,1,44,25,5,9,18,22,12,3,7,1,0,18,24,18
'080023C0100',8,5,12,37,0,1,6,1,52,17,14,13,20,24,9,2,9,3,0,17,17,13
'080024B0100',8,5,11,24,0,4,4,3,34,23,9,7,13,29,12,5,3,4,0,17,16,12
'080024C0100',8,5,23,26,0,0,5,2,43,15,7,3,19,25,15,8,5,2,0,23,14,6
'080025B0100',8,14,21,26,0,3,14,4,72,23,16,11,21,31,19,3,4,0,0,17,21,23
'080026B0100',8,14,19,38,0,2,11,1,63,24,17,10,28,36,23,5,10,4,0,28,18,23
'080027B0100',8,14,23,45,1,2,9,3,56,26,19,5,24,30,19,3,3,2,2,20,25,24
'080027C0100',8,14,17,33,0,1,11,2,61,29,16,8,28,28,21,4,3,3,1,28,27,20
'080028B0100',8,5,16,37,0,2,2,4,44,25,17,11,22,27,11,2,4,2,0,28,14,26
'080028C0100',8,5,8,47,0,0,3,3,45,19,15,7,15,36,16,4,4,1,0,16,21,23
'080028C0200',8,5,18,32,0,0,5,2,43,18,10,7,23,21,14,2,3,3,0,17,25,19
'080030B0100',8,5,7,13,0,1,1,1,23,16,2,2,7,12,8,2,1,0,0,11,14,6
'080031B0100',8,5,6,16,1,0,1,0,16,5,3,3,4,10,3,1,4,0,0,6,7,9
'080032B0100',8,5,15,25,0,1,8,1,49,24,17,3,13,29,8,5,7,0,0,22,16,17
'080034B0100',8,14,14,41,1,3,6,1,42,18,20,5,35,28,16,2,9,1,1,12,11,22
'080034C0100',8,14,28,34,0,1,7,3,52,26,14,11,9,32,6,3,11,2,1,22,24,16
'080034C0200',8,14,15,33,0,2,6,4,52,27,16,9,21,29,11,2,5,1,0,22,20,23
'080035B0100',8,5,8,21,0,0,3,2,17,11,4,1,12,18,5,2,4,2,0,7,13,7
'080036B0100',8,5,2,11,0,1,2,0,11,8,3,5,5,8,3,1,0,0,0,7,5,3
'080037B0100',8,5,9,8,0,0,1,0,7,4,2,0,4,5,5,1,4,0,0,2,10,7
'080038B0100',8,18,28,35,0,0,2,4,45,24,18,7,17,37,16,7,4,2,1,17,28,17
'080038C0100',8,18,18,36,1,1,4,4,61,20,16,14,19,19,4,2,7,3,1,21,12,13
'080039B0100',8,9,25,36,0,0,8,2,57,13,10,9,14,24,9,4,4,0,0,8,13,10
'080039C0100',8,9,13,35,0,0,4,1,40,19,11,3,13,19,10,2,9,0,0,19,17,22
'080040B0100',8,18,19,47,0,2,12,7,59,20,14,6,21,39,11,1,3,0,0,31,25,19
'080041B0100',8,9,16,27,0,2,3,3,43,20,15,7,12,19,18,1,5,1,0,11,19,13
'080041C0100',8,9,16,19,0,1,6,2,40,20,13,3,19,32,7,1,4,1,0,12,9,17
'080043B0100',8,9,16,29,1,0,3,3,33,10,7,4,7,16,13,2,2,0,0,13,7,8
'080046B0100',8,9,11,12,0,0,5,0,20,11,5,4,6,9,6,1,1,0,0,8,4,6
'080047B0100',8,9,6,8,0,1,3,0,14,5,0,4,5,7,3,0,1,0,0,5,5,5
'080048B0100',8,9,8,21,0,0,2,3,23,12,10,2,6,14,6,1,3,1,1,8,5,11
'080049B0100',8,9,9,21,1,0,1,0,18,6,6,1,4,8,5,2,1,1,0,5,10,12
'080050B0100',8,9,4,9,0,0,3,0,10,3,5,1,5,6,5,3,2,1,1,6,5,2
'080051B0100',8,9,3,12,1,0,2,1,12,4,2,1,3,12,3,1,1,0,0,9,5,6
'080052B0100',8,9,8,13,0,1,3,0,17,8,12,3,9,7,3,3,3,1,0,4,9,8
'080053B0100',8,18,17,33,0,2,8,5,43,18,15,8,17,34,10,6,10,4,2,19,32,26
'080054B0100',8,18,12,44,0,1,4,5,43,30,17,9,13,32,19,1,3,1,0,18,21,18
'080055B0100',8,9,15,31,0,1,7,2,47,22,11,5,10,22,9,5,6,1,0,17,15,26
'080056B0100',8,14,19,41,1,2,3,1,52,17,17,12,16,32,13,4,5,5,0,11,14,17
'080056C0100',8,14,25,33,1,1,8,7,54,26,13,2,14,28,12,5,5,3,2,21,30,23
'080056C0200',8,14,19,31,0,1,7,1,48,25,17,5,27,33,10,4,8,3,0,20,27,29
'080057B0100',8,5,7,27,1,1,3,2,34,11,7,6,7,17,8,3,2,2,0,8,12,9
'080059B0100',8,5,26,24,0,1,6,1,37,23,17,9,15,21,14,4,12,2,0,22,17,21
'080059C0100',8,5,17,34,1,1,1,2,37,20,13,6,16,26,10,2,3,0,0,19,15,27
'080059E0100',8,14,24,43,1,3,6,0,48,36,14,14,19,35,16,6,11,3,0,27,22,22
'080059E0101',8,14,23,36,0,3,5,3,50,31,14,9,19,36,19,2,5,2,0,14,25,30
'080059E0102',8,14,26,32,0,2,3,2,47,26,9,9,21,30,15,5,12,1,0,22,32,27
'080059E0103',8,14,24,51,0,1,7,2,60,24,18,12,30,32,8,4,3,4,0,22,27,19
'080059E0104',8,14,20,53,0,2,8,6,55,29,10,9,31,29,20,3,6,3,0,20,29,26
'080059E0105',8,14,26,47,0,0,8,1,55,33,18,13,20,27,15,5,4,2,0,24,26,11
'080059E0106',8,14,17,30,1,2,6,3,47,30,12,10,24,38,16,5,6,4,0,18,22,16
'080059E0107',8,14,20,42,0,1,3,3,55,21,14,8,13,46,20,2,6,0,0,27,27,26
'080059E0200',8,14,28,57,0,4,7,3,66,24,12,10,17,23,12,4,5,4,0,21,26,27
'080059E0201',8,14,16,41,0,1,4,5,72,24,14,11,26,29,15,6,5,7,1,18,32,15
'080059E0202',8,14,16,31,0,0,8,2,59,29,17,11,25,33,13,5,3,0,0,21,34,21
'080059E0203',8,14,24,44,0,1,10,4,66,33,14,9,31,22,22,2,7,6,0,18,20,17
'080059E0204',8,14,13,42,1,0,14,2,64,18,24,6,26,27,19,3,7,4,0,22,22,27
'080059E0300',8,14,26,42,0,2,9,1,59,29,12,8,24,30,26,6,7,4,1,23,30,21
'080059E0301',8,14,19,33,0,0,5,2,73,29,17,9,27,41,10,4,5,3,1,30,40,30
'080060B0100',8,11,30,52,0,2,9,6,62,24,16,8,20,43,15,5,5,4,0,19,27,35
'080060C0100',8,11,16,53,0,2,5,5,64,34,20,9,20,35,12,7,4,1,0,21,21,23
'080061B0100',8,11,23,42,0,1,9,1,57,32,27,3,18,31,18,7,1,1,0,24,32,18
'080061C0100',8,11,21,47,1,1,11,3,61,30,15,10,24,46,22,4,6,2,0,18,17,16
'080062B0100',8,11,17,38,0,0,3,2,45,15,19,11,26,30,10,1,5,3,0,27,19,14
'080063B0100',8,11,24,41,0,0,2,3,49,22,12,11,14,24,12,7,6,2,0,28,18,15
'080063C0100',8,11,26,51,0,0,2,1,47,28,12,7,24,37,12,3,6,4,1,21,18,13
'080064B0100',8,2,23,27,0,2,5,2,39,14,11,6,10,36,16,4,5,4,0,21,14,22
'080064C0100',8,2,22,34,0,2,2,2,36,24,13,7,15,14,16,4,3,2,1,18,16,16
'080065B0100',8,2,22,37,0,1,3,2,41,16,13,1,13,27,6,4,6,1,0,21,16,18
'080066B0100',8,11,18,38,0,0,4,1,45,28,15,10,15,37,20,6,2,1,0,27,17,20
'080067B0100',8,11,27,44,2,2,6,4,48,22,19,11,12,36,19,2,5,1,0,15,26,29
'080068B0100',8,2,18,33,0,1,4,2,53,18,12,8,15,11,12,0,2,2,2,15,21,18
'080068C0100',8,2,21,25,2,0,5,1,32,17,9,2,15,31,7,6,7,3,0,12,18,8
'080069B0100',8,11,22,39,1,3,1,1,63,30,16,9,15,30,12,6,9,1,0,15,30,21
'080070B0100',8,11,30,43,0,0,1,2,53,23,20,10,24,37,17,2,7,3,0,32,27,26
'080070C0100',8,11,27,52,0,2,10,2,56,23,15,18,20,33,13,5,4,2,0,22,24,22
'080071B0100',8,11,21,49,0,1,8,6,48,22,21,11,27,42,19,5,10,3,0,23,30,22
'080072B0100',8,11,21,42,1,4,7,4,72,26,23,13,18,25,19,3,6,2,0,26,21,26
'080072C0100',8,11,24,38,0,1,8,3,66,23,14,5,27,42,15,7,6,1,0,25,16,18
'080073B0100',8,2,14,26,0,1,2,5,43,12,12,9,16,16,13,6,5,3,0,16,10,13
'080074B0100',8,2,17,27,0,0,5,0,47,26,12,4,17,26,9,3,5,1,0,9,17,13
'080074S0100',8,2,32,72,2,2,13,5,107,49,21,24,35,58,22,7,12,5,2,42,45,41
'080075B0100',8,2,15,28,0,1,4,3,29,16,4,5,20,23,5,2,1,4,0,12,16,18
'080075C0100',8,2,14,25,0,1,4,1,39,18,8,4,15,15,6,4,5,2,1,11,15,11
'080076B0100',8,2,20,34,0,3,10,4,44,24,13,10,21,27,14,5,4,2,0,14,18,9
'080076C0100',8,2,19,35,0,2,7,3,42,13,11,8,15,29,15,2,4,0,0,16,17,25
'080078B0100',8,2,14,22,1,2,5,4,37,13,11,3,14,18,13,1,8,0,0,16,16,5
'080078C0100',8,2,11,24,0,0,5,2,32,14,9,8,10,30,11,3,5,2,0,13,12,12
'080079B0100',8,2,7,28,1,1,4,3,35,13,8,7,12,25,6,2,3,1,0,13,17,17
'080079C0100',8,2,8,30,0,1,5,4,35,11,10,3,14,30,9,3,5,0,0,7,18,17
'080080B0100',8,11,51,99,0,3,20,7,119,72,43,32,42,103,42,9,15,5,0,71,62,67
'080082B0100',8,7,23,37,0,2,8,3,30,22,10,3,12,39,7,5,4,0,0,23,21,20
'080083B0100',8,16,33,49,0,1,4,5,45,29,16,5,24,41,26,6,10,2,0,26,24,26
'080084B0100',8,7,16,13,0,0,2,2,16,8,8,7,16,17,14,3,1,0,1,6,15,8
'080085B0100',8,7,16,22,0,1,3,1,27,12,6,6,12,24,4,0,1,1,0,15,6,8
'080087B0100',8,16,21,39,0,1,5,4,56,22,16,7,25,26,8,6,2,0,1,19,23,21
'080088B0100',8,7,17,21,0,1,1,0,25,19,7,7,13,14,9,2,6,2,0,12,16,9
'080089B0100',8,7,10,14,0,0,1,0,17,10,4,7,5,14,5,3,2,0,0,8,6,12
'080090B0100',8,7,10,22,0,0,6,2,22,9,7,3,6,16,5,2,3,2,0,6,6,8
'080091B0100',8,7,4,6,0,1,0,0,17,3,2,0,4,6,3,0,2,0,0,3,4,6
'080092B0100',8,7,5,12,0,0,0,1,7,6,1,3,5,4,4,3,0,0,0,5,6,5
'080094B0100',8,7,6,13,0,0,2,0,15,2,2,0,4,6,5,2,3,2,0,4,8,5
'080095B0100',8,7,14,15,0,0,5,1,26,7,10,1,6,15,8,0,2,2,0,13,7,9
'080097B0100',8,7,4,15,0,2,1,1,17,8,5,0,5,11,6,1,1,1,0,2,6,9
'080098B0100',8,7,9,19,0,0,3,0,24,5,6,5,9,12,2,1,2,1,0,2,9,2
'080099B0100',8,7,11,22,0,0,2,1,35,13,9,7,23,25,8,1,8,1,0,16,12,14
'080100B0100',8,7,13,25,0,1,3,2,34,17,9,5,12,19,7,2,7,3,0,16,28,13
'080101B0100',8,7,6,22,0,1,2,4,31,20,13,5,9,20,9,5,3,2,0,18,18,11
'080102B0100',8,18,17,50,0,0,9,1,43,24,26,7,23,47,20,5,7,2,0,17,20,22
'080102C0100',8,18,15,44,0,2,11,3,58,24,11,11,21,39,16,9,6,3,0,22,32,24
'080103B0100',8,9,18,24,0,2,5,1,27,14,8,5,12,17,10,3,3,1,1,17,12,15
'080103C0100',8,9,16,29,0,0,2,3,33,21,9,6,18,23,9,3,2,2,1,19,18,7
'080104B0100',8,18,23,36,0,3,8,3,51,22,16,10,12,23,7,3,1,4,0,20,13,13
'080105B0100',8,18,21,39,1,0,4,4,52,30,14,8,14,32,14,2,6,1,0,25,15,14
'080106B0100',8,18,17,41,0,1,7,4,49,30,13,18,13,24,10,5,8,2,1,22,25,15
'080106C0100',8,18,16,33,0,0,7,1,39,20,7,7,17,40,15,5,5,7,0,26,18,19
'080107B0100',8,18,22,34,0,0,4,1,55,17,19,11,20,27,13,9,3,1,0,23,27,25
'080108B0100',8,18,12,34,0,0,7,0,46,12,12,12,16,28,13,4,6,2,0,21,17,16
'080109B0100',8,9,10,22,0,1,6,1,24,15,7,8,8,24,3,3,3,6,1,15,9,16
'080110B0100',8,9,11,25,0,1,5,3,48,25,12,7,15,37,22,2,2,2,0,21,11,11
'080110C0100',8,9,22,40,0,0,4,5,46,19,11,8,17,17,16,4,4,3,0,26,17,21
'080111B0100',8,18,26,33,0,1,8,1,55,18,11,8,22,34,15,1,5,0,0,31,20,24
'080111C0100',8,18,23,40,0,0,2,4,43,30,12,9,19,23,8,7,6,0,0,15,17,15
'080112B0100',8,9,25,23,0,0,6,0,30,20,11,11,9,27,10,1,9,4,0,22,12,19
'080113B0100',8,9,14,33,0,0,3,6,49,25,7,8,15,22,15,5,4,2,0,19,18,8
'080113C0100',8,9,12,22,0,1,6,4,37,25,10,8,11,26,7,3,2,3,0,18,13,16
'080113E0100',8,9,14,29,0,3,3,0,31,21,15,8,11,15,9,3,3,1,0,14,15,13
'080113E0101',8,9,12,24,0,0,5,3,42,17,12,5,6,30,11,3,1,1,0,12,15,20
'080114B0100',8,18,18,47,1,1,6,2,41,18,16,9,27,33,13,2,8,1,0,24,23,18
'080114C0100',8,18,14,29,0,2,6,5,61,30,18,10,24,40,13,5,5,0,0,22,17,16
'080114C0200',8,18,22,38,0,3,5,3,43,21,23,13,19,37,16,2,9,0,0,21,10,23
'080115B0100',8,9,23,35,0,0,4,2,56,26,11,5,12,33,11,4,3,2,0,18,11,12
'080115E0100',8,9,11,32,0,0,6,5,51,19,10,9,18,24,7,2,6,0,0,15,19,11
'080116B0100',8,18,23,53,0,2,4,3,60,27,11,5,17,27,13,2,6,4,1,25,11,14
'080116C0100',8,18,21,36,1,2,1,1,53,16,18,10,16,26,13,2,6,3,0,23,21,22
'080117B0100',8,9,17,28,0,1,2,1,34,20,12,7,21,28,9,5,7,4,0,17,11,17
'080117C0100',8,9,19,23,0,1,7,1,40,27,15,12,13,20,11,2,7,1,1,20,15,17
'080118B0100',8,9,8,14,0,1,0,1,15,5,7,4,11,13,6,2,0,3,0,9,6,6
'080119B0100',8,9,10,20,0,1,4,0,31,31,8,4,16,27,6,2,7,1,0,10,17,17
'080119C0100',8,9,18,24,0,2,4,2,30,20,6,10,15,23,9,5,5,4,0,8,16,11
'080120B0100',8,9,13,29,0,0,8,4,24,18,10,11,8,25,10,1,5,1,0,9,12,17
'080121B0100',8,9,20,35,0,0,7,5,36,27,12,6,13,25,9,7,4,2,0,4,18,16
'080121C0100',8,9,8,28,0,2,5,1,38,22,11,17,16,28,9,3,4,4,1,16,12,20
'080122B0100',8,18,22,48,0,2,4,1,50,23,25,5,22,28,10,5,7,2,0,16,20,28
'080123B0100',8,9,16,21,0,0,5,0,36,14,6,12,17,21,11,2,0,1,0,12,12,11
'080123C0100',8,9,13,33,1,0,1,3,31,11,9,3,11,24,6,2,6,1,0,13,14,13
'080124B0100',8,9,17,31,0,1,4,0,32,18,7,3,8,17,7,0,1,3,0,10,14,13
'080125B0100',8,9,17,34,0,0,5,1,34,13,11,8,11,21,7,3,3,1,1,14,15,8
'080125C0100',8,9,15,20,0,0,3,0,33,25,17,6,15,10,15,4,7,1,0,18,11,13
'080126B0100',8,9,13,33,0,2,9,0,43,23,14,3,17,27,6,1,5,6,0,14,15,16
'080127B0100',8,7,8,16,0,0,0,0,24,11,4,3,5,4,8,2,1,0,0,10,5,13
'080128B0100',8,16,18,38,1,1,7,4,67,37,13,11,19,33,11,5,10,3,0,24,20,23
'080129B0100',8,16,19,37,0,1,9,2,47,31,20,7,23,33,16,1,7,3,0,16,17,18
'080129C0100',8,16,21,38,1,1,5,3,50,30,16,7,21,36,15,5,5,2,0,24,18,31
'080130B0100',8,16,24,55,0,1,6,1,52,21,14,5,21,30,12,5,5,2,0,21,16,20
'080130C0100',8,16,21,34,1,0,5,0,38,19,21,11,18,41,22,7,4,1,1,16,13,24
'080130C0200',8,16,19,40,0,1,8,1,36,31,15,8,18,36,16,4,5,0,0,29,21,21
'080131B0100',8,7,13,17,0,0,4,2,34,16,10,8,17,27,14,3,3,0,0,12,14,11
'080131C0100',8,7,12,30,0,1,3,1,30,17,9,9,13,20,11,4,2,4,0,11,19,16
'080132B0100',8,16,23,54,0,1,4,7,43,31,15,13,17,27,11,5,7,1,1,30,28,17
'080132C0100',8,16,23,40,0,2,5,4,57,29,9,9,29,26,12,4,10,3,0,26,15,28
'080133B0100',8,16,23,39,1,0,3,4,53,29,16,3,22,34,16,7,8,1,0,24,25,22
'080133C0100',8,16,19,47,0,1,7,3,51,29,23,3,18,34,17,5,5,3,1,23,33,21
'080134B0100',8,16,19,40,0,2,7,5,45,20,13,10,23,34,6,3,8,4,1,22,23,13
'080134C0100',8,16,17,35,1,0,5,4,59,29,16,9,21,36,13,4,2,2,0,12,19,22
'080135B0100',8,16,22,44,2,3,6,2,49,33,18,8,23,29,26,5,7,3,0,27,24,22
'080135C0100',8,16,29,39,1,0,13,1,69,31,11,15,16,41,17,3,3,3,0,24,26,31
'080136B0100',8,16,23,39,0,0,8,3,53,21,21,5,17,27,8,9,9,2,0,21,20,20
'080136C0100',8,16,16,36,0,0,5,1,53,25,13,9,20,31,14,2,6,1,0,20,15,22
'080136C0200',8,16,22,28,0,0,4,7,43,24,11,9,20,33,11,5,4,1,1,19,25,22
'080137B0100',8,16,19,52,0,1,6,2,55,31,20,8,15,23,21,5,8,3,2,27,24,24
'080137C0100',8,16,30,45,1,2,9,3,58,22,19,10,25,47,24,5,7,0,0,22,15,28
'080137C0200',8,16,27,33,1,0,6,0,66,13,12,14,23,37,14,8,10,4,0,21,20,26
'080137C0300',8,16,22,43,0,0,9,4,76,18,7,7,20,33,22,3,8,2,0,23,23,22
'080137S0100',8,7,45,81,0,1,15,9,91,45,18,16,48,61,21,7,14,4,1,39,49,37
'080138B0100',8,7,9,17,0,0,2,1,23,12,8,4,10,20,8,2,2,1,1,12,8,11
'080139B0100',8,7,6,11,0,0,3,3,18,6,4,0,3,10,6,1,0,1,0,6,6,5
'080139E0100',8,7,10,10,0,1,1,1,18,4,2,2,6,16,3,1,3,0,0,4,15,11
'080140B0100',8,7,4,17,1,0,0,1,20,4,2,0,4,10,6,3,4,1,0,6,7,4
'080140E0100',8,7,7,11,0,1,1,0,21,9,5,5,7,14,5,1,4,1,0,7,11,5
'080141B0100',8,7,17,24,1,1,2,3,45,14,8,13,13,23,13,1,5,1,0,14,16,15
'080142B0100',8,7,13,22,0,0,1,1,40,12,6,1,10,19,6,1,1,0,0,13,9,18
'080143B0100',8,7,6,5,0,0,1,0,6,3,3,0,3,2,2,3,0,0,0,6,4,5
'080143E0100',8,7,8,9,0,1,1,0,17,8,3,6,7,5,4,0,5,0,0,8,5,9
'080144B0100',8,16,23,40,1,1,6,1,53,24,15,9,15,20,12,5,6,3,0,19,26,23
'080144C0100',8,16,10,41,0,3,5,3,50,20,17,8,19,30,17,3,8,4,1,14,13,17
'080145B0100',8,7,9,18,0,0,3,0,33,16,8,7,10,23,6,0,5,3,0,14,19,8
'080145C0100',8,7,14,30,0,0,5,1,23,15,12,8,10,14,8,1,1,2,0,8,17,14
'080146B0100',8,7,12,25,0,2,0,5,34,18,10,6,11,24,11,0,1,2,0,11,15,8
'080146C0100',8,7,23,24,0,0,6,3,31,14,11,10,11,15,12,2,4,2,0,21,22,11
'080147B0100',8,16,20,47,0,2,6,1,65,35,12,8,19,27,18,6,8,2,0,25,24,20
'080148B0100',8,16,15,30,0,0,4,3,61,22,13,9,19,29,9,2,3,0,0,17,17,15
'080149B0100',8,11,28,32,0,0,8,3,51,30,11,6,21,28,15,4,7,2,0,20,18,15
'080150B0100',8,11,23,38,0,0,5,4,46,21,12,10,20,35,11,1,4,3,2,19,22,21
'080151B0100',8,11,23,46,0,3,2,2,59,20,15,14,18,35,12,7,4,2,0,23,23,24
'080152B0100',8,2,16,35,1,0,8,1,35,24,14,7,18,24,11,4,12,1,0,19,13,20
'080153B0100',8,2,26,36,0,3,9,4,52,17,18,5,17,23,14,2,4,2,0,16,9,15
'080153C0100',8,2,16,32,0,1,3,4,46,19,8,5,17,26,16,4,8,1,0,14,12,26
'080153C0200',8,2,21,20,0,2,4,2,47,24,16,9,24,28,14,3,7,3,0,21,17,18
'080154B0100',8,2,22,32,1,1,1,1,40,15,19,7,18,31,9,0,6,2,0,13,20,19
'080155B0100',8,2,12,18,0,1,2,1,24,19,7,7,6,18,9,1,4,1,0,8,6,11
'080156B0100',8,11,22,33,1,2,7,4,37,26,8,12,27,35,7,5,6,3,0,18,26,21
'080156C0100',8,11,28,33,0,2,4,3,67,20,14,9,13,40,16,6,7,5,0,8,25,17
'080157B0100',8,2,17,33,0,0,3,3,35,17,18,6,20,33,10,3,6,1,1,19,34,20
'080157C0100',8,2,17,42,0,0,4,2,46,16,13,5,16,27,6,4,6,2,0,22,21,16
'080158B0100',8,2,19,26,0,1,2,2,37,16,15,10,15,20,5,3,9,1,0,9,19,17
'080158C0100',8,2,20,25,0,1,3,1,36,15,11,3,13,24,6,3,6,1,0,17,20,17
'080159B0100',8,2,17,31,0,0,3,2,35,19,8,8,13,25,11,4,5,0,0,17,9,16
'080160B0100',8,2,13,25,0,1,7,1,39,13,12,2,10,22,15,1,5,0,1,17,14,24
'080160C0100',8,2,10,26,0,0,3,2,22,23,8,7,9,22,9,6,6,0,1,18,15,13
'080161B0100',8,2,25,26,1,1,3,3,37,20,13,5,20,30,10,3,8,3,0,15,14,13
'080161C0100',8,2,9,31,0,4,2,4,34,25,7,13,18,25,9,1,4,0,0,12,21,17
'080162B0100',8,2,11,26,0,1,1,0,41,14,11,10,15,24,6,4,3,1,0,19,12,9
'080163B0100',8,11,17,39,0,1,3,1,55,28,16,12,17,32,16,3,10,2,1,20,23,15
'080164B0100',8,2,10,19,0,0,5,1,32,27,9,7,15,21,12,2,4,2,0,16,21,12
'080164C0100',8,2,18,28,0,1,3,0,39,17,10,7,11,21,6,1,4,1,1,10,18,10
'080165B0100',8,2,3,8,0,0,1,1,12,7,3,2,4,10,5,0,2,1,0,9,5,7
'080166B0100',8,2,17,27,0,0,5,1,41,12,10,6,11,19,9,1,5,2,0,17,16,24
'080167B0100',8,2,17,30,0,1,4,4,33,26,14,3,14,33,13,3,3,4,0,14,19,29
'080167C0100',8,2,20,28,0,1,5,2,41,29,15,9,17,22,12,4,5,2,1,14,21,16
'080168B0100',8,2,16,31,1,3,4,3,38,17,9,6,13,22,10,2,4,0,1,21,14,20
'080168C0100',8,2,12,19,0,0,6,2,50,12,6,9,12,19,15,3,5,1,0,20,21,17
'080169B0100',8,2,15,27,0,2,3,0,37,18,5,10,12,29,10,2,3,2,0,20,20,21
'080170B0100',8,2,22,27,0,2,3,3,30,24,11,5,10,33,6,1,3,2,0,14,16,12
'080170C0100',8,2,16,42,0,2,6,4,42,25,6,7,10,34,10,3,3,0,0,15,14,15
'080171B0100',8,2,7,17,0,1,3,0,16,16,6,4,2,10,2,0,1,1,0,8,8,6
'080172B0100',8,11,15,49,0,3,6,3,47,36,8,6,23,32,9,6,3,3,0,13,28,32
'080172C0100',8,11,20,48,0,1,3,5,48,19,6,14,19,43,13,1,9,2,0,21,35,20
'080173B0100',8,2,12,29,0,0,3,0,33,22,10,5,12,27,10,1,7,3,0,13,18,11
