CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PT_PVEM_PANAL,PT_MORENA_PANAL,PVEM_MORENA_PANAL,PT_PVEM,PT_MORENA,PT_PANAL,PVEM_MORENA,PVEM_PANAL,MORENA_PANAL,MC,PAZ,MD,PP,PFP,PES,RSP,FPM,CNR,NULOS
'320014B0100',32,9,12,7,2,28,26,4,2,10,3,69,1,6,0,4,15,16,22,9,8,39,11,2,0,34,6,3,0,0,1,4,1,38
'320015B0100',32,5,5,0,2,15,9,1,2,3,5,41,1,0,0,6,7,12,10,1,0,23,12,0,0,5,4,6,0,1,2,0,1,18
'320015C0100',32,5,3,1,0,7,12,1,3,6,2,42,2,0,0,2,7,4,10,2,4,32,6,0,1,17,0,4,0,0,0,0,4,14
'320016B0100',32,9,1,1,1,10,5,0,2,1,4,17,1,1,0,1,8,5,7,3,0,7,5,0,0,4,1,3,0,0,0,0,0,8
'320017B0100',32,9,3,4,0,24,15,3,2,12,5,54,2,1,0,1,19,13,16,4,4,31,12,2,0,21,2,8,2,0,2,0,2,25
'320017C0100',32,9,14,4,2,17,12,8,6,4,6,49,3,1,0,2,18,9,13,7,4,33,11,1,0,21,3,3,1,1,0,0,1,34
'320018B0100',32,9,8,5,1,23,13,2,1,7,6,58,1,2,0,1,13,15,28,6,8,42,11,1,1,20,7,5,3,1,0,1,0,24
'320019B0100',32,9,2,2,1,15,11,1,2,5,1,33,1,3,0,1,7,8,6,6,4,21,13,0,0,10,1,2,1,0,1,0,4,17
'320020B0100',32,9,6,6,0,22,14,3,2,5,4,30,3,1,0,4,13,10,9,4,5,25,7,0,0,8,4,4,1,0,0,0,1,25
'320021B0100',32,9,2,0,0,5,6,1,1,2,1,12,0,0,0,2,3,1,8,2,1,14,0,0,0,7,4,2,0,0,0,0,0,7
'320022B0100',32,5,7,4,1,15,14,3,1,0,1,24,0,1,0,2,13,9,12,4,0,24,12,0,0,13,6,4,2,0,0,0,1,15
'320022C0100',32,5,4,6,1,14,14,2,1,0,5,42,0,1,0,2,10,8,10,3,0,27,9,2,0,18,5,6,0,0,0,1,0,22
'320023B0100',32,2,2,4,2,12,8,2,2,4,4,27,0,0,0,2,9,11,10,6,1,18,9,0,0,15,4,3,0,0,0,0,0,17
'320024B0100',32,9,6,4,1,10,15,2,2,4,7,40,3,0,0,2,12,8,12,3,5,28,3,1,0,21,4,2,2,0,0,0,0,19
'320026B0100',32,9,5,2,1,8,12,2,1,3,6,25,1,0,0,3,7,3,15,2,4,13,3,0,0,5,3,5,0,0,1,1,1,9
'320027B0100',32,9,1,3,0,6,5,0,2,3,1,11,1,0,0,0,5,7,10,2,0,9,2,1,0,5,1,4,0,0,0,0,0,8
'320028B0100',32,9,3,3,0,6,4,0,2,3,8,25,0,0,0,2,6,5,7,5,1,15,4,0,0,14,1,2,1,1,2,0,0,9
'320029B0100',32,9,1,0,1,2,6,0,0,0,1,11,0,0,0,1,4,1,4,0,1,4,1,0,0,5,1,1,0,0,0,0,0,4
'320031B0100',32,2,3,4,0,15,11,3,3,2,5,41,1,0,0,5,14,10,10,5,2,13,5,0,0,12,6,8,0,0,0,1,1,24
'320032B0100',32,9,7,4,0,17,16,7,1,6,7,35,0,1,0,6,14,14,17,3,3,36,13,0,1,22,6,6,1,1,3,0,1,21
'320033B0100',32,2,3,2,2,17,13,5,1,5,4,34,2,2,0,6,7,10,11,6,2,30,5,1,0,17,2,4,0,0,0,0,3,20
'320034B0100',32,5,5,2,1,16,15,2,1,1,4,40,1,1,0,2,12,11,16,6,4,30,10,0,0,12,4,5,0,0,2,1,1,23
'320035B0100',32,5,6,3,1,16,19,3,3,2,12,56,1,0,0,6,19,17,13,7,4,42,12,0,0,22,3,10,4,0,2,0,0,27
'320036B0100',32,2,5,4,1,12,5,2,0,4,1,38,2,2,0,2,10,7,12,4,1,25,6,0,0,11,3,6,0,0,0,0,0,20
'320037B0100',32,9,3,2,1,12,8,2,3,5,4,22,0,0,0,1,5,4,8,1,3,13,6,0,1,7,4,1,2,0,1,0,0,11
'320038B0100',32,9,3,3,1,12,17,0,1,4,4,36,1,0,0,2,11,9,11,2,2,20,2,1,0,14,5,4,1,0,2,1,0,18
'320039B0100',32,9,2,2,0,7,9,3,0,1,0,15,2,0,0,2,7,3,6,1,3,12,4,0,0,5,2,2,0,0,0,0,0,6
'320040B0100',32,1,10,10,4,39,16,2,2,13,5,66,4,5,0,7,24,4,18,6,3,42,14,1,1,20,9,11,1,1,3,1,0,26
'320040C0100',32,1,12,7,2,26,23,6,3,2,11,58,2,3,0,8,25,15,24,14,2,41,9,0,0,21,4,6,1,1,2,1,2,46
'320040C0200',32,1,10,3,0,33,24,4,4,6,14,65,2,3,0,3,27,9,30,6,2,45,12,0,0,21,5,7,2,0,2,0,2,39
'320040C0300',32,1,7,4,1,33,28,4,1,7,5,74,3,3,0,4,18,19,28,8,3,41,11,1,0,21,7,11,1,0,1,1,1,38
'320040C0400',32,1,4,7,1,23,20,10,5,7,5,67,4,2,0,2,20,21,23,10,3,48,19,1,1,19,9,5,1,0,1,0,2,28
'320041B0100',32,4,9,4,2,21,27,5,5,5,11,46,1,1,0,7,21,17,20,3,4,42,13,0,0,19,7,5,1,1,3,2,1,46
'320041C0100',32,4,7,5,2,23,21,3,4,4,3,48,2,5,0,1,16,12,15,5,4,47,9,0,0,28,3,8,3,0,0,3,0,28
'320041C0200',32,4,8,6,0,22,21,3,2,4,3,62,1,2,0,4,20,16,22,7,5,49,15,1,0,27,3,10,2,0,0,1,0,23
'320042B0100',32,1,10,4,1,21,17,5,2,4,9,56,0,0,0,5,19,8,13,4,6,37,5,2,0,13,8,11,4,0,1,0,1,38
'320043B0100',32,1,3,4,1,17,9,3,1,5,2,35,5,1,0,3,14,9,11,4,3,32,4,0,0,12,4,4,0,1,0,2,2,21
'320043C0100',32,1,3,4,0,18,14,2,0,5,4,41,0,1,0,1,8,15,6,2,3,36,8,0,0,16,1,6,0,0,1,0,1,24
'320044B0100',32,1,6,7,2,20,14,6,3,4,5,61,3,0,0,10,20,14,22,5,4,32,7,1,1,26,6,9,0,0,1,1,0,25
'320044C0100',32,1,6,6,0,25,23,4,3,11,5,57,2,0,0,5,18,6,21,11,6,44,6,0,0,20,6,5,1,0,0,0,2,28
'320045B0100',32,1,4,4,0,20,11,3,3,8,7,47,1,2,0,1,10,11,14,4,6,31,8,0,0,15,4,5,0,0,0,2,0,19
'320045C0100',32,1,5,4,0,21,11,4,3,2,7,40,1,0,0,2,12,9,16,2,2,33,12,0,0,13,2,4,0,0,1,0,1,21
'320046B0100',32,1,7,2,0,10,11,1,0,2,3,28,1,1,0,4,17,11,18,2,1,20,5,1,0,9,4,8,2,0,1,1,2,21
'320046C0100',32,1,2,1,0,13,13,2,0,6,5,31,2,0,0,3,11,12,8,5,2,25,6,2,0,8,5,6,1,0,1,1,0,15
'320047B0100',32,1,4,4,1,13,10,4,4,1,4,28,2,0,0,3,15,7,15,2,3,18,5,0,0,20,2,3,0,0,1,0,0,21
'320047C0100',32,1,7,2,0,16,12,2,1,6,7,32,1,0,0,2,9,8,15,2,3,23,2,0,0,13,1,2,0,0,1,0,1,17
'320048B0100',32,1,6,5,1,23,13,6,1,11,15,46,1,1,0,6,17,13,22,10,3,43,9,0,0,23,2,9,0,0,3,0,0,33
'320048C0100',32,1,2,7,2,23,19,4,2,7,11,56,2,2,0,3,21,16,21,7,5,28,8,2,1,28,4,7,3,1,3,0,1,25
'320048C0200',32,1,7,6,0,24,19,3,0,5,5,77,6,2,0,1,18,25,26,6,9,42,12,1,0,16,2,6,0,0,1,1,2,24
'320048E0100',32,1,11,3,0,36,31,2,1,5,4,72,4,1,0,0,27,10,29,7,4,51,17,1,0,22,13,11,0,0,1,1,1,31
'320048E0101',32,1,6,2,2,24,22,6,1,5,3,65,2,3,0,4,13,21,34,7,6,42,13,0,1,26,6,11,1,1,4,2,1,45
'320048E0102',32,1,4,6,2,33,20,5,5,7,7,65,1,3,0,2,23,12,30,7,5,45,13,2,0,24,5,6,2,0,1,2,1,41
'320049B0100',32,1,4,4,4,19,14,8,2,9,4,52,2,2,0,2,18,16,15,5,3,26,10,0,0,20,7,10,1,0,0,1,0,33
'320050B0100',32,1,10,3,0,25,13,2,1,7,5,51,0,1,0,3,15,6,23,4,4,24,6,0,0,14,4,8,0,0,0,0,0,19
'320050C0100',32,1,1,4,0,23,22,2,4,4,6,52,1,2,0,2,23,11,11,2,6,22,5,1,0,17,4,9,1,0,0,3,1,17
'320050S0100',32,1,6,7,1,42,32,9,5,10,8,117,5,3,0,8,38,31,40,5,1,73,23,0,0,42,8,12,5,0,0,2,3,62
'320051B0100',32,1,4,1,1,18,12,2,1,3,4,30,2,1,0,0,12,6,23,4,5,34,8,0,0,21,1,7,0,0,0,0,1,17
'320051C0100',32,1,6,3,1,16,16,0,0,1,3,41,3,2,0,2,7,8,9,2,1,25,11,1,0,17,2,4,1,1,1,1,1,12
'320052B0100',32,1,6,5,2,30,16,5,0,8,5,63,3,1,0,5,25,9,11,6,3,36,7,2,0,22,3,7,0,0,1,1,3,27
'320053B0100',32,1,5,7,2,25,17,12,3,10,3,71,2,6,0,4,17,13,28,10,2,46,11,1,0,24,9,9,1,1,0,2,1,37
'320053C0100',32,1,7,4,0,24,14,8,4,10,9,66,3,3,0,3,16,13,20,6,6,52,22,1,0,31,7,13,1,0,2,1,1,34
'320053C0200',32,1,10,4,2,31,22,5,4,6,15,52,4,2,0,3,13,19,26,7,5,40,8,0,0,16,8,7,2,0,1,0,0,32
'320054B0100',32,1,13,7,2,28,22,10,4,3,5,53,0,2,0,2,17,12,22,8,3,52,13,1,1,37,5,7,0,1,3,2,1,34
'320054C0100',32,1,3,8,0,27,14,10,4,9,10,71,4,3,0,5,20,12,30,4,5,60,9,1,1,19,5,4,1,0,0,0,1,31
'320054C0200',32,1,4,5,2,35,23,7,1,3,7,61,2,1,0,3,30,18,15,7,4,39,11,1,0,19,14,8,0,0,0,1,0,37
'320054C0300',32,1,6,9,2,32,19,6,3,4,8,62,3,3,0,5,19,20,22,12,8,38,16,0,0,14,8,7,2,0,4,3,2,40
'320054C0400',32,1,6,7,1,29,23,4,4,9,6,67,0,1,0,3,18,14,20,5,7,42,11,3,0,23,8,10,2,1,1,0,1,46
'320055B0100',32,1,3,3,1,15,11,7,0,3,4,41,1,2,0,4,20,12,14,9,4,34,6,1,0,17,7,10,2,0,1,1,0,18
'320055C0100',32,1,6,2,2,20,11,5,2,6,6,43,3,1,0,5,13,8,15,8,5,33,8,2,0,17,5,3,0,0,0,1,1,19
'320055C0200',32,1,4,3,2,17,15,5,3,2,1,49,1,1,0,0,18,9,14,3,2,32,12,1,0,24,1,3,0,0,0,0,1,30
'320056B0100',32,12,9,3,1,23,15,4,5,5,8,46,1,1,0,4,18,15,9,4,3,29,7,1,0,17,3,5,1,0,1,0,0,32
'320056C0100',32,12,1,3,0,13,18,1,3,4,6,62,4,0,0,2,18,11,18,3,4,40,9,0,0,18,4,5,1,0,0,0,1,23
'320056C0200',32,12,3,2,0,24,14,1,4,4,8,48,2,1,0,1,16,12,17,3,1,41,6,0,1,15,4,7,2,0,0,0,0,21
'320057B0100',32,12,3,7,1,17,17,4,4,2,6,44,2,3,0,2,15,8,12,6,7,26,9,0,0,8,7,7,1,0,0,1,1,23
'320057C0100',32,12,4,0,1,13,9,0,3,4,3,42,0,1,0,3,14,10,23,5,1,34,10,0,1,17,4,4,1,0,1,2,1,23
'320057C0200',32,12,4,3,1,24,14,3,5,3,7,39,2,0,0,1,14,10,11,6,3,29,8,0,0,18,6,7,2,0,2,0,2,21
'320058B0100',32,8,5,3,0,17,9,4,2,3,4,30,2,1,0,2,12,14,13,3,6,41,6,0,0,14,7,6,2,0,0,0,0,22
'320058C0100',32,8,8,3,0,11,15,0,2,4,8,34,1,1,0,5,18,7,13,4,0,24,4,1,0,14,4,3,1,0,2,2,3,21
'320059B0100',32,12,6,4,2,23,13,2,1,8,7,42,4,2,0,1,19,15,13,8,1,28,16,2,0,18,6,7,3,0,1,1,2,22
'320060B0100',32,8,2,1,0,3,4,2,0,1,1,9,0,0,0,0,1,2,2,1,3,11,1,0,0,3,2,2,0,0,1,1,0,8
'320061B0100',32,8,4,3,0,27,15,4,2,9,6,59,2,3,0,1,18,7,19,6,3,24,7,0,0,18,9,14,1,0,1,0,1,21
'320061C0100',32,8,4,5,0,18,14,4,3,3,5,32,0,0,0,6,15,14,9,3,2,32,6,0,0,13,2,5,0,0,1,0,2,13
'320062B0100',32,4,7,8,2,25,19,2,6,1,6,57,3,1,0,2,21,14,22,5,4,26,13,0,0,24,5,10,1,0,1,0,1,30
'320063B0100',32,12,5,5,1,29,16,3,1,4,7,58,2,2,0,2,15,9,16,6,8,39,9,0,0,26,2,4,1,0,1,2,2,30
'320064B0100',32,8,7,4,0,13,10,1,2,3,6,34,2,1,0,2,14,8,15,3,2,33,9,0,0,15,4,8,1,0,0,2,0,25
'320064C0100',32,8,4,4,1,25,6,1,0,0,11,39,2,1,0,1,10,9,17,2,5,30,3,1,0,12,5,4,1,0,0,0,0,29
'320065B0100',32,4,3,0,0,16,17,4,1,6,2,44,2,1,0,2,14,9,14,3,1,20,8,0,0,17,3,6,1,0,2,0,1,16
'320066B0100',32,4,6,4,1,32,18,6,2,3,10,63,1,1,0,1,24,13,32,5,1,44,11,1,1,19,5,4,1,2,4,0,2,38
'320067B0100',32,1,8,1,1,12,15,1,1,5,6,42,4,2,0,2,11,9,7,3,5,23,6,0,0,9,7,6,2,0,1,0,0,18
'320068B0100',32,8,5,1,0,12,9,3,0,1,1,15,1,1,0,2,6,5,7,3,1,19,4,0,0,7,2,2,0,0,0,0,0,8
'320069B0100',32,1,4,4,1,11,12,4,0,4,6,29,1,2,0,2,6,5,8,3,0,24,5,1,0,11,2,7,0,0,0,0,0,32
'320069C0100',32,1,2,2,2,12,12,7,0,2,3,42,0,1,0,3,11,7,14,2,3,29,4,1,0,8,4,0,0,0,0,0,0,21
'320070B0100',32,12,6,1,0,21,15,0,1,3,3,37,3,4,0,3,9,10,11,4,1,27,8,0,0,11,1,7,2,0,0,0,0,28
'320073B0100',32,6,10,5,0,34,16,7,1,5,4,55,2,4,0,4,21,15,24,1,3,41,9,0,1,21,5,7,2,1,1,1,2,26
'320074B0100',32,6,4,2,0,27,17,2,1,5,2,38,3,1,0,3,14,15,17,2,2,41,11,0,0,18,4,3,2,0,0,0,1,21
'320075B0100',32,6,3,1,0,17,8,1,1,3,5,35,2,2,0,2,18,6,18,8,4,35,8,1,0,12,5,7,0,0,1,1,1,15
'320076B0100',32,6,10,10,0,19,21,4,0,9,6,53,4,3,0,7,24,10,23,4,2,28,12,2,0,19,7,6,1,0,1,1,1,21
'320076C0100',32,6,4,10,0,16,18,2,2,7,2,63,2,2,0,4,20,15,27,5,4,36,9,0,0,22,4,3,1,0,1,0,5,25
'320076S0100',32,6,9,4,2,47,27,14,2,9,19,105,0,1,0,6,35,27,39,9,6,66,18,2,2,34,10,10,1,0,2,2,2,52
'320077B0100',32,6,6,5,0,32,21,9,3,7,6,59,4,2,0,4,20,13,17,7,8,45,13,0,0,23,8,13,2,1,1,0,1,37
'320078B0100',32,6,11,6,1,18,10,2,2,2,4,59,1,0,0,1,22,13,24,5,2,33,9,0,0,18,4,6,1,2,0,1,0,26
'320079B0100',32,6,5,0,2,21,14,2,2,5,5,52,1,2,0,4,13,7,21,7,3,28,4,2,0,25,1,5,2,0,1,1,0,21
'320079C0100',32,6,3,3,1,19,10,3,1,4,3,44,0,1,0,4,10,10,7,7,5,38,8,0,0,16,7,3,2,1,0,2,3,27
'320080B0100',32,6,1,2,0,14,9,1,1,3,5,30,0,3,0,3,11,9,15,5,5,36,4,1,0,12,3,2,1,1,0,1,0,15
'320080C0100',32,6,4,6,1,13,14,1,3,2,3,26,0,1,0,3,9,4,13,7,3,24,7,1,0,20,1,1,2,0,2,0,1,19
'320082B0100',32,13,2,2,0,19,7,3,4,2,2,39,1,2,0,0,9,5,11,6,1,30,6,2,0,14,4,4,0,0,1,0,0,18
'320083B0100',32,13,2,4,0,12,9,0,2,1,4,39,0,0,0,1,4,3,12,3,1,14,3,2,0,7,4,7,0,0,0,1,0,11
'320084B0100',32,6,6,8,1,24,20,4,3,6,12,60,2,1,0,3,18,18,23,7,3,40,8,0,0,27,7,9,2,1,0,2,0,37
'320085B0100',32,10,2,2,0,8,4,1,0,4,2,18,1,0,0,0,6,4,7,4,1,9,2,1,0,6,1,3,1,0,0,1,0,5
'320086B0100',32,10,3,2,0,7,9,2,0,3,4,19,1,1,0,2,4,3,12,1,0,13,4,1,0,3,3,3,0,0,0,0,0,13
'320087B0100',32,10,1,1,1,8,4,1,0,0,2,15,0,0,0,0,3,4,5,0,1,7,2,0,0,6,2,3,0,0,1,0,0,6
'320091B0100',32,13,1,3,2,10,8,0,1,1,0,22,1,2,0,1,5,8,9,1,0,25,2,0,0,5,0,1,1,0,1,0,0,13
'320092B0100',32,10,3,5,0,13,5,1,2,1,4,24,1,1,0,1,12,7,16,3,1,15,1,1,0,6,1,1,2,0,0,0,0,8
'320093B0100',32,10,0,3,1,4,1,2,0,1,2,7,0,0,0,2,1,2,2,0,0,7,2,0,0,3,2,2,0,1,0,0,0,8
'320094B0100',32,10,3,1,0,9,14,1,0,3,1,14,0,1,0,3,9,6,8,4,0,6,3,0,1,6,2,0,0,0,0,1,0,9
'320095B0100',32,10,1,2,1,2,5,0,0,0,3,6,0,1,0,0,1,2,3,3,0,6,4,0,0,4,2,1,0,0,0,0,0,8
'320096B0100',32,10,3,1,0,12,5,2,2,6,4,28,1,0,0,1,10,4,6,2,4,16,6,0,0,10,0,4,2,0,0,0,0,11
'320098B0100',32,10,2,1,1,7,4,1,1,5,3,15,0,0,0,0,10,3,1,3,4,11,5,0,0,10,2,2,0,0,0,0,0,8
'320099B0100',32,10,2,1,0,10,7,0,0,2,2,24,1,0,0,3,8,8,12,2,2,17,3,1,0,9,2,6,1,0,1,0,1,9
'320103B0100',32,9,5,10,1,23,15,2,2,1,8,56,3,1,0,0,15,9,16,4,3,26,7,1,0,15,3,6,0,0,1,0,0,21
'320103C0100',32,9,4,6,2,17,17,2,0,6,8,30,1,1,0,3,14,11,22,8,2,28,9,3,0,18,0,3,1,0,0,0,2,22
'320104B0100',32,5,4,3,0,28,18,2,0,4,6,58,1,1,0,2,10,9,20,8,2,35,14,1,0,18,5,5,1,0,3,0,0,29
'320104C0100',32,5,7,4,1,23,14,3,5,4,6,51,0,0,0,3,18,6,12,4,3,37,12,1,0,19,6,7,2,1,1,0,0,23
'320105B0100',32,9,9,6,0,31,21,3,5,1,7,60,2,1,0,3,28,14,22,6,7,59,9,0,1,19,9,6,0,0,1,2,2,26
'320105C0100',32,9,10,6,1,30,25,3,3,7,9,55,2,1,0,6,12,11,21,7,3,44,12,1,1,20,6,6,2,0,1,0,2,40
'320106B0100',32,9,6,4,0,15,18,2,3,7,3,39,2,3,0,4,13,14,12,8,5,21,8,2,0,15,2,5,0,1,0,0,1,21
'320106C0100',32,9,2,2,1,29,8,3,2,2,5,34,3,5,0,1,12,9,8,6,5,25,10,1,1,9,3,5,1,0,2,1,2,19
'320107B0100',32,9,3,4,1,17,14,1,0,1,5,35,1,2,0,3,9,5,14,5,2,22,4,0,0,17,6,6,0,0,0,0,0,18
'320107C0100',32,9,2,3,0,17,10,4,0,6,6,33,0,1,0,2,8,7,11,6,2,23,6,1,0,8,4,5,1,1,0,0,1,16
'320108B0100',32,9,2,4,3,22,20,3,4,2,5,64,1,1,0,4,22,13,20,4,5,43,11,1,0,24,10,8,1,0,1,0,1,23
'320108C0100',32,9,4,1,0,20,15,4,3,6,5,64,1,3,0,3,25,18,23,9,2,43,9,0,1,31,6,6,1,1,1,4,0,44
'320109B0100',32,9,5,2,0,16,9,1,2,5,3,40,0,0,0,5,9,10,12,2,3,18,6,0,0,8,1,2,0,0,0,0,2,20
'320110B0100',32,9,3,5,0,23,15,4,1,2,3,47,1,0,0,1,12,8,18,8,3,37,8,0,0,15,6,6,0,0,1,0,0,24
'320111B0100',32,9,4,0,2,14,10,3,0,3,3,39,0,0,0,1,9,3,11,1,1,27,6,0,0,13,1,2,0,1,0,0,0,9
'320112B0100',32,9,6,4,2,15,9,4,3,4,5,42,4,2,0,2,13,13,25,6,3,34,7,0,1,26,1,9,1,0,1,0,0,24
'320112C0100',32,9,9,5,0,14,16,4,3,6,3,59,1,0,0,6,13,8,16,7,1,21,10,1,0,10,7,5,3,0,1,0,0,25
'320113B0100',32,9,2,2,1,11,12,2,2,5,7,31,1,0,0,1,7,5,13,1,3,17,11,0,0,15,3,3,0,0,2,0,2,11
'320114B0100',32,4,8,2,1,17,13,2,1,6,5,55,0,3,0,2,18,12,14,5,6,36,13,1,0,20,3,8,2,0,1,1,0,31
'320115B0100',32,4,5,6,1,27,23,7,5,3,9,48,2,3,0,2,16,13,13,8,4,35,8,2,0,24,3,10,0,0,3,1,1,18
'320116B0100',32,12,7,2,3,24,13,3,2,2,7,54,1,0,0,6,16,8,18,7,1,30,6,1,0,16,8,6,2,1,2,0,0,24
'320117B0100',32,1,8,3,2,16,9,2,0,3,6,31,1,2,0,1,13,7,4,2,0,23,13,0,0,13,9,6,0,0,0,0,1,13
'320118B0100',32,4,4,9,0,18,16,2,1,5,5,36,0,3,0,2,13,9,9,1,3,31,5,0,1,9,5,1,0,0,0,1,0,19
'320119B0100',32,4,7,6,4,31,20,4,3,5,4,61,5,2,0,3,17,16,23,9,5,30,13,1,0,21,10,10,0,0,0,1,0,30
'320120B0100',32,8,3,1,1,10,8,2,3,5,5,27,2,1,0,1,12,8,11,0,1,13,8,0,0,7,1,3,0,0,0,0,0,9
'320121B0100',32,8,3,0,0,4,10,1,1,1,2,9,2,0,0,0,5,1,6,1,0,10,3,0,0,7,2,1,0,0,0,0,0,6
'320121E0100',32,8,1,0,0,3,4,0,0,1,0,10,1,2,0,1,5,4,6,1,1,6,2,0,0,5,3,1,0,0,0,0,1,2
'320122B0100',32,8,5,2,0,14,9,3,1,0,4,28,3,0,0,1,7,6,10,7,0,24,10,0,2,9,3,1,0,0,0,0,0,16
'320123B0100',32,8,7,6,1,14,11,2,2,7,7,37,3,2,0,3,7,6,14,5,3,19,4,1,1,17,5,10,0,0,0,0,2,19
'320124B0100',32,8,1,1,0,9,7,1,1,3,5,19,0,0,0,1,5,3,7,1,3,18,5,0,0,6,2,2,0,0,0,0,0,8
'320124E0100',32,8,2,2,0,8,5,5,0,5,3,13,0,0,0,0,5,3,3,0,1,15,4,1,0,4,3,2,1,0,0,0,1,12
'320125B0100',32,8,4,3,0,4,10,2,1,8,2,30,0,1,0,4,10,5,6,1,0,21,9,0,0,9,2,1,0,0,0,0,2,12
'320125E0100',32,8,3,3,0,5,7,3,2,2,3,11,2,0,0,1,3,5,4,4,2,10,3,0,0,7,1,1,1,0,0,0,0,13
'320126B0100',32,8,3,1,1,6,8,0,0,1,1,17,0,0,0,1,5,4,4,1,1,13,1,0,0,8,2,2,1,0,0,0,0,5
'320127B0100',32,8,8,7,1,28,13,3,1,3,7,47,3,1,0,1,16,10,26,0,2,27,8,0,0,19,7,5,4,0,1,0,0,19
'320128B0100',32,8,6,8,0,22,9,5,3,4,6,50,4,1,0,2,18,12,16,7,3,26,4,1,0,16,3,2,1,2,1,1,1,25
'320129B0100',32,1,3,6,2,11,11,3,1,5,9,30,0,3,0,2,10,7,7,2,4,25,3,0,0,9,2,6,0,1,1,0,1,25
'320130B0100',32,8,6,3,2,21,11,6,2,3,3,41,4,3,0,3,13,4,12,7,2,21,5,0,2,18,4,5,0,1,1,0,1,20
'320131B0100',32,8,1,3,1,0,2,0,0,1,1,6,1,0,0,0,2,2,3,3,0,4,3,0,0,2,1,1,0,0,1,0,0,0
'320131E0100',32,8,2,1,0,3,0,1,0,0,0,6,0,0,0,2,3,0,2,2,0,5,1,0,0,4,0,1,0,0,0,0,0,5
'320132B0100',32,8,6,1,1,9,9,1,1,3,2,28,0,1,0,0,11,10,16,2,2,16,6,3,0,11,4,2,0,0,0,0,0,18
'320133B0100',32,8,3,1,0,9,2,1,2,1,3,16,1,1,0,4,8,4,5,2,0,15,4,0,0,7,2,1,0,0,1,0,2,12
'320134B0100',32,8,3,1,0,6,4,2,0,1,0,22,3,0,0,2,6,7,6,1,0,17,6,0,0,4,1,3,0,0,1,0,0,16
'320135B0100',32,12,8,4,1,26,12,5,1,7,6,50,1,2,0,1,13,9,21,5,3,29,15,0,0,19,3,11,3,0,1,0,0,25
'320135C0100',32,12,6,7,1,20,18,4,4,3,10,45,0,2,0,3,8,9,17,7,4,36,7,0,0,25,5,9,2,0,0,1,3,32
'320135C0200',32,12,5,5,0,20,15,5,1,9,7,57,1,0,0,4,15,12,17,4,2,41,15,0,0,26,3,7,1,2,1,0,0,27
'320135C0300',32,12,3,2,2,23,13,4,0,5,5,58,2,1,0,3,20,17,17,6,5,33,6,0,0,19,9,6,2,0,0,0,0,36
'320135C0400',32,12,4,6,1,29,18,6,0,3,5,55,1,0,0,3,24,11,16,6,3,27,11,3,0,13,10,6,0,0,0,1,1,31
