CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PT_PVEM_MORENA_PANAL,PT_PVEM_MORENA,PT_PVEM_PANAL,PT_MORENA_PANAL,PVEM_MORENA_PANAL,PT_PVEM,PT_MORENA,PT_PANAL,PVEM_MORENA,PVEM_PANAL,MORENA_PANAL,MC,PAZ,MD,PP,PFP,PES,RSP,FPM,CNR,NULOS
'320671B0100',32,2,3,8,1,22,18,5,1,2,9,36,2,3,0,2,11,8,19,6,1,27,8,0,0,14,4,2,2,0,0,1,0,29
'320749B0100',32,2,4,4,2,19,13,7,3,5,4,36,3,0,0,0,16,5,19,5,4,31,4,1,0,12,7,1,1,0,2,0,0,28
'321207B0100',32,3,5,3,1,12,19,2,4,7,4,53,0,3,0,2,13,8,20,7,3,31,3,2,0,21,5,4,0,0,1,1,2,25
'321848C0100',32,3,5,6,1,10,9,3,0,2,4,37,1,2,0,3,16,6,13,5,1,26,8,1,0,15,4,6,3,0,0,0,3,21
'320724B0100',32,3,7,4,1,22,16,4,4,2,11,52,2,0,0,3,13,14,25,6,2,47,9,0,0,19,8,7,0,0,0,1,0,37
'321841C0100',32,3,5,4,2,11,13,3,0,2,3,37,1,2,0,5,8,3,11,3,2,19,6,0,1,16,3,0,1,0,0,0,3,22
'320403B0100',32,3,3,3,3,5,7,1,0,2,3,17,1,0,0,0,5,3,5,7,0,9,2,0,0,4,1,4,0,0,0,0,0,9
'320737B0100',32,3,2,1,1,32,14,7,3,6,9,60,3,3,0,4,11,15,21,2,5,31,7,2,1,26,8,4,0,0,3,3,2,27
'321612C0100',32,3,8,5,2,28,21,6,5,9,10,68,2,2,0,2,18,13,24,7,4,47,13,0,2,22,10,11,2,0,2,1,2,38
'321092B0100',32,3,5,3,0,15,8,1,1,3,1,31,0,3,0,3,7,7,9,2,3,20,11,0,0,13,6,3,0,0,0,1,0,15
'321793B0100',32,3,1,2,0,20,12,2,2,2,4,33,3,0,0,3,13,14,11,5,0,22,4,1,2,12,4,7,0,0,1,0,1,12
'321234B0100',32,3,9,16,1,19,18,3,3,7,5,53,3,1,0,2,12,12,19,6,7,25,9,2,1,17,8,10,1,0,0,1,2,24
'321080B0100',32,3,5,5,1,22,13,2,3,2,3,37,1,1,0,3,10,8,10,1,3,30,8,1,1,10,7,15,0,0,0,0,0,25
'320176B0100',32,4,2,3,1,18,11,3,2,2,4,44,2,2,0,2,10,9,7,8,8,29,7,2,0,16,6,5,1,0,0,0,0,26
'320504C0100',32,4,5,4,0,21,14,3,2,7,5,32,2,1,0,4,21,9,25,4,1,27,13,0,1,13,8,2,1,0,1,0,1,27
'320153B0100',32,4,1,2,3,10,7,0,0,4,4,38,1,5,0,2,11,11,15,1,4,19,5,1,0,11,6,3,0,0,2,0,2,18
'320198B0100',32,4,7,0,5,15,17,5,1,5,6,44,0,4,0,4,22,9,20,6,0,24,3,0,0,15,5,9,0,1,1,2,2,29
'320492B0100',32,4,5,3,0,24,20,6,4,6,6,58,2,3,0,3,24,18,29,5,6,57,18,0,0,17,5,12,2,0,2,2,1,38
'320164C0100',32,4,9,3,0,24,14,2,3,1,5,53,2,0,0,5,16,13,18,4,1,24,14,0,0,14,4,7,1,0,0,1,0,32
'320276C0200',32,4,11,3,2,28,10,3,3,5,5,49,2,2,0,1,14,8,13,6,3,34,11,4,0,15,2,5,0,0,1,0,0,25
'320195B0100',32,4,3,4,1,21,22,2,0,6,3,48,1,4,0,4,14,15,13,3,3,25,7,0,1,10,6,4,0,0,1,0,0,19
'320442B0100',32,4,5,2,0,15,14,2,2,5,1,45,0,0,0,5,11,10,14,7,2,20,7,1,0,14,2,2,1,2,3,1,0,26
'320228C0200',32,4,9,6,1,26,27,3,5,3,3,54,3,0,0,6,17,10,9,4,5,29,10,1,1,15,1,7,1,1,1,1,1,29
'320190B0100',32,4,7,2,1,17,22,5,2,6,5,50,4,6,0,5,12,12,30,12,6,37,4,1,2,21,4,11,1,1,1,1,0,42
'320066B0100',32,4,6,4,1,32,18,6,2,3,10,63,1,1,0,1,24,13,32,5,1,44,11,1,1,19,5,4,1,2,4,0,2,38
'320190C0200',32,4,7,5,1,23,18,7,2,6,12,61,2,1,0,5,19,14,19,6,7,34,7,0,0,16,4,6,1,0,1,1,4,41
'320789C0100',32,4,0,3,1,21,13,2,2,4,1,51,3,2,0,3,13,9,16,2,0,35,13,2,0,13,4,7,0,1,0,0,1,28
'320041B0100',32,4,9,4,2,21,27,5,5,5,11,46,1,1,0,7,21,17,20,3,4,42,13,0,0,19,7,5,1,1,3,2,1,46
'320203B0100',32,4,4,5,2,22,18,3,2,5,4,53,0,1,0,3,14,13,27,6,3,26,11,2,0,17,5,5,0,1,0,0,0,30
'320272B0100',32,4,3,11,0,16,19,4,0,4,13,57,3,1,0,2,15,10,26,9,8,31,7,1,3,16,6,11,2,2,0,2,0,40
'320436C0100',32,4,4,2,0,20,13,3,2,3,7,42,1,3,0,1,14,10,16,5,3,30,11,1,0,24,6,8,0,0,0,1,0,28
'320173B0100',32,4,5,3,4,22,13,7,1,7,9,62,2,2,0,4,12,16,19,5,4,37,17,2,1,22,7,11,0,0,0,1,4,35
'321889C0100',32,4,6,5,2,23,25,3,2,2,7,50,3,0,0,1,12,5,12,10,4,23,7,1,0,14,5,4,0,0,1,0,1,30
'320438C0100',32,4,2,4,1,19,10,6,2,4,5,36,0,4,0,2,15,9,21,0,3,32,8,1,0,8,1,3,2,0,0,0,2,18
'321258B0100',32,4,9,4,1,24,25,3,6,6,5,55,1,5,0,2,19,20,23,6,3,44,12,0,1,22,5,5,4,1,0,2,4,40
'320154C0100',32,4,4,3,2,22,17,7,1,7,3,40,0,2,0,1,7,8,18,11,3,26,12,2,0,13,4,8,0,0,0,0,1,35
'320190C0100',32,4,6,5,0,23,22,3,3,13,11,54,8,4,0,7,22,15,18,6,1,38,9,2,0,18,6,6,1,2,0,1,0,31
'320473B0100',32,4,1,3,1,17,10,6,1,1,4,43,1,0,0,6,9,11,10,7,5,25,7,1,0,24,4,8,2,0,1,0,2,14
'320139C0200',32,4,8,5,3,27,18,3,2,7,12,61,3,2,0,6,22,10,23,15,0,41,11,2,0,19,5,5,0,0,1,0,3,29
'320519C0100',32,4,4,2,0,10,11,5,2,1,2,26,2,2,0,1,7,9,12,8,4,28,4,0,1,21,5,6,0,0,0,1,0,23
'320777B0100',32,4,7,6,1,18,12,3,6,6,8,41,1,2,0,1,17,6,20,2,1,23,10,0,1,16,4,7,2,0,3,1,0,21
'320212B0100',32,4,9,3,0,29,15,12,3,5,5,62,1,2,0,2,20,10,20,6,4,34,15,1,0,9,9,3,2,0,1,1,2,31
'320154C0200',32,4,6,5,1,21,16,4,3,3,6,38,2,0,0,5,25,10,20,6,5,29,8,1,0,16,4,3,0,1,0,1,0,31
'321486C0200',32,5,6,3,0,21,9,0,1,6,5,44,2,1,0,2,11,10,19,3,3,32,7,1,0,16,5,4,1,0,0,0,3,31
'320968B0100',32,5,4,3,2,20,24,2,5,11,8,67,0,1,0,4,21,13,21,7,3,42,14,0,1,22,5,9,0,0,1,1,3,33
'320750B0100',32,5,11,7,2,31,20,9,2,8,9,57,2,1,0,6,17,8,19,9,7,32,8,0,0,22,5,7,1,0,1,0,1,31
'321523C0100',32,5,2,6,2,18,12,3,1,5,4,34,0,0,0,2,16,10,12,1,3,26,9,0,0,6,5,3,0,0,0,2,1,18
'320743B0100',32,5,9,5,1,23,31,5,4,3,6,73,3,4,0,3,19,10,27,9,1,32,15,1,1,23,8,5,0,0,0,0,3,36
'321722B0100',32,5,3,3,1,18,11,3,3,7,10,36,3,0,0,3,8,13,12,5,2,21,9,1,0,17,3,3,0,0,2,0,0,18
'320579B0100',32,5,9,3,2,30,26,5,3,7,6,66,5,1,0,4,14,13,21,12,2,46,8,1,1,20,6,11,0,0,2,0,2,30
'321559B0100',32,5,4,10,0,27,27,3,4,6,9,68,2,2,0,3,19,21,22,3,3,49,10,1,2,31,4,5,2,0,2,0,4,33
'321718B0100',32,5,5,7,2,21,26,2,5,8,7,56,2,2,0,6,17,12,24,8,3,40,11,1,0,20,3,5,0,0,1,0,2,29
'320616B0100',32,5,3,7,1,26,16,6,3,7,6,60,1,2,0,1,18,15,17,10,5,28,6,1,1,21,14,7,2,0,0,1,3,30
'321533B0100',32,5,3,5,1,22,20,6,4,4,12,64,2,0,0,3,15,18,22,9,3,46,7,0,0,27,5,10,0,0,2,1,1,35
'321038C0100',32,5,4,4,1,26,14,2,4,5,3,48,4,2,0,1,19,6,15,5,5,23,3,0,1,15,7,7,1,0,1,0,1,29
'320571B0100',32,5,1,6,0,25,14,3,1,4,6,49,2,3,0,2,13,11,25,9,2,32,14,0,0,19,4,10,2,0,0,0,2,34
'320617C0200',32,5,8,7,0,16,12,5,6,7,5,59,1,3,0,5,24,17,14,5,3,47,13,1,0,11,10,10,0,0,3,0,3,33
'320003C0100',32,5,9,5,0,18,14,3,6,1,3,42,0,1,0,2,14,13,20,2,1,39,6,0,0,11,6,10,1,0,1,0,0,22
'320955B0100',32,5,5,5,1,29,19,7,1,6,10,45,2,1,0,5,25,15,23,6,3,34,16,1,1,17,7,10,0,0,3,1,1,26
'321529B0100',32,5,3,3,0,13,11,4,2,4,2,43,2,2,0,1,16,10,11,6,1,27,6,0,1,15,5,6,0,0,3,0,1,14
'320022C0100',32,5,4,6,1,14,14,2,1,0,5,42,0,1,0,2,10,8,10,3,0,27,9,2,0,18,5,6,0,0,0,1,0,22
'321435B0100',32,5,7,9,0,24,14,3,2,9,5,67,2,6,0,5,23,12,22,2,5,52,8,0,0,24,5,8,0,0,0,2,0,29
'321465B0100',32,5,3,3,1,17,5,2,1,7,4,35,1,3,0,1,8,13,7,2,5,28,11,1,0,8,3,4,0,0,0,0,1,18
'320626B0100',32,5,7,2,0,22,23,2,3,6,4,55,1,1,0,5,19,6,22,10,1,42,8,0,0,25,6,4,2,0,0,0,2,26
'321486B0100',32,5,11,5,1,15,13,5,2,1,5,49,4,0,0,3,20,11,13,5,0,24,13,0,0,15,6,9,2,0,0,0,0,26
'321726B0100',32,5,16,9,0,22,16,6,2,7,2,48,1,2,0,4,17,10,12,5,2,37,10,2,0,21,6,8,0,0,0,0,2,24
'320970B0100',32,5,10,10,0,24,24,6,0,5,11,59,1,6,0,8,19,16,23,11,5,45,14,0,1,24,7,13,2,1,1,0,1,37
'321466B0100',32,5,7,6,1,25,7,3,3,3,7,43,1,0,0,4,14,10,16,3,5,36,11,0,0,15,5,6,1,0,1,1,1,31
'321869C0100',32,6,11,13,1,32,28,4,4,8,5,74,3,1,0,3,15,12,22,7,7,54,12,0,0,18,8,5,0,1,1,2,1,25
'321784B0100',32,6,4,2,2,21,18,3,1,7,6,46,1,5,0,2,15,11,25,6,3,44,9,1,1,28,6,1,3,0,1,3,2,22
'321790C0100',32,6,2,1,1,15,9,3,1,4,7,34,2,1,0,5,18,7,7,2,3,22,8,1,0,11,4,4,0,0,1,0,2,16
'320886C0100',32,6,5,5,2,25,12,2,2,3,6,42,2,3,0,1,18,12,17,13,4,35,9,0,0,29,8,6,3,0,0,0,0,25
'320718C0100',32,6,6,7,1,21,17,2,3,5,1,56,1,1,0,2,14,20,16,6,5,41,10,1,2,12,4,5,0,1,0,0,0,27
'321609B0100',32,6,9,10,0,24,23,1,7,3,6,60,2,2,0,8,14,12,25,4,5,49,12,4,0,24,3,8,3,0,1,1,1,29
'321827B0100',32,6,6,6,0,24,19,0,1,2,9,41,2,2,0,5,14,18,17,9,3,34,11,1,1,11,2,8,1,1,0,0,2,26
'320729B0100',32,6,10,4,0,24,12,5,4,6,7,52,0,1,0,3,15,9,10,4,0,27,9,2,1,18,3,8,1,0,0,0,1,32
'321817B0100',32,6,4,2,2,23,18,3,3,5,2,47,1,2,0,4,21,12,16,8,2,34,9,1,0,18,4,3,2,1,1,0,0,29
'321872B0100',32,6,3,6,3,21,14,5,2,6,4,63,1,8,0,2,13,11,15,8,7,32,10,4,0,21,9,4,1,0,1,0,1,30
'321193C0100',32,6,3,1,1,14,10,3,4,5,3,24,3,0,0,1,9,8,10,2,2,21,4,0,2,10,4,7,2,0,1,2,1,17
'321846B0100',32,6,10,5,1,32,29,6,3,3,9,71,5,1,0,5,20,11,23,5,5,51,12,1,0,14,7,5,0,1,5,0,2,24
'321820B0100',32,6,4,5,3,37,11,2,3,6,8,53,1,4,0,3,15,18,21,8,6,35,4,2,0,21,11,8,1,0,0,0,0,27
'321874C0300',32,6,6,4,0,16,13,3,1,7,6,60,2,1,0,1,22,14,18,8,2,38,12,4,0,23,8,7,0,0,1,2,1,35
'321829B0100',32,6,3,3,0,16,7,2,2,1,6,35,2,0,0,4,13,12,12,9,5,22,5,1,0,21,4,5,2,0,0,0,2,18
'321864B0100',32,6,8,3,2,17,17,5,0,1,7,41,1,3,0,7,12,6,14,5,3,23,6,0,0,12,4,6,0,0,0,0,1,13
'321819C0100',32,6,7,4,1,16,21,1,1,2,3,44,0,1,0,2,9,14,11,6,3,33,9,0,1,18,3,4,0,0,1,0,0,17
'320945B0100',32,6,9,8,1,22,20,4,2,6,5,43,3,0,0,1,17,12,11,3,1,27,8,0,0,16,5,3,0,0,2,2,1,25
'321856B0100',32,6,6,2,0,11,8,3,4,5,10,50,1,2,0,3,10,10,22,4,2,24,6,1,0,8,5,4,1,0,0,0,1,16
'321795B0100',32,6,7,3,1,16,11,2,0,3,2,37,0,1,0,3,7,2,24,5,3,24,3,0,0,15,6,7,2,0,1,0,0,20
'320074B0100',32,6,4,2,0,27,17,2,1,5,2,38,3,1,0,3,14,15,17,2,2,41,11,0,0,18,4,3,2,0,0,0,1,21
'321820E0101',32,6,7,7,4,23,18,4,1,4,5,51,1,0,0,0,18,11,19,7,3,38,12,0,1,15,1,9,0,0,1,1,0,30
'321788B0100',32,6,5,7,2,24,17,3,2,3,4,49,0,1,0,3,17,10,18,7,4,34,10,5,0,21,10,7,2,0,0,1,2,32
'321799B0100',32,6,4,7,0,17,15,2,3,6,3,56,0,1,0,1,18,12,14,7,1,37,7,0,0,17,2,6,1,0,0,1,1,21
'321822C0100',32,6,5,4,1,16,9,3,3,2,2,41,2,1,0,1,16,7,14,7,5,31,14,1,0,15,5,0,0,1,1,0,0,19
'321776B0100',32,6,5,3,1,28,16,1,2,1,6,51,2,2,0,4,17,12,22,6,7,40,7,1,1,25,5,6,1,1,1,0,2,36
'321826B0100',32,6,6,3,3,31,19,5,2,8,5,52,1,0,0,3,23,15,25,6,3,54,17,2,2,26,7,6,2,0,0,0,3,28
'321869E0100',32,6,7,9,1,28,25,2,3,9,6,66,2,1,0,1,26,7,20,10,3,51,13,1,0,19,11,9,1,1,1,2,2,35
'321811B0100',32,6,4,4,0,30,19,6,5,4,5,47,5,0,0,3,17,14,18,6,1,17,6,0,0,7,6,6,2,1,1,1,0,21
'321809C0100',32,6,4,4,1,26,12,4,3,7,4,42,3,1,0,2,16,16,18,7,3,27,6,0,1,19,7,2,1,0,1,0,2,26
'321782B0100',32,6,7,4,1,23,17,3,3,3,5,48,3,0,0,3,15,16,19,5,6,29,4,0,0,19,6,10,0,1,2,0,0,27
'321801B0100',32,6,6,8,1,21,30,3,0,7,8,63,1,0,0,5,18,9,22,8,4,45,10,1,0,20,5,12,1,1,0,0,1,27
'321825C0100',32,6,3,5,0,13,13,5,0,5,7,31,1,3,0,4,8,7,10,5,2,21,3,2,1,19,7,6,1,0,1,1,1,17
'321869E0106',32,6,9,7,1,30,22,7,4,7,8,67,1,2,0,4,18,14,26,4,4,56,10,1,1,17,9,10,1,1,0,1,2,38
'320075B0100',32,6,3,1,0,17,8,1,1,3,5,35,2,2,0,2,18,6,18,8,4,35,8,1,0,12,5,7,0,0,1,1,1,15
'321804B0100',32,6,7,7,1,23,18,5,2,8,6,74,2,1,0,1,16,11,19,8,8,40,11,2,1,23,5,6,2,1,1,1,1,42
'321859C0400',32,6,11,6,0,31,21,8,1,12,6,60,5,4,0,5,15,11,24,8,4,45,14,1,0,39,5,8,2,0,2,1,1,33
'320951B0100',32,6,5,6,0,16,15,4,3,5,1,39,4,2,0,3,17,15,8,2,1,17,9,0,0,10,6,6,1,0,0,0,0,29
'321806B0100',32,6,6,4,0,22,14,7,2,6,6,64,1,0,0,5,19,13,14,10,7,39,7,0,0,29,8,6,0,0,0,0,2,34
'321858B0100',32,6,8,2,1,13,15,6,2,11,5,38,2,1,0,1,12,5,18,6,2,36,9,0,1,15,8,7,1,0,1,0,0,29
'320461B0100',32,7,4,8,2,32,15,8,5,9,3,61,1,2,0,3,11,12,19,1,5,38,7,0,0,16,2,5,0,0,0,0,1,28
'321908C0100',32,7,7,4,0,20,17,3,1,4,7,54,0,1,0,3,11,12,26,8,4,37,8,1,0,12,5,4,1,0,0,1,1,17
'321899B0100',32,7,4,3,0,16,15,4,2,1,6,36,2,3,0,3,14,11,17,7,4,21,5,0,0,15,3,5,1,1,1,2,0,33
'320494C0300',32,7,10,5,1,38,18,5,2,10,8,58,3,1,0,1,21,9,13,4,4,33,8,0,0,20,8,9,0,0,1,1,1,36
'320540C0100',32,7,6,4,0,25,15,4,4,3,8,61,0,1,0,6,16,9,25,6,4,41,13,2,0,28,8,6,2,1,0,0,1,24
'320470E0400',32,7,8,7,1,28,21,3,0,5,6,60,1,3,0,1,16,12,22,6,1,33,5,0,1,26,9,5,3,0,1,0,2,30
'320768B0100',32,7,7,1,0,18,18,2,0,10,11,41,4,1,0,1,8,17,20,4,2,35,6,0,0,19,3,5,0,1,0,0,1,26
'321687B0100',32,7,12,6,0,15,16,4,5,4,7,50,1,1,0,6,11,16,10,5,4,36,7,0,0,12,6,5,1,0,0,0,2,19
'320507C0300',32,7,9,8,1,23,16,3,2,4,12,64,3,2,0,2,30,16,31,5,8,43,14,1,0,26,4,7,5,0,0,1,0,39
'320471C0300',32,7,4,2,0,29,20,2,5,7,8,51,2,2,0,2,19,12,18,2,7,38,9,2,0,23,2,10,2,0,2,0,1,33
'320464B0100',32,7,10,4,4,28,21,8,5,5,8,70,3,3,0,8,24,17,24,5,3,44,17,2,0,28,6,4,2,1,2,1,0,40
'320540B0100',32,7,7,6,2,25,19,3,1,9,4,62,2,2,0,1,18,12,29,6,0,39,16,1,0,25,7,5,0,1,3,2,1,21
'320469B0100',32,7,3,9,1,21,21,3,4,2,3,66,1,3,0,4,10,13,31,5,6,30,12,0,0,15,7,7,1,0,2,2,1,32
'320463C0100',32,7,5,2,1,23,18,3,3,2,5,58,2,4,0,2,13,13,10,6,4,42,9,2,1,21,10,5,2,2,0,1,2,34
'320763B0100',32,7,13,5,1,20,16,2,6,6,4,59,2,1,0,3,12,13,27,5,3,44,11,1,0,16,7,14,3,0,0,0,3,26
'320469C0200',32,7,8,3,0,26,10,8,1,4,12,59,0,1,0,4,18,7,20,8,4,36,13,0,0,19,2,7,2,0,0,0,2,35
'320470E0100',32,7,9,6,0,34,13,4,2,2,4,58,3,4,0,1,18,12,21,13,2,33,12,1,0,20,4,6,2,1,1,1,0,23
'320495B0100',32,7,4,5,1,29,21,3,4,7,7,49,0,0,0,3,21,15,20,6,5,43,16,3,2,23,3,4,1,1,0,0,1,29
'320549C0500',32,7,3,4,0,20,22,6,5,5,11,62,2,4,0,1,20,16,20,3,3,33,15,3,0,22,10,12,3,0,0,0,2,35
'321689B0100',32,7,11,5,4,31,21,2,4,3,5,61,5,5,0,3,14,14,16,5,4,51,8,2,1,25,7,8,0,2,5,2,3,31
'320470E0301',32,7,7,2,1,21,18,2,1,7,6,48,3,2,0,1,18,19,24,3,6,43,16,0,0,18,5,7,1,0,1,0,1,35
