CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PVEM_PT_MORENA_PANAL,PVEM_PT_MORENA,PVEM_MORENA_PANAL,PVEM_PT_PANAL,PT_MORENA_PANAL,PVEM_PT,PVEM_MORENA,PVEM_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,VIVA,LN,PES,RSP,FPM,CI1,CI2,CI3,CNR,NULOS
'180675B0100',18,2,17,3,16,7,5,18,2,14,5,1,6,26,2,4,1,0,3,1,14,2,0,0,4,0,8,0,0,1,2,1,0,0,4
'180793E0100',18,2,6,4,15,5,6,9,9,13,2,1,3,12,5,2,0,0,2,0,7,1,0,1,0,0,4,0,0,0,6,2,0,3,1
'180958C0100',18,2,13,9,26,2,11,19,9,22,5,0,6,26,8,5,0,0,7,2,11,6,0,2,3,1,9,3,0,1,8,2,0,3,9
'180784B0100',18,2,14,5,13,2,4,10,4,10,4,0,2,11,1,1,0,0,2,1,9,3,0,1,2,2,5,1,0,0,4,1,0,7,4
'180628C0100',18,2,21,11,25,5,12,21,7,20,2,0,5,20,5,4,0,0,11,1,24,7,0,3,4,1,9,2,1,1,2,1,1,4,7
'180690B0100',18,2,22,6,26,6,9,15,10,14,2,0,2,19,3,5,0,0,9,0,14,5,2,0,1,0,7,0,0,1,8,3,3,1,6
'180965B0100',18,2,25,13,24,7,11,34,5,21,7,1,8,20,7,8,0,0,4,2,18,3,2,1,1,1,11,3,0,1,6,1,3,2,8
'180903C0100',18,2,28,9,17,4,11,22,9,19,7,1,8,18,5,6,0,0,4,2,17,3,1,1,0,0,9,0,2,1,5,0,2,2,8
'180914B0100',18,2,19,11,26,3,17,26,9,24,5,0,7,24,1,13,0,0,4,1,18,6,0,1,2,0,11,3,2,0,14,4,1,1,9
'180773B0100',18,2,21,10,26,4,9,25,8,20,4,0,6,30,7,5,0,0,5,3,17,4,2,2,1,3,6,0,1,0,2,2,1,3,7
'180776B0100',18,2,5,2,5,2,4,3,0,3,1,0,2,5,0,1,0,0,0,0,4,1,0,1,0,0,1,2,0,0,2,0,0,1,3
'180893B0100',18,2,40,11,34,5,13,29,11,29,10,0,9,21,6,4,0,0,3,2,16,4,2,2,1,2,11,3,1,1,6,3,1,1,6
'180806B0100',18,2,28,9,37,6,10,15,11,24,1,0,6,24,3,3,0,0,6,1,12,5,2,0,0,0,11,0,0,1,5,2,1,2,4
'180799E0700',18,2,33,15,25,7,18,25,9,19,4,1,7,26,7,8,0,0,6,2,17,6,2,2,2,1,15,1,1,2,4,1,2,8,11
'180910C0100',18,2,32,14,35,4,20,28,7,31,7,0,8,28,15,5,1,0,7,1,17,4,2,1,4,2,16,2,0,0,7,3,0,5,8
'180757B0100',18,2,21,6,27,6,4,27,11,18,4,0,6,21,6,3,0,0,5,3,8,3,0,2,5,1,11,1,0,2,8,0,2,2,3
'180809B0100',18,2,17,7,18,5,9,20,4,29,8,0,6,19,4,3,0,0,7,1,15,5,1,3,1,1,6,3,2,0,13,4,0,3,5
'180799E0701',18,2,28,18,32,3,11,25,13,24,11,1,7,28,8,7,0,0,4,1,26,11,1,0,1,1,18,1,1,2,8,1,1,5,6
'180215C0100',18,3,35,12,38,11,16,34,15,20,11,0,14,45,6,10,1,0,14,0,21,7,2,2,7,0,8,2,2,1,5,0,1,3,6
'180401B0100',18,3,34,7,28,6,11,19,6,21,6,0,5,39,8,6,1,0,6,4,13,3,1,1,2,1,7,1,0,1,3,2,1,5,6
'180115C0100',18,3,35,17,36,6,17,26,14,21,10,0,7,29,12,9,1,1,6,3,28,6,3,5,0,1,12,5,2,0,5,1,2,6,13
'180218C0100',18,3,28,11,37,7,11,32,9,31,3,0,9,34,9,4,0,0,7,1,28,7,2,2,2,1,9,3,0,0,8,4,1,3,6
'180220B0100',18,3,31,7,41,3,10,30,11,18,4,1,4,21,8,3,0,0,3,3,27,1,4,1,3,0,15,4,0,2,10,2,1,2,12
'180119C0400',18,3,25,8,39,6,16,25,13,26,8,0,8,33,7,9,0,1,6,1,21,8,2,3,4,1,16,5,1,0,8,3,2,3,8
'180217B0100',18,3,26,10,29,8,21,34,13,27,7,0,8,29,11,4,0,0,4,2,19,4,0,1,2,0,9,3,0,1,5,4,2,2,8
'180156B0100',18,3,17,12,31,4,16,23,10,21,4,0,8,27,5,7,0,0,4,1,13,5,1,2,3,0,8,1,0,1,2,3,0,2,6
'180124C0100',18,3,22,11,34,5,21,27,8,34,9,0,6,25,5,5,1,0,7,2,25,13,2,3,2,1,11,2,0,0,6,3,1,2,6
'180215C0200',18,3,29,13,25,13,17,33,21,30,13,0,7,39,6,5,0,0,6,1,15,5,1,3,6,1,14,3,0,0,5,3,2,5,10
'180118C0700',18,3,31,17,50,8,13,33,10,18,8,0,10,40,12,8,0,0,11,5,27,5,3,2,3,2,16,5,1,1,9,2,3,1,4
'180223B0100',18,3,24,15,24,10,9,21,12,20,6,0,8,27,6,7,0,0,3,2,17,3,1,2,0,1,13,2,1,0,11,3,0,4,8
'180077B0100',18,3,18,7,19,5,9,23,6,21,5,0,3,27,4,7,0,0,4,1,17,2,2,1,1,0,8,2,0,1,6,0,2,4,4
'180222S0100',18,3,58,27,54,19,31,60,20,54,11,1,24,74,15,17,0,0,11,3,26,10,2,4,9,2,26,2,1,3,11,3,2,6,14
'180115C0800',18,3,32,7,29,8,22,35,13,39,7,0,6,34,11,6,0,0,7,3,26,9,3,6,3,1,16,0,1,1,10,0,1,3,11
'180168B0100',18,3,35,16,35,7,6,23,6,25,7,1,9,23,7,10,0,0,5,2,28,5,3,2,4,0,18,3,0,1,12,7,1,2,12
'180119B0100',18,3,27,16,32,6,15,42,17,23,9,0,14,29,3,9,0,0,12,3,25,8,4,3,6,0,8,3,2,1,5,4,3,3,8
'180853B0100',18,3,35,14,36,8,19,37,12,34,8,2,7,35,7,11,0,0,8,4,21,7,1,5,3,0,10,2,4,1,8,1,0,3,13
'180118C0400',18,3,35,15,28,10,12,35,13,28,8,1,8,44,4,8,0,0,7,0,25,8,3,4,1,3,15,0,2,2,11,1,2,2,13
'180227B0100',18,3,30,10,26,9,13,21,2,28,7,0,6,28,8,4,0,0,2,5,26,2,0,2,6,0,10,3,1,0,8,1,1,4,11
'180123B0100',18,3,23,15,33,6,11,33,5,21,7,0,9,40,6,6,0,0,4,0,15,8,0,2,3,2,10,2,0,0,8,2,1,4,8
'180115B0100',18,3,20,13,31,10,21,37,10,26,3,0,9,46,3,7,0,0,8,0,23,7,4,7,3,0,15,5,0,2,10,3,4,6,12
'180853C0200',18,3,30,11,48,10,16,36,11,34,10,1,8,37,7,4,0,0,9,1,17,11,3,4,4,3,14,1,1,3,11,2,2,2,11
'180117C0300',18,3,32,11,39,5,22,28,9,35,4,1,13,47,13,15,1,0,8,0,29,7,3,2,6,1,20,0,1,1,8,3,3,6,11
'180118C0500',18,3,36,12,40,9,17,21,14,30,5,0,15,41,9,10,0,0,5,2,32,10,1,4,2,2,13,1,2,2,15,1,2,5,14
'180664C0200',18,4,23,8,38,3,18,17,10,28,7,0,9,25,7,6,0,1,4,1,18,6,1,1,1,4,14,0,1,1,10,1,0,2,10
'180736B0100',18,4,36,10,33,6,15,29,9,20,6,1,7,35,11,5,0,0,0,6,25,5,2,4,1,0,13,3,1,0,7,2,0,9,5
'180749B0100',18,4,25,19,37,4,20,26,6,34,6,0,12,39,5,3,0,0,4,1,26,10,1,5,1,1,7,2,2,0,9,0,1,1,12
'180710C0100',18,4,27,16,42,7,15,21,8,33,5,1,10,39,7,6,0,0,6,2,28,9,3,3,2,0,10,2,1,0,4,6,1,3,9
'180687B0100',18,4,15,11,38,13,18,38,10,29,5,1,7,35,9,6,0,0,6,2,11,4,1,3,1,1,11,3,2,2,11,2,1,11,5
'180612B0100',18,4,34,12,36,6,12,30,11,28,7,0,11,39,0,8,0,0,13,1,28,11,1,3,2,1,17,0,0,2,3,4,0,4,5
'180764E0102',18,4,19,7,25,9,12,28,12,24,7,1,8,26,10,7,0,0,5,0,15,4,1,2,1,2,16,2,1,3,6,1,0,6,7
'180913B0100',18,4,27,9,39,10,12,36,9,28,7,0,11,36,10,6,1,1,4,0,21,8,5,7,2,2,10,4,1,2,8,3,2,7,13
'180805C0100',18,4,27,17,30,10,19,17,12,25,7,0,17,35,8,11,0,0,9,2,20,7,1,5,2,0,15,0,1,1,8,1,3,5,6
'180601C0300',18,4,39,10,29,8,18,30,8,27,7,1,8,32,10,3,0,0,6,1,24,8,1,4,2,0,16,4,0,1,8,0,3,2,7
'180897B0100',18,4,19,7,24,2,7,23,5,16,7,0,5,22,10,4,0,0,3,0,11,3,1,4,2,1,7,2,0,1,5,2,0,2,11
'180930C0100',18,4,27,5,25,7,14,22,11,21,8,1,10,34,6,5,0,0,6,0,19,5,2,2,2,2,9,2,0,0,9,2,0,1,6
'180807C0300',18,4,30,12,28,6,22,21,11,20,4,0,6,31,3,6,0,0,8,1,21,6,2,1,4,0,17,2,1,0,6,0,0,3,8
'180724C0100',18,4,40,14,33,6,18,21,10,22,5,0,4,37,12,4,1,0,13,2,22,8,2,3,4,0,10,4,0,3,10,2,1,3,15
'180764C0200',18,4,42,17,37,12,16,25,6,32,7,0,4,41,10,6,0,0,7,2,28,5,1,4,2,0,16,1,1,0,10,3,1,8,9
'180710B0100',18,4,27,15,34,5,23,27,7,20,6,0,10,27,8,6,0,0,4,1,19,7,2,3,2,2,6,1,0,2,12,5,1,6,10
'180707B0100',18,4,39,17,32,8,15,25,10,18,5,2,6,43,3,2,0,0,3,3,17,3,2,4,5,0,12,1,0,1,5,3,1,2,7
'180923C0100',18,4,17,5,25,4,11,15,7,15,3,0,8,25,2,3,0,0,5,1,18,5,1,2,3,0,10,1,0,1,6,4,0,1,3
'180700C0100',18,4,29,16,40,12,11,31,3,23,5,0,10,26,7,4,1,0,5,0,21,4,1,3,1,1,13,0,2,0,6,1,0,3,5
'180700B0100',18,4,30,14,34,6,12,21,14,18,7,0,3,31,4,5,0,0,4,5,17,10,2,0,4,0,17,2,1,0,11,4,1,4,6
'180644B0100',18,4,36,28,40,10,14,46,13,29,7,0,7,34,10,9,0,0,3,5,17,6,2,2,6,1,15,3,2,2,6,4,4,2,9
'180695E0100',18,4,22,11,35,4,9,19,9,26,6,0,6,26,9,6,1,0,4,0,24,9,2,1,2,0,8,3,0,1,8,5,0,0,14
'180723B0100',18,4,31,16,24,3,18,30,10,22,7,0,6,25,5,7,0,0,8,2,29,4,3,2,4,1,16,1,1,0,5,3,1,7,6
'180600C0100',18,4,27,23,40,13,17,26,10,18,7,0,13,31,7,8,1,0,5,1,15,6,1,1,4,4,23,3,1,1,6,4,2,4,10
'180635B0100',18,4,33,15,35,7,10,27,14,29,3,0,10,25,5,7,0,0,5,2,30,3,3,2,1,1,19,3,1,0,5,2,0,2,6
'180669B0100',18,4,18,9,32,5,7,22,10,17,10,0,12,34,6,4,0,0,3,1,12,4,3,2,3,3,14,4,0,1,4,0,2,1,4
'180663C0200',18,4,41,11,22,8,7,46,7,24,4,0,9,33,5,8,0,0,5,2,28,6,3,2,5,1,15,1,3,1,5,4,0,6,10
'180627C0100',18,4,19,12,31,7,15,20,9,33,8,0,8,22,7,5,0,0,5,5,24,3,0,5,0,2,5,1,0,0,6,5,1,1,8
'180621C0100',18,4,29,10,31,7,12,30,9,22,5,0,8,30,7,4,0,0,7,0,23,4,2,2,2,0,8,1,1,2,7,3,0,4,6
'180755C0100',18,4,18,14,25,5,12,30,7,36,6,0,9,23,2,11,0,0,4,2,19,5,1,5,3,0,16,1,1,0,7,0,0,3,7
'180705B0100',18,4,37,13,39,6,15,31,12,33,9,0,9,30,4,9,0,0,3,1,25,9,0,1,4,3,12,2,1,2,6,2,1,2,11
'180652B0100',18,4,41,11,36,10,16,38,6,23,7,2,9,28,14,5,0,0,12,3,18,8,1,4,1,1,14,2,2,1,3,3,1,6,8
'180635C0100',18,4,30,10,43,9,18,29,4,27,5,0,6,36,9,4,0,0,8,0,17,7,0,3,6,1,15,2,2,2,7,3,3,9,7
'180765C0300',18,4,34,12,31,5,21,39,7,32,4,0,12,35,10,11,1,0,7,1,24,3,6,2,3,1,17,3,3,1,6,4,0,2,16
'180804C0100',18,4,16,16,21,12,20,27,12,24,15,1,9,24,5,5,0,0,6,4,16,6,3,4,4,0,15,0,0,0,9,2,1,4,9
'180618B0100',18,4,18,15,31,5,10,25,4,17,2,1,6,28,6,7,0,0,6,1,19,8,2,2,4,2,12,0,0,2,8,1,1,5,7
'180607C0200',18,4,36,16,38,7,28,28,11,41,11,0,8,45,10,6,0,0,7,6,20,7,4,6,1,2,9,5,0,4,14,2,0,2,12
'180902B0100',18,4,23,9,18,2,14,17,4,17,5,0,4,21,3,5,0,0,7,0,13,3,0,2,2,0,17,0,1,1,5,3,0,2,3
'180982B0100',18,4,22,12,25,6,7,25,13,21,5,0,7,45,7,4,1,0,5,2,19,5,1,1,2,1,10,0,0,2,2,1,1,5,8
'180678B0100',18,4,40,11,33,10,25,48,14,29,9,0,15,49,7,9,0,0,6,1,33,7,0,3,5,0,9,4,0,3,8,8,1,8,10
'180602C0100',18,4,25,16,30,4,10,31,15,27,8,0,7,34,9,6,0,0,10,1,25,4,1,1,4,3,13,4,0,0,8,2,3,6,13
'180896B0100',18,4,24,7,28,11,13,37,14,29,6,0,5,33,9,7,0,0,7,2,26,1,1,3,5,4,14,4,1,1,7,1,1,1,7
'180745C0100',18,4,30,19,29,10,16,33,17,24,8,0,7,32,7,6,1,0,7,1,31,7,2,3,2,2,15,4,1,1,6,0,0,3,10
'180753B0100',18,4,46,12,26,8,21,39,7,22,10,0,9,36,5,6,0,0,6,2,26,10,2,1,3,0,14,3,0,0,5,3,4,5,13
'180764E0100',18,4,21,9,18,6,15,31,12,21,8,0,7,24,2,10,0,0,6,1,13,8,2,1,2,1,9,1,0,4,3,4,3,2,9
'180733C0100',18,4,34,13,36,2,18,27,14,33,7,0,6,29,5,4,0,0,10,5,28,10,0,1,5,2,19,2,0,0,2,2,1,2,15
'180932B0100',18,4,36,17,25,11,21,30,6,21,8,0,8,26,9,5,1,0,5,1,18,4,2,4,5,0,15,3,1,1,9,2,0,0,9
'180756C0100',18,4,41,14,29,7,11,32,4,22,3,0,7,46,3,7,0,0,2,2,14,8,3,3,3,0,10,4,1,1,7,3,2,4,9
'180726C0100',18,4,21,9,20,3,9,23,8,6,3,0,4,19,4,6,0,0,5,2,16,3,2,1,0,2,6,1,0,1,7,1,0,3,3
'180661C0100',18,4,25,9,20,2,12,29,10,23,4,0,7,23,6,6,0,0,9,0,19,6,3,0,6,2,7,2,0,3,6,0,2,3,3
'180726B0100',18,4,22,6,24,3,13,19,8,17,5,0,3,23,3,6,0,0,3,0,10,3,0,2,2,1,10,1,0,1,3,0,2,0,4
'180804B0100',18,4,13,12,25,11,11,28,9,31,6,0,10,32,5,7,0,0,9,3,26,10,0,5,1,0,14,1,4,3,5,2,2,1,6
'180715B0100',18,4,34,18,39,7,21,29,11,22,7,1,12,28,8,5,0,0,9,2,24,4,1,1,3,2,20,4,1,1,6,2,0,3,10
'180948B0100',18,4,32,12,38,9,18,35,13,26,11,0,12,28,7,7,0,0,7,0,25,5,1,5,4,1,15,0,1,0,5,4,0,7,8
'180625B0100',18,4,31,12,38,6,10,28,9,25,11,0,7,31,12,8,0,0,2,1,15,7,3,3,4,1,11,0,3,1,8,3,1,6,6
'180645B0100',18,4,15,13,26,5,10,19,8,14,4,0,7,27,9,3,0,0,8,2,11,7,0,2,5,1,9,1,0,1,7,2,0,5,6
'180714B0100',18,4,35,10,31,13,11,24,7,27,8,0,12,20,13,6,0,0,6,2,19,3,1,1,5,1,13,3,0,3,4,2,0,4,10
'180916C0100',18,4,26,6,19,4,19,10,6,18,8,0,3,17,5,1,1,0,7,3,11,2,2,2,2,3,10,2,0,0,6,1,0,3,7
'180732B0100',18,4,24,11,29,8,12,30,10,18,8,0,12,42,11,8,0,0,7,2,25,1,2,2,4,0,12,3,0,3,7,1,1,4,9
'180709S0200',18,4,49,23,62,13,27,64,26,53,14,0,16,61,11,12,0,0,9,4,39,14,3,8,4,1,19,5,1,5,10,2,0,9,16
'180721B0100',18,4,34,15,39,7,12,17,11,44,5,1,10,39,14,4,0,0,6,3,21,7,1,5,4,1,14,2,0,2,7,2,4,4,8
'180605B0100',18,4,22,7,35,10,14,34,11,31,9,0,12,34,9,6,1,0,16,1,24,11,1,2,9,0,13,1,1,2,10,4,1,2,11
'180603B0100',18,4,33,18,33,9,10,30,8,34,10,0,7,26,7,4,0,0,3,0,15,4,1,3,2,1,15,1,0,1,5,1,1,3,14
'180985B0100',18,4,31,18,30,9,25,43,17,32,12,0,8,42,9,9,1,0,18,0,34,5,0,2,3,1,13,3,0,2,9,3,0,3,8
'180750B0100',18,4,31,11,23,7,11,26,7,23,8,0,6,33,7,6,0,0,4,1,19,4,1,2,1,0,16,2,0,1,10,0,2,5,11
'180986C0100',18,4,23,13,24,3,12,21,12,22,7,0,12,27,6,8,0,0,7,1,15,6,1,2,1,0,12,1,2,1,11,2,2,3,12
'180651B0100',18,4,39,12,28,4,17,34,10,19,9,0,11,25,8,2,1,1,6,0,23,6,2,2,3,1,16,0,1,2,6,3,0,5,10
'180754E0200',18,4,14,10,29,6,6,15,6,17,11,0,5,22,6,7,0,0,4,2,12,4,2,0,4,2,9,1,0,1,4,1,0,2,3
'180161C0100',18,5,28,10,22,6,17,21,9,23,9,1,4,30,9,8,0,0,4,1,24,5,0,1,1,0,11,3,2,0,8,1,0,4,6
'180106C0100',18,5,15,5,15,3,14,27,11,22,3,0,4,36,15,7,0,0,5,1,32,5,0,4,3,1,12,0,0,2,5,2,2,5,8
'180102C0200',18,5,34,16,26,8,16,17,6,26,6,0,7,23,6,4,0,0,9,4,14,3,0,3,1,0,12,0,0,1,6,1,1,1,3
'180137C0200',18,5,29,9,14,4,21,34,11,27,8,1,3,22,3,4,0,0,4,0,17,3,0,0,5,0,14,2,2,0,2,2,0,3,11
'180847E0102',18,5,39,18,38,12,21,28,13,34,7,0,7,35,10,6,0,0,5,2,31,8,3,5,4,1,14,0,0,5,8,1,1,5,9
'180242C0100',18,5,17,11,26,10,16,22,6,12,5,0,5,17,8,7,0,0,5,3,18,4,2,3,1,1,10,0,0,1,4,2,0,2,8
'180226B0100',18,5,33,9,42,6,26,35,9,27,7,0,10,40,12,9,0,0,10,3,24,7,3,3,3,0,9,3,0,1,8,2,2,4,7
'180855C0100',18,5,27,9,23,7,18,28,7,21,4,0,9,33,4,11,0,0,8,4,18,3,1,3,5,0,12,1,0,1,10,4,0,3,9
'180173C0100',18,5,22,10,20,6,11,26,13,30,3,0,4,22,3,7,0,0,4,1,14,3,3,2,2,1,11,1,1,2,10,3,2,3,7
'180138B0100',18,5,30,12,39,7,19,36,6,30,11,0,11,35,8,6,0,0,8,0,20,5,0,1,5,1,15,2,0,1,13,1,1,5,9
'180421C0100',18,5,33,7,37,8,14,35,4,34,4,1,7,38,5,8,0,0,5,1,23,8,2,2,3,3,11,1,1,2,17,0,2,2,12
'180848C0100',18,5,24,14,29,6,12,30,10,28,9,0,11,35,6,8,0,0,7,2,24,2,2,2,3,0,12,1,0,2,11,2,0,1,7
'180216C0100',18,5,23,14,27,4,15,31,7,20,5,0,8,29,7,7,1,0,11,2,30,4,3,2,3,1,12,1,0,1,4,1,0,6,9
'180165B0100',18,5,35,19,28,6,12,23,18,27,10,0,9,37,9,3,0,0,6,1,19,10,2,5,2,1,19,1,0,0,5,6,1,4,16
'180236B0100',18,5,35,13,30,9,10,26,9,17,2,0,14,31,7,5,0,0,8,1,24,5,0,0,4,2,12,2,1,4,3,0,1,3,7
