CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,PT,MC,MORENA_PANAL,PES,RSP,FPM,CI1,CNR,NULOS
'060250E0300',6,2,22,34,7,19,6,19,6,27,37,70,5,26,4,2,30,0,9
'060281B0100',6,2,19,32,2,11,6,15,9,18,50,34,4,20,2,1,17,0,3
'060300B0100',6,2,24,43,8,16,2,23,12,26,48,53,3,17,0,4,48,0,10
'060290C0200',6,2,39,35,13,20,4,26,15,17,62,64,7,13,3,1,30,0,16
'060246C0100',6,2,23,30,4,16,3,13,16,23,47,50,2,18,0,5,28,0,9
'060301B0100',6,2,19,25,5,10,4,14,14,8,23,21,2,19,0,3,20,0,8
'060250E0301',6,2,30,34,7,24,2,23,11,23,50,53,3,22,4,3,31,0,12
'060244B0100',6,2,30,39,6,11,3,16,15,25,59,65,3,27,7,6,31,0,17
'060238C0200',6,2,26,36,3,17,3,23,11,22,55,49,3,21,1,2,30,0,19
'060250C0100',6,2,31,39,6,19,2,21,15,22,57,64,2,19,1,5,32,0,14
'060244C1100',6,2,26,42,9,16,6,24,18,27,47,48,4,17,1,3,37,0,9
'060208C0100',6,2,20,13,6,17,3,12,5,17,38,36,2,12,1,2,21,0,12
'060315B0100',6,2,26,33,6,18,5,17,12,26,49,38,3,20,1,3,32,0,19
'060238B0100',6,2,28,37,5,13,4,17,19,27,57,59,2,28,1,1,29,0,12
'060248C0400',6,2,26,34,7,26,4,20,18,22,47,60,4,20,4,2,29,0,8
'060250C0400',6,2,28,38,12,20,4,25,19,21,51,55,1,23,1,2,34,0,15
'060254B0100',6,2,24,23,3,20,2,21,15,21,47,35,0,18,1,4,28,0,12
'060244C0400',6,2,32,33,6,16,3,19,18,26,56,54,4,15,2,2,43,0,10
'060149C0100',6,3,15,26,6,5,2,14,13,20,36,37,3,22,4,5,24,0,11
'060093B0100',6,3,18,37,3,22,4,20,9,26,54,43,2,14,2,1,24,0,18
'060054B0100',6,3,21,30,2,14,3,21,12,24,44,44,2,24,0,2,23,0,15
'060139E0104',6,3,31,25,5,16,4,23,11,20,47,58,6,25,1,3,43,0,12
'060013C0100',6,3,14,27,6,15,1,16,11,16,40,47,4,21,1,1,29,0,10
'060124B0100',6,3,32,34,6,14,6,18,12,24,25,45,3,20,4,4,27,0,6
'060143C0100',6,3,24,27,2,18,3,26,9,18,52,58,3,24,0,5,30,0,13
'060139B0100',6,3,34,39,8,22,5,18,19,22,65,53,4,24,1,5,38,0,14
'060144C0200',6,3,19,27,6,17,4,19,13,21,55,30,3,16,4,3,33,0,10
'060079B0100',6,3,34,30,5,28,7,20,15,23,57,46,2,19,1,5,32,0,13
'060028S0100',6,3,41,59,7,30,9,34,27,28,94,110,7,32,1,7,60,0,22
'060145E0101',6,3,31,37,7,24,4,21,10,24,66,54,5,13,3,2,33,0,21
'060001C0400',6,3,38,31,7,22,4,19,14,28,51,66,3,26,1,4,34,0,13
'060148B0100',6,3,22,25,5,15,3,11,11,16,41,47,1,18,1,3,29,0,13
'060067B0100',6,3,24,22,7,16,3,17,12,18,35,42,3,22,3,2,25,0,10
'060123B0100',6,3,29,39,8,18,2,15,14,33,56,80,3,23,2,6,36,0,12
'060120B0100',6,3,19,43,7,22,2,19,18,41,54,57,6,19,5,6,38,2,17
'060140C0400',6,3,45,36,3,19,4,15,18,25,47,55,3,23,0,6,34,0,15
'060067C0100',6,3,19,33,5,14,4,20,8,15,37,39,2,23,4,2,19,0,7
'060145E0105',6,3,27,33,8,19,4,19,12,28,51,62,4,17,2,4,37,2,10
'060001C0200',6,3,32,34,11,20,4,24,18,28,43,69,5,18,0,5,49,0,12
'060001C0700',6,3,30,46,10,25,2,17,14,26,56,62,2,25,2,3,38,0,12
'060149B0100',6,3,24,25,6,16,4,11,9,18,35,45,3,18,2,0,21,0,8
'060001C0300',6,3,26,33,5,23,6,26,13,32,54,55,6,26,2,3,29,0,16
'060139C0700',6,3,36,33,6,18,7,17,11,26,58,59,4,24,1,3,44,0,15
'060001B0100',6,3,29,36,5,19,2,28,15,23,58,70,2,21,3,1,39,0,17
'060139C0200',6,3,25,35,9,21,5,23,6,32,51,58,1,28,2,1,37,0,14
'060140C0300',6,3,30,39,7,23,4,16,12,19,46,50,3,19,0,5,30,0,9
'060350C0100',6,3,20,24,6,11,3,9,6,17,34,29,3,10,0,2,16,0,9
'060147C0100',6,3,27,32,5,15,3,23,16,27,63,56,5,22,4,3,36,0,11
'060020B0100',6,3,22,20,7,16,0,21,14,17,31,22,2,11,0,6,18,0,3
'060092C0200',6,3,23,29,11,23,3,16,11,30,43,46,6,15,0,1,36,0,15
'060145C0600',6,3,23,31,3,18,3,13,9,32,45,54,3,19,3,1,44,0,16
'060140C0100',6,3,25,34,3,12,3,25,17,20,55,53,4,18,6,4,39,0,8
'060145E0104',6,3,40,29,9,17,5,14,11,27,43,76,1,22,1,4,32,0,14
'060141C0100',6,3,22,33,5,19,6,16,11,32,45,50,5,28,3,2,33,0,14
'060076C0200',6,4,35,34,6,17,5,16,17,28,61,56,5,26,1,5,41,1,9
'060103C0100',6,4,23,26,6,19,2,17,9,20,37,36,1,23,1,5,26,0,3
'060129B0100',6,4,17,28,10,13,2,16,9,18,48,31,0,13,2,3,29,0,6
'060116B0100',6,4,28,38,6,13,5,25,15,23,47,56,6,18,2,1,39,0,16
'060075B0100',6,4,25,26,5,14,4,10,9,20,29,44,2,16,3,5,35,0,11
'060167E0100',6,4,4,6,2,5,1,4,3,6,19,20,5,7,0,1,9,0,3
'060055B0100',6,4,24,28,4,19,1,14,9,22,43,33,2,16,4,3,25,0,7
'060084B0100',6,4,20,27,4,18,3,16,10,21,34,55,2,15,2,1,36,1,13
'060106C0200',6,4,18,31,3,26,2,22,8,24,46,54,2,15,0,1,28,0,14
'060169B0100',6,4,14,15,5,8,2,12,11,12,39,37,1,8,1,1,24,0,6
'060137B0100',6,4,13,23,5,23,1,15,8,27,46,37,3,18,0,3,31,1,14
'060106C0100',6,4,16,27,9,18,7,22,14,18,41,54,4,18,2,4,23,0,13
'060133B0100',6,4,29,30,8,24,5,18,23,25,54,49,4,30,5,4,26,0,18
'060060E0103',6,4,30,38,7,14,7,27,11,23,68,56,2,17,1,5,42,0,9
'060062C0100',6,4,27,36,4,17,4,11,12,18,39,39,2,24,2,3,34,0,12
'060059B0100',6,4,22,34,4,20,4,15,8,22,40,39,0,10,0,4,35,0,10
'060062E0105',6,4,28,37,8,11,3,22,15,30,62,57,3,28,0,1,33,0,11
'060156C0100',6,4,26,21,5,13,7,12,7,11,38,35,1,12,3,1,26,0,4
'060086B0100',6,4,20,23,7,10,5,18,11,24,50,50,4,22,3,1,27,0,10
'060098B0100',6,4,4,0,2,3,0,5,2,9,10,6,1,2,0,1,2,0,1
'060074C0100',6,4,22,32,6,20,8,20,14,19,42,50,2,14,2,4,31,1,8
'060062E0100',6,4,18,34,7,21,2,22,16,21,44,54,5,29,0,0,36,0,20
'060138E0100',6,4,24,34,10,18,3,19,8,26,46,54,4,16,2,2,32,0,8
'060060E0106',6,4,33,45,7,24,5,27,14,26,60,50,4,25,3,3,41,0,7
'060102B0100',6,4,27,43,10,18,3,14,9,22,44,44,1,20,2,3,38,0,14
'060072C0100',6,4,15,12,3,5,3,7,5,14,31,20,1,13,1,1,22,0,7
'060117B0100',6,4,18,25,6,9,3,10,6,11,29,46,4,14,0,1,22,0,6
'060117C0100',6,4,19,20,5,10,3,9,6,16,27,37,3,15,0,4,18,0,6
'060074C0200',6,4,31,26,11,18,5,16,14,19,41,52,3,27,4,3,41,0,9
'060089B0100',6,4,13,15,1,10,1,7,6,12,38,31,3,10,1,3,19,0,13
'060060E0105',6,4,41,49,10,17,4,20,12,27,54,49,2,27,2,6,31,0,12
'060075C0100',6,4,24,18,7,15,2,14,8,22,40,45,2,21,0,2,27,0,13
'060111C0100',6,4,23,31,5,15,4,20,7,25,47,46,3,11,1,7,31,0,9
'060134C0100',6,4,34,37,5,18,3,19,12,25,38,42,1,20,4,1,34,0,7
'060296B0100',6,5,41,36,7,22,1,19,11,24,55,58,3,24,1,4,21,0,14
'060331B0100',6,5,5,16,0,3,2,8,6,9,16,17,0,6,1,0,10,0,1
'060245C0100',6,5,33,31,5,22,3,12,14,29,55,62,6,24,3,2,32,1,12
'060236E0303',6,5,36,29,8,17,3,25,15,21,49,59,2,22,3,2,51,0,16
'060226E0200',6,5,13,12,3,3,1,3,2,20,30,24,2,13,2,1,11,0,5
'060172B0100',6,5,17,26,5,9,3,11,7,14,37,36,2,20,0,2,22,0,9
'060224B0100',6,5,12,24,2,8,1,7,8,21,27,40,1,11,0,0,15,0,11
'060311C0100',6,5,15,25,8,27,2,26,16,30,57,52,2,18,3,1,33,0,13
'060321C0100',6,5,33,47,11,21,8,19,15,31,59,70,3,32,3,5,26,0,12
'060236C0300',6,5,23,30,2,18,4,16,17,31,52,52,6,28,0,1,38,0,18
'060325B0100',6,5,27,33,11,20,2,19,15,23,37,55,5,28,1,1,25,0,5
'060236E0300',6,5,31,40,7,28,3,17,18,30,55,74,5,18,0,3,29,0,7
'060205B0100',6,5,24,28,3,14,5,9,13,13,40,33,1,8,1,1,19,0,8
'060298B0100',6,5,22,26,8,21,5,13,12,20,51,57,5,15,3,3,30,1,13
'060236E0203',6,5,27,42,3,25,4,25,13,22,48,48,3,21,5,7,38,0,7
'060228E0300',6,5,11,13,1,6,0,11,4,10,28,22,1,18,0,2,14,0,7
'060236E0100',6,5,34,28,8,21,6,19,17,23,57,63,5,20,2,6,38,2,15
'060311B0100',6,5,27,35,6,13,5,19,17,18,49,72,3,15,1,6,37,0,14
'060326B0100',6,5,22,24,3,16,2,11,9,14,28,24,1,13,1,0,29,1,7
'060236E0202',6,5,27,40,4,20,2,12,16,18,58,59,3,21,1,3,22,0,13
'060260C0300',6,5,36,33,7,20,5,24,17,20,44,51,3,17,2,1,45,0,8
'060216C0200',6,5,29,24,8,16,3,15,17,20,46,69,3,12,1,1,31,0,11
'060202C0300',6,5,21,17,10,10,1,21,11,25,55,58,8,14,1,2,34,1,18
'060321B0100',6,5,23,42,3,25,4,16,21,33,68,67,3,20,4,5,31,0,13
'060217B0100',6,5,20,18,7,13,5,14,14,11,45,37,0,13,2,1,25,0,10
'060274E0100',6,5,9,15,4,11,2,8,6,7,24,22,3,9,0,2,16,0,5
'060236E0103',6,5,28,37,4,12,3,22,15,30,53,50,7,25,6,2,47,0,13
'060221C0100',6,6,15,22,3,16,4,20,10,12,44,33,3,16,2,4,27,0,12
'060312C0400',6,6,24,26,12,15,4,18,12,23,56,60,2,29,1,3,39,0,13
'060188C0100',6,6,20,31,6,15,3,17,9,21,30,54,5,19,2,1,28,0,11
'060186B0100',6,6,17,32,3,18,5,12,10,27,32,43,2,20,0,3,24,2,10
'060233C0100',6,6,28,27,4,16,4,20,13,17,45,40,3,25,2,2,32,0,9
'060316B0100',6,6,29,44,4,19,7,21,5,24,54,67,5,23,1,5,39,1,15
'060178B0100',6,6,21,29,13,12,1,15,16,21,52,55,0,14,0,4,39,0,15
'060276C0100',6,6,16,20,3,7,6,11,10,11,50,45,0,16,1,6,27,1,7
'060283C0400',6,6,25,38,7,11,6,30,7,27,52,48,3,21,3,0,32,0,14
'060280E0104',6,6,28,28,8,16,6,13,12,25,50,67,8,21,2,6,35,1,10
'060209B0100',6,6,25,16,7,12,3,21,18,11,44,45,3,23,2,3,29,1,9
'060240B0100',6,6,27,45,11,15,5,19,14,32,60,61,3,24,4,3,41,0,13
'060188B0100',6,6,17,27,8,13,4,17,10,19,36,47,3,20,1,0,34,0,8
'060187C0100',6,6,23,23,6,14,2,20,8,23,37,52,2,20,4,2,31,0,15
'060336B0100',6,6,15,30,5,23,3,13,15,22,36,42,4,17,1,3,36,0,8
'060174B0100',6,6,20,26,3,19,0,10,13,22,48,34,0,17,1,1,24,0,7
'060234C0200',6,6,32,37,5,17,4,21,18,30,50,68,1,16,3,2,44,1,12
'060277B0100',6,6,34,38,5,25,1,16,18,14,48,51,0,13,2,3,35,0,11
'060179B0100',6,6,22,25,2,12,1,13,9,17,35,28,3,16,1,3,22,0,11
'060264B0100',6,6,37,35,6,12,6,13,16,21,40,53,4,11,3,3,31,0,7
'060335C0200',6,6,28,25,11,19,2,18,10,15,47,43,5,15,4,3,42,0,16
'060264C0200',6,6,27,30,7,12,1,17,10,23,53,49,4,26,0,1,39,0,8
'060317B0100',6,6,12,22,6,15,3,18,8,21,33,31,0,11,2,4,15,0,8
'060283C0200',6,6,19,34,9,9,4,16,16,23,62,65,7,18,0,2,38,0,17
'060261C0200',6,6,27,28,5,18,4,21,10,18,37,35,3,19,1,0,34,0,9
'060258C0100',6,6,24,35,10,22,1,19,12,25,49,46,2,14,1,5,31,0,16
'060280C0300',6,6,30,32,4,17,2,19,16,25,37,57,3,21,2,3,38,0,11
'060211C0200',6,6,39,32,3,24,3,13,14,24,55,50,4,28,3,2,32,0,9
'060335C0100',6,6,26,32,5,15,1,19,8,20,41,45,3,26,1,3,37,0,12
'060336C0100',6,6,22,21,6,11,1,15,12,13,48,51,2,15,1,5,30,0,8
'060319B0100',6,6,27,27,4,10,7,21,11,20,48,48,2,22,2,1,25,0,6
'060285B0100',6,6,34,31,6,31,4,15,10,29,43,55,2,32,2,1,35,0,16
'060240C0100',6,6,35,33,3,18,1,21,16,21,66,51,4,24,1,5,35,0,14
'060283B0100',6,6,24,38,6,17,5,27,13,23,55,45,2,25,2,0,33,0,15
'060329B0100',6,6,34,36,9,11,5,28,12,25,52,62,5,22,2,2,32,0,12
'060291C0500',6,6,28,28,6,21,5,16,17,31,39,57,2,23,5,4,42,0,20
'060277C0100',6,6,30,24,7,18,1,18,14,23,57,45,7,25,2,5,37,0,10
