CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM,PT,MC,MORENA_PANAL,PES,RSP,FPM,CI1,CNR,NULOS
'060011B0100',6,3,24,31,6,12,7,18,3,21,36,37,5,18,2,4,30,0,12
'060012B0100',6,1,13,16,8,16,5,11,12,11,44,31,2,11,1,4,33,0,4
'060012C0100',6,1,25,22,3,13,3,11,13,23,41,31,3,13,2,1,21,1,8
'060013B0100',6,3,24,24,10,18,4,7,14,15,40,43,2,20,5,4,21,0,9
'060013C0100',6,3,14,27,6,15,1,16,11,16,40,47,4,21,1,1,29,0,10
'060013C0200',6,3,22,27,4,9,2,17,12,17,39,35,3,16,1,2,28,0,15
'060014B0100',6,1,17,24,6,11,2,17,5,19,37,35,2,7,0,0,39,0,8
'060014C0100',6,1,28,16,9,12,3,16,11,18,33,30,1,18,3,3,18,0,6
'060015B0100',6,1,18,32,7,9,4,13,6,16,50,40,2,23,0,1,18,0,14
'060016B0100',6,3,21,35,2,13,4,16,21,23,48,49,7,21,4,5,35,0,14
'060017B0100',6,3,22,42,10,24,3,26,13,22,50,56,0,27,1,3,28,0,12
'060018B0100',6,3,19,21,4,8,3,9,6,16,33,33,1,16,0,2,21,1,8
'060018C0100',6,3,26,19,5,8,3,12,7,16,33,33,5,12,2,1,28,0,10
'060019B0100',6,3,37,30,2,15,1,10,11,13,45,34,5,11,2,3,27,0,10
'060019C0100',6,3,17,25,5,7,3,14,6,15,36,41,3,26,0,2,22,0,6
'060020B0100',6,3,22,20,7,16,0,21,14,17,31,22,2,11,0,6,18,0,3
'060020C0100',6,3,19,20,2,11,2,9,7,17,28,46,1,18,2,1,21,0,4
'060021B0100',6,1,30,26,5,9,0,14,9,22,44,53,4,15,2,0,31,0,8
'060021C0100',6,1,22,32,7,20,4,14,10,19,39,49,2,15,3,3,30,0,9
'060022B0100',6,1,12,23,4,9,3,14,11,12,29,35,3,18,1,1,18,0,5
'060022C0100',6,1,19,24,6,11,2,13,11,18,30,23,3,10,1,2,18,0,11
'060023B0100',6,1,29,26,7,23,3,23,10,24,58,43,2,19,0,3,34,0,14
'060023C0100',6,1,20,51,3,14,2,20,13,25,42,57,4,20,2,1,36,0,12
'060023C0200',6,1,23,37,6,12,5,18,14,30,61,43,2,26,0,5,24,0,12
'060023C0300',6,1,24,28,2,18,4,18,18,35,46,46,2,28,3,7,36,0,9
'060024B0100',6,1,35,36,11,15,3,9,13,26,47,65,8,12,2,2,39,0,16
'060024C0100',6,1,27,36,3,23,0,19,16,20,49,60,4,15,0,3,41,0,15
'060024C0200',6,1,27,28,10,14,6,19,13,26,55,45,1,21,2,1,31,0,12
'060024C0300',6,1,27,38,5,20,2,23,14,25,35,74,3,26,0,3,33,0,6
'060024C0400',6,1,33,36,5,13,3,24,11,27,57,62,2,21,2,3,40,1,13
'060024C0500',6,1,30,28,6,19,3,21,11,23,59,39,2,25,7,7,38,0,19
'060024C0600',6,1,23,34,6,24,5,25,15,19,53,52,6,17,1,2,41,2,16
'060025B0100',6,1,17,31,5,14,7,11,8,26,42,36,0,14,1,1,37,0,11
'060025C0100',6,1,25,35,10,11,1,20,14,13,41,47,2,27,1,3,31,0,13
'060026B0100',6,1,17,23,3,14,4,13,9,14,30,25,4,16,1,2,16,0,13
'060026C0100',6,1,17,22,6,6,0,11,8,23,37,36,1,8,0,1,17,0,6
'060027B0100',6,1,26,31,7,19,2,14,10,26,53,60,2,21,2,3,44,0,14
'060028B0100',6,3,17,21,3,18,4,16,8,19,42,37,3,12,1,2,20,0,16
'060028S0100',6,3,41,59,7,30,9,34,27,28,94,110,7,32,1,7,60,0,22
'060029B0100',6,3,20,39,6,22,2,19,17,25,52,57,2,23,2,3,29,0,14
'060030B0100',6,1,20,23,5,10,2,8,13,11,30,43,2,23,0,3,23,1,9
'060031B0100',6,1,23,40,4,5,3,7,10,11,29,40,1,15,0,2,22,0,10
'060031C0100',6,1,20,29,2,11,2,14,9,19,52,47,5,18,1,1,24,0,4
'060032B0100',6,4,22,28,3,19,8,27,10,20,35,51,1,22,3,4,19,0,9
'060032C0100',6,4,27,21,6,16,3,13,9,17,41,46,3,14,1,4,30,0,7
'060033B0100',6,3,34,33,8,15,3,19,9,12,42,47,4,26,2,1,30,0,10
'060033C0100',6,3,40,33,10,11,3,16,9,26,56,60,2,21,2,0,28,0,12
'060034B0100',6,3,32,28,7,14,2,15,11,21,43,49,3,26,2,2,28,0,8
'060034C0100',6,3,14,16,9,16,4,11,14,14,38,43,2,22,1,3,33,0,10
'060035B0100',6,1,30,26,6,21,4,19,12,30,52,52,4,17,2,4,29,0,9
'060035C0100',6,1,21,37,3,19,4,17,12,23,50,61,2,15,1,1,42,0,14
'060036B0100',6,1,24,31,3,20,4,10,11,26,55,77,5,23,1,5,41,0,12
'060036C0100',6,1,29,34,3,14,11,17,17,28,62,52,2,21,0,4,31,0,15
'060037B0100',6,1,28,22,9,17,3,22,13,17,47,42,3,21,2,3,31,0,13
'060037C0100',6,1,21,35,5,8,3,20,12,19,53,58,1,18,1,1,25,0,9
'060037C0200',6,1,18,30,7,27,4,20,14,19,55,47,2,16,1,6,33,1,8
'060037C0300',6,1,21,36,6,18,3,18,11,25,45,52,1,17,1,2,22,0,7
'060038B0100',6,1,18,16,3,11,0,8,7,17,34,41,3,17,2,2,24,0,5
'060038C0100',6,1,16,16,4,10,1,13,8,8,34,40,1,6,1,0,21,0,5
'060039B0100',6,3,24,25,6,20,2,12,13,16,42,40,5,17,2,2,26,1,6
'060040B0100',6,1,24,31,8,10,3,22,13,23,34,51,6,13,0,4,22,0,16
'060041B0100',6,1,18,25,5,12,2,20,9,16,32,38,3,10,3,2,21,0,9
'060042B0100',6,3,18,30,5,14,3,17,8,18,55,41,4,10,2,4,28,1,11
'060043B0100',6,3,30,26,2,11,4,17,5,15,31,34,1,20,4,1,18,0,10
'060043C0100',6,3,22,23,6,16,6,17,7,23,38,37,1,11,0,4,22,0,8
'060044B0100',6,1,13,22,6,13,1,16,7,22,39,28,2,10,1,2,29,0,4
'060045B0100',6,1,20,21,4,12,3,14,13,23,38,47,1,14,2,2,31,0,5
'060045C0100',6,1,20,29,3,12,6,16,6,23,36,47,2,12,3,2,28,0,7
'060045C0200',6,1,15,21,5,16,2,16,11,18,36,56,2,13,0,3,28,0,7
'060046B0100',6,1,18,31,3,11,1,10,8,14,28,36,2,21,4,2,20,0,10
'060046C0100',6,1,18,21,2,15,1,5,18,16,38,45,4,9,0,2,26,0,9
'060047B0100',6,3,21,40,8,14,4,14,7,17,39,43,2,18,1,0,43,0,10
'060047C0100',6,3,30,33,10,13,4,18,13,23,41,53,1,21,5,1,21,1,6
'060048B0100',6,3,24,34,7,8,1,13,10,24,39,60,2,14,1,2,30,1,13
'060048C0100',6,3,25,27,4,13,3,18,8,22,33,39,2,21,3,5,38,0,7
'060049B0100',6,1,16,15,2,7,1,7,10,11,28,28,2,13,1,1,10,0,6
'060050B0100',6,1,24,14,3,13,5,14,7,12,41,31,1,10,3,5,24,0,6
'060050C0100',6,1,12,25,4,14,2,12,8,13,37,25,1,11,0,1,20,0,9
'060051B0100',6,1,17,22,6,8,1,9,4,15,33,32,1,13,1,6,20,0,9
'060051C0100',6,1,16,11,4,7,3,15,12,10,34,33,3,15,0,0,21,1,7
'060052B0100',6,1,25,27,6,16,4,16,11,17,39,48,4,18,1,2,28,0,3
'060052C0100',6,1,31,21,7,20,4,13,12,18,43,41,6,22,0,1,19,0,11
'060052C0200',6,1,26,30,4,16,6,16,13,21,40,47,2,17,1,3,13,0,11
'060053B0100',6,1,29,36,6,26,6,23,11,18,46,63,3,18,3,0,35,0,10
'060053C0100',6,1,31,35,6,28,3,13,17,20,63,53,4,22,3,4,25,0,12
'060054B0100',6,3,21,30,2,14,3,21,12,24,44,44,2,24,0,2,23,0,15
'060054C0100',6,3,25,36,7,8,1,10,12,26,38,43,3,10,2,4,32,0,21
'060054C0200',6,3,36,29,6,15,4,16,10,9,47,59,4,17,1,2,20,1,6
'060054C0300',6,3,22,26,10,20,3,15,12,14,41,47,3,23,2,3,33,0,17
'060054S0100',6,3,53,61,8,34,3,38,23,47,104,87,3,45,2,8,66,0,21
'060055B0100',6,4,24,28,4,19,1,14,9,22,43,33,2,16,4,3,25,0,7
'060055C0100',6,4,19,30,8,15,1,17,10,18,42,56,6,22,0,1,25,0,5
'060056B0100',6,1,21,19,6,15,2,11,9,13,34,34,3,16,1,2,20,0,7
'060057B0100',6,1,38,38,8,11,3,24,21,28,46,61,3,17,4,0,36,0,11
'060058B0100',6,1,28,25,2,14,3,16,7,28,44,44,5,15,1,2,26,0,10
'060058C0100',6,1,16,26,8,20,3,9,5,22,43,39,4,18,2,5,20,0,10
'060059B0100',6,4,22,34,4,20,4,15,8,22,40,39,0,10,0,4,35,0,10
'060059C0100',6,4,19,30,2,10,2,22,11,16,53,51,1,21,6,2,30,0,5
'060060B0100',6,4,23,44,7,17,5,22,15,20,59,49,4,23,2,6,43,2,19
'060060C0100',6,4,39,40,8,21,4,22,10,17,54,66,3,26,0,1,39,0,18
'060060C0200',6,4,25,31,6,16,5,18,13,19,62,65,7,28,3,4,44,0,11
'060060C0300',6,4,33,28,8,18,0,22,19,23,44,69,2,26,2,1,38,0,11
'060060E0100',6,4,33,45,5,16,4,25,15,25,64,46,5,15,0,1,26,0,17
'060060E0101',6,4,30,37,8,19,2,17,14,18,41,58,3,22,2,3,37,1,24
'060060E0102',6,4,37,25,12,14,7,27,13,34,50,64,2,30,2,5,35,0,11
'060060E0103',6,4,30,38,7,14,7,27,11,23,68,56,2,17,1,5,42,0,9
'060060E0104',6,4,27,48,6,18,6,16,19,33,56,49,2,21,1,1,36,0,17
'060060E0105',6,4,41,49,10,17,4,20,12,27,54,49,2,27,2,6,31,0,12
'060060E0106',6,4,33,45,7,24,5,27,14,26,60,50,4,25,3,3,41,0,7
'060060S0100',6,4,52,55,10,24,10,38,32,43,107,104,4,45,3,9,78,1,14
'060061B0100',6,1,29,36,9,21,4,23,19,16,43,63,1,19,2,5,33,0,14
'060061C0100',6,1,33,41,6,18,5,21,7,23,57,50,4,23,1,2,27,0,14
'060061C0200',6,1,16,36,5,35,4,21,9,27,68,57,4,20,2,2,36,0,17
'060062B0100',6,4,23,24,9,19,7,18,11,31,43,43,6,15,3,3,28,1,17
'060062C0100',6,4,27,36,4,17,4,11,12,18,39,39,2,24,2,3,34,0,12
'060062C0200',6,4,36,26,1,19,3,19,16,18,60,42,1,18,2,5,41,0,13
'060062C0300',6,4,26,30,2,17,3,15,11,15,42,59,5,23,7,2,37,2,14
'060062C0400',6,4,37,30,5,16,3,24,16,17,60,55,8,21,2,6,27,0,9
'060062E0100',6,4,18,34,7,21,2,22,16,21,44,54,5,29,0,0,36,0,20
'060062E0101',6,4,35,44,6,18,6,14,5,24,58,67,4,22,1,3,36,0,16
'060062E0102',6,4,33,39,5,14,1,14,17,30,53,56,3,21,3,4,43,0,19
'060062E0103',6,4,26,42,6,35,2,27,12,30,60,57,4,20,2,5,34,0,13
'060062E0104',6,4,41,44,11,29,3,20,19,26,41,58,6,17,3,3,41,1,13
'060062E0105',6,4,28,37,8,11,3,22,15,30,62,57,3,28,0,1,33,0,11
'060062E0106',6,4,32,40,7,16,4,25,14,22,53,59,2,22,2,4,36,0,22
'060062E0107',6,4,21,39,6,21,4,24,15,25,52,63,1,23,4,5,34,0,11
'060063B0100',6,1,22,33,5,12,3,15,16,25,45,42,3,17,0,4,27,0,5
'060063C0100',6,1,23,31,8,13,4,19,14,23,39,46,2,18,6,2,26,0,9
'060064B0100',6,1,34,27,6,21,5,15,11,27,40,46,4,14,2,1,33,0,13
'060064C0100',6,1,26,33,4,25,2,15,14,15,43,46,4,9,2,3,26,0,10
'060065B0100',6,1,32,26,4,19,4,16,14,16,58,55,0,17,0,4,24,1,16
'060065C0100',6,1,17,25,6,22,3,23,19,20,56,50,2,16,2,5,36,0,12
'060065E0100',6,1,32,23,5,10,3,17,10,15,36,36,2,15,1,5,21,1,5
'060065E0101',6,1,15,23,6,12,6,16,10,15,33,36,5,21,0,4,20,0,12
'060066B0100',6,3,22,32,5,15,3,11,13,20,45,46,0,19,1,3,31,0,13
'060066C0100',6,3,23,25,4,14,0,16,15,23,41,38,4,20,2,1,24,0,12
'060067B0100',6,3,24,22,7,16,3,17,12,18,35,42,3,22,3,2,25,0,10
'060067C0100',6,3,19,33,5,14,4,20,8,15,37,39,2,23,4,2,19,0,7
'060068B0100',6,3,27,45,5,21,3,10,13,26,61,53,4,21,3,3,26,0,9
'060068C0100',6,3,41,39,6,10,9,24,13,21,58,51,2,18,0,5,41,0,11
'060069B0100',6,1,24,35,12,15,4,17,14,30,48,56,2,26,4,5,35,1,9
'060069C0100',6,1,31,39,10,19,6,22,21,22,58,55,3,24,0,3,30,0,11
'060069C0200',6,1,28,30,7,23,5,23,15,23,51,62,4,20,1,0,31,0,17
'060069C0300',6,1,24,42,7,27,0,25,15,25,48,61,4,25,3,2,32,0,16
'060069C0400',6,1,32,36,7,24,4,13,14,18,46,48,0,21,5,5,39,1,10
'060069C0500',6,1,24,45,5,28,5,11,13,22,48,61,7,17,5,3,25,0,15
'060070B0100',6,3,28,27,3,16,2,9,15,25,51,37,6,18,2,4,25,0,12
'060070C0100',6,3,28,29,3,21,4,16,25,18,46,38,2,16,1,3,32,0,4
'060071B0100',6,4,19,23,4,10,1,13,8,15,41,42,6,18,2,1,16,0,8
'060071C0100',6,4,18,19,6,4,1,10,8,13,42,48,6,15,1,3,33,0,9
'060072B0100',6,4,17,13,5,7,3,14,7,14,29,32,2,13,1,0,15,0,6
'060072C0100',6,4,15,12,3,5,3,7,5,14,31,20,1,13,1,1,22,0,7
'060073B0100',6,1,30,44,3,18,7,18,23,19,58,54,2,27,1,0,28,1,15
'060073C0100',6,1,45,34,4,17,3,23,23,20,41,61,0,23,3,3,45,1,14
'060073E0100',6,1,36,34,6,15,0,12,22,24,66,50,5,28,2,6,35,0,9
'060073E0101',6,1,29,52,10,24,7,27,10,23,41,62,4,18,3,2,31,0,13
'060073E0102',6,1,22,48,10,20,2,25,16,29,59,51,2,20,0,6,38,0,13
'060073E0103',6,1,34,35,7,25,5,21,11,15,51,53,2,29,2,4,46,0,15
'060074B0100',6,4,30,30,9,28,2,17,14,16,50,37,5,19,0,4,36,0,13
'060074C0100',6,4,22,32,6,20,8,20,14,19,42,50,2,14,2,4,31,1,8
'060074C0200',6,4,31,26,11,18,5,16,14,19,41,52,3,27,4,3,41,0,9
'060075B0100',6,4,25,26,5,14,4,10,9,20,29,44,2,16,3,5,35,0,11
'060075C0100',6,4,24,18,7,15,2,14,8,22,40,45,2,21,0,2,27,0,13
'060075C0200',6,4,20,24,12,18,4,19,8,15,46,45,5,8,1,3,29,0,7
'060076B0100',6,4,27,43,3,16,3,30,11,18,63,63,5,17,6,4,45,0,12
'060076C0100',6,4,35,34,7,24,5,23,12,23,73,54,3,19,6,4,35,1,12
'060076C0200',6,4,35,34,6,17,5,16,17,28,61,56,5,26,1,5,41,1,9
'060077B0100',6,1,24,26,5,18,2,21,14,23,46,66,9,24,4,3,33,0,7
'060077C0100',6,1,38,34,11,10,2,22,8,31,46,59,5,21,4,0,30,0,11
'060077C0200',6,1,38,32,8,26,4,20,9,18,61,49,4,21,2,3,38,1,16
'060078B0100',6,1,13,11,4,6,1,12,6,10,20,20,3,12,2,0,14,0,4
'060079B0100',6,3,34,30,5,28,7,20,15,23,57,46,2,19,1,5,32,0,13
'060079C0100',6,3,32,33,9,17,3,17,19,19,51,71,3,30,3,2,31,0,14
'060079C0200',6,3,24,36,6,21,3,18,13,27,41,61,6,19,2,2,34,0,12
'060080B0100',6,3,24,30,8,21,7,17,15,20,52,48,6,26,0,3,41,0,17
'060081B0100',6,3,19,44,6,18,3,14,9,26,45,44,2,22,2,3,28,0,13
'060081C0100',6,3,18,22,9,20,1,20,15,17,41,56,3,22,1,1,26,1,13
'060081C0200',6,3,22,16,7,15,3,18,14,17,40,41,2,26,2,0,40,0,13
'060081C0300',6,3,25,32,9,23,3,18,15,14,28,48,3,22,3,3,26,0,9
'060082B0100',6,1,24,42,4,12,3,24,11,24,60,49,5,24,2,2,45,0,10
'060082C0100',6,1,23,37,4,19,3,20,17,25,46,51,5,23,0,1,42,0,17
'060082C0200',6,1,29,29,3,26,5,16,12,31,53,57,3,24,4,3,29,1,17
'060082C0300',6,1,37,27,6,20,2,20,13,23,55,53,1,13,0,3,34,0,15
'060082E0100',6,1,10,23,5,7,2,14,9,13,31,29,1,13,4,3,14,0,5
'060083B0100',6,4,10,22,2,12,1,14,7,14,33,24,4,13,0,2,16,0,5
'060083E0100',6,4,12,12,2,9,2,3,5,9,11,17,0,4,1,1,18,0,6
'060083E0200',6,4,9,5,3,4,0,4,0,4,12,5,0,4,2,2,12,0,4
'060084B0100',6,4,20,27,4,18,3,16,10,21,34,55,2,15,2,1,36,1,13
'060084C0100',6,4,23,26,7,11,6,22,16,18,44,44,2,18,2,4,28,0,14
'060084E0100',6,4,13,9,4,7,0,4,6,6,33,17,2,9,1,2,14,0,4
'060085B0100',6,4,12,17,4,12,1,20,7,8,21,25,3,7,1,1,21,0,6
'060085E0100',6,4,10,8,4,4,0,9,5,6,16,13,1,10,1,2,12,0,8
'060085E0200',6,4,8,7,2,2,0,2,4,3,7,8,1,6,0,1,6,0,1
'060085E0300',6,4,8,19,5,4,1,8,4,9,18,26,1,18,2,1,16,0,5
'060085E0400',6,4,6,7,2,3,4,5,3,5,5,13,1,5,0,0,4,0,2
'060086B0100',6,4,20,23,7,10,5,18,11,24,50,50,4,22,3,1,27,0,10
'060087B0100',6,4,13,16,5,9,0,8,6,6,16,23,1,11,0,0,18,0,3
'060087E0100',6,4,10,7,1,6,1,11,3,10,21,9,2,3,1,0,12,0,2
'060087E0200',6,4,24,32,6,13,1,9,9,17,38,42,2,15,0,0,25,0,6
'060088B0100',6,3,23,20,4,18,4,16,13,12,32,41,0,20,1,5,30,1,6
'060088C0100',6,3,33,32,5,13,0,14,9,7,33,31,5,21,0,7,25,0,5
'060089B0100',6,4,13,15,1,10,1,7,6,12,38,31,3,10,1,3,19,0,13
'060089C0100',6,4,20,36,3,10,4,11,9,14,28,33,1,15,2,0,22,0,7
'060090B0100',6,4,14,13,1,15,5,15,4,9,19,31,1,17,2,1,14,0,6
'060090E0100',6,4,17,3,1,5,1,5,4,6,17,18,2,5,0,0,10,0,4
'060091B0100',6,4,10,16,3,11,3,15,4,11,28,34,3,14,1,3,18,0,8
'060091E0100',6,4,5,19,3,3,2,5,6,6,4,15,2,6,0,2,16,0,5
'060092B0100',6,3,27,26,9,13,4,24,15,15,63,48,1,26,2,1,33,0,16
'060092C0100',6,3,26,32,2,21,4,20,9,17,53,45,1,24,0,1,27,0,11
'060092C0200',6,3,23,29,11,23,3,16,11,30,43,46,6,15,0,1,36,0,15
'060092C0300',6,3,22,25,4,16,3,20,11,24,47,52,5,27,0,0,29,0,13
'060093B0100',6,3,18,37,3,22,4,20,9,26,54,43,2,14,2,1,24,0,18
'060093C0100',6,3,29,36,9,18,3,19,5,26,43,42,2,19,1,4,26,0,9
'060093E0100',6,3,18,24,6,11,1,14,10,13,20,32,1,13,0,0,18,0,3
'060094B0100',6,3,31,41,8,12,6,20,20,35,52,55,5,23,3,8,44,0,11
'060094C0100',6,3,25,35,7,20,1,18,24,24,40,77,4,26,2,4,32,1,15
'060095B0100',6,3,29,27,6,10,2,26,9,13,46,41,5,23,0,4,21,0,11
'060095C0100',6,3,27,30,6,12,4,17,12,21,45,45,1,10,2,5,35,0,9
'060095C0200',6,3,20,34,6,14,2,29,12,23,41,48,1,12,1,1,24,1,13
'060096B0100',6,3,16,18,10,16,3,21,5,21,40,41,1,11,3,3,24,1,16
'060096C0100',6,3,22,33,5,9,6,15,3,21,44,48,2,13,1,3,34,0,10
'060096E0100',6,3,14,13,0,8,2,7,6,15,25,19,0,4,2,0,15,0,3
'060097B0100',6,4,10,16,0,4,1,7,4,9,17,27,3,9,2,2,18,0,3
'060098B0100',6,4,4,0,2,3,0,5,2,9,10,6,1,2,0,1,2,0,1
'060099B0100',6,4,12,12,2,10,3,11,8,8,23,20,0,5,1,0,13,0,4
'060099E0100',6,4,13,23,5,9,2,11,12,15,34,31,1,12,1,2,18,0,2
'060100B0100',6,4,36,31,7,18,6,26,19,30,48,59,6,32,0,2,46,1,16
'060100C0100',6,4,32,37,10,24,2,39,22,18,50,64,3,22,2,3,18,0,9
'060100E0100',6,4,7,6,1,6,0,6,0,4,13,14,1,5,0,0,7,0,7
'060101B0100',6,4,25,17,2,15,5,18,13,19,40,47,4,15,2,1,28,0,16
'060101C0100',6,4,27,29,4,4,4,20,12,24,37,27,2,12,0,1,27,1,8
'060101C0200',6,4,16,27,6,17,2,14,12,20,47,35,3,15,0,5,16,0,12
'060101E0100',6,4,5,4,1,1,2,4,1,1,8,9,1,2,0,0,7,0,1
'060101E0200',6,4,2,1,0,1,0,4,1,4,2,5,2,2,0,0,6,0,1
'060102B0100',6,4,27,43,10,18,3,14,9,22,44,44,1,20,2,3,38,0,14
'060103B0100',6,4,25,28,6,13,3,15,13,19,42,52,0,15,1,1,30,0,6
'060103C0100',6,4,23,26,6,19,2,17,9,20,37,36,1,23,1,5,26,0,3
'060103C0200',6,4,20,30,7,12,4,23,6,23,36,48,3,18,0,4,24,0,11
'060103E0100',6,4,16,13,5,11,1,3,10,8,26,34,2,12,0,0,16,1,3
'060104B0100',6,4,26,35,12,22,3,15,14,16,48,58,4,17,2,3,29,0,15
'060104C0100',6,4,23,37,7,13,3,15,14,23,52,52,3,23,0,2,26,0,16
'060104C0200',6,4,31,34,10,18,4,20,14,27,40,48,2,21,0,2,52,0,12
'060105B0100',6,4,36,48,9,20,4,12,13,24,45,49,6,28,3,5,39,2,12
'060105C0100',6,4,25,37,11,17,7,22,15,23,71,55,8,25,1,5,38,0,15
'060105C0200',6,4,29,43,10,13,5,24,11,25,62,63,4,25,0,4,31,0,22
'060105E0100',6,4,13,29,1,9,2,18,9,21,40,39,5,17,0,4,29,0,10
'060106B0100',6,4,25,24,1,15,2,18,14,19,55,50,4,11,1,2,32,0,10
'060106C0100',6,4,16,27,9,18,7,22,14,18,41,54,4,18,2,4,23,0,13
'060106C0200',6,4,18,31,3,26,2,22,8,24,46,54,2,15,0,1,28,0,14
'060107B0100',6,4,19,36,7,13,8,7,19,21,42,41,2,18,1,3,28,0,9
'060107C0100',6,4,19,31,3,17,1,16,13,29,38,34,4,22,1,3,27,0,11
'060107C0200',6,4,22,29,4,19,5,16,15,20,47,48,2,18,1,4,23,0,9
'060108B0100',6,4,37,23,3,15,2,27,17,22,57,54,3,21,3,4,36,0,9
'060108C0100',6,4,33,37,4,32,4,23,8,25,49,61,4,21,0,3,37,0,14
'060109B0100',6,1,11,22,2,15,1,6,10,14,33,37,2,17,2,2,24,0,7
'060109C0100',6,1,30,23,6,10,1,12,6,22,29,37,1,12,1,1,27,1,5
'060110B0100',6,4,26,23,5,12,1,11,10,20,42,49,1,15,4,3,23,1,8
'060110C0100',6,4,17,35,3,10,5,18,11,21,49,36,6,11,2,1,26,1,9
'060111B0100',6,4,17,33,6,17,3,14,17,19,31,49,3,17,2,5,34,0,9
'060111C0100',6,4,23,31,5,15,4,20,7,25,47,46,3,11,1,7,31,0,9
'060111C0200',6,4,22,34,8,12,3,15,16,20,50,48,5,13,2,5,32,0,9
'060111C0300',6,4,23,25,4,14,4,24,11,21,42,48,0,11,3,3,35,2,11
'060112B0100',6,4,7,8,4,0,0,5,3,6,4,9,0,4,1,1,11,0,2
'060112E0100',6,4,7,12,0,10,1,2,7,6,23,18,1,2,0,2,14,0,3
'060113B0100',6,4,18,24,3,6,1,5,5,10,36,33,3,11,2,3,22,0,5
'060114B0100',6,4,12,11,1,3,0,12,2,6,22,18,1,4,1,0,12,0,3
'060115B0100',6,4,14,15,6,7,0,16,5,9,21,26,3,14,1,1,18,0,1
'060116B0100',6,4,28,38,6,13,5,25,15,23,47,56,6,18,2,1,39,0,16
'060116C0100',6,4,41,28,9,20,4,21,17,20,42,77,6,13,1,3,30,0,7
'060116E0100',6,4,3,5,0,1,0,1,3,7,2,6,0,2,0,1,2,0,0
'060117B0100',6,4,18,25,6,9,3,10,6,11,29,46,4,14,0,1,22,0,6
'060117C0100',6,4,19,20,5,10,3,9,6,16,27,37,3,15,0,4,18,0,6
'060118B0100',6,4,27,22,5,11,6,13,11,23,36,46,4,19,1,2,27,0,14
'060118E0100',6,4,5,6,1,4,3,1,3,1,6,12,1,2,0,0,2,0,1
'060119B0100',6,4,25,19,8,7,1,14,5,15,30,38,0,15,2,1,32,0,11
'060119E0100',6,4,10,8,0,5,1,5,1,10,7,10,0,2,0,0,3,0,2
'060120B0100',6,3,19,43,7,22,2,19,18,41,54,57,6,19,5,6,38,2,17
'060120C0100',6,3,22,40,9,15,2,21,11,24,56,58,6,13,2,1,59,1,15
'060120C0200',6,3,27,55,10,20,2,19,10,24,64,59,4,27,2,4,29,0,11
'060121B0100',6,1,29,28,4,17,2,21,12,25,36,39,3,21,0,1,33,0,15
