CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,MORENA,PT_MORENA,PVEM,MC,PES,RSP,FPM,CI1,CI2,CI3,CNR,NULOS
'160016C0200',16,24,22,5,7,25,25,33,8,28,2,18,33,23,11,0,22,3,54,16,0,7
'160017B0100',16,12,17,9,6,18,12,19,13,10,10,19,17,16,6,0,13,2,25,11,1,2
'160018B0100',16,24,22,9,12,15,13,23,9,20,8,23,21,21,15,2,17,0,46,19,2,6
'160019B0100',16,12,14,5,11,9,12,15,6,12,7,17,14,21,13,1,8,0,32,15,0,0
'160020B0100',16,12,7,3,0,10,3,7,4,9,2,7,6,6,4,0,6,1,10,3,0,1
'160022B0100',16,12,7,3,3,14,3,5,2,9,0,6,5,8,3,0,4,0,9,4,0,1
'160023B0100',16,12,4,3,3,2,5,2,6,3,1,3,5,6,3,0,10,0,7,7,0,3
'160025B0100',16,12,5,1,2,5,2,6,1,3,2,2,2,2,0,0,6,0,16,3,0,4
'160026B0100',16,2,26,8,5,18,13,29,4,13,8,22,16,22,9,1,19,3,40,10,0,2
'160026C0100',16,2,19,6,5,21,11,23,9,17,5,19,14,26,4,2,23,1,33,15,0,2
'160026C0200',16,2,14,6,4,18,13,16,11,13,15,18,22,25,8,2,12,4,47,16,0,5
'160026S0100',16,2,41,20,4,42,37,51,21,36,17,50,38,50,24,4,37,3,93,38,2,5
'160027B0100',16,14,12,8,12,21,13,22,10,24,6,27,19,21,12,3,12,3,53,22,0,4
'160027C0100',16,14,24,6,11,14,11,22,7,30,10,28,21,37,10,3,18,1,57,15,0,8
'160027C0200',16,14,27,9,10,21,11,19,4,10,8,21,16,22,8,0,22,3,51,19,0,3
'160028B0100',16,14,29,11,6,30,17,21,10,22,10,34,25,33,19,0,20,1,46,23,0,7
'160028C0100',16,14,30,13,8,23,14,32,6,30,12,25,34,30,8,0,14,2,50,19,1,6
'160028C0200',16,14,23,8,11,18,18,21,9,24,12,30,24,24,14,0,22,4,50,20,0,5
'160029B0100',16,2,22,9,4,16,16,15,7,19,7,20,21,22,14,0,13,3,44,21,1,4
'160029C0100',16,2,16,6,5,16,14,14,12,12,7,19,24,28,7,0,18,0,39,19,1,2
'160030B0100',16,2,16,9,1,15,16,23,7,19,10,21,23,16,7,2,15,0,33,12,1,3
'160030C0100',16,2,19,10,8,16,11,12,8,13,7,20,20,25,13,0,12,2,43,11,0,5
'160031B0100',16,14,24,12,9,27,18,27,10,23,11,31,35,34,10,1,20,2,43,18,0,3
'160031C0100',16,14,30,10,9,28,16,30,7,20,5,30,28,28,14,1,14,0,44,21,0,5
'160032B0100',16,14,24,16,9,22,21,19,3,21,5,26,21,28,9,1,19,1,41,15,0,1
'160032C0100',16,14,32,11,11,31,17,19,4,21,8,27,24,36,11,0,16,1,44,19,0,9
'160032C0200',16,14,17,7,6,24,20,29,8,21,10,30,22,16,12,1,15,3,60,23,0,4
'160033B0100',16,14,15,9,8,25,19,28,3,22,5,23,24,33,7,0,17,0,56,15,0,1
'160033C0100',16,14,19,11,9,22,19,22,10,17,5,32,22,21,12,3,21,0,50,15,0,6
'160034B0100',16,14,19,8,8,23,10,21,6,13,6,24,25,29,6,2,24,2,48,7,1,4
'160034C0100',16,14,34,7,3,20,15,18,14,17,6,29,22,23,9,0,17,5,47,13,0,4
'160035B0100',16,14,16,9,8,17,16,28,10,20,11,24,35,33,7,2,23,0,47,20,0,6
'160035C0100',16,14,25,10,7,25,14,26,9,18,11,24,25,22,12,2,24,3,44,13,2,7
'160036B0100',16,14,21,6,7,28,21,30,14,28,11,27,22,28,12,2,21,4,57,22,0,4
'160036C0100',16,14,24,13,10,24,14,20,10,21,12,21,31,28,5,2,22,3,56,25,0,6
'160037B0100',16,2,14,5,2,8,10,16,5,8,6,18,10,20,5,1,12,0,26,13,0,3
'160037C0100',16,2,15,6,8,11,9,16,8,20,6,11,13,21,5,1,10,0,33,9,0,5
'160038B0100',16,2,17,3,5,15,9,13,11,21,2,23,9,24,6,0,8,0,44,9,0,6
'160038C0100',16,2,8,6,2,18,15,20,6,16,5,15,14,26,9,0,19,2,35,15,0,5
'160039B0100',16,2,12,6,3,14,11,16,2,12,6,23,27,19,7,0,15,1,29,10,0,5
'160039C0100',16,2,15,9,4,22,13,19,4,19,5,15,13,22,10,0,7,1,27,13,0,2
'160040B0100',16,14,24,7,17,22,18,30,8,23,8,42,21,17,13,2,15,5,51,13,2,8
'160040C0100',16,14,31,11,8,19,19,27,13,19,11,29,24,40,13,1,21,1,47,19,0,8
'160041B0100',16,14,26,8,8,24,14,21,8,20,11,26,27,31,12,1,25,2,52,21,0,6
'160041C0100',16,14,19,9,4,25,12,28,8,23,6,30,22,35,15,1,24,4,44,24,3,6
'160042B0100',16,2,19,4,3,10,8,12,3,13,8,19,14,23,5,0,10,2,29,12,0,2
'160042C0100',16,2,19,8,5,7,9,19,8,8,1,15,18,12,6,0,11,3,22,10,0,4
'160043B0100',16,2,19,4,3,13,7,15,8,10,6,13,20,25,3,1,18,2,43,11,1,3
'160043C0100',16,2,11,9,6,19,7,15,8,9,4,13,28,16,8,0,15,1,31,14,0,3
'160044B0100',16,2,16,12,5,14,9,14,3,17,6,14,12,19,3,0,14,0,29,9,0,0
'160044C0100',16,2,13,3,4,11,12,7,2,12,3,19,20,12,6,4,11,1,38,7,1,1
'160045B0100',16,2,18,9,2,14,24,16,6,15,11,27,19,23,8,2,23,5,39,17,0,4
'160045C0100',16,2,23,10,6,22,15,17,8,22,4,18,21,25,11,0,13,1,44,16,0,4
'160045C0200',16,2,21,7,9,17,12,13,14,18,13,18,17,15,17,0,18,1,47,12,0,6
'160045C0300',16,2,18,10,7,27,9,19,9,19,11,16,21,25,12,0,7,2,33,20,1,4
'160046B0100',16,14,23,5,11,22,17,21,11,26,10,31,32,29,12,0,26,2,55,20,1,5
'160048B0100',16,2,24,6,3,20,11,20,8,16,12,21,17,25,8,0,20,1,44,18,0,2
'160049B0100',16,2,18,9,2,13,12,13,9,9,4,16,9,24,7,0,17,2,36,10,0,7
'160050B0100',16,2,15,4,5,9,13,10,3,15,4,19,15,18,6,0,17,2,26,14,0,2
'160050C0100',16,2,11,8,8,14,13,12,4,9,8,16,19,18,6,0,10,2,21,6,0,4
'160051B0100',16,2,26,6,8,11,8,12,10,14,10,19,14,19,15,3,15,2,40,13,1,8
'160051C0100',16,2,13,10,3,19,10,17,9,19,7,25,14,19,8,2,15,1,41,9,0,5
'160052B0100',16,15,25,11,5,22,20,19,15,33,13,29,30,32,6,0,21,5,52,16,0,5
'160052C0100',16,15,29,11,13,22,16,22,15,22,11,27,25,25,16,1,21,2,65,18,1,5
'160053B0100',16,15,25,12,12,21,14,17,12,23,9,22,19,27,12,0,14,2,35,18,0,4
'160054B0100',16,15,22,10,9,32,17,24,14,29,13,22,23,19,13,2,24,2,56,15,1,2
'160055B0100',16,15,26,12,9,26,14,24,13,30,4,20,27,33,8,1,25,1,51,19,0,5
'160055C0100',16,15,29,11,5,17,24,24,5,24,11,25,28,20,10,2,23,0,53,18,0,3
'160055C0200',16,15,23,8,10,28,15,35,13,20,6,20,23,23,13,0,24,1,55,19,0,6
'160056B0100',16,15,23,9,9,25,17,25,12,24,7,22,20,26,6,3,11,3,47,17,0,5
'160056C0100',16,15,30,13,8,16,15,25,9,13,6,21,23,27,15,3,16,4,50,18,2,4
'160057B0100',16,15,25,10,12,32,11,18,9,22,10,39,17,37,12,2,17,1,47,16,1,1
'160057C0100',16,15,28,7,2,26,22,29,8,19,7,28,27,20,11,1,22,3,51,23,1,3
'160057C0200',16,15,15,7,6,23,9,20,9,23,8,34,30,32,13,2,25,0,46,25,0,11
'160058B0100',16,12,22,3,2,20,17,14,10,12,2,25,23,25,7,0,20,0,43,13,0,7
'160058C0100',16,12,16,6,3,16,10,23,8,13,10,16,27,29,5,1,17,1,43,11,1,5
'160059B0100',16,12,14,9,6,16,11,21,11,23,7,23,13,23,4,1,23,1,35,17,0,5
'160059C0100',16,12,17,7,8,24,11,21,10,14,6,16,23,22,8,2,17,2,39,21,2,3
'160059C0200',16,12,19,7,4,16,12,18,13,15,9,17,15,13,11,2,21,1,44,12,2,2
'160060B0100',16,24,25,4,7,21,12,25,8,25,6,15,32,34,12,2,21,1,45,26,0,8
'160060C0100',16,24,24,8,8,24,15,21,11,23,12,28,31,32,11,0,14,1,37,17,1,4
'160060C0200',16,24,22,7,12,16,17,16,15,26,7,21,19,18,10,0,17,3,51,17,0,4
'160061B0100',16,24,22,11,1,13,17,24,7,21,8,36,32,35,7,3,14,3,52,16,0,4
'160061C0100',16,24,27,7,8,23,11,32,11,20,8,27,27,31,13,0,24,1,58,18,0,3
'160062B0100',16,24,30,4,10,19,22,25,11,23,8,30,30,29,12,1,22,2,53,15,0,4
'160062C0100',16,24,29,11,8,32,17,30,9,22,12,19,27,37,22,2,22,2,55,16,1,9
'160063B0100',16,12,27,5,11,23,17,24,6,14,3,21,31,26,12,1,21,1,44,7,0,5
'160063C0100',16,12,14,5,3,17,16,22,9,20,4,21,30,26,13,0,22,5,52,15,0,4
'160063C0200',16,12,23,8,9,13,13,14,8,33,5,20,22,19,8,0,25,4,50,10,0,3
'160063C0300',16,12,18,6,8,14,11,26,6,25,6,24,17,27,11,0,20,0,48,12,1,3
'160064B0100',16,12,23,3,11,12,11,26,9,20,6,33,16,17,10,2,23,1,45,17,1,5
'160064C0100',16,12,20,15,7,14,11,19,8,17,6,26,19,26,10,1,15,1,40,13,0,4
'160064C0200',16,12,14,10,5,14,14,28,5,14,7,16,31,32,5,4,23,4,33,19,1,3
'160065B0100',16,12,15,15,5,22,17,20,6,15,5,21,10,20,6,1,11,1,46,11,0,6
'160065C0100',16,12,22,6,1,16,10,20,11,14,9,19,22,25,8,2,21,0,45,13,0,2
'160065C0200',16,12,33,5,8,15,16,25,3,9,12,25,20,26,4,3,15,2,33,12,0,3
'160066B0100',16,12,12,6,8,18,17,20,5,17,8,26,20,20,8,1,19,3,43,12,0,4
'160066C0100',16,12,17,10,6,22,10,13,5,20,10,29,18,23,12,1,22,3,44,8,0,3
'160066C0200',16,12,22,5,11,14,15,18,6,22,5,29,23,23,10,1,12,0,44,16,0,5
'160067B0100',16,12,20,9,9,9,17,17,5,13,6,19,16,27,1,2,17,3,39,14,0,6
'160067C0100',16,12,18,4,4,16,11,18,11,11,6,21,24,15,11,2,10,0,28,16,0,1
'160068B0100',16,12,24,2,2,18,13,20,6,25,11,25,22,29,19,0,23,1,41,11,0,4
'160068C0100',16,12,11,12,6,14,15,23,10,18,9,22,18,34,13,4,22,1,42,11,0,3
'160068C0200',16,12,28,8,5,18,9,24,11,15,10,17,24,23,7,2,14,3,46,20,0,4
'160069B0100',16,24,13,10,6,26,10,28,7,18,9,31,23,25,12,1,18,3,58,13,2,9
'160069C0100',16,24,27,6,7,23,11,21,7,22,14,24,27,26,6,1,21,2,48,22,0,4
'160070B0100',16,12,18,7,6,15,19,25,7,12,5,17,17,25,8,0,6,1,43,13,0,6
'160070C0100',16,12,12,10,6,13,11,20,6,17,7,21,25,27,11,0,15,1,36,11,1,3
'160071B0100',16,24,34,13,13,19,25,21,4,27,4,25,24,26,7,2,23,4,57,23,1,4
'160071C0100',16,24,29,13,8,25,14,29,12,26,13,32,19,26,9,2,18,0,59,15,1,1
'160072B0100',16,12,21,6,8,18,18,22,9,14,5,19,16,23,13,1,15,1,38,9,0,4
'160072C0100',16,12,15,9,7,17,10,19,4,15,5,26,17,27,4,1,14,2,55,9,1,4
'160073B0100',16,12,24,10,6,17,14,16,10,18,8,24,26,17,15,3,20,1,34,11,1,9
'160073C0100',16,12,23,8,6,20,15,21,10,19,7,27,21,19,5,0,32,5,36,16,0,3
'160073C0200',16,12,19,9,8,24,12,21,6,19,8,23,26,22,8,1,19,2,47,13,0,3
'160073C0300',16,12,28,12,4,17,16,22,9,15,13,24,28,22,12,1,22,2,49,20,0,6
'160074B0100',16,24,16,8,6,19,10,23,15,23,5,25,18,23,7,0,26,3,61,20,1,3
'160074C0100',16,24,20,13,12,29,21,19,11,21,13,22,22,25,10,0,20,2,49,15,1,7
'160075B0100',16,12,14,4,3,19,6,20,6,20,3,21,18,25,8,1,15,1,38,12,0,2
'160075C0100',16,12,15,3,7,17,13,22,7,19,7,21,26,22,7,1,17,1,40,16,0,7
'160076B0100',16,12,16,8,6,13,13,20,3,26,5,17,16,15,7,0,18,3,37,15,0,5
'160076C0100',16,12,16,9,4,22,10,20,8,25,6,24,17,19,9,3,21,0,33,9,0,6
'160077B0100',16,12,20,2,9,14,18,19,7,15,8,22,26,17,13,3,22,1,46,15,0,2
'160077C0100',16,12,18,10,5,19,17,16,9,19,7,23,19,24,9,2,23,2,30,11,0,5
'160077C0200',16,12,19,3,8,14,16,17,4,14,6,21,22,22,12,1,24,2,38,14,0,9
'160078B0100',16,24,31,17,4,21,23,34,12,26,7,31,37,30,12,1,25,1,39,22,0,3
'160078C0100',16,24,29,16,5,21,23,23,12,31,6,24,36,30,15,1,23,1,47,26,0,7
'160079B0100',16,12,11,5,4,10,10,13,9,12,5,22,17,15,6,0,12,2,35,14,0,5
'160079C0100',16,12,16,6,4,14,11,14,6,20,5,14,15,19,8,1,9,0,26,10,0,4
'160080B0100',16,12,18,5,12,20,14,18,12,19,3,27,11,29,10,0,20,4,34,19,1,3
'160080C0100',16,12,15,11,6,21,16,18,5,15,6,21,23,17,7,0,17,3,54,12,0,0
'160081B0100',16,12,15,4,6,13,12,17,2,18,2,13,13,18,5,0,13,1,30,11,0,8
'160081C0100',16,12,11,6,9,13,10,20,2,9,2,15,8,13,10,2,14,2,34,19,1,3
'160082B0100',16,24,17,6,6,28,15,18,14,35,8,21,36,27,12,1,14,2,51,24,2,5
'160082C0100',16,24,18,9,11,24,24,24,7,30,9,31,14,26,11,1,28,2,44,20,1,8
'160083B0100',16,12,17,3,7,15,14,12,8,9,1,21,20,26,12,1,14,0,46,8,0,3
'160083C0100',16,12,16,10,4,22,8,23,7,12,9,25,32,14,9,1,18,1,44,12,1,4
'160084B0100',16,24,20,7,5,22,16,32,4,25,8,27,26,28,7,1,16,2,48,22,1,5
'160084C0100',16,24,26,8,12,20,16,36,6,20,8,15,27,27,13,0,19,2,56,16,1,3
'160084C0200',16,24,20,10,10,19,21,24,10,23,10,22,29,23,6,1,26,1,55,10,0,4
'160085B0100',16,12,15,11,10,12,12,16,8,10,4,17,17,21,6,1,15,2,34,8,0,9
'160085C0100',16,12,20,7,5,17,6,20,6,16,5,15,25,23,10,3,18,3,45,12,1,2
'160086B0100',16,24,20,8,7,21,20,28,5,19,11,27,22,25,9,1,19,3,39,22,0,4
'160087B0100',16,12,18,5,6,21,14,18,7,14,2,13,14,19,14,0,11,0,36,11,0,4
'160087C0100',16,12,15,6,6,15,15,19,6,21,7,13,22,21,9,3,21,1,33,12,0,2
'160087S0100',16,12,42,12,12,34,28,45,20,34,17,66,47,52,23,1,29,4,90,24,1,10
'160088B0100',16,12,19,12,7,15,20,25,6,18,7,33,15,28,8,3,16,0,43,16,1,6
'160088C0100',16,12,12,8,6,13,15,19,11,26,12,20,17,25,6,1,20,1,50,14,1,5
'160089B0100',16,12,23,6,7,13,18,13,3,18,8,25,12,23,5,0,12,2,53,13,0,1
'160089C0100',16,12,15,13,3,16,8,15,11,18,8,26,12,18,13,0,18,0,47,16,0,2
'160090B0100',16,12,16,10,5,8,14,15,7,6,1,13,15,12,3,2,15,3,32,10,0,3
'160090C0100',16,12,15,7,4,12,8,18,3,11,8,17,13,17,5,0,14,2,25,15,0,2
'160091B0100',16,12,24,6,5,14,15,14,7,18,10,11,17,10,5,0,16,2,24,13,1,1
'160092B0100',16,12,19,10,8,10,8,10,0,17,3,14,13,22,7,0,10,2,34,9,0,4
'160092C0100',16,12,16,6,11,9,8,14,2,12,7,9,14,15,12,1,16,2,24,10,0,3
'160093B0100',16,24,28,13,7,21,20,32,6,21,7,22,29,36,14,0,27,2,56,16,1,6
'160094B0100',16,12,17,10,5,15,16,20,11,15,5,19,18,20,10,1,22,2,39,11,0,3
'160094C0100',16,12,17,7,5,15,13,10,1,18,6,18,22,24,5,0,16,0,43,12,0,7
'160095B0100',16,12,30,9,11,21,17,20,7,24,11,31,18,35,7,0,18,3,33,11,1,5
'160095S0100',16,12,37,14,14,39,35,46,9,40,23,51,32,45,24,2,29,2,102,26,0,7
'160096B0100',16,12,14,7,7,16,12,12,10,18,5,23,21,18,9,0,13,0,39,12,0,3
'160096C0100',16,12,28,10,5,19,12,24,5,20,6,23,20,17,11,1,11,1,41,13,0,1
'160097B0100',16,24,27,14,7,18,20,22,6,15,15,25,19,31,17,0,13,2,47,12,2,9
'160098B0100',16,12,19,8,4,11,11,15,5,11,2,20,13,19,5,1,12,0,39,10,0,1
'160098C0100',16,12,20,6,2,14,12,18,6,8,5,16,8,13,8,1,15,3,33,17,0,5
'160099B0100',16,12,9,6,6,19,14,21,11,28,10,23,17,24,7,1,15,1,41,14,0,2
'160099C0100',16,12,20,4,5,18,8,15,7,14,7,19,21,21,7,2,16,1,38,9,0,4
'160100B0100',16,24,28,8,13,33,19,30,12,19,10,28,21,33,17,2,28,3,57,20,1,5
'160101B0100',16,24,18,8,8,17,15,21,8,21,7,31,23,23,6,1,23,2,48,13,1,6
'160101C0100',16,24,17,14,5,20,12,24,9,17,7,19,21,27,16,0,20,2,48,14,1,6
'160101C0200',16,24,21,9,5,22,14,26,15,20,14,24,27,18,7,1,24,1,59,16,0,9
'160102B0100',16,24,28,18,7,30,17,24,10,16,11,25,26,36,10,4,21,4,47,20,0,2
'160103B0100',16,24,23,8,18,16,18,26,11,22,5,30,28,29,10,2,24,2,57,20,0,4
'160104B0100',16,24,22,8,7,17,13,22,3,23,11,22,25,18,8,1,19,3,48,21,0,3
'160104C0100',16,24,19,9,6,16,14,22,8,21,9,25,23,26,11,1,21,2,46,17,0,5
'160105B0100',16,24,21,12,11,31,11,30,5,23,9,29,29,29,13,0,16,1,58,23,0,6
'160105C0100',16,24,24,9,8,24,23,29,11,24,9,26,29,30,8,4,32,0,60,16,0,7
'160105C0200',16,24,24,14,11,23,18,29,14,22,13,28,21,40,19,2,18,3,47,21,1,3
'160105C0300',16,24,18,8,11,25,27,24,9,24,10,30,27,36,9,0,23,4,60,13,0,6
'160106B0100',16,12,24,7,7,17,14,23,12,16,4,20,20,22,4,2,21,1,50,14,1,7
'160106C0100',16,12,20,6,8,20,20,17,10,22,3,18,19,19,9,2,12,4,37,16,0,4
'160107B0100',16,12,14,7,3,11,7,15,3,15,5,23,29,16,2,0,10,0,32,11,0,2
'160107C0100',16,12,16,2,4,6,8,10,4,14,9,28,13,20,9,0,11,0,25,10,0,6
'160108B0100',16,12,12,10,5,22,14,20,6,27,10,21,20,18,9,0,18,2,44,11,1,5
'160108C0100',16,12,30,11,6,13,17,19,6,12,5,20,14,25,12,3,23,1,44,12,3,4
'160108C0200',16,12,14,8,7,26,18,19,9,17,5,22,11,29,7,1,18,3,42,19,0,7
'160109B0100',16,12,24,13,4,12,16,13,6,11,3,22,21,13,20,1,14,4,42,11,0,4
'160109C0100',16,12,12,11,2,12,9,19,4,21,5,20,18,23,9,0,18,0,40,17,0,5
'160109C0200',16,12,23,6,5,11,9,17,0,18,6,23,25,19,4,0,27,1,45,10,0,2
'160110B0100',16,12,16,13,5,17,20,19,6,19,13,15,18,29,6,1,15,3,39,13,1,5
'160110C0100',16,12,20,7,8,21,13,19,12,19,11,20,24,15,11,1,24,0,40,17,1,2
'160110C0200',16,12,21,7,5,16,21,13,14,10,11,22,23,15,4,1,15,0,43,11,0,5
'160111B0100',16,24,20,9,5,20,15,30,8,20,8,27,24,26,7,0,24,5,35,12,0,5
'160111C0100',16,24,27,6,9,19,24,25,7,24,6,15,25,20,6,1,19,0,46,21,0,8
'160111C0200',16,24,20,6,8,19,13,20,5,17,3,33,24,19,14,2,13,3,44,12,0,7
'160111C0300',16,24,23,10,4,25,16,23,11,21,8,23,23,34,14,2,16,0,37,18,0,6
'160111C0400',16,24,25,12,5,21,13,27,5,20,3,34,26,31,6,0,13,5,45,15,1,4
'160112B0100',16,24,20,13,5,27,22,22,8,23,10,26,21,25,18,0,18,3,61,13,2,5
'160112C0100',16,24,23,6,7,16,20,28,14,18,11,18,25,38,19,0,21,2,45,16,0,5
'160112C0200',16,24,26,5,9,22,19,26,10,15,10,30,31,34,11,0,17,2,49,17,0,6
'160113B0100',16,24,31,12,11,24,17,19,9,17,7,18,31,30,8,1,23,0,49,23,0,7
'160113C0100',16,24,15,7,7,24,17,29,9,21,8,32,26,30,12,0,13,1,49,20,0,5
'160113C0200',16,24,31,10,12,31,19,29,11,21,8,19,27,23,14,0,21,4,54,20,0,5
'160113C0300',16,24,29,5,4,29,17,26,7,28,8,23,19,30,14,2,24,0,50,14,1,5
'160113E0100',16,24,21,9,5,21,21,19,6,23,9,20,20,30,9,0,21,3,48,19,0,5
'160113E0101',16,24,17,6,8,16,18,25,13,15,7,29,19,34,6,0,30,4,64,15,0,5
'160113E0102',16,24,20,10,4,18,21,24,11,16,7,29,25,19,13,0,21,4,41,25,0,3
'160113E0103',16,24,27,11,14,19,14,22,9,32,10,34,24,18,8,1,18,2,50,24,1,7
'160114B0100',16,12,27,8,12,21,17,18,7,20,5,23,24,32,7,0,13,1,27,10,0,3
'160114C0100',16,12,21,15,6,16,21,18,12,18,6,15,28,21,6,0,10,0,32,17,0,4
'160115B0100',16,24,22,11,4,27,25,26,10,17,11,40,23,29,11,2,21,3,49,22,0,4
'160115C0100',16,24,22,15,7,25,17,33,6,27,8,24,31,30,11,1,21,3,58,17,1,5
'160116B0100',16,24,34,4,11,19,17,32,1,10,9,23,27,32,16,1,25,2,44,19,0,2
'160116C0100',16,24,29,9,8,17,18,30,3,25,7,23,28,20,10,1,21,2,39,17,1,8
'160117B0100',16,12,16,11,8,20,15,10,3,9,6,25,12,30,13,1,11,2,38,11,0,5
'160117C0100',16,12,23,4,2,18,10,21,5,19,7,16,15,22,15,2,14,1,26,10,2,4
'160118B0100',16,24,33,13,5,19,12,33,7,16,12,32,26,24,14,2,28,2,63,26,0,4
'160119B0100',16,24,28,8,9,19,20,15,6,25,5,25,25,17,9,1,23,1,47,16,0,2
'160119C0100',16,24,20,9,7,23,16,18,5,24,7,39,22,30,8,0,19,2,35,16,0,7
'160119C0200',16,24,23,7,9,22,16,20,10,18,12,19,21,33,5,0,18,2,47,28,0,3
'160120B0100',16,12,17,7,10,13,13,17,4,23,3,18,18,21,8,2,10,1,31,21,1,4
'160120C0100',16,12,19,6,6,18,16,16,4,23,7,21,19,11,8,3,20,2,37,9,0,3
'160120E0100',16,12,19,8,3,10,4,23,4,11,9,16,17,19,9,0,12,0,25,12,0,6
'160121B0100',16,12,26,8,5,13,13,22,8,9,7,20,22,27,14,1,25,1,46,14,1,9
'160121C0100',16,12,24,9,11,9,17,23,12,15,5,20,15,16,5,2,17,3,52,17,0,7
'160122B0100',16,12,17,8,7,14,13,17,5,10,6,17,22,19,7,0,16,3,44,12,0,3
'160122C0100',16,12,16,8,5,15,15,19,4,13,4,14,17,25,10,0,11,1,38,10,0,5
'160123B0100',16,12,9,5,3,1,4,13,3,3,3,24,11,12,5,1,5,2,18,6,0,1
'160124B0100',16,12,18,11,7,21,18,22,8,23,7,18,18,19,10,1,19,2,38,20,0,4
'160125B0100',16,24,31,7,5,22,9,18,7,25,7,20,27,26,8,1,17,3,50,16,1,7
'160125E0100',16,12,9,8,2,8,9,7,2,7,2,14,9,10,4,1,11,0,23,8,1,2
'160126B0100',16,12,16,3,3,14,13,17,4,12,6,21,13,18,8,0,12,2,32,13,0,2
'160127B0100',16,12,16,2,3,5,5,10,4,16,1,8,10,9,4,1,9,1,26,7,0,0
'160127E0100',16,12,9,7,2,4,6,5,2,6,3,9,9,10,2,0,6,2,11,4,1,0
'160128B0100',16,12,12,2,7,11,7,8,3,7,4,7,3,14,4,0,7,2,18,11,0,3
'160129B0100',16,12,11,9,4,11,7,14,3,12,8,17,19,15,6,2,11,0,31,9,0,3
'160129C0100',16,12,14,7,1,9,16,16,12,7,7,19,11,23,7,0,11,1,32,5,0,2
