CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRI,PRD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT,PVEM,MORENA,PANAL,PVEM_PT_MORENA_PANAL,PVEM_PT_MORENA,PVEM_MORENA_PANAL,PVEM_PT_PANAL,PT_MORENA_PANAL,PVEM_PT,PVEM_MORENA,PVEM_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,VIVA,LN,PES,RSP,FPM,CI1,CI2,CI3,CNR,NULOS
'180017B0100',18,1,20,12,18,3,12,19,10,23,8,1,6,18,4,7,0,0,0,1,14,4,0,3,2,0,5,2,0,2,9,1,0,1,8
'180017C0100',18,1,30,10,30,3,7,10,8,17,8,1,7,18,3,4,0,0,4,2,15,1,0,2,4,2,11,0,0,0,5,3,0,3,5
'180018B0100',18,8,26,12,18,3,14,18,9,14,6,1,7,29,7,4,0,0,6,1,19,4,1,4,2,2,3,1,0,1,4,1,2,3,4
'180018C0100',18,8,18,5,28,7,9,22,7,18,7,1,6,22,4,3,0,0,4,0,12,4,1,5,4,1,9,2,0,1,9,2,1,1,9
'180019B0100',18,6,6,5,4,0,6,9,0,4,1,0,3,4,1,1,0,0,1,0,2,0,0,1,1,0,1,0,1,0,0,1,1,0,3
'180020B0100',18,6,15,7,9,5,6,10,5,12,3,0,7,10,4,3,0,0,2,1,7,2,1,3,1,0,7,2,0,1,6,0,1,1,1
'180021B0100',18,6,23,7,25,1,8,17,2,13,4,0,2,16,6,4,0,0,3,5,14,1,1,0,3,3,10,2,0,0,6,1,1,2,7
'180022B0100',18,8,7,6,13,3,8,8,4,7,2,2,5,7,3,2,0,0,4,0,7,4,0,1,2,0,6,0,0,0,1,0,1,1,4
'180023B0100',18,8,26,13,34,4,15,29,8,29,7,0,5,24,12,7,0,0,9,4,18,4,0,0,1,1,15,2,1,1,4,2,2,3,5
'180024B0100',18,8,17,8,18,7,6,15,8,22,4,0,8,22,4,2,0,0,3,1,16,2,1,2,2,0,8,2,0,2,7,0,1,1,5
'180024C0100',18,8,18,11,21,5,10,20,6,18,3,0,4,28,6,4,0,0,7,0,8,2,1,1,1,0,13,1,0,0,5,0,2,2,3
'180025B0100',18,6,8,3,6,0,2,6,2,3,2,0,1,7,0,2,0,0,1,0,2,1,0,2,1,0,3,0,0,0,2,1,0,1,0
'180026B0100',18,6,8,5,8,0,2,13,5,8,1,0,3,10,1,4,0,0,2,0,14,2,0,0,0,0,2,1,0,1,3,2,0,2,6
'180027B0100',18,8,24,16,36,8,9,28,7,26,5,0,11,26,5,5,0,0,9,0,19,3,0,3,1,0,12,2,0,1,7,5,2,1,5
'180028B0100',18,8,19,6,20,4,11,21,8,18,4,0,4,17,6,2,0,0,1,0,12,4,0,0,2,1,8,2,0,0,3,0,3,2,9
'180029B0100',18,6,9,4,4,4,4,3,4,3,4,0,1,7,1,1,0,0,1,0,5,1,0,1,1,2,2,0,0,1,0,2,0,2,4
'180030B0100',18,8,5,6,11,3,8,15,3,10,3,0,4,11,4,0,0,0,1,0,8,1,2,2,2,0,8,1,0,0,2,0,0,0,6
'180031B0100',18,8,15,7,14,9,7,13,1,15,4,1,5,14,4,3,0,0,1,1,11,2,1,0,3,0,6,1,0,0,6,0,0,1,6
'180032B0100',18,8,15,12,13,4,8,14,4,17,1,0,3,25,4,3,0,0,7,2,14,2,2,1,5,0,7,0,0,0,2,2,1,3,10
'180033B0100',18,8,19,10,21,2,6,16,6,15,3,0,2,26,4,6,0,0,9,2,15,3,2,1,1,0,11,2,0,2,3,2,0,1,6
'180033C0100',18,8,16,6,15,4,9,21,10,11,6,1,11,16,5,2,0,0,7,1,12,4,0,0,0,0,9,0,0,1,6,3,1,2,4
'180034B0100',18,6,17,4,12,2,17,14,4,10,5,0,5,17,6,2,1,0,2,1,14,2,1,0,2,2,7,0,0,1,2,1,1,3,4
'180035B0100',18,6,6,3,10,1,5,3,1,9,0,0,1,5,1,1,0,0,3,0,4,0,0,0,2,0,1,0,0,0,1,0,0,0,1
'180036B0100',18,8,36,15,42,11,18,31,14,33,7,0,4,45,11,5,0,0,15,2,22,9,4,2,2,1,16,0,0,1,7,2,3,4,14
'180037B0100',18,6,5,5,15,4,11,16,4,6,1,2,5,17,4,5,0,0,7,0,8,1,1,3,1,1,3,1,0,0,1,3,0,2,3
'180038B0100',18,8,24,11,33,4,14,18,10,19,10,1,9,29,4,5,0,0,5,1,17,2,1,2,5,0,8,3,0,2,6,0,0,0,10
'180038C0100',18,8,20,12,18,6,12,26,9,21,7,0,9,26,5,4,0,0,8,1,18,4,0,1,3,2,16,1,0,1,6,0,1,1,2
'180039B0100',18,8,23,11,28,0,11,18,9,13,4,1,3,18,5,1,0,0,6,2,21,7,1,1,2,1,7,1,2,0,3,2,0,1,5
'180039C0100',18,8,21,11,19,3,9,15,2,23,7,0,3,18,2,5,0,0,2,2,16,5,1,1,1,1,11,0,0,1,4,2,3,2,5
'180040B0100',18,8,34,15,33,9,18,40,9,35,11,1,9,34,8,6,1,0,10,0,30,6,1,2,5,1,16,5,0,1,11,5,2,4,13
'180041B0100',18,8,24,6,15,6,10,14,4,15,3,0,10,17,5,2,0,0,5,0,11,4,2,2,2,0,6,1,0,1,2,2,0,4,2
'180043B0100',18,8,34,17,38,5,14,34,10,49,9,2,8,35,11,8,0,0,12,2,33,7,1,1,1,1,22,3,1,0,18,1,1,2,14
'180044B0100',18,6,4,2,8,1,4,5,6,7,2,0,1,5,2,1,0,0,0,0,8,0,0,0,1,0,2,0,0,0,1,1,0,2,1
'180045B0100',18,6,9,7,13,5,2,11,2,9,6,0,2,17,2,4,0,0,0,0,7,2,0,2,2,0,7,0,0,0,2,0,0,1,8
'180046B0100',18,8,21,7,21,10,14,29,6,19,5,1,6,20,5,6,0,0,5,0,12,2,1,0,1,0,9,2,0,0,8,1,1,4,10
'180046C0100',18,8,13,7,17,3,12,23,6,20,2,1,7,20,5,3,0,0,4,0,14,3,1,1,1,0,15,1,2,1,6,2,0,3,9
'180047B0100',18,6,28,13,20,6,14,31,17,17,4,0,8,35,6,2,0,0,7,1,20,7,0,1,3,0,11,4,1,0,12,3,0,2,7
'180047E0100',18,6,3,2,1,0,2,4,1,5,0,1,1,2,1,0,0,0,2,0,2,1,0,0,1,0,3,0,1,0,0,0,1,3,3
'180048B0100',18,6,20,7,13,1,3,16,10,12,3,1,4,6,3,6,1,0,2,1,6,1,0,0,0,0,5,0,0,0,1,1,0,1,1
'180049B0100',18,3,39,16,34,9,16,36,7,30,7,0,9,38,6,8,0,0,11,2,20,9,3,2,5,1,22,2,1,1,7,3,4,3,7
'180050B0100',18,3,25,9,22,7,11,16,7,20,9,0,5,17,6,4,1,0,5,1,18,8,3,1,0,1,10,1,0,0,2,4,1,4,8
'180050C0100',18,3,19,9,23,5,6,15,5,17,3,0,6,21,8,0,0,0,5,2,16,7,1,1,3,0,8,0,0,0,4,0,0,4,7
'180051B0100',18,5,34,12,35,4,15,35,8,38,4,0,10,36,5,9,1,0,10,2,28,3,2,3,3,1,20,1,2,2,10,4,1,9,10
'180052B0100',18,5,32,9,38,9,20,32,11,26,9,0,13,33,8,4,0,0,9,1,21,9,0,1,3,1,14,3,0,1,14,3,0,1,6
'180052C0100',18,5,28,2,24,8,10,33,12,36,7,0,5,34,5,12,0,0,8,2,23,5,3,4,3,1,10,0,1,1,9,2,0,3,4
'180053B0100',18,5,21,14,28,11,10,24,9,21,11,0,10,26,5,6,0,0,3,3,17,1,0,3,5,0,8,2,0,0,6,1,1,5,8
'180053C0100',18,5,27,13,21,6,13,28,10,13,8,0,8,33,5,10,0,0,7,3,15,4,0,1,3,1,6,3,1,3,7,1,1,3,6
'180054B0100',18,3,32,10,23,9,18,25,5,24,9,1,7,26,5,5,0,0,8,2,20,7,3,4,5,1,15,2,2,0,10,4,0,3,11
'180054C0100',18,3,23,3,31,8,14,24,19,26,11,0,6,31,10,5,0,0,3,1,20,6,3,0,1,2,8,2,1,2,10,3,0,6,10
'180055B0100',18,3,8,2,8,3,4,13,11,6,5,0,5,18,6,3,0,0,3,0,13,0,1,0,2,1,7,0,0,0,4,0,1,1,5
'180056B0100',18,9,32,12,33,6,14,23,13,37,9,0,8,43,9,6,0,0,8,2,26,5,3,1,4,3,9,1,0,0,9,2,0,5,11
'180057B0100',18,3,20,11,23,4,10,21,3,11,4,0,8,21,0,6,0,0,7,0,14,7,1,1,0,0,9,2,2,1,5,3,3,3,4
'180057C0100',18,3,19,5,23,5,11,16,10,14,4,0,5,21,7,5,0,0,7,1,16,4,1,1,0,1,6,0,1,0,2,1,0,4,8
'180058B0100',18,9,22,10,27,5,10,25,10,24,9,1,5,26,4,9,0,0,1,0,18,8,1,2,3,1,7,1,1,1,4,2,0,3,10
'180059B0100',18,7,38,16,39,6,8,43,11,35,6,0,6,46,11,8,1,0,9,1,24,5,1,0,1,0,12,4,1,1,12,1,2,5,9
'180059C0100',18,7,37,10,39,9,17,33,7,24,8,1,10,30,9,6,1,0,4,1,26,8,1,3,3,2,15,2,0,4,12,2,2,5,10
'180060B0100',18,9,31,18,34,5,24,29,12,30,8,0,4,38,3,12,0,0,11,4,17,6,2,1,4,0,11,2,0,0,5,2,2,6,13
'180061B0100',18,9,39,11,44,9,21,45,10,26,8,0,5,40,6,12,0,0,7,0,18,5,1,2,2,0,16,0,1,0,10,4,0,4,8
'180061E0100',18,9,4,5,9,4,5,8,2,2,2,0,3,11,0,1,0,0,2,0,7,1,0,2,0,0,4,0,1,0,2,1,0,0,4
'180062B0100',18,7,10,11,13,3,2,14,3,13,2,0,4,11,3,2,0,0,2,0,13,4,0,0,2,1,7,2,0,0,1,2,0,2,6
'180063B0100',18,9,19,7,23,8,11,18,3,17,7,0,7,19,3,7,0,0,5,0,13,4,0,1,0,1,10,0,2,2,3,0,2,4,2
'180064B0100',18,7,10,6,10,5,3,9,5,7,0,0,2,10,5,3,0,0,0,2,5,2,0,1,2,0,5,0,0,0,0,1,0,0,0
'180065B0100',18,7,19,10,21,3,8,33,8,11,5,0,5,27,4,5,0,0,2,2,18,3,2,1,5,1,10,0,0,0,6,2,1,2,3
'180065E0100',18,7,10,6,9,1,4,8,6,13,2,1,4,11,1,3,0,0,2,0,7,3,0,1,4,0,2,1,1,0,3,0,0,2,4
'180066B0100',18,5,14,3,24,5,20,21,9,19,9,0,10,30,4,3,0,0,7,1,18,3,1,2,1,1,11,3,0,2,5,1,1,1,6
'180067B0100',18,7,19,10,18,5,7,13,7,19,6,0,5,26,5,0,0,0,4,1,14,3,0,1,4,1,13,1,0,2,2,1,1,4,5
'180067C0100',18,7,20,5,13,5,9,19,9,20,3,0,6,12,7,6,0,0,7,1,17,5,1,1,3,0,11,0,0,0,5,1,0,0,6
'180068B0100',18,3,17,5,18,3,5,16,10,20,10,0,3,23,2,4,0,0,2,1,12,5,2,1,1,0,7,4,0,1,7,2,0,2,6
'180068C0100',18,3,19,4,18,6,11,25,7,16,3,0,4,15,5,4,0,0,4,1,11,5,0,0,3,0,4,3,0,1,7,2,1,2,6
'180069B0100',18,5,13,13,23,7,13,35,7,29,6,0,5,22,3,6,0,0,5,1,16,2,1,1,3,2,5,1,0,0,2,2,3,7,5
'180070B0100',18,7,13,7,11,4,2,5,6,9,5,0,5,6,0,4,0,0,2,0,3,1,0,1,1,1,4,0,0,1,3,1,0,0,2
'180071B0100',18,7,12,5,10,2,5,12,2,12,2,0,0,7,2,2,0,0,4,0,10,2,0,2,3,1,2,0,0,0,1,0,0,0,4
'180072B0100',18,7,2,1,1,2,4,4,3,3,1,0,1,8,0,1,0,0,2,0,0,1,0,1,3,1,1,0,0,0,2,0,1,1,3
'180074B0100',18,7,14,10,22,6,14,21,3,19,7,1,3,19,5,6,0,0,6,2,12,10,2,2,1,0,8,1,1,1,8,1,0,6,5
'180075B0100',18,9,26,8,40,7,17,29,5,27,7,0,5,38,7,4,0,0,5,2,18,5,1,4,2,2,19,2,0,1,6,2,0,6,14
'180076B0100',18,7,4,2,5,0,2,7,4,5,2,0,2,4,0,1,0,0,0,0,5,1,0,2,3,1,3,0,0,1,4,0,1,0,2
'180077B0100',18,3,18,7,19,5,9,23,6,21,5,0,3,27,4,7,0,0,4,1,17,2,2,1,1,0,8,2,0,1,6,0,2,4,4
'180078B0100',18,5,35,7,37,10,8,30,13,23,6,2,8,33,13,8,0,0,8,1,27,4,3,2,5,0,13,1,1,3,11,4,0,1,13
'180079B0100',18,3,15,10,33,3,16,20,6,24,8,0,3,32,9,5,1,0,5,4,18,6,1,1,3,0,6,4,0,1,7,1,0,3,7
'180079C0100',18,3,15,6,28,7,15,21,6,15,10,0,3,28,10,3,1,0,4,0,16,0,1,2,0,1,7,3,1,1,8,6,0,2,10
'180080B0100',18,3,28,13,28,7,13,35,9,17,3,0,7,25,8,8,0,0,10,1,20,2,0,3,4,2,8,3,1,0,9,4,1,2,7
'180081B0100',18,3,5,3,12,2,6,5,4,11,4,0,0,14,3,2,0,0,1,0,5,2,0,0,2,0,6,1,0,0,0,1,0,2,4
'180082B0100',18,3,22,15,21,8,15,26,11,30,10,0,6,23,5,6,0,0,8,1,22,6,3,2,4,1,8,1,1,0,3,1,1,5,5
'180083B0100',18,5,27,8,30,6,17,27,11,24,5,1,12,22,10,9,0,0,8,1,31,6,1,1,4,1,14,4,0,1,9,4,0,4,11
'180084B0100',18,7,7,1,8,3,6,9,2,7,4,0,1,16,4,2,0,0,3,2,10,2,1,1,1,0,3,0,0,1,2,2,1,2,3
'180086B0100',18,9,11,8,21,3,7,13,3,14,2,0,1,11,0,6,0,0,6,0,15,5,0,1,3,2,6,0,1,1,2,2,0,1,3
'180088B0100',18,7,14,11,26,7,14,14,7,18,8,0,3,19,4,1,0,0,5,1,12,7,1,0,3,4,7,1,0,0,7,0,0,0,9
'180089B0100',18,7,16,3,22,1,10,17,4,17,4,0,4,17,3,5,0,0,4,2,11,4,0,1,1,2,10,2,1,0,4,4,2,0,6
'180091B0100',18,5,38,16,42,5,24,42,11,27,10,1,10,35,7,7,0,0,7,2,25,8,4,2,6,1,11,3,2,4,8,1,0,4,9
'180092B0100',18,9,31,18,33,8,15,39,9,24,7,0,5,35,12,8,0,0,9,0,21,7,3,2,2,0,18,0,0,0,7,2,1,4,8
'180093B0100',18,7,9,1,8,0,9,5,3,9,3,0,1,5,3,3,0,0,3,1,3,1,0,0,2,1,4,0,1,1,2,0,1,1,5
'180094B0100',18,9,28,15,37,4,14,28,11,31,4,0,7,29,6,6,0,0,2,3,13,1,5,0,6,0,20,5,1,1,8,3,2,2,5
'180095B0100',18,7,14,7,14,5,2,14,9,11,2,0,4,22,6,5,0,0,3,2,9,2,0,3,0,0,4,0,0,0,2,0,0,3,3
'180095E0100',18,7,11,5,13,4,10,20,4,16,2,0,8,19,2,5,0,0,1,1,12,3,2,2,1,0,2,2,1,0,3,2,0,3,7
'180096B0100',18,9,20,10,23,8,15,30,6,19,6,0,8,31,12,5,0,0,7,2,19,5,4,4,1,2,10,0,0,2,5,2,1,3,5
'180096C0100',18,9,25,12,32,3,15,20,4,19,9,0,8,31,8,8,0,0,6,0,17,4,3,2,3,0,20,0,0,2,6,1,0,3,11
'180096C0200',18,9,20,9,30,5,15,21,13,25,7,0,6,27,3,4,1,0,2,2,25,10,0,3,2,1,15,1,1,0,12,2,3,3,9
'180097B0100',18,7,33,8,32,7,16,34,8,26,6,1,6,40,3,3,0,0,7,0,20,6,1,1,3,1,12,2,0,2,7,2,1,3,6
'180097C0100',18,7,29,9,37,13,15,31,8,27,6,0,8,30,13,8,0,0,3,2,19,3,2,3,3,2,15,1,1,1,6,2,2,3,10
'180098B0100',18,9,36,17,35,8,18,36,14,34,8,0,7,39,5,12,1,0,5,1,24,4,3,2,0,0,23,2,0,0,12,0,5,2,8
'180098C0100',18,9,36,13,35,5,14,28,12,38,7,1,11,28,6,9,0,0,5,1,23,5,1,4,5,1,9,5,1,1,11,1,2,3,12
'180098C0200',18,9,31,18,34,7,14,31,8,26,10,0,12,34,8,11,0,0,4,2,22,9,0,3,1,4,13,3,0,2,10,0,2,6,10
'180098C0300',18,9,32,15,39,12,19,24,9,40,18,0,12,38,7,5,0,0,8,2,21,5,0,4,5,1,17,1,0,0,6,1,1,4,12
'180098C0400',18,9,42,14,46,9,23,30,5,30,11,0,7,32,7,7,0,0,8,2,22,6,3,2,2,1,19,2,0,2,5,0,0,3,7
'180098E0100',18,9,29,6,20,8,10,24,6,18,5,0,9,25,3,14,0,0,5,1,21,6,1,4,4,1,15,3,2,3,10,1,2,5,7
'180099B0100',18,7,16,4,25,2,11,20,10,16,7,0,10,23,3,6,0,0,8,1,21,5,0,2,1,0,9,1,0,0,5,0,1,2,3
'180099C0100',18,7,18,13,22,3,10,25,4,22,1,0,6,19,7,5,1,1,5,1,15,3,3,1,2,2,14,4,0,0,4,2,1,2,4
'180100B0100',18,3,32,12,28,6,22,31,10,22,5,0,11,22,4,7,0,0,5,1,17,8,1,1,4,1,11,0,0,4,5,1,2,3,10
'180100C0100',18,3,34,6,28,7,12,24,9,19,10,0,9,34,5,10,0,0,9,2,22,6,1,5,3,1,14,0,1,2,8,1,1,1,7
'180100C0200',18,3,26,14,29,4,10,25,6,30,3,0,10,30,3,6,0,0,8,2,21,9,2,5,3,1,15,2,3,0,4,5,0,4,6
'180101B0100',18,5,39,12,45,11,19,30,17,29,10,0,10,28,6,12,0,0,10,3,31,3,3,6,0,1,13,2,1,2,10,4,3,3,8
'180101C0100',18,5,29,16,40,7,16,38,10,35,5,1,11,44,6,5,0,0,13,1,27,10,4,3,7,0,14,5,0,1,12,7,0,1,15
'180102B0100',18,5,20,9,26,5,7,29,9,20,3,0,5,29,8,2,0,0,8,1,21,3,1,0,5,1,9,2,1,1,4,1,2,2,6
'180102C0100',18,5,21,10,16,7,14,30,7,13,6,0,6,24,4,7,0,0,3,0,23,8,2,4,4,0,11,0,0,2,10,2,1,5,9
'180102C0200',18,5,34,16,26,8,16,17,6,26,6,0,7,23,6,4,0,0,9,4,14,3,0,3,1,0,12,0,0,1,6,1,1,1,3
'180103B0100',18,3,23,16,25,10,14,27,9,19,13,0,11,31,8,11,0,0,3,4,17,8,2,2,5,2,20,4,0,2,9,5,0,6,9
'180103C0100',18,3,27,14,23,13,12,31,11,30,11,0,8,28,4,9,0,0,9,1,16,9,1,8,1,0,14,2,2,5,8,5,2,5,11
'180104B0100',18,5,27,9,40,6,14,24,10,33,11,0,9,33,7,5,0,0,9,0,22,3,2,0,7,1,13,2,2,1,5,3,0,4,7
'180104C0100',18,5,26,18,42,6,12,27,12,25,4,1,7,28,9,10,0,0,4,0,17,6,4,4,2,0,16,2,2,0,5,3,2,4,12
'180104C0200',18,5,30,9,33,10,9,29,14,26,14,0,6,21,9,8,0,0,10,1,28,3,1,3,0,0,11,3,1,0,12,3,1,1,9
'180105B0100',18,3,24,15,41,7,9,30,4,28,7,0,6,19,8,4,0,0,3,2,20,1,4,2,1,2,10,2,0,1,10,2,1,3,5
'180105C0100',18,3,24,13,28,11,16,25,7,24,9,0,11,22,10,7,0,0,10,1,14,7,2,1,3,0,12,0,0,2,8,4,1,0,8
'180105C0200',18,3,28,9,30,8,10,24,11,22,7,0,5,28,5,1,1,0,4,2,21,10,0,3,0,1,8,1,1,1,5,3,0,1,6
'180106B0100',18,5,17,11,20,8,12,20,12,20,5,0,4,31,8,12,0,0,6,1,15,7,0,2,3,1,11,4,1,3,6,1,1,4,7
'180106C0100',18,5,15,5,15,3,14,27,11,22,3,0,4,36,15,7,0,0,5,1,32,5,0,4,3,1,12,0,0,2,5,2,2,5,8
'180106C0200',18,5,28,9,30,6,13,34,8,18,2,1,8,22,9,5,0,1,10,1,22,5,0,0,4,1,13,3,0,0,6,1,3,4,6
'180107B0100',18,7,37,15,33,10,17,46,7,27,6,0,12,39,12,10,1,0,5,3,17,4,2,2,1,0,23,4,0,1,7,0,1,5,8
'180107C0100',18,7,26,17,44,7,14,35,16,23,10,1,8,40,6,12,0,0,8,1,17,8,0,3,5,1,25,1,1,0,6,2,1,5,9
'180107C0200',18,7,36,11,36,11,23,34,11,31,10,0,9,29,6,6,0,0,7,4,31,7,3,2,3,1,19,2,3,1,8,2,2,5,12
'180108B0100',18,5,40,20,31,10,13,34,7,25,9,1,18,44,10,10,1,0,7,1,24,8,2,5,3,1,14,4,0,0,15,2,1,4,12
'180108C0100',18,5,39,22,43,6,20,36,10,30,7,0,14,38,3,2,0,0,7,4,33,4,0,2,3,5,16,2,2,0,11,0,0,3,9
'180109B0100',18,7,35,10,32,9,15,29,12,16,4,0,8,21,8,3,1,0,7,1,18,6,3,2,6,2,14,1,0,3,8,1,1,7,11
'180109C0100',18,7,25,12,28,6,8,26,16,20,7,0,9,33,4,8,0,0,7,4,28,4,2,2,6,2,17,2,1,0,6,2,1,5,8
'180110B0100',18,7,21,11,48,13,13,35,17,21,4,0,10,28,16,5,1,1,8,4,23,6,2,4,0,3,12,1,1,1,4,3,1,3,16
'180110C0100',18,7,31,13,36,5,26,42,19,27,8,1,7,33,10,4,0,0,9,1,22,2,4,6,5,1,15,1,1,0,12,2,0,3,8
'180110C0200',18,7,31,7,37,9,19,26,11,37,6,0,10,39,6,7,1,0,5,3,25,6,1,1,1,1,14,1,2,3,12,3,1,3,9
'180111B0100',18,7,30,16,35,8,16,28,12,33,6,0,14,44,1,9,0,0,16,2,38,7,4,4,5,1,14,4,2,2,11,3,0,5,10
'180111C0100',18,7,36,13,34,11,20,33,12,24,7,1,10,56,6,3,0,1,5,2,24,6,3,5,2,3,17,3,2,2,10,4,2,1,8
'180111C0200',18,7,41,20,41,7,19,35,6,36,14,0,11,44,10,11,1,0,10,1,23,5,2,5,2,1,10,2,1,3,10,5,0,2,11
'180111C0300',18,7,47,14,34,10,27,34,13,30,12,0,11,38,9,8,0,0,11,3,24,8,1,4,6,2,19,5,1,2,6,6,0,6,9
'180111C0400',18,7,46,21,47,11,17,29,14,29,5,0,14,37,4,8,0,0,7,2,31,13,4,3,3,1,14,3,1,3,5,5,1,4,6
'180111C0500',18,7,39,9,42,12,19,28,15,23,4,0,11,34,4,7,0,0,7,1,31,5,1,1,3,1,12,0,0,3,7,1,1,3,11
'180111C0600',18,7,36,15,47,6,28,20,16,38,7,0,8,37,8,9,0,0,16,6,17,3,2,1,3,0,22,2,0,0,15,1,0,5,8
'180112B0100',18,7,35,18,35,5,17,35,15,30,5,0,11,38,3,7,1,0,7,0,21,4,2,3,3,1,19,1,1,1,8,3,4,9,8
'180112C0100',18,7,36,17,29,7,19,32,12,22,7,0,9,35,8,10,0,0,4,1,23,2,3,1,4,2,23,0,0,0,10,3,1,9,7
'180112C0200',18,7,40,11,33,10,19,29,7,26,8,1,12,46,12,11,0,0,3,2,20,5,0,2,2,0,12,2,0,5,10,4,0,1,6
'180112C0300',18,7,44,15,45,9,20,34,9,36,5,0,5,34,6,9,0,0,4,0,22,5,2,2,3,2,21,0,3,3,11,1,1,6,11
'180112C0400',18,7,33,12,41,8,21,40,12,28,10,0,9,27,9,5,0,0,9,2,28,10,1,4,3,2,14,4,3,2,9,7,2,2,15
'180112C0500',18,7,40,19,41,3,17,37,11,17,4,0,18,38,6,7,0,0,8,2,24,4,1,3,4,2,13,2,1,2,6,1,1,3,12
'180112C0600',18,7,32,18,41,10,17,38,12,29,7,1,10,30,8,10,0,1,10,1,27,6,1,2,1,2,10,2,0,0,8,3,1,6,11
'180112C0700',18,7,39,18,42,11,14,38,10,23,11,0,12,35,5,7,0,0,7,0,26,7,1,1,3,1,21,2,1,1,9,1,0,7,5
