CLAVE_CASILLA,ID_ESTADO,estrato,PAN,PRD,PAN_PRD,PRI,PVEM,PT,MORENA,PANAL,PT_MORENA_PANAL,PT_MORENA,PT_PANAL,MORENA_PANAL,MC,PES,RSP,FPM,CI1,CI2,CNR,NULOS
'081796B0100',8,4,17,33,0,1,4,2,28,20,9,5,14,34,9,1,2,0,1,9,13,9
'081587B0100',8,4,16,18,0,0,5,1,39,22,10,5,21,18,17,5,4,3,0,19,18,10
'082031B0100',8,4,15,18,0,1,5,1,36,24,10,12,13,21,13,1,3,1,0,18,15,12
'081675C0100',8,4,15,35,0,0,2,1,34,16,11,6,12,20,12,3,3,3,0,14,14,18
'081802B0100',8,4,10,32,0,0,9,2,32,13,12,6,14,16,8,4,1,1,0,16,13,20
'081445B0100',8,4,11,18,0,0,4,3,18,15,6,3,12,15,7,2,0,0,1,8,14,12
'081949B0100',8,4,20,29,0,0,4,0,42,11,9,11,16,27,10,2,4,1,0,18,13,24
'081696B0100',8,4,9,27,0,2,6,1,20,16,11,5,17,18,4,2,5,1,1,13,19,12
'082154C0100',8,4,13,28,0,3,3,2,28,14,9,6,15,20,9,2,8,2,0,9,7,16
'081711B0100',8,4,13,34,0,3,4,0,36,15,11,5,17,19,9,3,8,2,0,15,17,20
'080182B0100',8,5,9,18,0,0,5,2,29,12,7,5,4,19,6,1,2,2,0,11,7,15
'081409B0100',8,5,11,32,0,1,2,1,32,17,10,3,9,15,11,3,5,3,0,23,11,14
'080977C0100',8,5,12,19,0,0,6,4,33,22,7,4,11,11,8,4,3,2,0,12,18,17
'081423B0100',8,5,7,14,0,0,2,1,11,8,4,3,7,10,3,0,5,0,1,6,9,6
'081012B0100',8,5,3,10,0,0,3,1,16,10,4,3,7,15,7,3,0,2,0,7,7,4
'082486C0100',8,5,24,38,0,2,6,1,31,18,9,4,12,19,11,2,6,1,0,16,9,14
'081414B0100',8,5,22,25,0,1,7,2,41,13,10,5,16,20,7,2,8,2,0,12,13,16
'080969B0100',8,5,19,27,0,0,4,8,28,23,11,5,14,22,14,4,3,2,1,17,12,14
'082319C0100',8,5,17,28,0,0,4,2,40,12,12,5,15,19,9,7,2,1,1,17,16,12
'082544C0100',8,5,15,23,1,0,2,2,23,19,9,8,13,22,5,3,3,1,0,15,12,10
'080177B0100',8,5,10,32,0,3,6,1,40,14,6,9,13,26,6,2,9,2,0,21,13,12
'082314C0100',8,5,10,30,0,0,5,4,39,17,8,6,18,15,10,6,2,0,0,11,10,14
'080941B0100',8,5,21,18,0,1,4,2,44,23,10,3,14,26,12,4,8,2,0,22,18,14
'082544B0100',8,5,12,27,0,0,3,2,28,14,13,9,10,25,12,3,4,0,0,14,17,12
'081021B0100',8,5,16,24,0,3,11,1,35,21,9,9,23,30,15,5,3,0,0,16,20,21
'080999B0100',8,5,21,33,0,1,4,2,37,25,11,9,11,34,9,2,3,1,0,17,17,14
'080559C0100',8,6,14,34,0,1,1,2,27,14,9,4,14,27,10,1,3,1,1,6,14,13
'080503B0100',8,6,15,25,0,1,1,2,28,15,7,4,8,20,7,0,6,1,0,13,8,10
'082883B0100',8,6,12,23,0,1,6,0,40,16,13,7,11,20,12,7,9,2,0,12,12,10
'080729B0100',8,6,23,42,0,1,1,0,42,11,9,7,21,23,17,3,4,4,0,11,14,16
'080772C0100',8,6,15,36,0,0,3,5,51,20,13,11,10,24,8,1,2,2,0,11,21,19
'083197B0100',8,6,11,22,0,0,1,1,30,12,7,4,12,10,11,1,7,1,0,7,14,14
'080642C0100',8,6,17,26,0,0,5,3,33,9,7,5,14,23,5,5,5,2,0,16,17,12
'080415C0100',8,6,19,21,0,1,6,3,26,22,14,6,12,23,8,4,4,0,0,14,18,8
'080412C0100',8,6,12,38,1,2,3,0,43,19,9,6,9,14,8,1,2,0,0,9,15,8
'080553C0100',8,6,18,31,0,1,5,4,30,19,10,2,8,22,12,3,2,3,0,19,11,13
'080657C0100',8,6,12,26,0,2,4,1,30,25,5,7,11,18,7,5,5,4,0,11,14,15
'080724B0100',8,6,9,33,0,1,4,0,34,14,13,3,18,27,5,1,5,1,0,9,18,16
'080554B0100',8,6,23,30,0,1,4,3,36,22,8,14,12,35,12,1,2,0,0,15,17,27
'080834B0100',8,6,17,25,0,0,7,1,34,12,13,5,11,18,8,3,6,1,0,13,15,13
'080447B0100',8,6,16,19,0,2,2,6,47,12,16,7,15,35,13,5,6,0,0,23,17,16
'080771B0100',8,6,11,18,0,0,6,1,29,21,11,7,17,25,13,1,3,3,0,19,16,14
'080679C0100',8,6,12,24,0,1,2,1,43,19,6,4,13,25,11,2,6,1,1,14,12,11
'082875C0100',8,6,17,28,0,2,5,3,37,17,9,7,15,26,6,4,2,4,0,7,17,8
'080738B0100',8,6,16,32,0,0,6,1,37,13,12,5,15,20,11,1,0,3,0,20,10,8
'080676C0100',8,6,11,27,0,1,5,1,24,18,10,7,12,28,11,2,4,1,0,15,11,8
'082343C0100',8,7,20,36,1,0,2,2,39,16,12,4,13,23,15,2,7,0,0,13,11,13
'080304B0100',8,7,16,26,0,2,4,1,36,10,11,4,15,21,10,3,4,3,2,11,12,14
'080390B0100',8,7,4,6,0,0,1,0,12,6,3,1,5,5,1,2,4,0,0,3,7,4
'080361B0100',8,7,8,12,0,0,1,1,15,10,4,0,4,9,2,0,2,0,0,1,3,8
'082461B0100',8,7,5,8,0,0,2,0,20,8,2,3,3,13,4,1,1,0,0,2,10,3
'080280C0100',8,7,18,34,0,0,6,2,40,11,13,7,18,30,9,3,11,0,0,16,14,14
'082651B0100',8,7,8,11,0,0,0,2,17,12,0,1,4,8,6,1,3,0,0,8,9,5
'082363B0100',8,7,7,14,1,0,3,1,21,6,7,4,4,17,6,2,2,0,1,9,11,9
'080919B0100',8,7,12,38,1,1,9,1,37,17,14,6,20,26,10,2,6,1,0,15,17,16
'080337C0100',8,7,11,16,0,0,5,0,27,15,16,8,16,18,14,1,5,4,0,17,15,13
'082220B0100',8,7,13,13,0,2,3,2,35,23,7,7,11,26,7,1,6,3,0,7,14,8
'082685E0100',8,7,11,24,0,0,2,0,26,15,9,6,11,15,12,0,0,0,0,11,12,12
'081173B0100',8,7,13,24,0,1,1,3,32,14,15,5,13,25,6,1,4,0,1,16,20,12
'080294B0100',8,7,16,24,0,2,3,3,22,9,4,7,11,21,9,0,1,1,0,7,13,8
'082694B0100',8,7,6,15,0,1,1,2,23,10,1,1,5,13,5,0,1,2,0,6,4,7
'082649B0100',8,7,22,33,0,1,3,2,52,20,9,9,15,21,13,2,7,3,2,17,18,16
'082225B0100',8,7,23,24,0,0,7,3,38,21,10,7,19,37,9,2,6,2,0,18,8,15
'081250B0100',8,7,16,22,0,1,5,0,40,16,17,4,15,22,8,6,6,0,0,14,20,13
'080285B0100',8,7,8,24,0,2,1,3,28,19,12,4,9,22,5,2,4,3,0,12,17,13
'081249B0100',8,7,6,10,0,0,2,1,13,2,6,5,3,7,5,1,1,2,0,2,5,3
'080347C0100',8,7,13,29,0,0,0,1,26,15,10,4,15,18,5,5,4,1,0,16,19,13
'080283C0100',8,7,19,23,1,0,3,3,31,18,11,4,4,19,14,3,2,3,0,17,12,14
'082692B0100',8,7,12,34,0,2,9,4,33,23,13,5,7,23,9,2,6,2,0,10,6,13
'080363E0100',8,7,18,19,0,2,4,3,38,15,11,7,11,20,13,2,6,1,0,12,7,9
'082333E0100',8,7,6,5,0,1,1,0,13,6,2,3,3,6,3,1,0,0,0,2,1,3
'082885C0100',8,8,21,28,0,1,5,1,40,12,8,12,9,17,6,4,5,4,0,13,11,9
'080586B0100',8,8,19,32,0,2,2,1,34,14,13,7,12,22,12,3,5,1,0,9,18,10
'080792C0100',8,8,10,30,0,1,4,2,40,17,5,6,16,34,7,7,7,2,0,19,16,15
'080476C0100',8,8,17,28,0,0,6,1,24,12,7,10,14,29,6,0,5,0,0,15,14,19
'080644C0100',8,8,15,19,0,0,0,3,39,16,9,7,9,17,5,4,4,2,0,9,14,13
'080584C0100',8,8,16,30,0,2,8,2,42,15,12,4,8,28,5,5,4,1,0,18,14,14
'080544B0100',8,8,16,40,0,1,6,5,40,19,8,7,18,20,7,2,4,1,0,15,15,16
'080899B0100',8,8,14,30,0,2,4,3,40,25,13,6,11,19,6,3,5,2,1,16,18,15
'080854S0100',8,8,32,91,0,3,14,1,104,55,31,21,39,65,28,7,7,4,1,39,41,39
'080587B0100',8,8,11,26,0,1,5,2,51,17,9,5,9,32,13,4,0,2,0,21,16,18
'080563C0100',8,8,16,42,0,3,8,0,34,18,12,2,15,30,10,4,8,0,0,14,7,15
'080535C0100',8,8,14,29,0,2,5,3,40,18,13,7,11,23,14,2,4,0,0,18,15,12
'080571B0100',8,8,15,30,0,2,5,4,54,19,10,6,14,26,10,5,4,5,0,21,18,15
'080523B0100',8,8,15,37,0,0,6,4,38,12,15,12,17,18,12,3,3,2,0,16,16,18
'080690C0100',8,8,17,27,0,0,4,1,21,14,12,5,11,28,8,4,0,2,1,12,16,13
'080635B0100',8,8,15,33,1,1,2,3,40,18,13,7,21,29,15,4,7,2,0,17,17,24
'082558B0100',8,9,2,16,1,0,1,2,15,5,5,0,5,11,5,1,1,1,0,7,10,3
'080051B0100',8,9,3,12,1,0,2,1,12,4,2,1,3,12,3,1,1,0,0,9,5,6
'080123B0100',8,9,16,21,0,0,5,0,36,14,6,12,17,21,11,2,0,1,0,12,12,11
'082663B0100',8,9,24,38,0,0,6,5,48,20,16,10,19,40,11,3,5,2,0,13,19,14
'081324B0100',8,9,17,22,1,0,2,1,55,19,9,8,20,23,8,3,2,2,0,12,16,20
'080260B0100',8,9,10,8,0,1,3,0,11,6,1,3,3,6,5,2,1,0,0,7,1,4
'081102C0100',8,9,10,20,0,0,8,1,33,19,10,2,12,17,13,3,4,2,0,11,15,9
'080237C0100',8,9,9,31,0,1,2,3,33,16,10,8,8,18,10,2,4,2,1,16,11,10
'081112B0100',8,9,8,18,0,0,2,2,20,9,11,2,9,15,9,3,0,3,0,11,18,10
'080113E0100',8,9,14,29,0,3,3,0,31,21,15,8,11,15,9,3,3,1,0,14,15,13
'082591C0100',8,9,17,29,1,0,4,4,32,20,8,6,16,23,11,0,7,2,0,12,12,6
'080125C0100',8,9,15,20,0,0,3,0,33,25,17,6,15,10,15,4,7,1,0,18,11,13
'082614B0100',8,9,7,12,0,0,3,3,11,10,6,1,6,5,3,0,0,1,0,5,9,6
'080253C0100',8,9,20,31,0,1,3,2,38,19,13,8,16,20,16,3,2,1,0,7,25,15
'082287B0100',8,9,2,14,0,1,3,2,14,10,3,4,7,13,4,1,5,0,0,10,8,9
'082207B0100',8,9,11,26,2,1,3,5,39,17,11,8,14,23,8,2,4,0,0,12,10,15
'082601B0100',8,9,10,16,0,0,5,1,23,18,6,5,11,17,5,0,6,1,1,14,17,8
'081139E0101',8,9,11,24,0,1,2,3,33,19,10,3,10,34,7,0,5,1,1,22,15,15
'081276C0100',8,9,18,26,0,1,5,0,33,13,15,12,14,15,13,2,1,4,0,20,18,12
'081281S0100',8,9,42,76,0,4,14,9,103,52,33,25,29,57,35,8,13,3,0,38,51,46
'082815B0100',8,10,24,49,0,0,7,4,50,23,14,8,27,42,12,2,3,4,0,26,29,24
'082815C1000',8,10,27,48,0,1,5,6,55,28,10,17,18,32,24,4,6,3,0,22,32,22
'081866B0100',8,10,24,38,0,4,9,4,67,25,14,13,26,43,19,4,12,8,0,17,25,18
'083004C0100',8,10,13,49,0,0,5,2,53,27,18,5,15,44,7,3,9,2,1,14,24,22
'081868C0100',8,10,22,49,0,1,10,2,64,27,16,5,21,22,17,7,9,0,0,30,25,18
'081877C0200',8,10,17,41,0,2,6,2,51,33,17,8,30,37,11,6,13,3,0,25,25,16
'082814B0100',8,10,28,43,0,2,7,2,68,29,14,11,34,37,17,6,12,3,1,22,15,19
'082823C0800',8,10,30,46,0,4,3,4,64,22,14,12,25,39,18,5,9,5,0,25,26,26
'082760C0100',8,10,27,44,0,0,6,0,52,23,15,0,19,40,11,3,6,2,0,30,16,19
'082806B0100',8,10,28,38,2,1,1,5,67,28,16,9,22,41,18,5,14,0,1,18,16,22
'081928B0100',8,10,14,47,1,2,10,3,47,21,12,12,14,34,9,2,5,4,0,24,27,29
'082823C0700',8,10,21,39,0,1,2,2,40,24,19,18,21,41,16,8,5,0,1,26,25,26
'082791C0100',8,10,13,30,0,2,1,1,48,18,11,6,19,28,9,3,6,0,0,22,22,22
'082986B0100',8,10,24,48,1,2,9,4,68,29,23,11,15,34,18,9,9,2,0,24,32,24
'081849B0100',8,10,14,47,1,1,5,2,30,23,19,9,17,32,16,5,3,4,2,18,17,18
'082941B0100',8,10,32,47,0,2,5,2,66,25,18,9,14,38,8,5,4,4,0,21,21,23
'081930B0100',8,10,21,43,0,0,4,3,49,26,19,12,13,35,16,3,12,2,0,32,18,22
'081929C0100',8,10,25,34,0,1,6,1,51,21,10,5,16,36,14,6,4,2,0,20,11,17
'081933C0100',8,11,22,40,0,2,1,5,54,31,14,7,17,29,9,7,6,4,0,25,20,28
'080156C0100',8,11,28,33,0,2,4,3,67,20,14,9,13,40,16,6,7,5,0,8,25,17
'082905B0100',8,11,20,40,0,4,7,1,52,28,16,12,22,34,14,4,9,5,1,26,22,28
'081889C0100',8,11,16,47,0,0,5,2,56,24,15,10,19,41,16,8,10,2,0,22,30,18
'081359C0100',8,11,22,37,0,3,9,5,47,23,16,13,16,35,14,3,5,1,0,24,29,19
'081940B0100',8,11,25,37,0,3,6,2,53,38,16,9,25,39,10,3,14,1,3,23,25,15
'082911B0100',8,11,19,45,1,1,4,0,64,29,19,8,10,32,18,5,5,2,0,25,23,18
'082432B0100',8,11,21,37,0,1,9,2,46,21,11,6,14,15,18,3,8,1,1,21,16,18
'081916C1000',8,11,15,50,0,1,8,3,49,28,21,14,19,35,15,2,4,4,0,28,27,18
'083161B0100',8,11,21,46,0,4,5,6,61,31,17,14,22,35,14,8,8,1,0,29,28,26
'081827C0100',8,11,28,42,2,2,5,5,69,31,13,6,16,33,14,4,13,1,0,26,23,23
'082930C0600',8,11,27,48,0,2,7,5,55,26,17,14,21,23,12,5,12,2,0,22,20,22
'081827C0600',8,11,27,53,0,3,12,2,61,31,11,9,23,38,17,4,7,5,2,31,23,22
'081945E0108',8,11,28,32,0,1,4,1,69,32,20,7,19,42,14,9,8,3,0,17,26,28
'082916C0200',8,11,27,35,0,3,8,1,54,26,12,12,22,33,9,5,9,3,1,17,15,15
'081885C0100',8,11,25,48,0,1,7,1,67,38,26,16,24,30,13,5,8,2,2,22,27,29
'082930C0100',8,11,25,42,0,2,5,4,46,34,17,4,26,35,11,6,5,0,1,29,25,22
'082180C0100',8,12,23,27,0,3,6,2,54,21,11,7,15,33,7,4,9,0,1,16,19,25
'081503B0100',8,12,29,38,1,4,11,2,45,28,19,16,16,33,18,6,6,3,2,30,26,15
'081513B0100',8,12,18,33,0,1,7,0,47,21,17,11,15,47,10,2,6,2,0,23,27,18
'082138B0100',8,12,20,32,0,0,4,2,57,29,18,9,19,36,18,0,6,4,2,21,20,19
'081562C0200',8,12,22,34,0,2,7,6,45,23,15,11,26,41,15,3,10,4,0,22,36,27
'081559C0100',8,12,20,49,0,1,3,1,55,30,14,8,20,34,15,5,12,2,0,22,22,27
'081561B0100',8,12,19,46,0,0,6,2,37,31,11,19,20,25,9,3,6,1,0,18,21,21
'081438B0100',8,12,27,34,0,1,11,1,51,20,17,12,19,29,7,4,9,3,1,12,19,31
'081563C0200',8,12,20,33,1,2,8,0,57,30,16,11,28,41,11,2,12,4,1,27,23,35
'082008C0100',8,12,23,37,0,1,4,2,56,25,12,8,14,27,22,0,6,0,0,20,22,18
'082197C0100',8,12,17,40,1,2,7,3,55,23,20,11,23,34,8,3,7,1,0,20,15,28
'083108B0100',8,12,26,36,0,1,6,6,57,20,19,17,22,31,12,2,7,3,0,22,21,29
'081835B0100',8,12,10,26,0,2,7,9,64,23,13,4,20,46,12,3,3,2,1,16,17,20
'081560C0100',8,12,22,38,0,4,4,3,63,25,13,11,25,45,19,4,7,2,0,26,28,17
'082188C0100',8,12,34,45,0,1,4,3,57,26,16,10,24,38,16,4,3,1,0,19,23,17
'081977B0100',8,12,17,33,0,1,7,4,50,23,15,9,12,33,16,1,4,2,0,8,21,19
'081517B0100',8,12,21,25,0,0,2,4,41,28,11,8,16,33,16,3,10,1,0,22,24,18
'081425C0500',8,12,23,37,0,0,6,1,45,38,6,13,23,26,16,2,7,8,0,19,22,22
'081430C0500',8,12,33,67,0,2,7,5,59,34,23,12,20,36,11,1,3,4,0,28,31,24
'081730B0100',8,13,23,30,0,1,8,4,51,16,17,15,17,26,11,7,7,3,0,18,23,21
'081754C0200',8,13,36,45,1,1,10,5,48,25,19,8,27,38,17,5,12,3,0,22,25,28
'081596B0100',8,13,9,49,0,3,2,2,41,19,14,11,21,26,12,1,6,1,0,16,21,21
'081794C0100',8,13,19,45,0,1,10,1,56,30,18,10,20,34,18,4,9,1,1,21,24,25
'083029B0100',8,13,17,37,0,0,4,1,41,16,12,9,16,21,13,4,4,1,0,13,23,31
'081683C1500',8,13,29,44,0,4,5,5,50,30,12,7,26,43,14,7,4,2,0,25,26,26
'081707C0200',8,13,20,31,0,2,5,4,62,28,16,7,17,37,16,3,6,2,0,24,16,24
'081624B0100',8,13,26,32,0,2,2,1,57,20,13,7,19,23,11,1,1,3,2,17,27,14
'081743C0300',8,13,25,37,2,3,9,2,50,28,18,9,15,32,10,6,7,2,0,16,19,25
'081758C0300',8,13,20,38,2,2,11,2,62,39,10,12,17,49,16,2,6,4,0,30,27,25
'081719B0100',8,13,13,35,0,0,8,2,54,28,19,9,19,31,13,0,4,5,0,21,26,19
'081758C0600',8,13,24,40,0,1,10,6,67,35,11,7,20,38,13,4,3,4,3,23,25,27
'081683C0700',8,13,30,33,0,4,16,5,56,31,16,10,23,42,15,4,13,4,2,23,20,28
'082104B0100',8,13,22,37,0,1,6,3,51,24,12,9,16,26,13,3,8,0,0,26,25,29
'081745C0200',8,13,22,51,0,1,7,5,50,34,15,11,20,40,17,4,6,3,2,24,14,27
'081668B0100',8,13,16,40,0,2,5,3,58,28,11,16,22,31,15,5,5,5,1,25,16,14
'081735B0100',8,13,24,42,0,1,6,2,59,22,18,10,20,34,19,2,5,1,2,26,23,17
'081705C0300',8,13,19,33,0,1,9,4,57,23,13,8,15,28,14,3,6,2,1,22,21,14
'081743C0200',8,13,24,38,0,1,5,0,47,28,11,6,29,24,8,4,6,2,0,28,29,20
'081705C0100',8,13,23,37,0,2,6,1,50,26,12,9,19,30,14,2,10,3,1,22,19,20
'081411C0100',8,14,27,40,0,0,5,6,36,29,18,14,18,15,16,4,12,4,0,17,22,26
'080193B0100',8,14,21,33,1,2,9,7,48,25,16,12,23,42,15,3,6,4,0,27,24,25
'082615C0100',8,14,21,38,0,3,6,4,46,29,11,12,15,43,14,1,8,4,0,16,17,20
'080930B0100',8,14,15,40,0,3,5,4,39,21,13,7,21,35,18,3,6,2,0,20,22,21
'080059E0105',8,14,26,47,0,0,8,1,55,33,18,13,20,27,15,5,4,2,0,24,26,11
'083218C0100',8,14,26,50,0,1,4,3,48,26,14,8,12,35,16,2,6,1,0,20,18,27
'082290B0100',8,14,17,62,0,1,6,2,45,33,18,14,18,27,15,2,9,0,2,21,18,25
'080203B0100',8,14,23,36,1,2,5,2,48,17,19,8,28,34,20,1,4,1,0,19,22,14
'081026E0106',8,14,31,40,1,0,8,2,56,25,19,6,15,34,8,1,10,3,0,27,13,19
'080200B0100',8,14,16,44,1,0,6,3,43,19,11,6,16,30,16,3,8,1,0,19,14,17
'082538B0100',8,14,22,36,0,1,4,1,52,35,21,10,20,33,15,5,5,3,1,22,26,19
'081026E0103',8,14,20,38,0,1,4,3,50,22,22,16,22,38,9,2,7,1,1,25,25,28
'080192C0400',8,14,21,40,0,5,5,0,62,26,16,7,26,39,13,6,4,4,0,22,25,15
'080991C0300',8,14,25,48,0,1,8,0,73,28,19,13,17,39,13,1,5,1,0,20,23,26
'082623B0100',8,14,18,38,0,2,5,2,49,35,14,7,19,24,16,3,5,1,0,22,23,16
'080997B0100',8,14,23,43,0,1,7,5,55,32,17,15,24,40,14,1,4,3,1,33,33,20
'081013B0100',8,14,24,43,0,0,4,1,52,27,10,6,8,27,13,4,5,1,0,19,27,22
'082634B0100',8,14,18,35,0,1,3,2,37,21,16,6,24,31,16,5,3,3,1,17,14,24
'080189B0100',8,14,27,36,0,2,5,2,58,27,11,15,22,34,12,6,3,3,3,13,26,21
'082492B0100',8,14,27,35,1,3,5,0,43,17,14,9,20,38,15,5,4,4,0,21,22,14
'081006E0100',8,14,19,38,0,0,4,0,42,32,14,10,13,28,11,2,4,1,0,22,31,18
'080575C0100',8,15,28,40,0,2,3,1,42,29,21,11,22,31,20,3,6,4,0,23,20,21
'080847C0700',8,15,21,40,0,1,6,3,70,26,15,14,10,34,17,2,5,1,0,16,20,33
'080608E0103',8,15,23,46,0,3,6,2,62,25,17,15,16,39,18,6,6,2,3,18,19,28
'083271B0100',8,15,15,36,1,2,5,3,51,40,16,11,22,39,13,5,7,2,0,19,24,25
'080760C0100',8,15,22,45,0,2,6,4,50,23,11,8,12,37,11,1,6,3,1,27,20,27
'083286C0300',8,15,32,41,1,3,3,0,62,24,16,5,18,22,13,4,7,4,1,14,17,27
'080423B0100',8,15,18,39,0,0,4,1,59,39,16,6,22,39,10,4,6,3,0,25,17,22
'082848C0400',8,15,18,35,0,3,8,2,66,23,16,12,17,33,12,6,4,3,1,22,21,28
'080810B0100',8,15,32,43,1,2,5,3,61,35,13,9,20,35,16,6,5,8,0,21,23,27
'080801C0100',8,15,15,43,1,0,2,8,52,20,12,8,16,29,11,7,4,3,0,18,18,26
